dataset_name,KBest,mRMR_FCD,mRMR_FCQ,KGroups (P=0.1),KGroups (P=0.1S),KGroups (P=0.3),KGroups (P=0.3S),KGroups (P=0.5),KGroups (P=0.5S),KGroups (P=0.7),KGroups (P=0.7S),KGroups (P=1.0),KGroups (P=1.3),KGroups (P=1.3S),KGroups (P=1.5),KGroups (P=1.5S),KGroups (P=1.7),KGroups (P=1.7S),KGroups (P=2.0),KGroups (P=2.0S),KGroups++ (P=0.1),KGroups++ (P=0.1S),KGroups++ (P=0.3),KGroups++ (P=0.3S),KGroups++ (P=0.5),KGroups++ (P=0.5S),KGroups++ (P=0.7),KGroups++ (P=0.7S),KGroups++ (P=1.0),KGroups++ (P=1.3),KGroups++ (P=1.3S),KGroups++ (P=1.5),KGroups++ (P=1.5S),KGroups++ (P=1.7),KGroups++ (P=1.7S),KGroups++ (P=2.0),KGroups++ (P=2.0S)
ALLAML,93.05±9.94 (2),94.38±9.3 (31),94.38±9.3 (2),93.05±9.94 (2),94.38±9.3 (6),94.38±9.3 (8),94.38±9.3 (4),95.71±9.58 (6),95.71±9.58 (13),95.71±9.58 (4),95.71±9.58 (16),95.71±9.58 (8),95.71±9.58 (7),95.71±9.58 (5),95.71±9.58 (5),95.71±9.58 (8),95.71±9.58 (33),95.71±9.58 (24),95.71±9.58 (7),95.71±9.58 (7),93.05±9.94 (2),93.05±9.94 (2),93.05±9.94 (2),94.48±3.1 (2),94.38±9.3 (19),94.48±3.1 (2),94.48±3.1 (2),94.48±3.1 (2),94.48±3.1 (2),94.48±3.1 (2),94.48±3.1 (2),95.9±3.74 (3),95.9±3.74 (3),95.9±3.74 (3),95.9±3.74 (3),94.57±5.61 (2),97.33±3.65 (2)
CLL_SUB_111,71.15±2.75 (11),68.38±7.51 (12),80.08±8.39 (54),63.04±5.1 (2),75.61±7.08 (3),69.25±8.44 (12),70.32±7.3 (37),75.61±7.08 (3),69.49±7.93 (41),70.24±8.37 (4),73.87±9.84 (23),73.83±11.85 (41),76.48±7.67 (36),72.02±6.17 (54),67.63±4.26 (34),73.95±10.99 (33),76.52±6.12 (53),75.65±5.29 (48),80.99±7.6 (63),72.89±9.29 (61),71.15±5.31 (2),82.92±5.71 (23),79.25±6.98 (8),85.53±10.9 (29),86.44±4.65 (25),84.7±6.02 (28),85.57±5.01 (30),83.79±5.13 (35),81.94±8.59 (29),82.92±9.73 (25),82.92±4.72 (40),82.85±6.02 (63),83.79±3.99 (56),82.85±3.95 (44),81.07±3.87 (49),83.79±5.13 (66),82.02±5.38 (57)
Carcinom,67.54±29.64 (98),85.61±7.05 (99),90.22±3.87 (48),28.17±1.42 (2),29.33±4.82 (3),28.17±1.42 (2),32.79±3.65 (5),29.33±4.82 (3),32.82±7.89 (6),32.79±3.65 (5),44.86±6.82 (8),41.82±43.59 (8),61.5±8.69 (13),64.37±11.52 (13),67.24±5.89 (17),62.67±13.91 (15),70.69±9.34 (18),75.26±8.58 (14),70.76±6.9 (19),71.28±5.63 (19),35.7±8.66 (2),35.7±8.66 (2),35.7±8.66 (2),35.7±8.66 (2),35.7±8.66 (2),35.7±8.66 (2),35.7±8.66 (2),47.7±2.4 (8),49.41±6.04 (7),64.39±7.34 (13),56.87±6.56 (11),68.92±8.16 (16),67.82±7.11 (16),73.01±10.16 (19),71.26±7.29 (14),74.17±10.81 (24),71.82±7.78 (18)
GLIOMA,76.0±11.4 (92),76.0±8.94 (71),78.0±10.95 (50),56.0±8.94 (3),76.0±11.4 (19),74.0±13.42 (11),76.0±15.17 (12),82.0±8.37 (15),78.0±13.04 (17),78.0±8.37 (23),82.0±16.43 (39),84.0±11.4 (9),78.0±8.37 (25),80.0±14.14 (43),82.0±10.95 (54),82.0±10.95 (33),78.0±16.43 (35),80.0±12.25 (13),78.0±21.68 (41),82.0±8.37 (40),62.0±8.37 (2),82.0±8.37 (17),76.0±11.4 (4),86.0±8.94 (24),82.0±8.37 (17),86.0±11.4 (18),86.0±8.94 (23),86.0±5.48 (17),88.0±10.95 (29),86.0±11.4 (26),84.0±11.4 (23),84.0±11.4 (30),88.0±13.04 (30),86.0±8.94 (35),86.0±11.4 (32),84.0±15.17 (19),86.0±8.94 (26)
GLI_85,92.94±4.92 (5),92.94±4.92 (5),92.94±4.92 (17),92.94±4.92 (4),94.12±5.88 (23),92.94±4.92 (7),92.94±4.92 (30),92.94±4.92 (12),91.76±9.84 (13),92.94±4.92 (61),94.12±4.16 (32),92.94±6.44 (33),95.29±4.92 (43),92.94±4.92 (28),94.12±5.88 (77),92.94±7.67 (18),91.76±6.71 (23),94.12±5.88 (21),92.94±4.92 (31),94.12±4.16 (42),94.12±4.16 (9),94.12±4.16 (14),94.12±0.0 (7),92.94±6.44 (10),94.12±4.16 (14),94.12±7.2 (65),94.12±5.88 (36),94.12±7.2 (22),94.12±7.2 (49),94.12±4.16 (4),94.12±4.16 (4),94.12±4.16 (5),94.12±7.2 (7),94.12±4.16 (5),94.12±4.16 (5),95.29±2.63 (6),94.12±4.16 (5)
Prostate_GE,94.19±5.31 (98),94.14±6.46 (18),94.14±6.46 (15),91.24±6.34 (2),94.1±2.29 (10),93.19±6.61 (15),96.05±6.51 (28),96.05±6.51 (24),96.05±6.51 (23),97.05±4.45 (34),94.14±4.09 (41),94.14±6.46 (23),95.1±6.99 (12),94.14±6.46 (31),95.1±6.99 (54),95.05±6.12 (28),94.14±6.46 (44),94.14±6.46 (55),95.05±6.12 (56),95.14±4.88 (45),92.19±5.62 (3),93.14±5.66 (2),92.19±5.62 (3),94.14±4.09 (31),94.14±4.09 (23),95.1±4.88 (29),94.14±4.09 (29),94.14±4.09 (39),95.14±4.88 (41),95.1±4.88 (30),95.14±4.88 (46),95.1±4.88 (32),95.14±4.88 (39),95.14±4.88 (57),95.14±4.88 (35),97.05±4.45 (56),95.1±4.88 (43)
SMK_CAN_187,74.32±7.49 (20),73.81±7.82 (20),76.94±12.57 (12),74.3±8.06 (20),70.54±11.5 (26),74.32±10.3 (40),70.06±8.25 (54),72.7±9.45 (29),70.61±9.79 (54),71.64±9.19 (58),70.55±8.27 (63),69.5±11.24 (77),68.95±13.39 (80),69.5±9.82 (91),70.03±14.51 (87),68.42±6.25 (25),68.46±13.02 (87),67.41±11.62 (48),68.98±15.5 (79),68.45±10.14 (14),76.97±9.44 (14),74.81±10.3 (6),74.84±11.14 (6),74.81±10.3 (6),74.81±10.3 (6),73.81±10.72 (59),73.83±10.19 (64),74.35±12.81 (77),73.78±9.55 (36),73.81±12.51 (65),74.34±13.36 (70),74.34±13.59 (25),74.86±13.57 (76),74.86±12.73 (42),74.28±12.3 (30),73.84±10.36 (24),75.45±14.16 (56)
TOX_171,36.97±17.61 (6),66.05±6.27 (39),73.73±11.95 (21),59.63±6.49 (7),70.77±5.39 (37),68.47±8.87 (15),73.7±4.99 (39),71.36±6.92 (38),73.75±12.05 (54),69.63±6.47 (40),69.61±5.92 (47),71.98±8.92 (40),72.0±13.62 (49),69.58±9.7 (69),71.92±8.77 (50),71.95±5.18 (59),70.2±5.82 (47),76.07±6.08 (66),67.88±6.19 (71),73.09±6.73 (63),62.55±4.01 (5),69.61±5.92 (37),64.4±10.22 (20),67.9±10.88 (16),69.63±10.54 (17),70.79±5.25 (36),68.47±7.83 (44),70.18±2.27 (40),69.61±4.21 (41),69.04±4.03 (46),69.04±4.03 (46),70.77±9.24 (39),69.61±6.93 (48),67.85±6.8 (25),70.18±5.58 (45),67.85±4.51 (43),69.63±5.77 (59)
colon,88.59±7.26 (2),90.13±10.89 (33),93.33±10.87 (22),88.59±7.26 (2),91.79±5.9 (33),90.13±9.16 (18),91.67±8.33 (9),90.0±10.87 (11),90.13±7.02 (49),90.0±10.87 (47),90.0±10.87 (26),91.67±14.43 (21),88.46±9.56 (37),90.13±7.02 (18),90.26±6.68 (21),90.0±10.87 (30),90.0±10.87 (77),91.79±8.34 (20),88.46±13.99 (25),91.92±8.03 (3),90.13±7.02 (4),93.33±10.87 (14),93.33±10.87 (13),90.13±7.02 (9),91.67±10.21 (9),93.33±6.97 (23),93.33±6.97 (23),93.33±6.97 (21),91.67±8.33 (23),93.33±6.97 (40),91.67±11.79 (12),90.13±7.02 (62),90.0±10.87 (13),90.13±9.16 (46),91.67±8.33 (22),88.59±9.35 (49),90.13±7.02 (22)
leukemia,100.0±0.0 (15),100.0±0.0 (15),100.0±0.0 (12),97.33±5.96 (2),100.0±0.0 (6),100.0±0.0 (8),100.0±0.0 (7),100.0±0.0 (9),100.0±0.0 (12),100.0±0.0 (7),100.0±0.0 (17),100.0±0.0 (12),100.0±0.0 (15),100.0±0.0 (6),100.0±0.0 (10),100.0±0.0 (9),100.0±0.0 (18),100.0±0.0 (22),100.0±0.0 (26),100.0±0.0 (11),94.48±5.64 (2),98.67±2.98 (4),98.67±2.98 (4),100.0±0.0 (25),98.67±2.98 (4),100.0±0.0 (27),100.0±0.0 (26),100.0±0.0 (30),100.0±0.0 (37),100.0±0.0 (51),100.0±0.0 (46),100.0±0.0 (44),100.0±0.0 (49),100.0±0.0 (52),100.0±0.0 (49),98.67±2.98 (18),100.0±0.0 (54)
