dataset_name,KBest,mRMR_FCD,mRMR_FCQ,KGroups (P=0.1),KGroups (P=0.1S),KGroups (P=0.3),KGroups (P=0.3S),KGroups (P=0.5),KGroups (P=0.5S),KGroups (P=0.7),KGroups (P=0.7S),KGroups (P=1.0),KGroups (P=1.3),KGroups (P=1.3S),KGroups (P=1.5),KGroups (P=1.5S),KGroups (P=1.7),KGroups (P=1.7S),KGroups (P=2.0),KGroups (P=2.0S),KGroups++ (P=0.1),KGroups++ (P=0.1S),KGroups++ (P=0.3),KGroups++ (P=0.3S),KGroups++ (P=0.5),KGroups++ (P=0.5S),KGroups++ (P=0.7),KGroups++ (P=0.7S),KGroups++ (P=1.0),KGroups++ (P=1.3),KGroups++ (P=1.3S),KGroups++ (P=1.5),KGroups++ (P=1.5S),KGroups++ (P=1.7),KGroups++ (P=1.7S),KGroups++ (P=2.0),KGroups++ (P=2.0S)
ALLAML,97.24±3.79 (17),98.57±3.19 (57),100.0±0.0 (87),94.48±7.57 (3),98.57±3.19 (5),98.57±3.19 (7),98.57±3.19 (8),98.57±3.19 (8),98.57±3.19 (12),98.57±3.19 (7),98.57±3.19 (8),98.57±3.19 (8),98.57±3.19 (11),98.57±3.19 (15),98.57±3.19 (16),98.57±3.19 (11),98.57±3.19 (17),98.57±3.19 (8),98.57±3.19 (9),98.57±3.19 (3),95.81±6.34 (2),98.57±3.19 (12),98.57±3.19 (10),98.57±3.19 (4),98.57±3.19 (4),98.57±3.19 (4),98.57±3.19 (4),98.57±3.19 (7),98.57±3.19 (8),98.57±3.19 (11),98.57±3.19 (7),100.0±0.0 (4),100.0±0.0 (4),98.57±3.19 (3),98.57±3.19 (3),100.0±0.0 (5),98.57±3.19 (3)
CLL_SUB_111,63.87±6.05 (62),64.74±9.11 (67),84.66±10.49 (56),60.51±16.44 (4),64.9±13.25 (10),64.07±9.46 (6),66.64±5.34 (30),63.95±7.9 (23),66.68±5.02 (31),65.77±6.83 (37),74.86±8.98 (23),72.92±7.35 (14),73.79±6.2 (36),71.19±5.04 (59),72.06±6.8 (64),70.16±8.54 (17),71.19±12.64 (47),69.29±8.39 (55),69.25±7.81 (23),67.67±8.04 (41),57.71±11.56 (2),78.42±7.27 (14),82.02±7.04 (8),79.33±8.04 (17),79.33±4.83 (12),80.16±5.26 (12),79.21±7.05 (14),77.51±7.72 (8),80.12±8.37 (9),75.61±6.31 (53),80.2±3.92 (12),78.42±8.57 (8),78.38±4.95 (14),75.65±10.01 (25),81.98±5.58 (12),78.38±5.91 (52),78.34±8.83 (10)
Carcinom,92.52±4.35 (93),93.65±5.93 (100),95.97±1.61 (85),29.9±1.85 (2),31.63±3.13 (3),29.9±1.85 (2),35.08±2.68 (4),31.63±3.13 (3),35.61±3.61 (6),35.09±3.62 (6),48.87±5.58 (8),58.03±6.01 (10),69.55±3.76 (13),66.07±8.06 (13),69.51±4.58 (17),69.5±11.17 (15),77.01±7.83 (17),75.28±9.2 (14),78.74±8.46 (19),76.97±4.34 (19),35.11±6.61 (2),35.11±6.61 (2),35.11±6.61 (2),37.41±8.21 (5),35.11±6.61 (2),39.13±6.0 (6),39.13±6.0 (6),50.62±6.75 (8),51.19±8.29 (7),75.9±9.3 (14),63.29±11.48 (11),79.88±5.35 (16),75.9±9.3 (14),79.87±7.36 (19),78.18±7.65 (17),80.49±8.84 (18),79.33±7.88 (17)
GLIOMA,84.0±5.48 (98),82.0±4.47 (78),86.0±5.48 (90),64.0±5.48 (2),86.0±5.48 (17),72.0±10.95 (11),88.0±8.37 (27),86.0±8.94 (15),86.0±8.94 (25),90.0±7.07 (29),84.0±5.48 (35),88.0±8.37 (42),84.0±5.48 (45),82.0±8.37 (33),80.0±7.07 (25),82.0±10.95 (22),84.0±5.48 (53),84.0±11.4 (46),82.0±8.37 (42),86.0±11.4 (37),58.0±4.47 (2),86.0±8.94 (17),82.0±8.37 (3),84.0±11.4 (15),86.0±8.94 (17),86.0±11.4 (7),86.0±11.4 (7),86.0±11.4 (7),88.0±16.43 (41),84.0±8.94 (2),84.0±8.94 (2),86.0±11.4 (7),84.0±8.94 (2),86.0±11.4 (3),86.0±11.4 (7),86.0±11.4 (3),86.0±11.4 (3)
GLI_85,95.29±2.63 (90),94.12±5.88 (6),97.65±3.22 (7),95.29±2.63 (7),95.29±4.92 (14),95.29±4.92 (8),95.29±2.63 (21),94.12±4.16 (28),97.65±3.22 (55),95.29±2.63 (22),96.47±3.22 (62),96.47±3.22 (47),95.29±2.63 (17),96.47±3.22 (38),97.65±3.22 (58),95.29±4.92 (48),97.65±3.22 (17),95.29±2.63 (51),96.47±3.22 (59),95.29±4.92 (77),97.65±3.22 (10),96.47±3.22 (23),96.47±3.22 (21),96.47±3.22 (19),96.47±3.22 (16),96.47±3.22 (42),96.47±3.22 (11),96.47±3.22 (21),96.47±5.26 (6),97.65±3.22 (14),96.47±3.22 (18),96.47±5.26 (13),96.47±5.26 (11),96.47±5.26 (13),97.65±3.22 (62),97.65±3.22 (89),96.47±5.26 (14)
Prostate_GE,95.1±6.99 (76),95.1±6.99 (80),97.05±4.45 (28),94.05±8.22 (4),95.1±6.99 (19),95.1±6.99 (4),95.1±6.99 (6),96.05±6.51 (20),95.1±6.99 (4),95.1±6.99 (29),95.1±6.13 (32),97.0±6.71 (29),95.1±6.13 (12),96.0±6.52 (23),95.1±6.99 (22),96.05±6.51 (59),96.1±5.35 (31),96.05±6.51 (16),95.1±6.99 (8),96.05±6.51 (62),94.05±8.22 (5),96.05±6.51 (18),95.05±6.12 (4),95.1±6.13 (29),96.05±6.51 (24),95.1±6.99 (38),96.05±6.51 (28),96.05±6.51 (26),95.1±6.99 (24),96.05±6.51 (29),95.1±6.99 (28),96.05±6.51 (42),96.05±6.51 (41),96.05±6.51 (24),96.05±6.51 (53),96.05±6.51 (30),96.05±6.51 (34)
SMK_CAN_187,75.33±8.5 (18),74.31±5.64 (8),81.28±5.91 (42),74.3±8.44 (20),70.58±5.6 (44),71.11±8.32 (49),71.07±7.6 (4),74.32±6.63 (42),72.18±12.23 (51),71.64±11.48 (53),69.0±9.93 (22),73.26±11.58 (74),68.99±12.46 (56),71.68±4.68 (8),72.18±9.66 (60),72.2±7.76 (67),70.54±12.9 (5),72.73±9.49 (59),71.08±11.55 (2),70.04±11.58 (83),76.4±7.17 (20),75.97±11.41 (27),75.92±6.79 (12),74.32±10.23 (14),74.86±12.15 (38),73.3±5.99 (16),73.27±8.49 (19),73.3±11.87 (81),75.96±8.56 (16),72.2±10.11 (35),75.43±14.28 (25),73.81±12.37 (84),73.78±11.47 (20),73.3±11.24 (18),72.75±12.34 (23),73.34±13.26 (74),73.29±8.25 (26)
TOX_171,70.2±10.57 (66),68.37±6.6 (100),80.13±7.82 (86),67.24±4.88 (6),75.46±3.07 (32),73.13±3.53 (19),77.8±4.77 (23),74.92±6.9 (37),71.9±9.3 (48),75.48±5.02 (47),74.29±3.66 (39),75.48±5.82 (44),75.5±9.4 (45),75.45±5.29 (64),76.0±7.1 (63),75.48±6.52 (59),72.57±12.0 (67),71.97±10.57 (55),70.76±4.67 (47),74.89±9.73 (56),64.91±7.22 (5),68.45±6.78 (37),69.01±7.36 (22),69.04±6.5 (10),70.17±4.41 (38),68.45±4.94 (46),72.55±6.5 (34),67.24±1.47 (27),70.2±6.52 (10),67.26±5.57 (61),72.54±7.54 (65),67.28±4.55 (19),67.23±3.46 (71),71.31±7.15 (61),67.83±11.77 (74),68.4±4.95 (60),70.77±7.7 (77)
colon,88.59±7.26 (2),88.59±7.26 (2),93.33±6.97 (5),88.59±7.26 (2),91.67±11.79 (10),91.67±10.21 (15),90.0±13.69 (13),90.13±9.16 (30),90.0±13.69 (13),91.67±10.21 (33),90.0±10.87 (31),90.0±10.87 (34),90.0±13.69 (50),91.67±8.33 (18),88.46±9.56 (19),90.13±7.02 (20),90.13±10.89 (12),90.13±10.89 (11),90.13±9.16 (58),91.92±8.03 (3),87.05±7.44 (2),90.13±7.02 (8),90.0±10.87 (15),91.79±5.9 (9),90.0±10.87 (18),91.67±10.21 (23),93.46±6.94 (6),93.46±6.94 (7),93.46±6.94 (7),95.0±7.45 (9),91.79±10.21 (6),91.67±11.79 (10),91.79±10.21 (9),88.59±9.62 (17),91.79±10.21 (7),90.13±10.89 (12),91.67±11.79 (11)
leukemia,98.67±2.98 (13),98.67±2.98 (13),100.0±0.0 (76),95.9±6.02 (2),98.67±2.98 (4),98.67±2.98 (4),100.0±0.0 (5),100.0±0.0 (15),100.0±0.0 (16),98.67±2.98 (6),100.0±0.0 (8),100.0±0.0 (10),100.0±0.0 (22),100.0±0.0 (14),100.0±0.0 (35),100.0±0.0 (16),100.0±0.0 (12),100.0±0.0 (21),100.0±0.0 (16),100.0±0.0 (30),95.9±6.02 (2),98.67±2.98 (3),98.67±2.98 (4),98.57±3.19 (19),98.67±2.98 (3),100.0±0.0 (26),98.67±2.98 (3),100.0±0.0 (26),100.0±0.0 (35),100.0±0.0 (24),100.0±0.0 (24),100.0±0.0 (16),100.0±0.0 (31),100.0±0.0 (30),100.0±0.0 (35),100.0±0.0 (16),100.0±0.0 (28)
