dataset_name,KBest,mRMR_FCD,mRMR_FCQ,KGroups (P=0.1),KGroups (P=0.1S),KGroups (P=0.3),KGroups (P=0.3S),KGroups (P=0.5),KGroups (P=0.5S),KGroups (P=0.7),KGroups (P=0.7S),KGroups (P=1.0),KGroups (P=1.3),KGroups (P=1.3S),KGroups (P=1.5),KGroups (P=1.5S),KGroups (P=1.7),KGroups (P=1.7S),KGroups (P=2.0),KGroups (P=2.0S),KGroups++ (P=0.1),KGroups++ (P=0.1S),KGroups++ (P=0.3),KGroups++ (P=0.3S),KGroups++ (P=0.5),KGroups++ (P=0.5S),KGroups++ (P=0.7),KGroups++ (P=0.7S),KGroups++ (P=1.0),KGroups++ (P=1.3),KGroups++ (P=1.3S),KGroups++ (P=1.5),KGroups++ (P=1.5S),KGroups++ (P=1.7),KGroups++ (P=1.7S),KGroups++ (P=2.0),KGroups++ (P=2.0S)
ALLAML,97.24,97.24,97.24,94.38,97.24,98.57,97.24,98.57,97.24,97.24,97.24,98.57,98.57,97.33,98.57,98.57,98.57,98.57,98.57,98.57,97.14,98.57,98.57,98.57,98.57,98.57,98.57,98.57,98.57,98.57,98.57,98.67,98.57,98.57,98.57,100.0,98.57
CLL_SUB_111,58.620000000000005,58.620000000000005,70.19999999999999,58.620000000000005,58.620000000000005,55.97,56.84,58.620000000000005,60.4,61.3,61.34,63.91,67.58999999999999,63.0,63.95,62.09,64.78,60.4,67.47,62.92,53.080000000000005,67.51,67.51,73.87,69.33,73.87,73.87,73.87,73.87,74.7,75.64999999999999,73.87,75.64999999999999,73.87,73.87,73.87,72.02
Carcinom,59.16,59.16,68.37,28.17,28.17,28.17,28.71,28.17,28.71,28.71,33.31,36.74,44.81,44.79,50.54,44.81,48.24,53.41,55.13,53.43,24.74,24.74,24.74,27.56,24.74,27.58,27.58,33.87,34.47,46.52,44.22,51.76,48.809999999999995,53.43,51.76,52.87,53.43
GLIOMA,70.0,70.0,84.0,52.0,78.0,74.0,76.0,76.0,78.0,76.0,78.0,78.0,74.0,74.0,74.0,80.0,74.0,78.0,78.0,78.0,62.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,80.0,80.0,80.0,80.0
GLI_85,94.12,94.12,96.47,94.12,95.29,95.29,94.12,94.12,95.29,95.29,95.29,94.12,95.29,95.29,94.12,94.12,94.12,94.12,94.12,94.12,94.12,95.29,94.12,95.29,95.29,95.29,95.29,95.29,95.29,95.29,94.12,94.12,94.12,94.12,94.12,94.12,94.12
Prostate_GE,94.1,94.1,96.05,93.14,95.1,95.1,95.1,96.05,95.1,95.05,95.1,95.05,94.1,95.1,95.1,95.1,96.05,94.1,95.1,94.1,93.14,94.1,95.1,94.1,96.05,95.05,94.1,94.1,94.1,95.05,95.14,95.05,95.05,94.1,95.05,94.1,94.1
SMK_CAN_187,75.39,75.39,80.74,75.92999999999999,73.77,73.8,73.24000000000001,73.77,72.72999999999999,72.72999999999999,72.72,72.72999999999999,72.2,72.18,72.72999999999999,72.23,73.27,72.18,70.57,72.75,77.51,76.42999999999999,76.44,74.83999999999999,74.32,75.39,75.92,74.85000000000001,74.86,75.39,74.31,72.72,72.72999999999999,73.26,74.32,71.65,73.24000000000001
TOX_171,64.94,64.94,73.68,64.92,66.69,64.92,68.47,67.28,67.29,66.75999999999999,65.53,66.10000000000001,70.78999999999999,67.82000000000001,67.25999999999999,67.86999999999999,66.10000000000001,66.69,64.34,66.14999999999999,62.57,64.35,61.98,60.27,61.41,62.05,63.16,64.37,62.59,64.32,64.96,64.37,65.5,64.94,63.73,66.08000000000001,66.10000000000001
colon,90.13,90.13,90.13,88.59,90.13,90.13,91.67,90.13,91.67,91.79,90.13,90.13,90.13,90.26,90.13,90.13,91.79,90.13,90.13,90.13,88.59,90.13,90.13,90.13,90.13,90.13,90.13,90.13,90.26,90.13,90.13,91.79,90.38,88.59,88.59,88.59,90.13
leukemia,98.67,98.67,95.81,93.14,98.67,98.67,98.67,98.67,98.67,98.67,98.67,98.67,98.67,98.67,98.67,98.67,98.67,98.67,98.67,98.67,93.24,96.0,95.81,95.9,96.0,97.24,96.0,95.9,97.24,97.24,97.24,97.24,97.24,97.33,97.24,97.24,97.33
lung,82.26,82.26,91.63,82.26,66.55,66.60000000000001,72.99,71.5,80.32000000000001,73.87,85.71,80.78999999999999,81.3,80.33,82.74000000000001,81.28,85.21,89.64999999999999,79.80000000000001,78.85,84.21,85.67,85.67,86.15,85.67,86.15,86.15,85.67,85.74000000000001,88.63,88.63,92.09,89.63,90.11,92.09,89.63,94.57
lung_discrete,76.75999999999999,76.75999999999999,78.0,67.14,75.42999999999999,74.0,73.9,74.19,76.86,75.42999999999999,76.75999999999999,75.33,75.33,74.0,71.43,75.62,75.42999999999999,72.76,72.76,74.1,52.1,75.33,71.33,79.52,75.42999999999999,76.75999999999999,76.75999999999999,78.0,78.10000000000001,77.9,79.43,80.67,80.76,79.43,79.33,78.19,79.33
lymphoma,68.95,68.95,73.26,74.16,77.21000000000001,73.16,77.11,78.25999999999999,77.11,78.25999999999999,76.11,75.21,74.05000000000001,76.16000000000001,77.16,77.05,78.21000000000001,76.11,78.16,74.05000000000001,71.05,76.16000000000001,75.11,77.21000000000001,76.11,78.25999999999999,77.25999999999999,78.32000000000001,79.25999999999999,76.16000000000001,77.16,76.16000000000001,75.16000000000001,74.05000000000001,76.16000000000001,73.11,76.16000000000001
nci9,63.33,63.33,63.33,21.67,21.67,21.67,21.67,21.67,21.67,21.67,21.67,21.67,21.67,21.67,21.67,21.67,21.67,21.67,21.67,21.67,26.67,26.67,26.67,26.67,26.67,26.67,26.67,26.67,26.67,26.67,26.67,26.67,26.67,26.67,26.67,26.67,26.67
