dataset_name,KBest,mRMR_FCD,mRMR_FCQ,KGroups (P=0.1),KGroups (P=0.1S),KGroups (P=0.3),KGroups (P=0.3S),KGroups (P=0.5),KGroups (P=0.5S),KGroups (P=0.7),KGroups (P=0.7S),KGroups (P=1.0),KGroups (P=1.3),KGroups (P=1.3S),KGroups (P=1.5),KGroups (P=1.5S),KGroups (P=1.7),KGroups (P=1.7S),KGroups (P=2.0),KGroups (P=2.0S),KGroups++ (P=0.1),KGroups++ (P=0.1S),KGroups++ (P=0.3),KGroups++ (P=0.3S),KGroups++ (P=0.5),KGroups++ (P=0.5S),KGroups++ (P=0.7),KGroups++ (P=0.7S),KGroups++ (P=1.0),KGroups++ (P=1.3),KGroups++ (P=1.3S),KGroups++ (P=1.5),KGroups++ (P=1.5S),KGroups++ (P=1.7),KGroups++ (P=1.7S),KGroups++ (P=2.0),KGroups++ (P=2.0S)
ALLAML,97.24±3.79 (95),97.24±3.79 (95),97.24±3.79 (88),94.38±9.3 (4),97.24±3.79 (15),98.57±3.19 (5),97.24±3.79 (14),98.57±3.19 (23),97.24±3.79 (11),97.24±3.79 (30),97.24±3.79 (40),98.57±3.19 (38),98.57±3.19 (12),97.33±5.96 (55),98.57±3.19 (19),98.57±3.19 (23),98.57±3.19 (47),98.57±3.19 (12),98.57±3.19 (16),98.57±3.19 (16),97.14±6.39 (3),98.57±3.19 (4),98.57±3.19 (4),98.57±3.19 (4),98.57±3.19 (4),98.57±3.19 (2),98.57±3.19 (4),98.57±3.19 (2),98.57±3.19 (2),98.57±3.19 (2),98.57±3.19 (2),98.67±2.98 (4),98.57±3.19 (2),98.57±3.19 (8),98.57±3.19 (7),100.0±0.0 (5),98.57±3.19 (4)
CLL_SUB_111,58.62±8.88 (2),58.62±8.88 (2),70.2±9.62 (95),58.62±8.88 (2),58.62±9.44 (3),55.97±11.0 (2),56.84±10.88 (2),58.62±9.44 (3),60.4±10.14 (2),61.3±9.13 (37),61.34±11.83 (4),63.91±9.28 (14),67.59±10.74 (11),63.0±8.98 (33),63.95±5.61 (15),62.09±12.05 (27),64.78±5.47 (62),60.4±7.15 (5),67.47±9.03 (63),62.92±12.9 (61),53.08±5.76 (2),67.51±8.94 (5),67.51±6.22 (5),73.87±9.3 (3),69.33±4.11 (8),73.87±9.3 (3),73.87±9.3 (3),73.87±9.3 (3),73.87±9.3 (3),74.7±5.46 (15),75.65±9.48 (6),73.87±9.3 (3),75.65±6.97 (9),73.87±9.3 (3),73.87±9.3 (3),73.87±11.75 (12),72.02±4.17 (10)
Carcinom,59.16±10.17 (97),59.16±10.17 (97),68.37±3.73 (100),28.17±1.42 (2),28.17±1.42 (2),28.17±1.42 (2),28.71±4.31 (4),28.17±1.42 (2),28.71±4.31 (4),28.71±4.31 (4),33.31±2.97 (7),36.74±5.93 (9),44.81±4.95 (10),44.79±7.47 (9),50.54±10.21 (16),44.81±5.72 (15),48.24±11.12 (19),53.41±5.52 (14),55.13±5.71 (20),53.43±6.67 (17),24.74±4.97 (2),24.74±4.97 (2),24.74±4.97 (2),27.56±4.16 (5),24.74±4.97 (2),27.58±2.45 (6),27.58±2.45 (6),33.87±7.74 (8),34.47±4.39 (7),46.52±10.8 (12),44.22±8.75 (12),51.76±11.66 (15),48.81±9.44 (14),53.43±11.76 (12),51.76±11.66 (15),52.87±11.16 (23),53.43±11.76 (12)
GLIOMA,70.0±7.07 (38),70.0±7.07 (38),84.0±5.48 (34),52.0±8.37 (3),78.0±14.83 (10),74.0±16.73 (11),76.0±5.48 (7),76.0±8.94 (12),78.0±13.04 (21),76.0±11.4 (25),78.0±4.47 (39),78.0±10.95 (42),74.0±5.48 (23),74.0±5.48 (50),74.0±11.4 (39),80.0±10.0 (41),74.0±5.48 (23),78.0±8.37 (15),78.0±8.37 (52),78.0±13.04 (31),62.0±10.95 (2),82.0±10.95 (3),82.0±10.95 (3),82.0±10.95 (3),82.0±10.95 (3),82.0±10.95 (3),82.0±10.95 (3),82.0±10.95 (3),82.0±10.95 (3),82.0±10.95 (3),82.0±10.95 (3),82.0±10.95 (3),82.0±10.95 (3),80.0±7.07 (2),80.0±7.07 (2),80.0±7.07 (2),80.0±7.07 (2)
GLI_85,94.12±4.16 (45),94.12±4.16 (45),96.47±3.22 (8),94.12±4.16 (7),95.29±2.63 (16),95.29±4.92 (8),94.12±4.16 (29),94.12±4.16 (38),95.29±2.63 (48),95.29±2.63 (36),95.29±2.63 (21),94.12±4.16 (34),95.29±2.63 (59),95.29±4.92 (56),94.12±0.0 (41),94.12±4.16 (9),94.12±4.16 (22),94.12±4.16 (58),94.12±4.16 (28),94.12±4.16 (41),94.12±4.16 (9),95.29±2.63 (18),94.12±0.0 (13),95.29±2.63 (10),95.29±2.63 (18),95.29±2.63 (46),95.29±2.63 (10),95.29±2.63 (7),95.29±2.63 (35),95.29±2.63 (36),94.12±4.16 (13),94.12±0.0 (24),94.12±4.16 (29),94.12±0.0 (22),94.12±0.0 (34),94.12±0.0 (28),94.12±4.16 (24)
Prostate_GE,94.1±6.45 (12),94.1±6.45 (12),96.05±6.51 (46),93.14±7.4 (2),95.1±6.99 (6),95.1±6.99 (9),95.1±6.99 (11),96.05±6.51 (3),95.1±6.99 (4),95.05±6.12 (17),95.1±6.99 (8),95.05±6.12 (4),94.1±6.45 (11),95.1±6.99 (6),95.1±6.99 (7),95.1±6.99 (7),96.05±6.51 (8),94.1±8.89 (19),95.1±6.99 (6),94.1±6.45 (11),93.14±7.4 (2),94.1±6.45 (4),95.1±6.99 (4),94.1±6.45 (4),96.05±6.51 (3),95.05±8.66 (7),94.1±6.45 (4),94.1±6.45 (22),94.1±6.45 (7),95.05±6.12 (7),95.14±4.88 (7),95.05±6.12 (9),95.05±6.12 (7),94.1±6.45 (8),95.05±6.12 (9),94.1±6.45 (13),94.1±6.45 (8)
SMK_CAN_187,75.39±13.05 (12),75.39±13.05 (12),80.74±16.1 (48),75.93±14.74 (13),73.77±16.93 (43),73.8±16.55 (40),73.24±14.85 (43),73.77±15.44 (30),72.73±18.48 (61),72.73±16.83 (45),72.72±13.91 (53),72.73±13.79 (70),72.2±14.77 (18),72.18±14.21 (82),72.73±20.64 (41),72.23±19.53 (19),73.27±18.93 (91),72.18±17.79 (71),70.57±10.77 (2),72.75±17.27 (87),77.51±10.45 (18),76.43±15.88 (21),76.44±12.8 (13),74.84±16.67 (22),74.32±13.58 (11),75.39±16.13 (30),75.92±15.21 (19),74.85±18.09 (39),74.86±17.18 (43),75.39±17.22 (47),74.31±16.51 (54),72.72±18.94 (34),72.73±16.11 (11),73.26±18.3 (13),74.32±17.4 (58),71.65±19.67 (10),73.24±16.48 (34)
TOX_171,64.94±10.03 (4),64.94±10.03 (4),73.68±6.25 (39),64.92±2.7 (6),66.69±6.92 (22),64.92±10.54 (19),68.47±5.95 (23),67.28±10.14 (21),67.29±10.67 (30),66.76±11.39 (32),65.53±7.38 (34),66.1±9.56 (26),70.79±5.25 (45),67.82±7.59 (19),67.26±8.62 (14),67.87±6.68 (56),66.1±4.23 (64),66.69±5.12 (66),64.34±9.79 (28),66.15±7.97 (17),62.57±4.35 (5),64.35±4.98 (14),61.98±5.12 (6),60.27±7.08 (16),61.41±6.29 (13),62.05±10.22 (36),63.16±7.92 (34),64.37±8.89 (12),62.59±6.23 (60),64.32±3.9 (44),64.96±7.72 (39),64.37±5.98 (58),65.5±2.44 (53),64.94±9.36 (66),63.73±2.78 (40),66.08±5.31 (73),66.1±4.71 (38)
colon,90.13±13.72 (26),90.13±13.72 (35),90.13±7.02 (4),88.59±7.26 (2),90.13±13.72 (14),90.13±13.72 (17),91.67±14.43 (9),90.13±13.72 (15),91.67±14.43 (13),91.79±10.21 (12),90.13±13.72 (16),90.13±13.72 (16),90.13±13.72 (21),90.26±9.19 (38),90.13±13.72 (26),90.13±13.72 (24),91.79±10.21 (31),90.13±13.72 (26),90.13±10.89 (13),90.13±13.72 (28),88.59±7.26 (4),90.13±13.72 (14),90.13±13.72 (13),90.13±13.72 (15),90.13±13.72 (13),90.13±9.16 (7),90.13±9.16 (8),90.13±13.72 (26),90.26±9.19 (35),90.13±9.16 (11),90.13±13.72 (29),91.79±10.21 (28),90.38±6.72 (9),88.59±12.73 (26),88.59±12.73 (19),88.59±12.73 (9),90.13±13.72 (45)
leukemia,98.67±2.98 (5),98.67±2.98 (5),95.81±6.34 (6),93.14±4.72 (2),98.67±2.98 (4),98.67±2.98 (4),98.67±2.98 (13),98.67±2.98 (6),98.67±2.98 (3),98.67±2.98 (6),98.67±2.98 (9),98.67±2.98 (10),98.67±2.98 (22),98.67±2.98 (8),98.67±2.98 (12),98.67±2.98 (9),98.67±2.98 (19),98.67±2.98 (17),98.67±2.98 (27),98.67±2.98 (31),93.24±6.67 (2),96.0±5.96 (3),95.81±6.34 (6),95.9±6.02 (4),96.0±5.96 (3),97.24±3.79 (25),96.0±5.96 (3),95.9±6.02 (4),97.24±3.79 (38),97.24±3.79 (20),97.24±3.79 (23),97.24±3.79 (47),97.24±3.79 (19),97.33±5.96 (5),97.24±3.79 (25),97.24±3.79 (27),97.33±5.96 (5)
