dataset_name,KBest,mRMR_FCD,mRMR_FCQ,KGroups (P=0.1),KGroups (P=0.1S),KGroups (P=0.3),KGroups (P=0.3S),KGroups (P=0.5),KGroups (P=0.5S),KGroups (P=0.7),KGroups (P=0.7S),KGroups (P=1.0),KGroups (P=1.3),KGroups (P=1.3S),KGroups (P=1.5),KGroups (P=1.5S),KGroups (P=1.7),KGroups (P=1.7S),KGroups (P=2.0),KGroups (P=2.0S),KGroups++ (P=0.1),KGroups++ (P=0.1S),KGroups++ (P=0.3),KGroups++ (P=0.3S),KGroups++ (P=0.5),KGroups++ (P=0.5S),KGroups++ (P=0.7),KGroups++ (P=0.7S),KGroups++ (P=1.0),KGroups++ (P=1.3),KGroups++ (P=1.3S),KGroups++ (P=1.5),KGroups++ (P=1.5S),KGroups++ (P=1.7),KGroups++ (P=1.7S),KGroups++ (P=2.0),KGroups++ (P=2.0S)
ALLAML,98.57±3.19 (73),98.57±3.19 (73),98.57±3.19 (30),93.14±4.72 (4),98.57±3.19 (20),98.57±3.19 (10),98.57±3.19 (17),98.57±3.19 (15),98.57±3.19 (18),98.57±3.19 (12),98.57±3.19 (8),98.57±3.19 (8),98.57±3.19 (22),98.57±3.19 (9),98.57±3.19 (22),98.57±3.19 (19),98.57±3.19 (37),98.57±3.19 (6),98.57±3.19 (20),98.57±3.19 (30),95.81±6.34 (3),98.57±3.19 (12),98.57±3.19 (11),97.24±3.79 (2),98.57±3.19 (12),98.57±3.19 (2),98.57±3.19 (15),98.57±3.19 (2),98.57±3.19 (2),98.57±3.19 (2),98.57±3.19 (2),100.0±0.0 (4),98.57±3.19 (2),97.24±3.79 (6),98.57±3.19 (9),98.57±3.19 (75),98.57±3.19 (2)
CLL_SUB_111,68.46±5.6 (2),68.46±5.6 (2),83.79±2.37 (87),68.46±5.6 (2),64.94±8.21 (24),63.87±8.83 (9),66.6±9.09 (35),65.81±15.78 (25),67.51±12.34 (38),65.77±5.09 (28),73.95±8.31 (23),71.07±11.6 (14),70.2±8.48 (21),66.68±2.13 (33),66.68±5.96 (32),68.42±4.86 (59),66.68±9.88 (2),70.16±12.05 (38),67.67±9.24 (26),66.68±5.96 (28),65.73±4.34 (2),74.86±10.07 (14),76.56±6.79 (7),75.69±3.9 (7),75.65±7.68 (10),78.3±10.48 (12),77.51±8.96 (15),78.38±8.12 (11),79.29±7.56 (15),78.34±9.93 (15),79.25±11.9 (12),80.16±7.66 (13),76.56±5.98 (15),76.6±8.64 (10),78.3±13.88 (12),74.86±7.75 (35),76.56±3.89 (10)
Carcinom,89.63±4.43 (85),89.63±4.43 (85),94.79±3.87 (61),25.88±3.69 (2),25.88±3.69 (2),25.88±3.69 (2),29.29±5.39 (4),25.88±3.69 (2),35.08±7.5 (7),29.29±5.39 (4),49.43±4.24 (8),58.61±7.27 (10),71.29±5.17 (13),68.92±7.37 (13),70.71±7.85 (16),69.53±7.76 (15),71.31±6.19 (14),70.62±10.31 (17),72.92±8.58 (16),78.15±4.83 (19),27.61±2.92 (2),28.71±5.17 (3),27.61±2.92 (2),35.63±6.55 (5),28.71±5.17 (3),38.57±9.15 (7),37.95±6.32 (6),55.75±3.2 (8),56.92±4.19 (7),76.47±11.25 (14),63.18±5.87 (12),77.04±11.55 (13),77.04±11.55 (13),77.63±11.25 (12),77.04±11.55 (13),78.13±4.04 (25),80.47±5.06 (18)
GLIOMA,88.0±8.37 (80),88.0±8.37 (80),88.0±10.95 (85),60.0±17.32 (3),86.0±11.4 (19),78.0±13.04 (9),86.0±5.48 (7),88.0±8.37 (8),86.0±5.48 (23),86.0±8.94 (17),86.0±5.48 (35),86.0±11.4 (38),80.0±7.07 (15),84.0±8.94 (33),80.0±7.07 (37),82.0±16.43 (48),82.0±8.37 (42),82.0±10.95 (27),80.0±7.07 (53),82.0±4.47 (11),72.0±13.04 (2),86.0±11.4 (4),88.0±8.37 (8),86.0±11.4 (4),86.0±11.4 (4),86.0±11.4 (4),86.0±11.4 (4),86.0±11.4 (4),86.0±11.4 (5),86.0±11.4 (6),86.0±11.4 (5),88.0±8.37 (9),86.0±11.4 (6),88.0±13.04 (8),88.0±8.37 (9),88.0±8.37 (9),88.0±8.37 (10)
GLI_85,92.94±4.92 (6),92.94±4.92 (6),95.29±6.44 (11),95.29±4.92 (9),94.12±5.88 (9),95.29±2.63 (8),95.29±4.92 (34),94.12±7.2 (8),96.47±3.22 (66),94.12±5.88 (13),95.29±2.63 (21),95.29±4.92 (31),94.12±5.88 (24),95.29±4.92 (52),95.29±6.44 (18),94.12±4.16 (21),94.12±5.88 (17),96.47±3.22 (20),96.47±5.26 (21),94.12±4.16 (23),94.12±5.88 (7),95.29±4.92 (4),96.47±3.22 (7),95.29±4.92 (38),96.47±3.22 (28),97.65±3.22 (32),95.29±4.92 (34),96.47±3.22 (31),96.47±3.22 (33),96.47±5.26 (20),97.65±3.22 (38),97.65±3.22 (43),96.47±5.26 (18),96.47±3.22 (39),97.65±3.22 (46),97.65±3.22 (47),96.47±5.26 (38)
Prostate_GE,95.05±8.66 (9),95.05±8.66 (9),95.05±8.66 (10),94.05±8.22 (5),96.05±6.51 (19),94.1±8.89 (8),95.1±6.99 (14),95.05±8.66 (10),96.05±6.51 (11),95.05±8.66 (12),94.1±6.45 (14),95.05±8.66 (12),95.05±8.66 (9),95.05±6.12 (23),96.05±6.51 (9),95.1±6.99 (6),95.1±6.99 (9),94.1±8.89 (22),95.1±6.99 (8),94.1±6.45 (9),94.05±8.22 (5),95.05±8.66 (18),94.1±8.23 (6),95.1±6.13 (8),95.05±8.66 (20),95.05±8.66 (18),95.05±8.66 (24),95.05±6.12 (29),95.05±6.12 (27),95.1±6.99 (37),95.1±6.99 (36),96.05±6.51 (36),95.1±6.99 (35),96.05±6.51 (31),96.05±6.51 (35),95.1±4.88 (71),95.1±6.13 (8)
SMK_CAN_187,75.36±7.27 (15),75.36±7.27 (15),79.66±6.72 (16),74.3±6.05 (14),74.32±10.49 (29),73.77±12.08 (34),71.15±10.44 (54),73.84±9.71 (49),71.65±10.99 (54),72.13±16.28 (49),71.65±7.66 (37),72.72±13.74 (43),70.54±9.68 (5),70.58±9.53 (8),72.15±9.52 (11),73.23±12.91 (18),70.0±14.06 (80),71.1±12.96 (19),71.1±11.79 (16),69.5±18.26 (29),74.84±6.54 (17),74.88±11.38 (66),73.23±10.68 (48),74.27±10.26 (22),73.26±7.69 (45),74.31±13.25 (5),74.91±10.09 (50),74.31±13.25 (5),76.97±7.74 (21),73.3±11.24 (24),73.29±9.96 (55),73.8±13.03 (32),75.43±12.75 (56),76.98±12.39 (33),73.87±12.91 (15),76.5±11.62 (63),74.37±11.93 (50)
TOX_171,62.57±2.44 (14),62.57±2.44 (14),74.97±12.53 (37),62.59±11.2 (6),68.42±1.28 (34),67.83±6.91 (24),68.39±13.46 (23),66.59±14.03 (25),70.2±8.78 (8),65.53±8.47 (48),68.97±4.67 (44),67.26±4.73 (59),66.76±10.18 (42),67.23±8.26 (64),67.28±8.52 (72),67.31±10.37 (47),68.44±7.51 (77),66.02±8.69 (64),63.73±4.55 (68),65.48±7.11 (58),62.03±8.75 (5),67.26±4.73 (17),64.39±6.15 (22),65.48±5.38 (38),64.89±6.36 (17),63.13±6.29 (33),64.39±6.82 (25),64.96±6.83 (20),61.36±5.15 (44),62.61±7.36 (31),63.16±4.88 (65),60.81±4.56 (19),61.45±5.96 (52),64.96±11.73 (79),63.73±6.51 (74),60.81±9.93 (34),62.54±9.07 (69)
colon,90.13±7.02 (3),90.13±7.02 (3),90.0±9.13 (5),90.13±7.02 (3),90.0±13.69 (25),90.0±13.69 (24),91.67±14.43 (38),90.0±13.69 (17),91.79±10.21 (5),91.67±14.43 (47),91.67±14.43 (52),91.79±10.21 (60),91.67±14.43 (43),91.67±14.43 (47),91.79±10.21 (39),93.33±10.87 (20),91.67±10.21 (39),91.79±5.9 (20),91.67±10.21 (40),91.79±8.34 (6),90.13±7.02 (4),90.13±9.16 (23),90.0±10.87 (23),91.67±10.21 (25),91.67±10.21 (31),91.67±10.21 (26),91.67±10.21 (35),91.79±5.9 (7),91.79±5.9 (7),93.33±6.97 (24),91.67±10.21 (16),91.79±5.9 (28),91.67±10.21 (17),91.67±10.21 (28),91.67±10.21 (14),90.13±9.16 (21),91.67±10.21 (22)
leukemia,98.67±2.98 (7),98.67±2.98 (7),100.0±0.0 (47),95.9±6.02 (2),100.0±0.0 (11),98.67±2.98 (5),100.0±0.0 (15),100.0±0.0 (10),100.0±0.0 (16),100.0±0.0 (16),100.0±0.0 (14),100.0±0.0 (10),100.0±0.0 (22),100.0±0.0 (14),100.0±0.0 (35),100.0±0.0 (16),100.0±0.0 (10),100.0±0.0 (10),100.0±0.0 (9),100.0±0.0 (25),95.9±6.02 (2),98.67±2.98 (14),97.24±3.79 (6),100.0±0.0 (20),98.67±2.98 (14),100.0±0.0 (27),100.0±0.0 (25),100.0±0.0 (22),100.0±0.0 (22),100.0±0.0 (21),100.0±0.0 (22),100.0±0.0 (26),100.0±0.0 (19),100.0±0.0 (31),100.0±0.0 (22),100.0±0.0 (16),100.0±0.0 (19)
lung,94.57±3.25 (97),95.07±2.47 (94),97.02±2.74 (50),80.28±3.16 (5),92.1±3.28 (25),91.13±2.78 (17),95.57±2.03 (27),93.57±2.3 (27),96.52±2.86 (43),96.54±2.84 (36),96.05±3.31 (32),95.07±1.73 (34),96.05±2.24 (61),95.06±4.62 (28),96.54±2.26 (40),95.56±2.71 (63),96.06±1.34 (50),95.55±2.11 (60),94.1±3.28 (71),95.56±3.21 (56),86.2±4.2 (5),95.56±2.68 (20),93.1±1.14 (16),96.52±3.34 (29),95.07±1.73 (21),97.52±2.47 (29),97.02±3.24 (28),97.04±2.07 (42),97.52±2.47 (26),97.04±2.07 (34),97.04±2.07 (42),97.04±2.07 (60),97.04±2.07 (45),96.54±2.84 (46),97.52±2.47 (60),97.04±2.07 (69),97.04±2.07 (70)
lung_discrete,91.9±5.55 (77),91.9±5.55 (82),93.14±4.72 (71),70.0±7.03 (7),91.62±6.04 (34),89.05±8.05 (25),87.71±7.71 (43),91.81±7.49 (37),90.38±6.08 (40),89.05±6.0 (37),87.71±12.81 (50),87.71±2.9 (51),84.95±11.06 (54),85.05±5.36 (62),86.29±5.08 (34),87.71±9.04 (29),84.86±9.26 (49),86.29±4.74 (61),83.71±5.68 (66),84.95±5.78 (52),64.67±14.62 (7),93.05±5.06 (39),87.52±7.75 (24),90.29±4.17 (48),90.29±6.55 (35),89.05±6.0 (53),90.38±3.85 (53),88.95±6.19 (33),87.62±3.23 (43),90.29±4.17 (48),88.95±4.02 (64),87.62±6.0 (48),90.29±4.17 (55),90.29±6.3 (47),87.71±2.9 (32),87.71±5.54 (23),88.95±6.45 (65)
lymphoma,85.42±6.84 (92),85.42±6.84 (79),94.74±3.72 (92),79.21±4.96 (11),87.42±7.13 (27),86.47±5.94 (36),89.53±3.82 (50),89.53±5.33 (33),89.58±3.73 (54),88.53±5.79 (47),90.53±10.12 (63),88.47±5.84 (66),89.58±6.45 (52),89.58±3.73 (58),89.53±5.33 (48),89.58±3.73 (68),86.42±4.8 (84),87.42±6.08 (75),86.47±2.76 (77),86.42±7.12 (77),78.16±4.12 (12),90.53±8.65 (37),85.37±10.84 (36),91.63±7.09 (64),90.58±6.9 (54),91.63±7.09 (69),92.63±6.0 (67),92.68±4.74 (74),91.58±7.06 (53),89.53±5.33 (77),89.53±3.82 (78),88.53±4.44 (74),90.58±5.81 (68),87.58±6.76 (38),88.47±6.92 (80),85.37±8.72 (63),88.47±8.7 (85)
nci9,73.33±6.97 (100),70.0±12.64 (99),78.33±7.45 (54),23.33±3.73 (2),23.33±3.73 (2),23.33±3.73 (2),23.33±3.73 (2),23.33±3.73 (2),23.33±3.73 (2),23.33±3.73 (2),23.33±3.73 (2),23.33±3.73 (2),23.33±3.73 (2),23.33±3.73 (2),23.33±3.73 (2),23.33±3.73 (2),23.33±3.73 (2),23.33±3.73 (2),23.33±3.73 (2),23.33±3.73 (2),26.67±6.97 (2),26.67±6.97 (2),26.67±6.97 (2),26.67±6.97 (2),26.67±6.97 (2),26.67±6.97 (2),26.67±6.97 (2),26.67±6.97 (2),26.67±6.97 (2),26.67±6.97 (2),26.67±6.97 (2),26.67±6.97 (2),26.67±6.97 (2),26.67±6.97 (2),26.67±6.97 (2),26.67±6.97 (2),26.67±6.97 (2)
