dataset_name,KBest,mRMR_RFCQ,KGroups (P=0.1),KGroups (P=0.1S),KGroups (P=0.3),KGroups (P=0.3S),KGroups (P=0.5),KGroups (P=0.5S),KGroups (P=0.7),KGroups (P=0.7S),KGroups (P=1.0),KGroups (P=1.3),KGroups (P=1.3S),KGroups (P=1.5),KGroups (P=1.5S),KGroups (P=1.7),KGroups (P=1.7S),KGroups (P=2.0),KGroups (P=2.0S),KGroups++ (P=0.1),KGroups++ (P=0.1S),KGroups++ (P=0.3),KGroups++ (P=0.3S),KGroups++ (P=0.5),KGroups++ (P=0.5S),KGroups++ (P=0.7),KGroups++ (P=0.7S),KGroups++ (P=1.0),KGroups++ (P=1.3),KGroups++ (P=1.3S),KGroups++ (P=1.5),KGroups++ (P=1.5S),KGroups++ (P=1.7),KGroups++ (P=1.7S),KGroups++ (P=2.0),KGroups++ (P=2.0S)
ALLAML,98.57±3.19 (14),98.57±3.19 (87),97.14±3.91 (2),98.67±2.98 (18),98.57±3.19 (3),100.0±0.0 (9),98.57±3.19 (16),100.0±0.0 (16),100.0±0.0 (25),100.0±0.0 (20),98.67±2.98 (38),100.0±0.0 (29),98.57±3.19 (22),98.67±2.98 (30),100.0±0.0 (25),100.0±0.0 (29),98.57±3.19 (16),100.0±0.0 (26),98.67±2.98 (16),100.0±0.0 (3),100.0±0.0 (3),100.0±0.0 (3),100.0±0.0 (3),100.0±0.0 (3),100.0±0.0 (3),100.0±0.0 (3),100.0±0.0 (3),100.0±0.0 (3),100.0±0.0 (6),100.0±0.0 (6),100.0±0.0 (43),100.0±0.0 (48),100.0±0.0 (7),100.0±0.0 (42),100.0±0.0 (6),100.0±0.0 (38)
CLL_SUB_111,82.02±5.38 (63),83.79±9.39 (53),79.25±8.93 (8),83.83±5.85 (23),82.92±4.72 (17),86.52±7.07 (41),85.57±3.85 (30),85.53±8.81 (45),86.44±6.5 (27),83.83±3.69 (39),83.79±7.57 (58),87.39±8.73 (65),82.85±6.02 (40),80.2±5.07 (31),83.79±6.85 (65),84.62±5.31 (38),83.75±6.17 (22),83.79±5.13 (23),84.7±10.42 (54),80.99±9.96 (3),81.98±5.58 (25),82.81±9.94 (13),81.07±8.77 (23),83.79±7.57 (25),79.33±3.61 (18),83.75±4.17 (22),76.6±7.34 (42),78.38±4.95 (28),78.38±5.91 (17),79.29±7.56 (57),76.6±11.69 (65),78.38±7.45 (38),77.55±8.15 (52),78.38±4.95 (53),80.2±6.81 (50),77.51±5.35 (56)
Carcinom,94.24±2.92 (92),93.09±1.64 (99),70.15±6.41 (11),90.77±5.22 (47),86.77±3.3 (30),92.52±3.28 (59),91.36±4.57 (49),91.38±4.04 (52),90.76±6.67 (39),91.97±3.7 (60),93.09±3.29 (64),91.36±4.1 (54),92.5±2.69 (72),92.52±3.28 (62),92.52±3.28 (34),91.95±4.25 (63),91.92±4.84 (67),93.09±1.64 (52),93.68±3.12 (69),60.37±7.78 (12),90.18±4.55 (44),88.49±2.17 (33),91.95±1.31 (56),89.66±2.52 (49),93.09±3.86 (67),91.38±2.02 (60),91.95±4.25 (56),92.52±4.8 (59),93.65±3.84 (70),93.11±2.54 (74),93.11±3.24 (79),93.08±4.42 (73),93.09±1.64 (61),93.66±3.18 (76),93.66±2.45 (67),93.65±3.84 (75)
GLIOMA,94.0±8.94 (89),90.0±7.07 (88),80.0±10.0 (8),90.0±10.0 (35),88.0±13.04 (24),88.0±8.37 (27),92.0±8.37 (37),90.0±10.0 (38),92.0±8.37 (30),88.0±8.37 (43),92.0±8.37 (51),88.0±8.37 (13),90.0±7.07 (29),90.0±7.07 (39),90.0±7.07 (45),90.0±7.07 (36),90.0±7.07 (47),88.0±10.95 (52),90.0±12.25 (49),66.0±18.17 (7),92.0±8.37 (37),90.0±7.07 (25),92.0±13.04 (51),92.0±8.37 (40),90.0±10.0 (34),92.0±10.95 (41),92.0±8.37 (48),92.0±8.37 (26),90.0±7.07 (60),90.0±10.0 (40),88.0±10.95 (11),88.0±13.04 (36),90.0±10.0 (8),92.0±8.37 (40),90.0±7.07 (9),92.0±4.47 (63)
GLI_85,95.29±2.63 (8),96.47±3.22 (47),92.94±4.92 (5),95.29±2.63 (7),96.47±3.22 (12),96.47±3.22 (18),96.47±3.22 (13),95.29±2.63 (8),96.47±3.22 (19),95.29±4.92 (12),96.47±3.22 (5),95.29±4.92 (16),96.47±3.22 (27),96.47±3.22 (19),95.29±2.63 (13),96.47±3.22 (19),96.47±3.22 (15),96.47±3.22 (31),96.47±5.26 (7),91.76±6.71 (2),96.47±3.22 (15),95.29±2.63 (6),96.47±3.22 (15),96.47±3.22 (14),96.47±3.22 (18),96.47±3.22 (14),96.47±3.22 (19),97.65±3.22 (7),96.47±3.22 (23),96.47±3.22 (10),96.47±3.22 (10),96.47±3.22 (21),96.47±5.26 (22),96.47±3.22 (24),96.47±3.22 (33),96.47±3.22 (25)
Prostate_GE,94.14±6.46 (11),95.05±8.66 (53),92.24±7.39 (3),94.14±6.46 (15),95.05±6.12 (7),95.05±6.12 (12),95.1±6.99 (21),95.05±6.12 (34),95.1±6.99 (14),95.1±6.99 (14),95.05±6.12 (8),94.14±8.02 (41),96.05±6.51 (50),95.05±6.12 (57),95.1±6.99 (20),94.19±6.28 (28),96.05±6.51 (25),95.1±6.99 (38),96.05±6.51 (29),94.14±6.46 (4),96.05±6.51 (5),96.05±6.51 (6),95.1±6.99 (14),96.05±6.51 (14),96.05±6.51 (10),95.1±6.99 (9),95.1±6.13 (9),95.1±6.13 (10),95.1±6.99 (7),95.1±6.99 (7),96.05±6.51 (12),96.05±6.51 (54),96.05±6.51 (31),96.05±6.51 (12),95.1±6.99 (17),95.1±6.13 (26)
SMK_CAN_187,73.73±10.69 (15),76.49±12.01 (88),72.18±2.56 (4),75.9±7.4 (11),76.44±10.52 (16),75.96±9.97 (26),75.93±7.69 (22),74.82±7.34 (11),75.92±11.42 (31),76.39±10.37 (21),74.89±10.72 (55),75.39±9.79 (43),75.41±2.16 (4),76.5±8.75 (20),75.38±6.26 (4),74.81±11.75 (69),74.37±8.97 (34),73.74±8.27 (57),73.8±4.33 (5),72.72±4.42 (4),78.08±10.42 (37),75.9±7.88 (10),77.01±11.4 (49),76.98±10.74 (28),75.92±13.39 (29),75.96±14.04 (34),75.42±11.96 (34),75.38±13.18 (24),74.82±11.99 (17),73.34±12.92 (10),74.3±14.58 (71),75.41±10.42 (26),74.3±14.83 (23),74.28±12.45 (14),74.34±13.63 (23),75.33±13.83 (31)
TOX_171,74.79±7.53 (63),79.53±3.61 (65),59.71±11.07 (4),74.29±6.61 (32),70.17±2.54 (17),73.7±8.25 (31),73.14±8.7 (23),76.66±7.81 (40),76.61±2.96 (32),74.89±7.17 (48),73.71±5.27 (59),74.24±3.47 (51),74.27±1.27 (63),71.95±4.74 (44),71.36±7.8 (64),74.24±5.41 (56),75.51±8.04 (56),74.27±9.62 (68),77.19±4.35 (69),66.1±10.43 (6),71.34±1.27 (29),66.67±3.86 (20),71.34±4.82 (33),70.18±2.27 (30),68.42±4.35 (36),68.45±3.38 (33),67.85±7.41 (54),70.13±5.47 (56),69.6±7.34 (64),70.17±4.41 (58),66.64±4.18 (66),69.56±11.39 (67),70.17±7.64 (59),69.56±5.88 (65),68.99±8.0 (54),68.37±8.33 (67)
colon,90.0±10.87 (70),88.46±9.56 (12),78.72±15.39 (2),90.0±10.87 (13),90.13±7.02 (11),90.0±10.87 (21),90.0±10.87 (12),90.0±10.87 (12),90.0±10.87 (12),90.13±7.02 (13),90.13±7.02 (17),91.79±5.9 (34),91.67±8.33 (39),91.67±10.21 (54),91.67±10.21 (54),91.67±10.21 (22),90.26±10.68 (52),91.67±8.33 (26),91.79±10.21 (51),80.26±16.48 (2),90.0±10.87 (19),90.13±7.02 (14),90.13±10.89 (23),90.13±7.02 (11),90.13±10.89 (8),90.13±7.02 (13),90.13±10.89 (8),91.67±10.21 (25),90.26±6.68 (12),91.79±5.9 (11),91.79±10.21 (9),91.79±5.9 (13),91.79±10.21 (9),91.67±10.21 (54),91.79±10.21 (7),91.67±10.21 (55)
leukemia,98.67±2.98 (4),100.0±0.0 (21),98.67±2.98 (4),100.0±0.0 (16),100.0±0.0 (11),100.0±0.0 (12),100.0±0.0 (11),100.0±0.0 (10),100.0±0.0 (13),100.0±0.0 (13),100.0±0.0 (14),100.0±0.0 (17),100.0±0.0 (30),100.0±0.0 (27),100.0±0.0 (13),100.0±0.0 (28),100.0±0.0 (42),100.0±0.0 (11),100.0±0.0 (10),95.81±3.83 (4),98.67±2.98 (5),98.67±2.98 (5),100.0±0.0 (17),98.67±2.98 (5),100.0±0.0 (16),100.0±0.0 (14),100.0±0.0 (17),98.67±2.98 (5),98.67±2.98 (6),98.67±2.98 (6),98.67±2.98 (7),98.67±2.98 (7),100.0±0.0 (57),98.67±2.98 (7),100.0±0.0 (59),98.67±2.98 (8)
