dataset_name,KBest,mRMR_FCD,mRMR_FCQ,KGroups (P=0.1),KGroups (P=0.1S),KGroups (P=0.3),KGroups (P=0.3S),KGroups (P=0.5),KGroups (P=0.5S),KGroups (P=0.7),KGroups (P=0.7S),KGroups (P=1.0),KGroups (P=1.3),KGroups (P=1.3S),KGroups (P=1.5),KGroups (P=1.5S),KGroups (P=1.7),KGroups (P=1.7S),KGroups (P=2.0),KGroups (P=2.0S),KGroups++ (P=0.1),KGroups++ (P=0.1S),KGroups++ (P=0.3),KGroups++ (P=0.3S),KGroups++ (P=0.5),KGroups++ (P=0.5S),KGroups++ (P=0.7),KGroups++ (P=0.7S),KGroups++ (P=1.0),KGroups++ (P=1.3),KGroups++ (P=1.3S),KGroups++ (P=1.5),KGroups++ (P=1.5S),KGroups++ (P=1.7),KGroups++ (P=1.7S),KGroups++ (P=2.0),KGroups++ (P=2.0S)
ALLAML,98.57±3.19 (35),98.57±3.19 (34),98.57±3.19 (26),93.05±9.94 (2),98.57±3.19 (27),97.24±3.79 (11),98.57±3.19 (24),97.24±3.79 (14),98.57±3.19 (20),98.57±3.19 (22),98.57±3.19 (18),98.57±3.19 (41),98.57±3.19 (46),98.57±3.19 (42),98.57±3.19 (42),98.57±3.19 (38),98.57±3.19 (46),98.57±3.19 (34),98.57±3.19 (48),98.57±3.19 (51),97.24±3.79 (3),97.24±3.79 (3),97.24±3.79 (3),97.24±3.79 (3),97.24±3.79 (3),97.24±3.79 (3),97.24±3.79 (3),97.24±3.79 (3),98.57±3.19 (50),97.24±3.79 (63),97.14±6.39 (10),97.24±3.79 (4),98.67±2.98 (4),98.57±3.19 (65),97.14±6.39 (8),98.57±3.19 (71),98.57±3.19 (36)
CLL_SUB_111,68.46±7.9 (2),67.67±10.29 (7),85.57±5.96 (97),67.59±3.48 (4),72.06±6.8 (3),72.13±7.76 (8),71.98±6.26 (30),72.06±6.8 (3),70.28±5.1 (17),73.87±4.95 (28),75.77±7.0 (40),74.62±9.6 (41),79.21±7.75 (36),73.79±9.49 (59),69.37±3.77 (31),71.07±8.52 (33),78.38±3.77 (53),78.3±8.28 (48),73.91±5.63 (63),71.15±10.53 (61),73.83±7.6 (3),82.02±6.27 (11),80.2±3.92 (5),81.98±5.58 (8),83.72±7.0 (26),83.83±4.89 (20),83.79±2.37 (37),84.62±6.2 (17),83.79±5.13 (20),82.02±7.04 (58),83.72±7.7 (26),87.39±3.78 (16),84.66±4.14 (17),84.7±6.82 (66),87.39±3.78 (16),87.39±1.98 (18),85.57±8.76 (61)
Carcinom,91.34±5.82 (85),90.76±6.97 (79),95.36±3.98 (97),29.9±1.85 (2),29.9±1.85 (2),29.9±1.85 (2),31.04±4.29 (5),29.9±1.85 (2),31.65±3.95 (6),31.04±4.29 (5),49.45±4.49 (8),54.0±5.19 (10),70.71±3.56 (13),66.07±5.31 (13),70.1±6.95 (17),69.53±9.64 (15),72.94±9.16 (18),75.29±9.36 (14),74.74±8.58 (20),79.87±4.63 (19),36.24±4.63 (2),36.24±4.63 (2),36.24±4.63 (2),36.24±4.63 (2),36.24±4.63 (2),39.13±6.0 (6),39.13±6.0 (6),51.71±6.26 (8),51.71±6.26 (8),70.71±4.57 (14),63.78±7.78 (13),78.12±4.67 (16),74.13±6.07 (13),78.69±7.93 (19),80.4±6.51 (17),81.58±4.04 (22),78.69±7.93 (19)
GLIOMA,78.0±4.47 (96),78.0±8.37 (97),86.0±5.48 (52),72.0±8.37 (3),80.0±7.07 (19),72.0±8.37 (3),80.0±10.0 (12),80.0±12.25 (15),80.0±12.25 (17),82.0±13.04 (24),78.0±10.95 (39),84.0±8.94 (9),76.0±15.17 (35),76.0±11.4 (19),78.0±8.37 (51),80.0±12.25 (33),80.0±7.07 (62),80.0±7.07 (13),78.0±10.95 (16),82.0±4.47 (44),74.0±8.94 (2),86.0±11.4 (8),84.0±5.48 (6),86.0±8.94 (15),84.0±11.4 (5),88.0±13.04 (28),86.0±8.94 (19),88.0±8.37 (6),88.0±8.37 (6),88.0±8.37 (6),90.0±10.0 (45),90.0±12.25 (28),88.0±8.37 (6),88.0±16.43 (11),88.0±13.04 (35),88.0±8.37 (60),88.0±16.43 (14)
GLI_85,92.94±4.92 (62),92.94±7.67 (6),94.12±5.88 (13),92.94±7.67 (7),91.76±7.89 (15),92.94±2.63 (7),92.94±6.44 (18),92.94±2.63 (7),94.12±4.16 (7),92.94±6.44 (22),92.94±2.63 (7),94.12±4.16 (16),94.12±5.88 (16),92.94±4.92 (28),94.12±4.16 (7),92.94±7.67 (8),92.94±7.67 (17),92.94±4.92 (18),92.94±4.92 (16),92.94±4.92 (10),92.94±7.67 (7),96.47±3.22 (24),95.29±4.92 (22),96.47±3.22 (32),96.47±3.22 (21),96.47±3.22 (36),96.47±3.22 (24),96.47±5.26 (7),96.47±3.22 (7),96.47±3.22 (14),96.47±3.22 (36),97.65±3.22 (43),96.47±3.22 (34),96.47±3.22 (42),96.47±3.22 (32),96.47±5.26 (30),96.47±5.26 (26)
Prostate_GE,94.1±8.89 (26),94.1±5.5 (5),95.1±6.99 (36),94.05±6.53 (3),96.05±4.17 (3),96.05±4.17 (3),94.14±4.09 (7),94.1±6.45 (13),95.1±6.99 (33),95.05±6.12 (4),94.1±5.5 (5),95.1±6.99 (46),94.1±6.45 (11),95.1±6.99 (12),95.1±6.99 (23),96.1±5.35 (13),95.05±6.12 (38),95.1±6.99 (29),94.1±6.45 (20),94.14±8.02 (58),96.05±4.17 (3),96.05±4.17 (3),96.05±4.17 (3),95.1±6.99 (23),94.1±6.45 (13),95.1±6.99 (34),95.1±6.99 (23),95.1±6.99 (23),95.1±6.99 (46),95.1±6.99 (50),95.1±6.99 (33),95.1±6.99 (40),95.1±6.99 (23),95.1±6.99 (44),95.1±6.99 (23),95.1±6.99 (31),95.1±6.99 (34)
SMK_CAN_187,74.81±10.52 (13),74.31±6.18 (9),75.9±8.02 (16),74.85±11.55 (20),72.18±14.92 (29),72.12±17.53 (40),71.62±12.55 (10),71.1±17.57 (45),70.55±16.99 (54),71.64±16.51 (78),70.03±14.63 (58),70.0±15.8 (23),69.52±17.39 (92),70.04±6.07 (8),69.45±15.46 (11),71.18±9.95 (9),68.45±15.64 (53),68.46±15.06 (29),72.67±15.53 (8),69.47±20.15 (29),76.46±8.31 (13),74.81±12.49 (5),74.85±11.07 (18),75.38±11.49 (14),74.84±13.36 (22),74.86±15.72 (30),77.03±14.04 (19),74.88±14.78 (18),75.38±15.71 (36),74.85±15.2 (19),75.93±15.11 (20),76.49±16.12 (29),74.88±15.5 (47),76.49±17.02 (44),74.88±13.57 (40),74.86±13.02 (53),75.95±15.6 (23)
TOX_171,67.29±6.01 (9),66.12±6.48 (14),75.5±9.4 (93),64.92±2.7 (6),68.99±9.93 (22),70.2±4.57 (19),74.82±3.56 (39),70.13±6.55 (25),70.82±7.63 (34),68.44±6.25 (35),69.61±6.93 (51),71.38±9.23 (44),70.22±8.68 (25),70.15±8.76 (64),70.29±12.16 (36),73.73±5.51 (70),68.42±3.82 (66),70.79±4.34 (66),66.69±5.12 (53),71.95±4.74 (63),64.35±6.82 (7),69.04±8.26 (14),67.29±8.41 (17),68.49±9.46 (38),67.88±6.19 (36),69.63±6.13 (41),69.01±8.7 (37),70.18±8.11 (40),67.87±5.62 (34),70.22±11.28 (49),70.77±7.7 (48),69.66±10.13 (67),68.45±8.98 (53),69.58±6.82 (63),68.44±6.25 (70),71.36±8.07 (60),68.44±3.62 (73)
colon,88.59±7.26 (2),88.59±7.26 (2),88.46±9.56 (52),88.59±7.26 (2),88.33±13.94 (26),88.33±13.94 (15),90.0±13.69 (22),88.59±7.26 (2),88.33±13.94 (40),90.13±9.16 (11),88.46±9.56 (17),93.59±3.6 (3),88.59±4.81 (8),90.0±10.87 (18),90.0±10.87 (16),88.46±12.68 (42),91.79±5.9 (11),90.0±10.87 (20),90.13±10.89 (25),91.92±8.03 (3),83.72±6.14 (3),90.0±9.13 (8),88.46±12.68 (14),90.13±7.02 (9),88.46±9.56 (13),90.0±13.69 (26),88.72±7.33 (6),90.38±6.72 (7),90.38±6.72 (7),90.26±7.06 (9),91.79±5.9 (16),90.38±3.24 (5),91.92±5.9 (11),88.59±12.73 (8),90.38±3.24 (5),92.05±5.45 (6),90.26±9.19 (8)
leukemia,100.0±0.0 (5),100.0±0.0 (5),100.0±0.0 (10),98.67±2.98 (2),100.0±0.0 (6),100.0±0.0 (5),100.0±0.0 (10),100.0±0.0 (10),100.0±0.0 (7),100.0±0.0 (10),100.0±0.0 (10),100.0±0.0 (15),100.0±0.0 (17),100.0±0.0 (6),100.0±0.0 (7),100.0±0.0 (8),100.0±0.0 (11),100.0±0.0 (7),100.0±0.0 (12),100.0±0.0 (14),97.24±3.79 (2),100.0±0.0 (13),98.67±2.98 (3),100.0±0.0 (18),100.0±0.0 (13),100.0±0.0 (22),100.0±0.0 (17),100.0±0.0 (20),100.0±0.0 (31),100.0±0.0 (24),100.0±0.0 (32),100.0±0.0 (25),100.0±0.0 (27),100.0±0.0 (26),100.0±0.0 (22),100.0±0.0 (27),100.0±0.0 (25)
