dataset_name,KBest,mRMR_RFCQ,KGroups (P=0.1),KGroups (P=0.1S),KGroups (P=0.3),KGroups (P=0.3S),KGroups (P=0.5),KGroups (P=0.5S),KGroups (P=0.7),KGroups (P=0.7S),KGroups (P=1.0),KGroups (P=1.3),KGroups (P=1.3S),KGroups (P=1.5),KGroups (P=1.5S),KGroups (P=1.7),KGroups (P=1.7S),KGroups (P=2.0),KGroups (P=2.0S),KGroups++ (P=0.1),KGroups++ (P=0.1S),KGroups++ (P=0.3),KGroups++ (P=0.3S),KGroups++ (P=0.5),KGroups++ (P=0.5S),KGroups++ (P=0.7),KGroups++ (P=0.7S),KGroups++ (P=1.0),KGroups++ (P=1.3),KGroups++ (P=1.3S),KGroups++ (P=1.5),KGroups++ (P=1.5S),KGroups++ (P=1.7),KGroups++ (P=1.7S),KGroups++ (P=2.0),KGroups++ (P=2.0S)
ALLAML,100.0±0.0 (59),100.0±0.0 (55),95.81±3.83 (3),97.14±3.91 (4),98.57±3.19 (7),98.57±3.19 (7),97.14±3.91 (4),98.57±3.19 (22),98.57±3.19 (6),100.0±0.0 (26),98.57±3.19 (13),100.0±0.0 (30),98.67±2.98 (46),100.0±0.0 (28),100.0±0.0 (48),100.0±0.0 (31),100.0±0.0 (38),100.0±0.0 (45),100.0±0.0 (16),98.57±3.19 (3),100.0±0.0 (11),98.67±2.98 (5),100.0±0.0 (11),100.0±0.0 (11),100.0±0.0 (6),100.0±0.0 (6),100.0±0.0 (6),100.0±0.0 (10),100.0±0.0 (10),100.0±0.0 (10),100.0±0.0 (13),98.57±3.19 (10),100.0±0.0 (8),98.67±2.98 (8),100.0±0.0 (6),100.0±0.0 (8)
CLL_SUB_111,88.26±4.14 (77),89.17±6.92 (81),80.12±4.3 (4),86.4±7.25 (29),84.62±8.33 (22),88.22±6.16 (43),87.35±5.05 (33),87.35±5.05 (49),86.44±6.5 (24),87.31±6.0 (49),88.22±6.16 (52),86.4±8.56 (55),85.57±7.49 (16),85.53±5.09 (23),87.39±1.98 (37),86.44±4.65 (39),86.4±7.25 (46),87.35±5.05 (60),85.53±3.95 (59),83.75±8.31 (5),83.75±6.96 (32),84.62±4.22 (20),84.7±6.82 (28),87.35±5.05 (34),85.53±8.2 (43),85.57±5.96 (41),83.79±5.13 (42),85.53±8.81 (34),85.61±3.63 (65),85.53±3.95 (55),84.66±7.65 (41),87.31±8.18 (66),84.66±5.24 (68),85.57±8.76 (62),84.62±6.2 (45),85.57±6.77 (52)
Carcinom,91.34±5.46 (88),92.5±3.36 (63),69.5±8.47 (12),89.63±5.65 (37),85.61±2.2 (34),90.18±5.37 (47),89.08±1.32 (38),91.34±4.65 (60),90.22±2.62 (53),91.31±6.95 (50),90.77±3.87 (68),91.36±2.94 (59),89.63±4.87 (58),91.36±2.14 (70),90.79±2.47 (71),91.38±3.5 (58),91.93±3.8 (80),90.79±5.53 (80),90.22±4.37 (76),65.5±4.71 (13),88.5±2.03 (47),87.34±2.63 (32),88.52±4.0 (44),87.93±2.38 (33),90.22±4.37 (64),90.22±2.62 (57),90.79±3.78 (64),90.79±3.78 (53),90.79±2.47 (62),91.33±5.55 (66),90.22±2.62 (49),91.93±3.8 (62),90.77±4.37 (59),91.36±3.57 (63),91.93±3.8 (56),91.36±4.1 (61)
GLIOMA,92.0±13.04 (31),92.0±4.47 (46),82.0±4.47 (8),90.0±7.07 (33),86.0±8.94 (22),90.0±0.0 (37),90.0±10.0 (33),88.0±10.95 (44),90.0±12.25 (36),88.0±13.04 (37),88.0±8.37 (52),88.0±8.37 (40),88.0±8.37 (62),88.0±13.04 (62),88.0±4.47 (63),88.0±8.37 (41),90.0±10.0 (43),86.0±8.94 (50),88.0±8.37 (16),68.0±22.8 (3),90.0±12.25 (15),88.0±10.95 (24),90.0±7.07 (44),90.0±10.0 (34),90.0±10.0 (51),90.0±12.25 (45),88.0±13.04 (31),88.0±13.04 (32),88.0±13.04 (33),88.0±8.37 (27),88.0±8.37 (62),90.0±12.25 (35),88.0±8.37 (34),90.0±7.07 (26),88.0±8.37 (39),86.0±15.17 (8)
GLI_85,95.29±4.92 (14),96.47±3.22 (45),90.59±6.71 (2),96.47±3.22 (16),95.29±2.63 (11),96.47±3.22 (15),95.29±4.92 (14),96.47±3.22 (15),96.47±3.22 (15),96.47±3.22 (32),96.47±3.22 (18),96.47±3.22 (30),95.29±4.92 (23),96.47±3.22 (32),96.47±3.22 (30),96.47±3.22 (39),96.47±3.22 (42),96.47±3.22 (21),95.29±4.92 (16),91.76±5.26 (5),96.47±3.22 (12),96.47±3.22 (12),96.47±3.22 (6),96.47±3.22 (12),96.47±3.22 (5),96.47±3.22 (6),96.47±3.22 (5),96.47±3.22 (12),96.47±3.22 (24),97.65±3.22 (15),96.47±3.22 (22),96.47±3.22 (16),96.47±3.22 (16),96.47±3.22 (20),97.65±3.22 (20),97.65±3.22 (20)
Prostate_GE,94.1±8.23 (46),95.1±6.99 (53),89.24±6.44 (3),95.1±6.99 (21),94.1±8.89 (10),94.14±6.46 (24),94.14±8.02 (19),95.1±6.99 (13),95.1±6.99 (18),95.1±6.99 (31),94.14±8.02 (34),95.1±6.99 (48),95.1±6.99 (24),94.14±8.02 (23),95.1±6.99 (50),95.1±6.99 (53),94.14±8.02 (22),95.05±6.12 (21),95.1±6.99 (58),92.19±8.31 (4),95.1±6.99 (10),95.1±6.99 (9),95.1±6.99 (7),95.1±6.99 (8),95.1±6.99 (15),95.1±6.99 (14),95.1±6.99 (40),95.1±6.99 (16),95.1±6.99 (14),95.1±6.99 (18),95.1±6.99 (19),95.1±6.99 (14),95.1±6.99 (21),95.1±6.99 (24),95.1±6.99 (20),95.1±6.99 (26)
SMK_CAN_187,73.77±8.19 (5),72.73±9.01 (24),72.19±5.49 (5),75.43±9.68 (9),74.88±11.38 (19),75.48±10.96 (7),74.91±12.51 (25),74.86±13.02 (39),74.35±11.56 (42),74.85±10.56 (21),74.84±9.82 (6),73.78±12.24 (43),75.97±3.92 (8),73.27±10.5 (35),73.8±7.76 (21),74.35±11.56 (37),73.8±11.54 (34),74.35±14.42 (49),74.37±10.21 (22),72.72±6.15 (5),76.46±11.47 (13),75.41±8.38 (13),75.9±6.41 (8),76.46±5.81 (9),77.5±5.09 (4),76.93±7.5 (5),77.5±5.09 (4),77.5±5.09 (4),75.35±8.1 (5),75.92±12.04 (20),77.51±10.1 (14),78.59±12.91 (13),77.0±13.31 (28),77.51±10.1 (14),76.49±14.91 (23),75.93±13.58 (52)
TOX_171,83.09±5.73 (82),83.68±8.25 (85),59.11±11.88 (7),77.19±6.7 (31),75.48±9.94 (19),78.4±5.84 (38),78.39±8.37 (30),77.21±8.85 (34),78.42±6.41 (42),77.85±7.54 (39),79.61±8.4 (50),77.23±5.01 (47),77.87±11.88 (57),77.83±8.47 (55),76.66±4.7 (46),76.05±4.61 (53),77.23±9.02 (65),77.28±9.19 (66),76.62±6.5 (61),62.02±7.84 (6),73.73±8.32 (25),72.52±7.04 (18),75.5±10.28 (39),74.3±7.99 (26),76.66±9.55 (36),73.7±7.13 (29),73.7±5.79 (54),73.7±4.53 (53),71.98±10.88 (34),73.7±8.76 (58),71.97±7.15 (58),73.14±10.29 (56),70.81±6.88 (45),71.95±10.44 (62),73.13±6.2 (63),72.49±11.94 (41)
colon,88.46±9.56 (28),90.0±10.87 (39),77.05±14.03 (2),88.59±7.26 (12),86.92±7.33 (11),88.46±9.56 (13),88.46±9.56 (14),90.0±10.87 (19),88.46±9.56 (21),90.0±10.87 (33),88.46±9.56 (11),90.0±10.87 (42),90.0±10.87 (43),90.13±7.02 (42),90.0±10.87 (39),90.0±10.87 (14),90.0±10.87 (30),90.0±10.87 (5),90.0±10.87 (31),80.38±14.17 (2),90.13±7.02 (13),88.46±7.53 (12),88.59±7.26 (21),88.46±7.53 (12),90.26±6.68 (11),88.59±9.62 (7),88.59±7.26 (8),88.59±7.26 (9),88.59±7.26 (13),88.46±7.53 (22),88.59±7.26 (9),88.46±9.56 (46),88.59±7.26 (9),90.13±7.02 (34),88.72±7.33 (9),88.59±7.26 (9)
leukemia,100.0±0.0 (8),100.0±0.0 (24),98.67±2.98 (4),100.0±0.0 (10),100.0±0.0 (8),100.0±0.0 (9),100.0±0.0 (9),100.0±0.0 (11),100.0±0.0 (8),100.0±0.0 (9),100.0±0.0 (14),100.0±0.0 (14),100.0±0.0 (13),100.0±0.0 (14),100.0±0.0 (13),100.0±0.0 (18),100.0±0.0 (14),100.0±0.0 (13),100.0±0.0 (8),95.81±6.34 (3),100.0±0.0 (8),100.0±0.0 (8),100.0±0.0 (8),100.0±0.0 (8),100.0±0.0 (8),100.0±0.0 (8),100.0±0.0 (8),100.0±0.0 (8),100.0±0.0 (7),100.0±0.0 (7),100.0±0.0 (14),100.0±0.0 (13),100.0±0.0 (9),100.0±0.0 (14),100.0±0.0 (13),100.0±0.0 (9)
