dataset_name,KBest,mRMR_MID,mRMR_MIQ,KGroups (P=0.1),KGroups (P=0.1S),KGroups (P=0.3),KGroups (P=0.3S),KGroups (P=0.5),KGroups (P=0.5S),KGroups (P=0.7),KGroups (P=0.7S),KGroups (P=1.0),KGroups (P=1.3),KGroups (P=1.3S),KGroups (P=1.5),KGroups (P=1.5S),KGroups (P=1.7),KGroups (P=1.7S),KGroups (P=2.0),KGroups (P=2.0S),KGroups++ (P=0.1),KGroups++ (P=0.1S),KGroups++ (P=0.3),KGroups++ (P=0.3S),KGroups++ (P=0.5),KGroups++ (P=0.5S),KGroups++ (P=0.7),KGroups++ (P=0.7S),KGroups++ (P=1.0),KGroups++ (P=1.3),KGroups++ (P=1.3S),KGroups++ (P=1.5),KGroups++ (P=1.5S),KGroups++ (P=1.7),KGroups++ (P=1.7S),KGroups++ (P=2.0),KGroups++ (P=2.0S)
ALLAML,97.24±3.79 (21),98.57±3.19 (69),90.29±3.76 (32),98.57±3.19 (2),98.57±3.19 (12),100.0±0.0 (5),98.57±3.19 (17),98.57±3.19 (35),98.57±3.19 (33),100.0±0.0 (42),98.57±3.19 (33),100.0±0.0 (57),98.57±3.19 (37),98.57±3.19 (31),100.0±0.0 (50),98.57±3.19 (19),98.57±3.19 (19),98.57±3.19 (56),98.57±3.19 (73),98.57±3.19 (36),95.9±6.02 (7),98.57±3.19 (39),98.57±3.19 (36),98.57±3.19 (32),98.57±3.19 (40),98.57±3.19 (53),97.24±3.79 (33),97.24±3.79 (34),97.24±3.79 (33),97.24±3.79 (48),97.24±3.79 (44),97.24±3.79 (55),97.24±3.79 (51),95.81±6.34 (64),97.24±3.79 (56),95.81±6.34 (72),97.24±3.79 (77)
CLL_SUB_111,74.7±8.44 (5),81.94±7.28 (17),77.47±8.52 (81),78.38±3.77 (6),76.52±10.96 (16),78.42±5.67 (13),77.51±7.72 (62),77.43±5.74 (13),73.08±8.44 (12),75.61±6.31 (15),76.48±8.32 (19),74.74±4.25 (57),76.4±14.58 (34),71.94±8.99 (65),74.74±5.33 (25),74.82±4.78 (41),73.87±1.97 (29),71.23±7.93 (29),72.06±11.35 (67),73.83±7.6 (80),77.43±10.26 (21),78.38±4.95 (45),76.6±5.77 (42),80.2±2.25 (61),79.33±4.83 (21),80.24±4.78 (50),79.33±4.83 (17),79.33±5.81 (39),78.42±3.39 (21),79.33±7.37 (26),80.24±5.76 (11),80.2±7.53 (14),79.33±11.25 (27),81.11±1.59 (31),80.2±7.53 (14),78.46±7.72 (18),81.98±3.23 (38)
Carcinom,93.65±3.84 (86),93.09±4.36 (69),74.66±10.02 (79),92.52±1.61 (25),92.5±4.85 (69),93.09±3.29 (59),91.9±5.71 (64),94.25±4.04 (76),90.79±5.15 (85),92.52±1.61 (69),90.2±3.41 (88),89.65±1.63 (86),86.13±8.22 (89),87.34±3.88 (94),86.74±5.39 (94),87.92±6.24 (81),83.92±6.86 (92),87.33±3.44 (88),83.88±5.68 (96),84.49±4.31 (88),90.77±5.6 (26),94.79±4.36 (55),93.04±6.78 (47),91.36±2.94 (59),92.5±3.92 (73),91.95±2.41 (89),93.08±4.42 (84),90.24±1.52 (85),90.24±2.53 (88),86.79±5.55 (63),89.06±3.83 (72),87.92±3.21 (56),87.93±3.72 (90),86.2±5.51 (97),87.92±3.79 (80),85.61±3.61 (93),85.63±3.5 (82)
GLIOMA,88.0±4.47 (85),84.0±8.94 (4),62.0±25.88 (70),84.0±8.94 (4),84.0±5.48 (53),84.0±8.94 (27),86.0±11.4 (58),88.0±8.37 (52),88.0±4.47 (34),84.0±5.48 (31),86.0±13.42 (30),80.0±7.07 (42),86.0±11.4 (37),82.0±8.37 (47),82.0±4.47 (48),80.0±10.0 (53),82.0±8.37 (64),84.0±8.94 (53),82.0±8.37 (54),82.0±8.37 (35),84.0±11.4 (11),86.0±8.94 (59),88.0±8.37 (16),88.0±10.95 (39),86.0±8.94 (30),86.0±5.48 (36),86.0±5.48 (83),84.0±5.48 (28),84.0±11.4 (62),82.0±8.37 (84),82.0±8.37 (61),80.0±7.07 (63),80.0±10.0 (69),80.0±7.07 (78),80.0±10.0 (72),76.0±8.94 (96),78.0±13.04 (79)
GLI_85,95.29±4.92 (30),96.47±5.26 (23),94.12±4.16 (54),95.29±4.92 (8),97.65±3.22 (27),96.47±3.22 (18),96.47±3.22 (21),97.65±3.22 (36),95.29±4.92 (29),97.65±3.22 (55),96.47±3.22 (79),96.47±3.22 (29),95.29±4.92 (30),95.29±6.44 (35),95.29±4.92 (52),97.65±3.22 (22),94.12±4.16 (28),95.29±4.92 (46),95.29±4.92 (86),95.29±4.92 (80),96.47±5.26 (13),96.47±3.22 (18),96.47±3.22 (38),95.29±2.63 (33),96.47±3.22 (38),95.29±2.63 (47),95.29±2.63 (45),95.29±4.92 (44),95.29±4.92 (32),94.12±4.16 (30),95.29±2.63 (30),95.29±4.92 (65),95.29±4.92 (89),94.12±4.16 (23),94.12±4.16 (31),96.47±3.22 (46),95.29±4.92 (77)
Prostate_GE,96.05±6.51 (36),96.05±6.51 (46),94.24±6.2 (49),95.05±8.66 (6),95.05±8.66 (7),95.1±6.13 (28),95.1±6.99 (11),95.05±8.66 (46),95.1±6.99 (20),94.14±6.46 (26),95.1±6.99 (24),95.1±6.13 (16),95.05±8.66 (11),95.1±6.99 (16),94.1±5.5 (4),94.14±6.46 (57),95.14±4.88 (7),94.1±8.89 (38),94.14±4.09 (13),95.14±4.88 (68),94.1±8.23 (8),95.1±6.99 (16),95.1±6.99 (12),94.1±6.45 (3),95.1±6.99 (16),94.1±6.45 (18),94.14±8.02 (8),95.1±6.99 (29),94.1±6.45 (18),94.14±6.28 (13),93.14±7.4 (10),94.14±6.28 (55),95.14±6.82 (9),93.14±7.4 (20),94.1±6.45 (19),94.14±8.02 (39),93.14±7.4 (7)
SMK_CAN_187,71.68±14.58 (49),70.53±14.61 (6),65.85±13.61 (59),73.77±15.32 (16),73.36±13.65 (59),72.72±6.48 (12),71.17±12.86 (48),73.8±14.4 (14),73.21±10.05 (4),71.14±8.75 (58),70.58±11.65 (29),73.84±12.14 (55),71.04±11.71 (12),70.6±12.26 (43),70.06±14.85 (16),70.09±13.84 (57),69.02±10.88 (26),70.03±16.23 (66),71.18±12.4 (68),71.66±10.13 (60),75.96±11.41 (16),71.68±8.77 (25),72.25±12.64 (19),72.77±8.52 (26),71.69±8.53 (29),71.64±10.42 (4),73.74±11.62 (11),71.65±9.24 (15),72.67±14.19 (12),73.76±7.49 (15),71.68±10.3 (10),72.16±6.55 (21),72.19±6.88 (20),71.1±7.25 (19),71.1±8.03 (19),69.54±11.98 (9),70.06±2.15 (25)
TOX_171,61.97±4.83 (42),74.3±5.4 (19),71.95±6.64 (94),62.52±7.85 (13),67.28±5.42 (59),67.21±7.2 (38),64.32±4.42 (61),66.74±7.38 (36),64.32±4.42 (28),65.46±5.07 (17),67.24±7.64 (61),64.37±5.98 (60),66.02±8.17 (13),66.08±4.42 (25),64.37±7.29 (64),66.07±2.81 (64),64.32±4.42 (78),63.88±15.78 (56),63.23±7.37 (49),63.16±3.29 (89),63.18±4.21 (5),62.03±8.5 (24),61.97±7.32 (24),67.83±4.67 (4),60.81±3.48 (19),63.14±7.74 (50),60.24±3.29 (64),59.03±10.13 (66),58.47±5.32 (81),59.01±11.39 (77),58.45±8.29 (57),57.87±5.17 (85),57.24±7.99 (47),55.56±7.53 (90),56.08±6.92 (68),55.01±5.25 (3),55.03±10.76 (77)
colon,91.92±5.45 (9),93.33±6.97 (30),88.72±4.36 (48),88.72±8.84 (9),91.92±11.57 (19),91.92±10.21 (19),91.92±5.9 (32),93.59±6.9 (44),91.79±5.9 (22),91.79±10.21 (37),93.46±6.94 (38),91.92±5.45 (30),95.0±4.56 (29),93.46±6.94 (16),93.46±6.94 (83),91.79±10.21 (29),91.79±10.21 (51),93.46±6.94 (62),91.92±8.03 (16),95.0±7.45 (63),90.26±10.68 (6),88.46±9.56 (22),90.0±10.87 (20),88.46±9.56 (41),88.72±4.36 (5),88.46±9.56 (28),88.46±9.56 (24),90.0±10.87 (33),90.0±10.87 (31),88.46±9.56 (46),88.59±7.6 (20),88.46±9.56 (33),86.92±7.67 (19),88.46±9.56 (47),88.46±9.56 (30),86.92±7.67 (26),86.92±7.67 (23)
leukemia,100.0±0.0 (45),100.0±0.0 (18),98.57±3.19 (66),98.67±2.98 (6),100.0±0.0 (18),100.0±0.0 (21),100.0±0.0 (8),100.0±0.0 (20),100.0±0.0 (33),100.0±0.0 (28),100.0±0.0 (22),100.0±0.0 (25),100.0±0.0 (31),100.0±0.0 (13),100.0±0.0 (27),100.0±0.0 (14),100.0±0.0 (25),100.0±0.0 (30),100.0±0.0 (27),100.0±0.0 (29),98.67±2.98 (5),98.57±3.19 (22),100.0±0.0 (13),98.57±3.19 (17),100.0±0.0 (26),98.57±3.19 (12),97.24±3.79 (15),98.57±3.19 (27),97.24±3.79 (14),98.57±3.19 (57),97.24±3.79 (12),97.24±3.79 (23),98.57±3.19 (30),97.24±3.79 (25),97.24±3.79 (20),97.24±3.79 (25),97.24±3.79 (25)
