dataset_name,KBest,mRMR_RFCQ,KGroups (P=0.1),KGroups (P=0.1S),KGroups (P=0.3),KGroups (P=0.3S),KGroups (P=0.5),KGroups (P=0.5S),KGroups (P=0.7),KGroups (P=0.7S),KGroups (P=1.0),KGroups (P=1.3),KGroups (P=1.3S),KGroups (P=1.5),KGroups (P=1.5S),KGroups (P=1.7),KGroups (P=1.7S),KGroups (P=2.0),KGroups (P=2.0S),KGroups++ (P=0.1),KGroups++ (P=0.1S),KGroups++ (P=0.3),KGroups++ (P=0.3S),KGroups++ (P=0.5),KGroups++ (P=0.5S),KGroups++ (P=0.7),KGroups++ (P=0.7S),KGroups++ (P=1.0),KGroups++ (P=1.3),KGroups++ (P=1.3S),KGroups++ (P=1.5),KGroups++ (P=1.5S),KGroups++ (P=1.7),KGroups++ (P=1.7S),KGroups++ (P=2.0),KGroups++ (P=2.0S)
ALLAML,98.67,98.67,98.57,100.0,98.57,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.67,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
CLL_SUB_111,84.66,89.17,77.39,82.80999999999999,80.08,83.72,82.80999999999999,83.72,83.75,83.72,81.98,83.72,81.94,83.67999999999999,82.77,82.77,83.72,83.67999999999999,82.77,78.25999999999999,77.51,77.39,80.24,78.38000000000001,79.33,80.2,80.2,80.24,81.11,81.15,82.09,81.11,82.06,82.92,81.15,83.87
Carcinom,77.55,79.28,63.21,78.69,76.99000000000001,79.83,79.85,79.83,80.45,78.71000000000001,77.60000000000001,80.99,79.28,79.83,80.45,82.15,81.04,80.4,78.74,50.0,72.39999999999999,71.24000000000001,73.6,73.55000000000001,75.87,75.29,75.88000000000001,74.71,76.42,75.88000000000001,75.9,77.03999999999999,76.4,76.39,77.56,75.28
GLIOMA,82.0,80.0,68.0,86.0,84.0,82.0,88.0,84.0,84.0,86.0,84.0,82.0,88.0,86.0,86.0,82.0,80.0,82.0,84.0,68.0,82.0,80.0,86.0,82.0,86.0,86.0,86.0,86.0,84.0,86.0,84.0,84.0,86.0,86.0,84.0,84.0
GLI_85,94.12,91.76,89.41,94.12,94.12,95.29,94.12,92.94,95.29,95.29,95.29,94.12,94.12,94.12,94.12,94.12,94.12,92.94,95.29,87.06,95.29,94.12,94.12,95.29,94.12,95.29,92.94,94.12,94.12,94.12,94.12,94.12,92.94,94.12,94.12,94.12
Prostate_GE,96.05,95.1,93.19,94.1,96.05,94.1,95.1,95.1,94.14,93.14,95.1,94.1,93.14,92.19,93.19,94.1,94.14,93.14,94.1,94.14,96.05,96.05,95.1,96.05,96.05,96.05,95.1,95.1,95.1,95.1,96.05,96.05,95.1,96.05,94.1,95.1
SMK_CAN_187,75.94999999999999,75.92,75.94999999999999,78.59,78.61,75.38,77.0,76.42999999999999,75.94999999999999,76.42999999999999,75.94999999999999,74.85000000000001,75.97,77.01,76.46,75.42,73.77,73.78,74.31,77.03,78.59,78.07,76.49000000000001,77.51,77.48,76.46,77.53999999999999,75.42999999999999,75.39,75.89,75.38,74.83999999999999,74.86,75.36,75.41,77.0
TOX_171,74.29,81.31,58.45,73.14,71.38,74.86,71.97,74.3,72.55,73.13,71.95,71.95,73.66,71.38,73.68,71.36,71.97,71.39,70.17,60.24,68.44,67.25999999999999,68.47,69.01,67.86999999999999,67.28,66.05,67.25999999999999,65.48,65.51,65.48,65.48,64.34,67.25999999999999,65.53,62.55
colon,88.46000000000001,88.46000000000001,82.05,90.0,88.46000000000001,88.46000000000001,90.0,90.0,90.0,90.13,90.0,90.13,90.0,90.0,90.13,90.0,90.0,90.13,90.13,75.77000000000001,90.0,88.46000000000001,90.13,90.0,90.13,90.0,90.13,90.13,91.67,90.13,91.67,91.67,91.67,91.67,90.13,91.67
leukemia,98.67,98.67,97.24,98.67,98.67,98.67,98.67,98.67,98.67,98.67,98.67,98.67,98.67,98.67,98.67,97.33,98.67,97.33,97.33,94.48,98.67,98.67,98.67,98.67,98.67,98.67,98.67,98.67,97.33,97.33,97.24,97.33,97.33,97.24,97.33,97.33
lung,93.12,93.11,88.16000000000001,94.11,94.1,94.61,94.1,94.12,95.57,94.61,94.6,94.1,94.09,96.05,95.55,95.06,95.55,95.59,96.07,90.62,92.59,90.62,94.59,92.1,93.59,94.59,94.57,93.59,92.62,92.62,93.59,92.62,92.62,92.62,92.62,92.62
lung_discrete,72.57000000000001,76.57000000000001,64.19,78.10000000000001,78.10000000000001,78.19,78.0,82.1,76.67,78.10000000000001,78.19,78.10000000000001,82.1,78.10000000000001,75.24,75.42999999999999,78.0,78.19,76.75999999999999,68.38,75.62,74.0,72.76,75.52,78.0,73.61999999999999,73.81,73.9,75.33,75.33,76.67,75.42999999999999,73.9,77.9,76.67,75.33
lymphoma,64.68,74.0,52.370000000000005,71.0,72.0,71.11,70.95,71.05,72.0,73.05,72.0,72.11,71.95,70.95,72.11,75.32,77.21000000000001,69.89,71.05,55.47,70.05,71.05,70.0,71.0,66.79,69.95,68.89,68.89,68.84,70.95,69.89,73.05,75.0,75.05,75.0,75.16000000000001
nci9,51.67,50.0,31.67,53.33,55.00000000000001,55.00000000000001,53.33,55.00000000000001,51.67,51.67,55.00000000000001,51.67,53.33,60.0,53.33,53.33,51.67,53.33,53.33,31.67,61.67,58.330000000000005,61.67,61.67,63.33,61.67,60.0,63.33,61.67,63.33,63.33,61.67,58.330000000000005,63.33,60.0,60.0
