dataset_name,KBest,mRMR_FCD,mRMR_FCQ,KGroups (P=0.1),KGroups (P=0.1S),KGroups (P=0.3),KGroups (P=0.3S),KGroups (P=0.5),KGroups (P=0.5S),KGroups (P=0.7),KGroups (P=0.7S),KGroups (P=1.0),KGroups (P=1.3),KGroups (P=1.3S),KGroups (P=1.5),KGroups (P=1.5S),KGroups (P=1.7),KGroups (P=1.7S),KGroups (P=2.0),KGroups (P=2.0S),KGroups++ (P=0.1),KGroups++ (P=0.1S),KGroups++ (P=0.3),KGroups++ (P=0.3S),KGroups++ (P=0.5),KGroups++ (P=0.5S),KGroups++ (P=0.7),KGroups++ (P=0.7S),KGroups++ (P=1.0),KGroups++ (P=1.3),KGroups++ (P=1.3S),KGroups++ (P=1.5),KGroups++ (P=1.5S),KGroups++ (P=1.7),KGroups++ (P=1.7S),KGroups++ (P=2.0),KGroups++ (P=2.0S)
ALLAML,97.24±3.79 (36),97.24±3.79 (36),100.0±0.0 (6),94.48±7.57 (3),98.57±3.19 (16),97.24±3.79 (6),98.57±3.19 (20),98.57±3.19 (8),98.57±3.19 (14),98.57±3.19 (15),98.57±3.19 (15),98.57±3.19 (15),100.0±0.0 (31),98.57±3.19 (21),98.57±3.19 (8),98.57±3.19 (32),98.57±3.19 (24),98.57±3.19 (8),98.57±3.19 (28),98.57±3.19 (3),95.81±6.34 (2),98.57±3.19 (8),98.57±3.19 (8),98.57±3.19 (7),98.57±3.19 (8),98.57±3.19 (2),98.57±3.19 (9),98.57±3.19 (2),98.57±3.19 (2),98.57±3.19 (2),98.57±3.19 (2),100.0±0.0 (4),98.57±3.19 (2),97.24±3.79 (10),98.57±3.19 (10),98.57±3.19 (3),98.67±2.98 (2)
CLL_SUB_111,63.16±13.31 (93),63.16±13.31 (93),81.98±11.59 (54),53.24±10.78 (4),61.19±10.72 (22),60.4±13.23 (10),65.77±7.54 (30),64.86±9.84 (23),64.9±5.56 (41),68.42±8.06 (28),73.99±8.01 (23),71.23±9.14 (24),72.92±5.78 (36),66.6±8.5 (53),67.47±7.81 (61),67.63±8.95 (10),70.32±11.66 (30),65.85±11.87 (58),70.28±6.83 (58),70.24±8.97 (61),49.6±8.81 (2),79.29±8.21 (9),80.2±7.53 (7),80.24±5.76 (9),79.29±8.21 (9),78.38±3.77 (12),78.38±6.72 (9),76.56±2.19 (8),77.43±4.75 (9),75.57±11.55 (15),77.39±8.66 (12),75.69±3.9 (8),73.91±4.63 (62),73.83±7.6 (7),75.69±3.9 (8),74.78±3.97 (3),80.08±8.39 (14)
Carcinom,91.38±5.35 (97),91.38±5.35 (97),94.2±5.13 (80),29.9±1.85 (2),32.2±3.9 (3),29.9±1.85 (2),35.65±3.43 (4),32.2±3.9 (3),37.34±6.29 (6),35.65±3.43 (4),49.45±4.01 (8),56.29±5.11 (10),66.66±6.64 (13),64.35±6.02 (13),68.96±6.85 (14),69.55±8.44 (15),74.1±8.5 (17),78.74±7.7 (14),75.83±8.36 (24),77.55±4.98 (19),35.68±6.65 (2),35.68±6.65 (2),35.68±6.65 (2),39.14±7.4 (5),35.68±6.65 (2),40.84±4.21 (6),40.84±4.21 (6),48.91±8.31 (8),51.16±4.34 (8),75.33±9.72 (14),62.13±8.88 (11),79.29±8.48 (16),75.33±9.72 (14),79.33±7.88 (16),79.29±7.45 (17),79.31±8.18 (22),79.33±7.88 (16)
GLIOMA,76.0±5.48 (35),76.0±5.48 (35),78.0±8.37 (20),54.0±8.94 (2),80.0±7.07 (10),74.0±8.94 (11),82.0±8.37 (19),82.0±8.37 (8),86.0±11.4 (27),84.0±8.94 (17),82.0±8.37 (21),88.0±4.47 (31),84.0±15.17 (44),92.0±8.37 (50),86.0±8.94 (37),82.0±8.37 (13),86.0±11.4 (53),86.0±11.4 (44),80.0±15.81 (51),86.0±11.4 (37),54.0±11.4 (2),82.0±8.37 (4),80.0±7.07 (3),80.0±7.07 (3),80.0±7.07 (3),80.0±7.07 (3),80.0±7.07 (3),80.0±7.07 (3),84.0±8.94 (2),84.0±8.94 (2),84.0±8.94 (2),84.0±8.94 (2),84.0±8.94 (2),84.0±8.94 (2),84.0±8.94 (2),84.0±8.94 (2),84.0±8.94 (2)
GLI_85,94.12±4.16 (12),94.12±4.16 (12),97.65±3.22 (11),94.12±4.16 (7),96.47±3.22 (16),94.12±4.16 (3),95.29±2.63 (34),96.47±3.22 (27),97.65±3.22 (55),95.29±2.63 (27),97.65±3.22 (57),97.65±3.22 (74),96.47±3.22 (57),98.82±2.63 (73),95.29±4.92 (7),97.65±3.22 (48),96.47±3.22 (17),96.47±5.26 (71),98.82±2.63 (59),95.29±2.63 (52),92.94±4.92 (8),96.47±3.22 (28),95.29±2.63 (26),95.29±2.63 (40),94.12±4.16 (29),95.29±2.63 (32),95.29±4.92 (32),95.29±4.92 (21),95.29±2.63 (46),95.29±4.92 (20),95.29±4.92 (18),95.29±4.92 (16),95.29±4.92 (15),95.29±4.92 (87),95.29±4.92 (16),96.47±5.26 (49),95.29±4.92 (76)
Prostate_GE,95.05±8.66 (57),95.05±8.66 (57),94.1±5.5 (62),93.1±8.33 (3),95.05±6.12 (2),94.14±8.02 (4),95.1±6.99 (6),95.05±6.12 (25),94.14±8.02 (4),95.0±8.66 (25),96.0±8.94 (36),95.1±6.13 (44),95.05±6.12 (5),96.0±6.52 (31),95.1±6.99 (39),95.05±8.66 (38),96.1±4.16 (31),95.05±8.66 (64),96.05±6.51 (7),94.14±6.46 (60),93.1±4.53 (4),95.1±6.13 (17),94.1±6.45 (4),95.1±6.13 (23),96.05±6.51 (24),95.05±8.66 (24),96.05±6.51 (25),95.05±8.66 (19),94.05±8.22 (5),94.14±8.02 (33),94.05±8.22 (5),94.14±6.46 (63),94.1±5.5 (5),94.14±8.02 (6),96.05±4.17 (6),96.05±6.51 (71),94.14±8.02 (6)
SMK_CAN_187,73.77±3.18 (13),73.77±3.18 (13),77.04±7.51 (92),74.31±11.08 (10),71.1±11.71 (18),71.69±13.54 (19),70.55±9.95 (54),71.08±13.31 (36),71.12±8.44 (51),74.82±10.0 (26),68.52±6.97 (57),72.69±5.39 (53),70.54±6.56 (57),70.57±10.81 (38),72.15±10.98 (27),71.66±6.03 (9),70.01±6.0 (16),69.0±15.58 (4),70.58±8.88 (73),70.61±9.74 (94),75.95±10.42 (10),75.42±12.2 (7),74.82±10.45 (12),73.26±7.54 (78),73.76±7.07 (61),72.16±18.55 (5),73.74±12.58 (16),72.16±18.55 (5),72.69±10.03 (74),72.23±6.22 (48),74.35±12.38 (25),72.2±12.09 (14),72.73±9.01 (35),72.19±8.66 (19),72.22±12.45 (14),71.12±12.24 (16),73.8±13.3 (35)
TOX_171,67.87±8.9 (12),67.28±5.42 (11),76.05±2.88 (81),67.85±4.51 (5),74.32±7.31 (32),71.39±5.98 (19),70.18±6.64 (29),70.77±7.12 (33),72.5±6.81 (20),70.2±9.02 (12),71.38±3.41 (38),72.55±8.51 (44),71.98±7.89 (11),73.08±5.77 (65),69.04±9.7 (16),73.65±9.4 (70),72.49±2.9 (77),71.34±3.82 (29),71.43±9.12 (43),68.42±6.02 (59),63.75±7.9 (5),67.83±10.81 (14),66.08±8.7 (22),66.71±13.09 (38),66.15±8.23 (36),67.28±6.83 (36),69.06±9.82 (43),66.12±10.54 (12),65.48±6.47 (50),63.82±9.63 (71),66.07±6.52 (65),65.53±9.88 (74),63.18±4.7 (55),67.8±6.42 (61),66.08±7.36 (74),63.78±6.08 (71),66.07±7.15 (66)
colon,88.59±7.26 (2),88.59±7.26 (2),90.13±7.02 (4),88.59±7.26 (2),91.67±14.43 (35),90.0±10.87 (10),91.79±5.9 (3),88.59±9.35 (13),88.59±7.6 (30),90.38±13.18 (41),90.26±8.91 (38),91.67±10.21 (21),88.33±13.94 (26),88.72±4.36 (12),87.18±14.31 (49),90.26±13.74 (61),88.72±9.41 (72),90.26±9.19 (19),88.72±9.41 (61),90.26±6.68 (3),88.59±7.26 (4),91.67±8.33 (6),88.46±9.56 (7),91.92±0.35 (9),88.59±9.35 (26),91.79±10.21 (25),93.46±6.94 (6),91.92±8.03 (7),91.92±8.03 (7),91.92±5.9 (9),90.13±10.89 (21),90.38±13.18 (52),88.59±13.84 (30),87.05±12.22 (77),87.18±10.77 (55),88.46±7.53 (13),88.59±9.62 (40)
leukemia,97.33±5.96 (5),97.33±5.96 (5),97.33±5.96 (6),91.71±5.79 (2),98.67±2.98 (6),98.67±2.98 (5),98.67±2.98 (8),98.67±2.98 (10),98.67±2.98 (10),98.67±2.98 (11),100.0±0.0 (8),100.0±0.0 (20),98.67±2.98 (18),98.67±2.98 (17),98.67±2.98 (15),98.67±2.98 (11),100.0±0.0 (37),100.0±0.0 (19),100.0±0.0 (49),98.67±2.98 (27),91.81±5.53 (2),98.67±2.98 (14),94.48±7.57 (4),98.67±2.98 (9),98.67±2.98 (11),97.24±3.79 (10),98.67±2.98 (25),98.67±2.98 (28),98.67±2.98 (13),98.67±2.98 (24),98.67±2.98 (36),98.67±2.98 (37),98.67±2.98 (27),98.67±2.98 (26),98.67±2.98 (36),98.67±2.98 (22),98.67±2.98 (33)
