dataset_name,KBest,mRMR_RFCQ,KGroups (P=0.1),KGroups (P=0.1S),KGroups (P=0.3),KGroups (P=0.3S),KGroups (P=0.5),KGroups (P=0.5S),KGroups (P=0.7),KGroups (P=0.7S),KGroups (P=1.0),KGroups (P=1.3),KGroups (P=1.3S),KGroups (P=1.5),KGroups (P=1.5S),KGroups (P=1.7),KGroups (P=1.7S),KGroups (P=2.0),KGroups (P=2.0S),KGroups++ (P=0.1),KGroups++ (P=0.1S),KGroups++ (P=0.3),KGroups++ (P=0.3S),KGroups++ (P=0.5),KGroups++ (P=0.5S),KGroups++ (P=0.7),KGroups++ (P=0.7S),KGroups++ (P=1.0),KGroups++ (P=1.3),KGroups++ (P=1.3S),KGroups++ (P=1.5),KGroups++ (P=1.5S),KGroups++ (P=1.7),KGroups++ (P=1.7S),KGroups++ (P=2.0),KGroups++ (P=2.0S)
ALLAML,98.57±3.19 (6),97.24±3.79 (28),97.14±3.91 (2),98.67±2.98 (19),98.57±3.19 (3),98.67±2.98 (25),98.67±2.98 (17),98.67±2.98 (9),100.0±0.0 (23),100.0±0.0 (28),100.0±0.0 (29),100.0±0.0 (16),100.0±0.0 (39),100.0±0.0 (10),100.0±0.0 (25),100.0±0.0 (28),100.0±0.0 (13),100.0±0.0 (5),98.67±2.98 (20),100.0±0.0 (3),100.0±0.0 (3),100.0±0.0 (3),100.0±0.0 (3),100.0±0.0 (3),100.0±0.0 (3),100.0±0.0 (3),100.0±0.0 (3),100.0±0.0 (3),100.0±0.0 (9),100.0±0.0 (10),100.0±0.0 (9),98.67±2.98 (4),100.0±0.0 (8),100.0±0.0 (9),100.0±0.0 (36),100.0±0.0 (8)
CLL_SUB_111,82.89±4.96 (85),88.3±5.14 (72),80.08±7.05 (3),83.79±6.85 (22),83.79±5.13 (21),85.57±5.96 (23),82.85±9.91 (9),82.92±4.72 (49),83.79±5.13 (41),82.81±6.86 (27),87.39±6.73 (50),84.7±8.81 (13),86.4±5.65 (56),85.61±5.81 (17),82.02±11.04 (16),81.23±11.64 (31),83.79±6.85 (11),82.85±3.95 (52),84.7±6.82 (32),79.17±7.06 (4),82.02±8.38 (12),82.06±11.37 (17),81.94±10.23 (10),81.15±9.07 (15),81.98±3.23 (16),81.19±9.95 (20),81.07±9.34 (9),82.06±9.37 (24),80.24±9.21 (50),80.12±7.03 (16),82.02±8.38 (20),78.46±6.24 (38),82.02±5.38 (42),78.46±6.24 (52),78.42±10.22 (66),80.2±6.81 (67)
Carcinom,91.95±3.14 (65),93.11±2.54 (99),70.12±5.16 (11),90.81±4.23 (47),86.81±5.14 (31),91.93±5.55 (60),92.5±4.85 (50),93.09±1.64 (60),92.55±4.31 (47),92.54±5.18 (65),94.25±2.02 (63),94.82±2.4 (48),93.66±2.45 (72),96.54±3.16 (74),94.25±0.08 (69),94.22±5.44 (69),94.22±4.63 (79),94.82±4.24 (52),95.36±5.3 (77),62.67±5.85 (12),93.11±3.24 (47),89.7±5.16 (34),92.54±3.24 (47),91.39±5.69 (41),94.27±4.5 (55),93.7±3.11 (53),94.25±3.5 (62),94.25±3.5 (68),94.27±4.03 (54),93.11±3.24 (47),94.27±2.84 (69),93.68±2.38 (61),95.97±2.58 (69),94.24±2.92 (50),92.54±4.77 (74),93.66±2.45 (69)
GLIOMA,94.0±8.94 (59),90.0±7.07 (32),76.0±8.94 (8),92.0±4.47 (30),86.0±8.94 (27),94.0±5.48 (27),94.0±5.48 (37),96.0±8.94 (55),92.0±8.37 (51),90.0±10.0 (41),96.0±5.48 (51),92.0±8.37 (47),94.0±5.48 (60),92.0±8.37 (55),96.0±5.48 (60),94.0±5.48 (47),90.0±0.0 (46),92.0±8.37 (48),90.0±7.07 (40),64.0±11.4 (7),86.0±11.4 (15),86.0±8.94 (13),84.0±8.94 (18),84.0±13.42 (16),80.0±7.07 (16),86.0±11.4 (6),84.0±11.4 (17),86.0±11.4 (54),90.0±14.14 (68),86.0±8.94 (66),86.0±11.4 (65),86.0±11.4 (67),84.0±8.94 (2),82.0±8.37 (7),84.0±8.94 (2),84.0±8.94 (2)
GLI_85,95.29±2.63 (16),92.94±4.92 (9),90.59±3.22 (5),98.82±2.63 (19),96.47±3.22 (13),95.29±4.92 (9),97.65±3.22 (16),97.65±3.22 (15),98.82±2.63 (15),95.29±4.92 (9),96.47±3.22 (21),95.29±2.63 (9),96.47±5.26 (24),96.47±3.22 (42),97.65±3.22 (14),96.47±3.22 (20),95.29±2.63 (7),96.47±3.22 (20),97.65±3.22 (17),90.59±5.26 (3),96.47±3.22 (19),92.94±4.92 (5),96.47±3.22 (23),95.29±4.92 (17),97.65±3.22 (32),97.65±3.22 (26),96.47±3.22 (38),97.65±3.22 (32),97.65±3.22 (24),97.65±3.22 (33),96.47±3.22 (13),97.65±3.22 (28),97.65±3.22 (30),97.65±3.22 (23),97.65±3.22 (23),97.65±5.26 (32)
Prostate_GE,94.05±8.22 (50),93.14±9.6 (54),90.24±7.8 (3),92.19±10.7 (9),94.14±8.02 (5),93.14±8.34 (23),93.1±8.33 (23),95.1±4.88 (34),95.05±8.66 (31),94.1±6.45 (34),93.14±5.66 (33),95.1±4.88 (13),95.0±8.66 (43),96.05±4.17 (57),95.1±6.99 (46),95.05±8.66 (49),95.1±6.99 (45),96.05±6.51 (21),94.1±8.89 (53),91.14±6.54 (3),95.05±6.12 (5),94.1±6.45 (5),97.0±6.71 (27),95.05±8.66 (22),97.0±6.71 (34),96.05±6.51 (20),95.1±6.99 (24),96.05±6.51 (36),96.05±6.51 (27),96.05±6.51 (36),97.0±6.71 (34),96.05±6.51 (49),97.0±6.71 (47),96.05±6.51 (33),97.0±6.71 (35),96.05±6.51 (56)
SMK_CAN_187,76.49±7.27 (4),72.69±6.28 (5),76.49±7.27 (4),75.42±8.15 (6),74.37±6.23 (5),72.23±11.9 (28),74.88±7.52 (15),73.23±4.8 (11),76.47±9.46 (24),74.92±8.27 (11),76.02±9.5 (31),74.88±6.0 (14),72.77±5.77 (34),71.11±8.32 (9),74.28±7.42 (4),73.85±10.51 (29),72.2±8.43 (62),74.85±10.98 (52),72.73±8.25 (25),75.96±6.63 (5),75.42±2.68 (7),76.5±4.19 (6),73.83±4.89 (8),75.42±2.68 (7),73.78±7.39 (5),73.85±8.67 (9),75.97±4.72 (8),72.26±8.64 (12),72.7±5.22 (8),73.84±6.07 (12),73.26±6.04 (6),73.3±8.0 (13),73.26±6.04 (6),73.26±6.04 (6),72.73±6.88 (7),73.26±6.04 (6)
TOX_171,75.45±10.29 (99),74.25±7.38 (100),61.43±9.46 (6),74.84±8.51 (29),73.11±5.58 (18),76.1±10.94 (44),75.51±10.39 (30),79.6±6.16 (51),77.19±4.82 (31),78.42±7.36 (45),78.35±7.41 (41),76.61±6.9 (62),76.55±5.67 (57),74.97±12.7 (67),75.45±5.68 (60),76.02±5.68 (70),77.19±6.7 (56),77.21±8.09 (63),77.23±7.15 (65),61.41±13.97 (7),73.16±5.9 (31),71.33±11.32 (20),74.29±3.66 (37),75.43±5.39 (31),71.98±9.84 (22),74.29±3.66 (43),74.32±7.01 (55),74.32±7.6 (50),74.91±7.35 (65),71.95±6.64 (50),74.84±2.76 (52),73.71±6.71 (58),71.34±3.82 (65),71.34±7.61 (68),75.46±6.63 (70),73.14±5.3 (69)
colon,85.38±10.93 (24),85.38±7.07 (9),82.05±13.86 (2),87.05±7.44 (17),86.92±7.67 (11),88.59±4.81 (23),90.26±9.19 (20),90.26±9.19 (18),90.13±7.02 (25),90.26±9.19 (35),90.26±9.19 (36),88.59±11.05 (50),90.0±10.87 (11),88.72±12.15 (34),88.59±11.05 (37),88.72±8.84 (20),91.79±10.21 (12),88.33±16.24 (36),87.05±7.44 (60),74.1±10.83 (2),90.0±10.87 (7),82.18±13.79 (6),90.0±10.87 (7),90.13±7.02 (11),90.0±10.87 (7),90.0±10.87 (7),88.46±9.56 (5),90.0±10.87 (6),90.0±14.91 (6),90.0±14.91 (6),90.13±13.72 (5),90.0±14.91 (6),90.13±13.72 (5),90.13±13.72 (5),88.46±13.99 (8),90.13±13.72 (5)
leukemia,100.0±0.0 (99),100.0±0.0 (75),95.9±6.02 (2),97.33±5.96 (5),97.33±5.96 (5),98.67±2.98 (5),98.67±2.98 (8),98.67±2.98 (12),98.67±2.98 (8),98.67±2.98 (14),100.0±0.0 (29),100.0±0.0 (23),98.67±2.98 (49),100.0±0.0 (18),100.0±0.0 (20),100.0±0.0 (38),100.0±0.0 (46),98.67±2.98 (18),100.0±0.0 (10),95.9±6.02 (3),98.67±2.98 (7),98.67±2.98 (6),98.67±2.98 (7),98.67±2.98 (7),98.67±2.98 (5),98.67±2.98 (10),98.67±2.98 (5),98.67±2.98 (10),98.67±2.98 (6),98.67±2.98 (6),97.33±3.65 (5),98.67±2.98 (6),97.33±3.65 (5),97.33±3.65 (5),97.24±3.79 (11),97.24±3.79 (22)
