dataset_name,KBest,mRMR_RFCQ,KGroups (P=0.1),KGroups (P=0.1S),KGroups (P=0.3),KGroups (P=0.3S),KGroups (P=0.5),KGroups (P=0.5S),KGroups (P=0.7),KGroups (P=0.7S),KGroups (P=1.0),KGroups (P=1.3),KGroups (P=1.3S),KGroups (P=1.5),KGroups (P=1.5S),KGroups (P=1.7),KGroups (P=1.7S),KGroups (P=2.0),KGroups (P=2.0S),KGroups++ (P=0.1),KGroups++ (P=0.1S),KGroups++ (P=0.3),KGroups++ (P=0.3S),KGroups++ (P=0.5),KGroups++ (P=0.5S),KGroups++ (P=0.7),KGroups++ (P=0.7S),KGroups++ (P=1.0),KGroups++ (P=1.3),KGroups++ (P=1.3S),KGroups++ (P=1.5),KGroups++ (P=1.5S),KGroups++ (P=1.7),KGroups++ (P=1.7S),KGroups++ (P=2.0),KGroups++ (P=2.0S)
ALLAML,95.81±3.83 (3),95.81±3.83 (2),95.81±3.83 (3),95.81±3.83 (3),95.81±3.83 (3),95.81±3.83 (8),95.81±3.83 (3),95.81±3.83 (7),95.81±3.83 (4),95.9±6.02 (5),95.9±6.02 (7),95.9±3.74 (25),95.9±3.74 (24),97.33±3.65 (36),97.24±3.79 (24),97.33±3.65 (28),97.33±3.65 (45),97.24±3.79 (30),97.33±3.65 (16),94.57±5.61 (3),97.33±3.65 (12),95.9±3.74 (4),97.33±3.65 (5),97.33±3.65 (13),97.33±3.65 (4),97.33±3.65 (5),97.33±3.65 (4),98.67±2.98 (15),97.33±3.65 (4),97.33±3.65 (4),97.33±3.65 (4),97.33±3.65 (4),97.33±3.65 (8),97.33±3.65 (4),97.33±3.65 (5),97.33±3.65 (8)
CLL_SUB_111,86.48±7.19 (26),86.44±3.36 (43),77.43±5.74 (5),83.72±5.32 (22),84.62±8.93 (21),84.62±6.99 (26),86.4±7.25 (32),85.53±7.54 (46),85.53±8.2 (32),84.62±6.99 (31),85.57±9.87 (16),85.49±7.54 (45),84.66±5.24 (53),84.58±10.52 (65),84.62±6.99 (44),82.85±9.91 (42),82.81±8.23 (47),85.49±7.54 (66),85.49±6.01 (47),81.03±4.02 (4),83.75±5.27 (31),83.72±7.7 (10),82.85±6.02 (31),82.81±6.86 (33),82.85±6.02 (20),81.98±5.58 (21),82.85±6.83 (51),82.02±5.38 (46),82.02±7.04 (58),82.02±7.04 (38),82.92±5.71 (68),82.02±5.38 (43),81.11±5.79 (59),82.02±4.31 (63),81.15±7.85 (45),82.96±6.31 (65)
Carcinom,71.4±35.08 (97),88.47±4.22 (88),66.67±5.51 (12),85.04±7.44 (32),85.04±5.55 (31),88.52±5.68 (58),86.2±5.87 (34),85.04±2.52 (60),86.22±4.19 (53),86.2±4.26 (50),72.27±27.95 (57),86.79±3.8 (66),87.92±3.79 (65),87.38±3.18 (35),87.31±5.01 (73),86.22±3.07 (74),86.18±3.27 (72),88.47±3.71 (49),87.36±6.56 (56),59.23±3.3 (11),83.93±5.12 (32),82.2±6.14 (31),83.9±2.62 (27),83.93±4.25 (34),85.03±5.26 (55),85.08±5.06 (56),86.77±6.6 (48),86.77±4.81 (69),86.79±4.3 (71),87.33±4.91 (57),86.76±3.97 (60),86.77±5.95 (63),86.79±7.15 (78),87.36±4.31 (73),86.81±5.14 (51),86.81±7.13 (80)
GLIOMA,82.0±13.04 (34),82.0±4.47 (11),80.0±10.0 (8),88.0±10.95 (33),84.0±5.48 (23),84.0±5.48 (23),88.0±13.04 (40),86.0±5.48 (16),88.0±10.95 (35),86.0±8.94 (33),82.0±10.95 (34),84.0±13.42 (30),84.0±8.94 (55),84.0±5.48 (39),84.0±5.48 (39),84.0±13.42 (65),88.0±8.37 (62),84.0±11.4 (55),82.0±13.04 (30),68.0±17.89 (3),80.0±14.14 (13),80.0±12.25 (16),84.0±8.94 (18),80.0±15.81 (15),82.0±17.89 (18),82.0±14.83 (17),80.0±12.25 (4),82.0±13.04 (31),84.0±15.17 (62),82.0±8.37 (3),82.0±8.37 (3),82.0±8.37 (3),84.0±11.4 (65),84.0±15.17 (51),84.0±15.17 (32),84.0±11.4 (66)
GLI_85,94.12±5.88 (21),94.12±7.2 (59),90.59±6.71 (5),94.12±5.88 (18),94.12±5.88 (11),95.29±4.92 (18),94.12±5.88 (11),94.12±5.88 (13),94.12±4.16 (23),94.12±4.16 (27),95.29±4.92 (24),95.29±4.92 (24),94.12±5.88 (28),95.29±4.92 (32),94.12±4.16 (40),94.12±5.88 (13),95.29±4.92 (29),95.29±4.92 (8),95.29±4.92 (30),90.59±6.71 (4),94.12±4.16 (6),92.94±7.67 (7),92.94±4.92 (2),94.12±5.88 (11),94.12±4.16 (8),95.29±4.92 (9),91.76±7.89 (6),92.94±2.63 (3),91.76±6.71 (20),92.94±4.92 (18),92.94±2.63 (4),92.94±4.92 (15),92.94±4.92 (11),92.94±2.63 (4),92.94±4.92 (23),92.94±6.44 (38)
Prostate_GE,96.05±6.51 (84),95.05±6.12 (71),87.33±8.74 (3),93.14±8.34 (15),93.14±9.6 (12),93.19±6.61 (29),93.14±9.6 (13),93.19±7.41 (9),92.19±10.7 (14),93.14±7.4 (28),95.05±6.12 (42),93.14±9.6 (31),93.14±5.66 (22),92.24±7.39 (19),93.14±8.34 (23),92.14±7.58 (53),92.24±11.08 (14),91.24±7.93 (13),92.19±6.55 (13),89.29±8.73 (4),95.1±6.13 (6),95.1±6.13 (9),95.1±4.88 (21),95.1±4.88 (22),95.1±4.88 (20),96.05±6.51 (7),95.1±4.88 (25),95.1±4.88 (24),94.1±5.39 (31),95.1±4.88 (27),94.05±8.22 (47),94.14±4.09 (27),94.14±4.09 (21),94.05±8.22 (47),94.05±8.22 (38),94.05±8.22 (43)
SMK_CAN_187,72.75±3.79 (4),74.85±4.92 (14),71.66±4.43 (4),75.95±4.94 (16),74.84±6.31 (9),76.97±5.03 (35),75.42±8.23 (35),74.37±7.49 (54),76.44±3.15 (42),73.83±8.53 (47),74.88±8.44 (21),74.85±7.88 (18),74.31±10.22 (66),74.3±5.06 (20),74.89±8.42 (21),74.37±8.63 (45),74.82±7.82 (16),74.31±7.01 (12),76.43±5.92 (22),72.72±6.91 (4),75.39±8.48 (33),76.43±6.57 (16),74.84±8.48 (5),74.86±7.14 (22),77.0±10.66 (36),75.93±9.5 (40),75.87±9.42 (57),77.01±9.39 (54),76.44±6.7 (17),75.92±8.59 (65),75.9±8.46 (14),77.01±10.14 (69),75.92±13.52 (31),77.51±7.73 (13),77.48±9.97 (64),76.46±11.47 (63)
TOX_171,33.48±21.84 (19),80.15±11.17 (30),59.06±9.55 (6),72.55±9.92 (29),71.98±12.55 (20),74.3±7.71 (38),73.71±5.27 (32),73.7±7.13 (34),76.07±14.19 (20),74.32±8.91 (37),75.43±10.55 (36),74.89±6.54 (47),73.71±5.66 (57),73.11±12.51 (68),73.14±4.41 (63),73.14±8.7 (52),71.93±8.45 (65),73.76±8.84 (66),72.54±5.93 (42),59.63±9.7 (6),74.3±7.99 (31),69.58±6.15 (20),76.66±12.5 (41),76.05±7.18 (31),74.3±7.71 (34),74.91±8.44 (35),76.07±4.9 (36),74.91±8.18 (50),74.3±4.03 (51),73.14±8.7 (36),73.09±5.69 (55),74.91±9.64 (67),73.71±9.16 (59),72.55±11.53 (62),72.54±9.33 (63),73.09±10.29 (61)
colon,86.79±9.59 (89),87.05±10.7 (11),78.72±11.52 (2),88.33±13.94 (4),85.38±10.93 (4),86.79±12.7 (4),86.92±7.67 (7),88.46±9.56 (33),87.05±9.49 (20),88.33±17.28 (7),90.0±10.87 (6),88.46±9.56 (46),88.33±11.18 (12),86.79±12.7 (4),86.92±9.41 (18),90.13±9.16 (47),88.59±4.81 (33),88.46±9.56 (47),88.33±12.64 (4),78.72±15.39 (2),88.46±7.53 (17),86.92±9.41 (6),88.46±9.56 (5),86.92±9.41 (13),88.59±7.26 (11),90.13±9.16 (27),90.13±9.16 (36),90.0±10.87 (41),88.46±9.56 (26),88.59±7.26 (29),90.0±10.87 (36),88.59±9.35 (54),88.59±9.35 (52),90.13±7.02 (40),88.72±4.36 (57),88.46±9.56 (50)
leukemia,100.0±0.0 (9),100.0±0.0 (27),97.33±5.96 (4),100.0±0.0 (6),100.0±0.0 (7),100.0±0.0 (7),100.0±0.0 (12),100.0±0.0 (7),100.0±0.0 (16),100.0±0.0 (12),100.0±0.0 (8),100.0±0.0 (25),100.0±0.0 (18),100.0±0.0 (18),100.0±0.0 (11),100.0±0.0 (35),100.0±0.0 (14),100.0±0.0 (18),100.0±0.0 (16),95.81±6.34 (4),100.0±0.0 (8),100.0±0.0 (7),100.0±0.0 (9),100.0±0.0 (9),100.0±0.0 (13),100.0±0.0 (9),100.0±0.0 (13),100.0±0.0 (10),100.0±0.0 (16),100.0±0.0 (16),100.0±0.0 (12),100.0±0.0 (15),100.0±0.0 (15),100.0±0.0 (12),100.0±0.0 (18),100.0±0.0 (17)
