dataset_name,KBest,mRMR_FCD,mRMR_FCQ,KGroups (P=0.1),KGroups (P=0.1S),KGroups (P=0.3),KGroups (P=0.3S),KGroups (P=0.5),KGroups (P=0.5S),KGroups (P=0.7),KGroups (P=0.7S),KGroups (P=1.0),KGroups (P=1.3),KGroups (P=1.3S),KGroups (P=1.5),KGroups (P=1.5S),KGroups (P=1.7),KGroups (P=1.7S),KGroups (P=2.0),KGroups (P=2.0S),KGroups++ (P=0.1),KGroups++ (P=0.1S),KGroups++ (P=0.3),KGroups++ (P=0.3S),KGroups++ (P=0.5),KGroups++ (P=0.5S),KGroups++ (P=0.7),KGroups++ (P=0.7S),KGroups++ (P=1.0),KGroups++ (P=1.3),KGroups++ (P=1.3S),KGroups++ (P=1.5),KGroups++ (P=1.5S),KGroups++ (P=1.7),KGroups++ (P=1.7S),KGroups++ (P=2.0),KGroups++ (P=2.0S)
ALLAML,93.05,94.38,94.38,93.05,94.38,94.38,94.38,95.71,95.71,95.71,95.71,95.71,95.71,95.71,95.71,95.71,95.71,95.71,95.71,95.71,93.05,93.05,93.05,94.48,94.38,94.48,94.48,94.48,94.48,94.48,94.48,95.9,95.9,95.9,95.9,94.57,97.33
CLL_SUB_111,71.15,68.38,80.08,63.04,75.61,69.25,70.32000000000001,75.61,69.49,70.24000000000001,73.87,73.83,76.48,72.02,67.63,73.95,76.52,75.64999999999999,80.99,72.89,71.15,82.92,79.25,85.53,86.44,84.7,85.57000000000001,83.78999999999999,81.94,82.92,82.92,82.85,83.78999999999999,82.85,81.07,83.78999999999999,82.02000000000001
Carcinom,67.54,85.61,90.22,28.17,29.33,28.17,32.79,29.33,32.82,32.79,44.86,41.82,61.5,64.37,67.24,62.67,70.69,75.26,70.76,71.28,35.699999999999996,35.699999999999996,35.699999999999996,35.699999999999996,35.699999999999996,35.699999999999996,35.699999999999996,47.7,49.41,64.39,56.87,68.92,67.82000000000001,73.00999999999999,71.26,74.17,71.82
GLIOMA,76.0,76.0,78.0,56.00000000000001,76.0,74.0,76.0,82.0,78.0,78.0,82.0,84.0,78.0,80.0,82.0,82.0,78.0,80.0,78.0,82.0,62.0,82.0,76.0,86.0,82.0,86.0,86.0,86.0,88.0,86.0,84.0,84.0,88.0,86.0,86.0,84.0,86.0
GLI_85,92.94,92.94,92.94,92.94,94.12,92.94,92.94,92.94,91.76,92.94,94.12,92.94,95.29,92.94,94.12,92.94,91.76,94.12,92.94,94.12,94.12,94.12,94.12,92.94,94.12,94.12,94.12,94.12,94.12,94.12,94.12,94.12,94.12,94.12,94.12,95.29,94.12
Prostate_GE,94.19,94.14,94.14,91.24,94.1,93.19,96.05,96.05,96.05,97.05,94.14,94.14,95.1,94.14,95.1,95.05,94.14,94.14,95.05,95.14,92.19,93.14,92.19,94.14,94.14,95.1,94.14,94.14,95.14,95.1,95.14,95.1,95.14,95.14,95.14,97.05,95.1
SMK_CAN_187,74.32,73.81,76.94,74.3,70.54,74.32,70.06,72.7,70.61,71.64,70.55,69.5,68.95,69.5,70.03,68.42,68.46,67.41,68.97999999999999,68.45,76.97,74.81,74.83999999999999,74.81,74.81,73.81,73.83,74.35000000000001,73.78,73.81,74.33999999999999,74.33999999999999,74.86,74.86,74.28,73.83999999999999,75.44999999999999
TOX_171,36.97,66.05,73.72999999999999,59.63,70.77,68.47,73.7,71.36,73.75,69.63000000000001,69.61,71.98,72.0,69.58,71.92,71.95,70.19999999999999,76.07000000000001,67.88,73.09,62.55,69.61,64.4,67.9,69.63000000000001,70.78999999999999,68.47,70.17999999999999,69.61,69.04,69.04,70.77,69.61,67.85,70.17999999999999,67.85,69.63000000000001
colon,88.59,90.13,93.33,88.59,91.79,90.13,91.67,90.0,90.13,90.0,90.0,91.67,88.46000000000001,90.13,90.26,90.0,90.0,91.79,88.46000000000001,91.92,90.13,93.33,93.33,90.13,91.67,93.33,93.33,93.33,91.67,93.33,91.67,90.13,90.0,90.13,91.67,88.59,90.13
leukemia,100.0,100.0,100.0,97.33,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,94.48,98.67,98.67,100.0,98.67,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.67,100.0
lung,94.59,93.6,95.55,74.88,93.13,89.12,95.06,93.57,94.59,95.09,94.1,95.05,94.57,95.07,96.09,95.07,94.56,94.57,94.55,94.59,82.73,96.05,91.15,96.06,96.05,96.06,96.05,96.56,96.55,95.57,96.06,96.06,96.55,95.57,96.07,96.06,95.57
lung_discrete,85.14,85.14,87.71,72.67,86.38,89.14,90.48,84.86,85.14,87.71,84.86,87.71,84.95,85.05,87.71,84.86,86.38,86.29,86.29,89.05,61.809999999999995,87.71,83.62,86.29,86.38,87.52,85.05,86.48,86.38,87.62,86.29,86.48,89.14,85.05,86.29,86.29,85.05
lymphoma,85.63,83.53,88.63,81.37,85.58,84.53,87.58,93.79,88.68,85.58,87.68,87.63,85.58,84.53,84.42,86.58,86.53,87.58,86.53,84.53,80.32000000000001,86.63,84.47,87.74,88.74,88.79,88.79,88.63,87.68,87.74,87.74,87.74,87.74,88.74,90.79,88.68,87.74
nci9,65.0,63.33,68.33,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,21.67,21.67,21.67,21.67,21.67,21.67,21.67,21.67,21.67,21.67,21.67,21.67,21.67,21.67,21.67,21.67,21.67
