dataset_name,KBest,mRMR_MID,mRMR_MIQ,KGroups (P=0.1),KGroups (P=0.1S),KGroups (P=0.3),KGroups (P=0.3S),KGroups (P=0.5),KGroups (P=0.5S),KGroups (P=0.7),KGroups (P=0.7S),KGroups (P=1.0),KGroups (P=1.3),KGroups (P=1.3S),KGroups (P=1.5),KGroups (P=1.5S),KGroups (P=1.7),KGroups (P=1.7S),KGroups (P=2.0),KGroups (P=2.0S),KGroups++ (P=0.1),KGroups++ (P=0.1S),KGroups++ (P=0.3),KGroups++ (P=0.3S),KGroups++ (P=0.5),KGroups++ (P=0.5S),KGroups++ (P=0.7),KGroups++ (P=0.7S),KGroups++ (P=1.0),KGroups++ (P=1.3),KGroups++ (P=1.3S),KGroups++ (P=1.5),KGroups++ (P=1.5S),KGroups++ (P=1.7),KGroups++ (P=1.7S),KGroups++ (P=2.0),KGroups++ (P=2.0S)
ALLAML,98.57,100.0,100.0,97.24,98.57,98.57,98.67,98.57,98.67,98.67,98.57,98.67,98.67,100.0,98.67,98.67,98.57,98.67,100.0,98.67,97.14,98.57,98.57,98.57,98.57,98.57,98.57,98.57,98.57,98.57,98.57,98.57,98.57,98.57,98.57,98.57,98.57
CLL_SUB_111,84.66,90.03999999999999,90.03999999999999,85.53,83.78999999999999,83.75,83.75,83.67999999999999,84.66,83.75,82.85,84.66,82.80999999999999,83.75,81.94,83.78999999999999,82.80999999999999,84.61999999999999,82.02000000000001,82.02000000000001,84.7,86.56,85.61,84.74000000000001,83.83,83.83,85.57000000000001,84.74000000000001,84.74000000000001,83.87,84.78,85.53,83.78999999999999,83.78999999999999,85.57000000000001,85.57000000000001,83.78999999999999
Carcinom,92.5,92.52,91.92,89.05999999999999,91.36,91.95,91.36,91.36,91.36,91.36,90.22,90.2,89.05999999999999,89.64999999999999,89.03999999999999,90.22,88.49000000000001,90.2,89.05999999999999,89.05999999999999,90.76,92.52,91.95,91.95,93.66,91.93,90.79,93.09,91.34,90.76,90.79,89.63,90.2,89.08,90.2,87.92,88.49000000000001
GLIOMA,86.0,90.0,88.0,88.0,86.0,90.0,90.0,90.0,84.0,84.0,86.0,84.0,84.0,86.0,86.0,86.0,82.0,86.0,84.0,86.0,86.0,88.0,88.0,88.0,86.0,86.0,88.0,88.0,86.0,88.0,86.0,88.0,86.0,86.0,86.0,86.0,88.0
GLI_85,96.47,97.65,96.47,96.47,97.65,97.65,97.65,96.47,96.47,96.47,96.47,97.65,96.47,96.47,96.47,97.65,96.47,96.47,96.47,96.47,96.47,97.65,96.47,97.65,96.47,96.47,96.47,96.47,96.47,96.47,96.47,97.65,96.47,96.47,95.29,96.47,96.47
Prostate_GE,94.1,96.05,97.05,96.05,95.1,95.1,96.05,95.1,95.1,95.1,96.05,95.1,95.1,95.1,95.1,95.1,95.1,96.05,95.1,96.05,94.1,95.1,95.1,95.1,95.1,95.1,95.1,95.1,95.1,95.1,95.1,95.1,95.1,95.1,95.1,95.1,95.1
SMK_CAN_187,76.49000000000001,73.81,68.96,75.94999999999999,75.41,75.41,75.92,75.42,73.83999999999999,74.3,74.85000000000001,73.3,74.3,73.24000000000001,72.22,74.31,72.72999999999999,71.15,71.12,72.2,75.92999999999999,72.22,73.24000000000001,72.15,71.67999999999999,72.72,72.2,71.12,72.18,71.12,71.14,70.55,72.19,70.6,71.67999999999999,70.58,70.03
TOX_171,69.03,77.25999999999999,74.33999999999999,67.80000000000001,69.61,68.44,68.52000000000001,70.19999999999999,67.82000000000001,69.08,66.67,69.61,66.67,68.45,67.24,70.76,66.71000000000001,67.24,69.63000000000001,69.01,69.04,63.129999999999995,66.05,61.98,64.87,60.86,60.79,62.0,62.5,58.489999999999995,60.809999999999995,59.040000000000006,60.22,59.63,58.52,56.69,58.440000000000005
colon,90.0,93.46,91.79,91.79,90.26,90.13,91.79,91.92,90.26,90.26,90.26,93.46,91.92,90.13,91.79,93.46,90.13,90.13,90.26,91.67,91.79,88.59,90.0,88.46000000000001,90.0,90.0,88.46000000000001,88.46000000000001,90.0,90.0,88.46000000000001,88.46000000000001,88.46000000000001,88.59,88.46000000000001,88.46000000000001,88.46000000000001
leukemia,100.0,100.0,98.67,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.67,98.57,98.67,98.57,98.67,98.57,98.57,98.57,98.57,98.57,98.57,98.67
