dataset_name,KBest,mRMR_MID,mRMR_MIQ,KGroups (P=0.1),KGroups (P=0.1S),KGroups (P=0.3),KGroups (P=0.3S),KGroups (P=0.5),KGroups (P=0.5S),KGroups (P=0.7),KGroups (P=0.7S),KGroups (P=1.0),KGroups (P=1.3),KGroups (P=1.3S),KGroups (P=1.5),KGroups (P=1.5S),KGroups (P=1.7),KGroups (P=1.7S),KGroups (P=2.0),KGroups (P=2.0S),KGroups++ (P=0.1),KGroups++ (P=0.1S),KGroups++ (P=0.3),KGroups++ (P=0.3S),KGroups++ (P=0.5),KGroups++ (P=0.5S),KGroups++ (P=0.7),KGroups++ (P=0.7S),KGroups++ (P=1.0),KGroups++ (P=1.3),KGroups++ (P=1.3S),KGroups++ (P=1.5),KGroups++ (P=1.5S),KGroups++ (P=1.7),KGroups++ (P=1.7S),KGroups++ (P=2.0),KGroups++ (P=2.0S)
ALLAML,98.57,98.67,98.57,98.57,98.67,98.67,98.67,98.67,98.67,100.0,98.67,98.67,100.0,98.67,100.0,100.0,98.67,100.0,100.0,100.0,98.57,97.14,97.24,97.14,95.9,97.24,97.24,97.24,97.24,97.24,97.24,97.24,97.24,97.24,97.24,97.24,97.24
CLL_SUB_111,74.78,82.92,80.24,76.6,78.42,76.52,74.86,77.42999999999999,77.55,79.21000000000001,74.86,76.55999999999999,77.47,76.55999999999999,74.74,76.52,75.69,74.78,73.83,78.38000000000001,76.6,81.11,79.33,82.92,81.15,85.61,84.74000000000001,82.96,83.83,83.83,84.7,82.92,84.74000000000001,82.92,82.09,82.02000000000001,82.06
Carcinom,75.87,73.55000000000001,58.099999999999994,73.00999999999999,78.12,77.01,77.01,78.10000000000001,75.21,75.29,76.4,78.74,74.66000000000001,78.71000000000001,77.53,79.9,78.69,79.88,77.53,78.14999999999999,77.55,78.75999999999999,80.97,80.45,80.99,79.29,79.29,78.74,81.03,83.28,81.03,82.72,83.28999999999999,80.47,82.15,78.75999999999999,81.6
GLIOMA,80.0,68.0,52.0,84.0,80.0,82.0,80.0,80.0,82.0,80.0,84.0,78.0,78.0,78.0,80.0,76.0,74.0,78.0,78.0,76.0,72.0,70.0,68.0,66.0,70.0,62.0,64.0,64.0,60.0,60.0,60.0,57.99999999999999,57.99999999999999,56.00000000000001,57.99999999999999,57.99999999999999,57.99999999999999
GLI_85,94.12,94.12,89.41,94.12,95.29,95.29,96.47,96.47,94.12,95.29,94.12,96.47,95.29,94.12,95.29,92.94,94.12,94.12,95.29,94.12,94.12,94.12,94.12,92.94,92.94,92.94,92.94,91.76,91.76,91.76,91.76,92.94,92.94,92.94,92.94,91.76,92.94
Prostate_GE,95.1,95.1,87.33,96.05,94.1,95.1,94.1,95.05,94.1,94.1,94.14,94.1,93.14,94.1,95.05,94.1,94.1,93.14,92.14,92.19,95.05,95.05,95.1,95.1,95.05,94.05,93.1,93.14,92.14,93.1,93.1,91.24,92.1,91.24,91.24,92.1,91.24
SMK_CAN_187,71.61999999999999,67.91,66.23,73.24000000000001,72.2,72.7,70.04,73.72999999999999,72.72,70.57,72.18,70.54,70.04,69.49,70.03,70.58,70.57,70.03,71.07,69.5,71.11,74.32,72.75,73.24000000000001,75.39,72.72999999999999,72.72999999999999,72.72999999999999,74.32,73.27,73.22999999999999,74.86,73.78,73.27,72.72999999999999,71.67999999999999,73.27
TOX_171,64.92,76.62,77.78,65.55,66.72,67.9,67.28,67.25999999999999,71.45,71.33,66.66,65.56,66.08000000000001,70.19999999999999,66.66,69.03,65.48,66.12,66.18,64.89,67.83,61.42999999999999,63.129999999999995,59.06,62.55,60.25,60.29,58.5,58.45,56.74,58.47,58.52,57.95,55.010000000000005,56.169999999999995,54.94,57.330000000000005
colon,91.79,90.38,88.46000000000001,90.38,93.46,90.26,90.38,90.38,88.72,90.13,90.26,90.26,88.72,90.26,90.38,91.92,86.92,88.46000000000001,90.26,86.92,88.59,88.59,90.0,88.46000000000001,88.59,86.92,88.46000000000001,86.92,86.92,86.92,86.92,86.92,86.92,85.38,86.92,85.38,86.92
leukemia,95.81,95.9,98.67,98.67,98.67,98.67,98.67,98.67,98.67,98.67,97.33,98.67,98.67,98.67,98.67,98.67,98.67,97.24,97.24,98.67,98.67,97.24,98.67,97.33,97.24,97.33,97.24,97.24,97.33,97.24,97.24,97.24,97.24,97.24,97.24,97.24,97.24
lung,89.66,94.11,81.76,89.63,94.55,93.57,95.06,94.57,95.59,94.57,96.06,95.06,94.55,94.6,94.56,93.1,94.09,94.1,94.07,94.07,88.14999999999999,93.09,89.12,94.59,93.11,93.6,92.6,93.61,92.61,92.61,92.59,92.6,92.61,92.11,92.09,92.11,92.61
lung_discrete,73.9,78.0,82.38,69.81,78.0,78.29,75.42999999999999,78.19,75.33,76.86,75.24,76.67,74.1,74.0,72.57000000000001,78.0,74.0,76.67,75.42999999999999,73.81,67.05,71.24000000000001,69.81,71.24000000000001,69.89999999999999,72.57000000000001,68.38,68.47999999999999,71.24000000000001,68.57,67.24,67.24,69.89999999999999,70.0,67.24,69.89999999999999,68.67
lymphoma,72.11,77.32,65.58,78.36999999999999,76.21,75.05,75.05,73.11,76.05,78.32000000000001,76.16000000000001,71.78999999999999,74.0,74.0,75.11,73.11,73.89,75.05,73.05,75.11,67.84,70.89,69.84,69.84,69.84,67.78999999999999,70.95,69.95,68.89,69.84,71.95,74.05000000000001,73.0,72.95,74.0,75.0,72.0
nci9,40.0,40.0,33.33,41.67,43.33,43.33,40.0,50.0,40.0,48.33,41.67,48.33,46.67,41.67,41.67,45.0,36.67,40.0,41.67,38.33,41.67,45.0,46.67,45.0,46.67,45.0,45.0,43.33,46.67,48.33,43.33,43.33,41.67,43.33,45.0,41.67,45.0
