dataset_name,KBest,mRMR_RFCQ,KGroups (P=0.1),KGroups (P=0.1S),KGroups (P=0.3),KGroups (P=0.3S),KGroups (P=0.5),KGroups (P=0.5S),KGroups (P=0.7),KGroups (P=0.7S),KGroups (P=1.0),KGroups (P=1.3),KGroups (P=1.3S),KGroups (P=1.5),KGroups (P=1.5S),KGroups (P=1.7),KGroups (P=1.7S),KGroups (P=2.0),KGroups (P=2.0S),KGroups++ (P=0.1),KGroups++ (P=0.1S),KGroups++ (P=0.3),KGroups++ (P=0.3S),KGroups++ (P=0.5),KGroups++ (P=0.5S),KGroups++ (P=0.7),KGroups++ (P=0.7S),KGroups++ (P=1.0),KGroups++ (P=1.3),KGroups++ (P=1.3S),KGroups++ (P=1.5),KGroups++ (P=1.5S),KGroups++ (P=1.7),KGroups++ (P=1.7S),KGroups++ (P=2.0),KGroups++ (P=2.0S)
ALLAML,98.67±2.98 (37),98.67±2.98 (12),98.57±3.19 (3),100.0±0.0 (14),98.57±3.19 (3),100.0±0.0 (7),100.0±0.0 (12),100.0±0.0 (13),100.0±0.0 (10),100.0±0.0 (11),100.0±0.0 (8),100.0±0.0 (9),100.0±0.0 (19),100.0±0.0 (10),100.0±0.0 (14),100.0±0.0 (21),100.0±0.0 (9),100.0±0.0 (13),100.0±0.0 (26),98.67±2.98 (3),100.0±0.0 (4),100.0±0.0 (4),100.0±0.0 (4),100.0±0.0 (4),100.0±0.0 (4),100.0±0.0 (4),100.0±0.0 (11),100.0±0.0 (12),100.0±0.0 (10),100.0±0.0 (10),100.0±0.0 (10),100.0±0.0 (9),100.0±0.0 (9),100.0±0.0 (12),100.0±0.0 (21),100.0±0.0 (9)
CLL_SUB_111,84.66±5.24 (99),89.17±2.57 (70),77.39±10.79 (8),82.81±6.06 (28),80.08±10.57 (8),83.72±4.24 (27),82.81±7.58 (33),83.72±7.0 (39),83.75±10.0 (19),83.72±7.0 (42),81.98±4.56 (56),83.72±5.32 (41),81.94±4.7 (39),83.68±8.33 (55),82.77±8.21 (61),82.77±10.43 (61),83.72±7.7 (39),83.68±10.52 (45),82.77±9.92 (32),78.26±11.87 (5),77.51±10.55 (21),77.39±9.78 (14),80.24±9.21 (42),78.38±1.97 (29),79.33±12.14 (39),80.2±6.0 (43),80.2±5.07 (32),80.24±8.01 (49),81.11±5.79 (58),81.15±12.84 (57),82.09±8.58 (55),81.11±11.7 (55),82.06±9.37 (57),82.92±4.72 (61),81.15±9.62 (45),83.87±7.87 (65)
Carcinom,77.55±8.83 (78),79.28±7.26 (31),63.21±1.48 (12),78.69±7.11 (36),76.99±7.64 (31),79.83±6.03 (58),79.85±4.76 (49),79.83±8.79 (18),80.45±2.44 (36),78.71±6.72 (32),77.6±5.44 (19),80.99±7.36 (54),79.28±7.26 (42),79.83±7.26 (62),80.45±4.27 (37),82.15±6.01 (46),81.04±8.21 (30),80.4±7.92 (63),78.74±9.59 (35),50.0±5.15 (12),72.4±11.56 (42),71.24±7.92 (36),73.6±11.6 (47),73.55±14.66 (46),75.87±12.38 (67),75.29±12.69 (58),75.88±14.75 (50),74.71±13.01 (59),76.42±12.56 (62),75.88±14.04 (62),75.9±13.73 (62),77.04±11.89 (61),76.4±11.77 (47),76.39±13.9 (48),77.56±11.38 (35),75.28±17.47 (58)
GLIOMA,82.0±8.37 (23),80.0±7.07 (7),68.0±8.37 (2),86.0±13.42 (35),84.0±8.94 (25),82.0±16.43 (33),88.0±13.04 (37),84.0±13.42 (38),84.0±5.48 (26),86.0±8.94 (39),84.0±8.94 (37),82.0±8.37 (27),88.0±8.37 (27),86.0±8.94 (32),86.0±5.48 (7),82.0±8.37 (54),80.0±7.07 (46),82.0±8.37 (20),84.0±11.4 (43),68.0±21.68 (4),82.0±10.95 (13),80.0±12.25 (20),86.0±8.94 (50),82.0±10.95 (16),86.0±8.94 (55),86.0±8.94 (42),86.0±8.94 (54),86.0±11.4 (48),84.0±11.4 (41),86.0±11.4 (51),84.0±11.4 (48),84.0±11.4 (53),86.0±8.94 (63),86.0±8.94 (53),84.0±11.4 (54),84.0±8.94 (21)
GLI_85,94.12±0.0 (11),91.76±6.71 (6),89.41±4.92 (3),94.12±4.16 (19),94.12±0.0 (8),95.29±2.63 (13),94.12±0.0 (17),92.94±2.63 (4),95.29±4.92 (13),95.29±4.92 (23),95.29±2.63 (5),94.12±4.16 (43),94.12±4.16 (10),94.12±4.16 (47),94.12±4.16 (3),94.12±4.16 (33),94.12±4.16 (14),92.94±6.44 (8),95.29±4.92 (7),87.06±9.67 (5),95.29±2.63 (11),94.12±0.0 (11),94.12±4.16 (12),95.29±2.63 (11),94.12±0.0 (10),95.29±2.63 (14),92.94±2.63 (10),94.12±0.0 (11),94.12±0.0 (9),94.12±4.16 (8),94.12±4.16 (46),94.12±4.16 (9),92.94±6.44 (11),94.12±4.16 (10),94.12±7.2 (9),94.12±7.2 (36)
Prostate_GE,96.05±6.51 (9),95.1±6.99 (14),93.19±9.43 (4),94.1±6.45 (6),96.05±6.51 (7),94.1±6.45 (8),95.1±6.99 (7),95.1±6.99 (9),94.14±8.02 (7),93.14±7.4 (14),95.1±6.99 (10),94.1±6.45 (12),93.14±7.4 (18),92.19±6.55 (19),93.19±9.43 (10),94.1±6.45 (25),94.14±8.02 (9),93.14±7.4 (28),94.1±6.45 (14),94.14±6.46 (3),96.05±6.51 (5),96.05±6.51 (6),95.1±6.99 (7),96.05±6.51 (7),96.05±6.51 (5),96.05±6.51 (6),95.1±6.99 (5),95.1±6.99 (5),95.1±6.99 (5),95.1±6.99 (7),96.05±6.51 (3),96.05±6.51 (3),95.1±6.99 (5),96.05±6.51 (3),94.1±8.23 (3),95.1±6.99 (5)
SMK_CAN_187,75.95±7.19 (4),75.92±9.4 (23),75.95±7.19 (4),78.59±9.59 (13),78.61±10.59 (11),75.38±13.98 (16),77.0±15.14 (15),76.43±8.4 (11),75.95±6.66 (10),76.43±11.2 (20),75.95±11.97 (10),74.85±8.83 (14),75.97±9.78 (8),77.01±15.54 (31),76.46±9.07 (8),75.42±6.21 (24),73.77±18.38 (47),73.78±14.39 (23),74.31±16.51 (51),77.03±7.54 (5),78.59±11.41 (13),78.07±10.33 (9),76.49±13.09 (18),77.51±9.35 (13),77.48±11.81 (13),76.46±9.54 (9),77.54±10.21 (12),75.43±15.5 (47),75.39±12.19 (17),75.89±9.16 (12),75.38±15.62 (24),74.84±15.3 (20),74.86±15.72 (25),75.36±11.88 (22),75.41±13.11 (23),77.0±15.14 (20)
TOX_171,74.29±7.81 (59),81.31±6.98 (80),58.45±12.46 (7),73.14±8.7 (28),71.38±4.0 (20),74.86±6.07 (36),71.97±5.02 (33),74.3±4.53 (48),72.55±12.08 (42),73.13±5.04 (39),71.95±4.26 (49),71.95±7.84 (55),73.66±5.6 (41),71.38±8.75 (58),73.68±5.51 (58),71.36±6.92 (47),71.97±11.55 (58),71.39±5.98 (63),70.17±7.92 (17),60.24±9.87 (7),68.44±7.79 (31),67.26±4.25 (19),68.47±7.83 (36),69.01±4.88 (29),67.87±9.14 (48),67.28±6.16 (35),66.05±8.08 (55),67.26±9.11 (39),65.48±8.99 (42),65.51±9.76 (57),65.48±6.47 (47),65.48±6.47 (41),64.34±8.86 (59),67.26±9.11 (68),65.53±8.21 (13),62.55±9.24 (50)
colon,88.46±12.68 (48),88.46±12.68 (65),82.05±13.86 (2),90.0±10.87 (19),88.46±9.56 (12),88.46±12.68 (8),90.0±10.87 (18),90.0±10.87 (34),90.0±10.87 (30),90.13±9.16 (36),90.0±10.87 (12),90.13±9.16 (16),90.0±13.69 (11),90.0±13.69 (39),90.13±7.02 (11),90.0±10.87 (14),90.0±13.69 (23),90.13±9.16 (37),90.13±13.72 (47),75.77±13.02 (2),90.0±10.87 (13),88.46±9.56 (12),90.13±9.16 (23),90.0±10.87 (13),90.13±9.16 (10),90.0±10.87 (10),90.13±9.16 (10),90.13±9.16 (9),91.67±10.21 (21),90.13±9.16 (11),91.67±10.21 (15),91.67±10.21 (11),91.67±10.21 (13),91.67±10.21 (15),90.13±9.16 (12),91.67±10.21 (17)
leukemia,98.67±2.98 (6),98.67±2.98 (40),97.24±3.79 (4),98.67±2.98 (6),98.67±2.98 (5),98.67±2.98 (6),98.67±2.98 (7),98.67±2.98 (7),98.67±2.98 (10),98.67±2.98 (9),98.67±2.98 (10),98.67±2.98 (17),98.67±2.98 (13),98.67±2.98 (16),98.67±2.98 (16),97.33±5.96 (9),98.67±2.98 (16),97.33±5.96 (18),97.33±5.96 (19),94.48±7.57 (3),98.67±2.98 (6),98.67±2.98 (6),98.67±2.98 (6),98.67±2.98 (6),98.67±2.98 (7),98.67±2.98 (8),98.67±2.98 (8),98.67±2.98 (8),97.33±5.96 (6),97.33±5.96 (6),97.24±3.79 (12),97.33±5.96 (7),97.33±5.96 (9),97.24±3.79 (11),97.33±5.96 (10),97.33±5.96 (9)
