dataset_name,KBest,mRMR_MID,mRMR_MIQ,KGroups (P=0.1),KGroups (P=0.1S),KGroups (P=0.3),KGroups (P=0.3S),KGroups (P=0.5),KGroups (P=0.5S),KGroups (P=0.7),KGroups (P=0.7S),KGroups (P=1.0),KGroups (P=1.3),KGroups (P=1.3S),KGroups (P=1.5),KGroups (P=1.5S),KGroups (P=1.7),KGroups (P=1.7S),KGroups (P=2.0),KGroups (P=2.0S),KGroups++ (P=0.1),KGroups++ (P=0.1S),KGroups++ (P=0.3),KGroups++ (P=0.3S),KGroups++ (P=0.5),KGroups++ (P=0.5S),KGroups++ (P=0.7),KGroups++ (P=0.7S),KGroups++ (P=1.0),KGroups++ (P=1.3),KGroups++ (P=1.3S),KGroups++ (P=1.5),KGroups++ (P=1.5S),KGroups++ (P=1.7),KGroups++ (P=1.7S),KGroups++ (P=2.0),KGroups++ (P=2.0S)
ALLAML,98.57±3.19 (22),100.0±0.0 (99),98.57±3.19 (54),98.57±3.19 (4),98.67±2.98 (5),98.57±3.19 (5),100.0±0.0 (9),98.57±3.19 (7),98.67±2.98 (14),100.0±0.0 (37),100.0±0.0 (16),100.0±0.0 (33),98.67±2.98 (75),98.67±2.98 (16),100.0±0.0 (43),100.0±0.0 (58),98.67±2.98 (19),98.67±2.98 (60),98.67±2.98 (29),100.0±0.0 (42),97.24±3.79 (16),98.57±3.19 (34),98.57±3.19 (39),98.57±3.19 (26),98.57±3.19 (16),98.57±3.19 (8),98.57±3.19 (27),98.57±3.19 (6),98.57±3.19 (29),98.57±3.19 (22),98.57±3.19 (9),98.57±3.19 (11),98.57±3.19 (12),98.57±3.19 (9),98.57±3.19 (11),98.57±3.19 (11),98.57±3.19 (9)
CLL_SUB_111,79.25±4.21 (4),86.56±8.85 (51),82.06±6.02 (98),80.2±9.9 (6),79.29±3.98 (42),79.25±2.72 (37),78.34±6.86 (47),81.03±9.94 (35),80.99±9.96 (73),78.42±11.64 (68),78.34±4.0 (78),81.03±5.15 (32),80.24±6.59 (49),76.6±8.64 (58),73.83±5.18 (21),78.34±4.0 (79),74.74±11.02 (94),74.7±7.11 (68),79.37±11.09 (61),78.34±6.06 (80),76.56±8.78 (4),82.89±3.77 (65),78.46±8.36 (9),80.2±5.07 (12),83.79±5.13 (56),81.11±4.82 (8),82.02±5.38 (79),81.98±5.58 (73),81.98±3.23 (78),84.66±5.24 (88),83.79±7.57 (88),81.11±6.62 (56),84.66±6.94 (80),82.92±5.71 (73),82.89±6.72 (83),84.62±6.2 (77),84.62±8.33 (75)
Carcinom,95.38±4.39 (85),96.55±3.13 (90),87.33±6.03 (88),91.92±4.84 (25),94.24±3.55 (69),94.82±4.24 (60),93.09±4.36 (73),95.39±3.27 (75),92.52±3.28 (68),93.66±2.45 (79),93.11±2.54 (87),91.93±6.24 (65),89.61±6.71 (84),91.38±3.5 (93),88.47±7.39 (53),90.22±1.66 (65),90.22±6.28 (76),89.65±2.6 (68),89.06±6.25 (96),91.93±4.76 (84),91.33±6.56 (23),95.39±1.6 (66),95.38±2.65 (47),95.38±2.65 (75),96.52±3.23 (68),94.79±5.22 (72),95.36±4.9 (79),93.06±4.51 (89),93.63±5.28 (83),92.5±3.36 (81),91.92±4.39 (93),91.38±4.04 (88),91.93±3.22 (66),90.76±4.91 (81),91.34±5.46 (94),90.22±6.6 (83),89.63±6.94 (68)
GLIOMA,90.0±0.0 (81),88.0±8.37 (59),76.0±5.48 (53),88.0±4.47 (6),88.0±4.47 (47),90.0±7.07 (54),88.0±10.95 (65),94.0±5.48 (47),88.0±8.37 (68),88.0±4.47 (48),90.0±10.0 (13),86.0±11.4 (61),86.0±11.4 (41),84.0±8.94 (42),82.0±13.04 (31),86.0±11.4 (53),84.0±5.48 (87),86.0±16.73 (69),84.0±13.42 (45),84.0±13.42 (64),86.0±5.48 (22),80.0±12.25 (18),84.0±11.4 (59),84.0±15.17 (17),82.0±14.83 (43),84.0±11.4 (85),86.0±11.4 (78),86.0±5.48 (65),82.0±4.47 (73),84.0±5.48 (42),86.0±11.4 (87),82.0±4.47 (67),82.0±4.47 (41),82.0±8.37 (43),86.0±8.94 (49),84.0±8.94 (65),80.0±7.07 (62)
GLI_85,96.47±3.22 (54),95.29±2.63 (76),92.94±6.44 (51),96.47±3.22 (12),97.65±3.22 (59),96.47±3.22 (18),97.65±3.22 (31),97.65±3.22 (28),96.47±3.22 (40),96.47±5.26 (14),96.47±3.22 (51),96.47±3.22 (41),96.47±3.22 (13),97.65±3.22 (82),95.29±4.92 (71),96.47±3.22 (33),96.47±3.22 (94),95.29±2.63 (49),96.47±3.22 (91),96.47±3.22 (82),97.65±3.22 (13),96.47±3.22 (45),96.47±3.22 (9),96.47±3.22 (76),95.29±4.92 (24),96.47±3.22 (79),96.47±3.22 (64),95.29±4.92 (41),96.47±3.22 (55),94.12±4.16 (32),94.12±4.16 (45),96.47±3.22 (83),96.47±5.26 (88),96.47±5.26 (50),96.47±3.22 (79),96.47±3.22 (38),96.47±3.22 (77)
Prostate_GE,96.05±6.51 (20),97.05±4.45 (83),98.0±4.47 (50),96.05±6.51 (5),96.05±4.17 (22),96.1±5.35 (28),96.1±5.35 (24),97.05±4.45 (25),96.05±4.17 (25),96.1±5.35 (37),96.1±5.35 (29),96.1±5.35 (32),95.1±6.13 (15),96.1±5.35 (33),95.14±4.88 (8),96.05±6.51 (5),96.05±6.51 (7),96.05±6.51 (44),96.1±5.35 (69),96.05±6.51 (53),95.05±6.12 (2),95.14±4.88 (22),96.1±5.35 (18),97.05±4.45 (22),96.05±6.51 (5),95.1±6.99 (21),97.0±6.71 (23),97.05±4.45 (29),95.05±8.66 (20),95.1±6.13 (18),95.1±6.99 (16),95.1±6.99 (36),95.1±6.13 (18),95.1±6.13 (24),95.1±6.13 (30),95.1±6.99 (85),95.1±4.88 (12)
SMK_CAN_187,71.08±14.29 (3),69.0±12.8 (35),67.82±8.2 (4),71.68±10.9 (16),71.74±16.41 (15),71.14±8.27 (6),71.55±13.47 (3),72.7±16.17 (54),71.14±10.72 (72),71.1±11.47 (3),69.5±9.85 (40),71.08±12.95 (3),68.42±9.57 (6),70.03±11.51 (40),68.51±11.56 (95),67.28±10.27 (3),66.33±13.89 (82),68.99±13.36 (63),69.99±10.58 (6),70.06±10.76 (34),72.25±13.2 (15),72.67±10.99 (3),72.19±11.39 (6),72.2±6.57 (64),72.67±10.99 (3),71.65±8.77 (2),71.65±8.77 (2),71.65±8.77 (2),71.65±8.77 (2),71.59±14.24 (8),71.65±8.77 (2),73.21±12.77 (9),73.78±10.1 (18),72.22±10.46 (17),70.57±7.88 (3),70.06±7.56 (12),70.6±11.58 (13)
TOX_171,67.24±8.45 (58),76.05±6.21 (85),77.13±6.52 (69),67.24±9.18 (8),71.26±9.09 (33),68.37±8.33 (19),77.82±7.19 (65),73.66±3.75 (47),71.92±9.25 (68),70.84±8.56 (73),71.98±9.84 (41),71.36±4.68 (43),73.04±10.6 (73),72.59±14.53 (46),69.03±11.23 (64),72.55±9.7 (69),70.12±6.26 (78),70.77±8.51 (91),71.97±13.12 (40),72.57±10.04 (80),63.71±4.69 (11),64.34±5.56 (49),66.66±2.76 (16),66.07±5.02 (67),68.37±8.33 (38),67.78±10.13 (65),67.24±5.7 (68),64.35±8.51 (78),64.3±7.15 (65),64.91±7.51 (78),63.75±4.38 (63),65.53±7.94 (77),62.57±8.16 (78),63.78±6.76 (22),64.37±7.86 (70),62.55±8.75 (75),64.34±9.1 (46)
colon,93.33±10.87 (9),93.46±6.94 (12),88.46±9.56 (19),93.33±9.13 (7),91.67±11.79 (10),93.33±9.13 (18),91.67±10.21 (20),90.26±3.88 (13),90.13±9.16 (44),91.92±8.03 (39),90.26±8.91 (24),90.26±10.68 (30),90.26±10.68 (34),88.72±9.41 (38),88.85±12.19 (25),88.85±8.9 (21),90.26±6.68 (46),90.26±10.68 (55),88.59±9.35 (43),87.18±9.3 (63),91.79±5.9 (7),90.0±13.69 (27),90.13±9.16 (12),88.59±7.26 (27),90.26±6.68 (34),88.46±9.56 (17),88.46±12.68 (18),90.13±9.16 (30),88.46±12.68 (48),88.59±9.35 (46),88.46±12.68 (16),88.59±9.35 (50),88.46±9.56 (44),88.33±13.94 (42),88.59±9.35 (59),86.79±12.7 (43),88.46±9.56 (22)
leukemia,100.0±0.0 (48),100.0±0.0 (37),100.0±0.0 (58),98.67±2.98 (4),100.0±0.0 (27),100.0±0.0 (28),100.0±0.0 (18),100.0±0.0 (20),100.0±0.0 (28),100.0±0.0 (27),100.0±0.0 (38),100.0±0.0 (29),100.0±0.0 (31),100.0±0.0 (34),100.0±0.0 (60),100.0±0.0 (14),100.0±0.0 (23),100.0±0.0 (57),100.0±0.0 (14),100.0±0.0 (27),97.24±3.79 (3),98.67±2.98 (24),98.67±2.98 (7),98.67±2.98 (17),98.67±2.98 (22),98.67±2.98 (26),98.67±2.98 (25),98.67±2.98 (22),98.67±2.98 (19),97.24±3.79 (16),98.67±2.98 (23),97.24±3.79 (20),97.33±5.96 (5),97.24±3.79 (28),97.24±3.79 (20),97.24±3.79 (26),97.24±3.79 (23)
