dataset_name,KBest,mRMR_RFCQ,KGroups (P=0.1),KGroups (P=0.1S),KGroups (P=0.3),KGroups (P=0.3S),KGroups (P=0.5),KGroups (P=0.5S),KGroups (P=0.7),KGroups (P=0.7S),KGroups (P=1.0),KGroups (P=1.3),KGroups (P=1.3S),KGroups (P=1.5),KGroups (P=1.5S),KGroups (P=1.7),KGroups (P=1.7S),KGroups (P=2.0),KGroups (P=2.0S),KGroups++ (P=0.1),KGroups++ (P=0.1S),KGroups++ (P=0.3),KGroups++ (P=0.3S),KGroups++ (P=0.5),KGroups++ (P=0.5S),KGroups++ (P=0.7),KGroups++ (P=0.7S),KGroups++ (P=1.0),KGroups++ (P=1.3),KGroups++ (P=1.3S),KGroups++ (P=1.5),KGroups++ (P=1.5S),KGroups++ (P=1.7),KGroups++ (P=1.7S),KGroups++ (P=2.0),KGroups++ (P=2.0S)
ALLAML,95.81,95.81,95.81,95.81,95.81,95.81,95.81,95.81,95.81,95.9,95.9,95.9,95.9,97.33,97.24,97.33,97.33,97.24,97.33,94.57,97.33,95.9,97.33,97.33,97.33,97.33,97.33,98.67,97.33,97.33,97.33,97.33,97.33,97.33,97.33,97.33
CLL_SUB_111,86.48,86.44,77.42999999999999,83.72,84.61999999999999,84.61999999999999,86.4,85.53,85.53,84.61999999999999,85.57000000000001,85.49,84.66,84.58,84.61999999999999,82.85,82.80999999999999,85.49,85.49,81.03,83.75,83.72,82.85,82.80999999999999,82.85,81.98,82.85,82.02000000000001,82.02000000000001,82.02000000000001,82.92,82.02000000000001,81.11,82.02000000000001,81.15,82.96
Carcinom,71.39999999999999,88.47,66.67,85.04,85.04,88.52,86.2,85.04,86.22,86.2,72.27,86.79,87.92,87.38,87.31,86.22,86.18,88.47,87.36,59.23,83.93,82.19999999999999,83.89999999999999,83.93,85.03,85.08,86.77,86.77,86.79,87.33,86.76,86.77,86.79,87.36,86.81,86.81
GLIOMA,82.0,82.0,80.0,88.0,84.0,84.0,88.0,86.0,88.0,86.0,82.0,84.0,84.0,84.0,84.0,84.0,88.0,84.0,82.0,68.0,80.0,80.0,84.0,80.0,82.0,82.0,80.0,82.0,84.0,82.0,82.0,82.0,84.0,84.0,84.0,84.0
GLI_85,94.12,94.12,90.59,94.12,94.12,95.29,94.12,94.12,94.12,94.12,95.29,95.29,94.12,95.29,94.12,94.12,95.29,95.29,95.29,90.59,94.12,92.94,92.94,94.12,94.12,95.29,91.76,92.94,91.76,92.94,92.94,92.94,92.94,92.94,92.94,92.94
Prostate_GE,96.05,95.05,87.33,93.14,93.14,93.19,93.14,93.19,92.19,93.14,95.05,93.14,93.14,92.24,93.14,92.14,92.24,91.24,92.19,89.29,95.1,95.1,95.1,95.1,95.1,96.05,95.1,95.1,94.1,95.1,94.05,94.14,94.14,94.05,94.05,94.05
SMK_CAN_187,72.75,74.85000000000001,71.66,75.94999999999999,74.83999999999999,76.97,75.42,74.37,76.44,73.83,74.88,74.85000000000001,74.31,74.3,74.89,74.37,74.82,74.31,76.42999999999999,72.72,75.39,76.42999999999999,74.83999999999999,74.86,77.0,75.92999999999999,75.87,77.01,76.44,75.92,75.9,77.01,75.92,77.51,77.48,76.46
TOX_171,33.48,80.15,59.06,72.55,71.98,74.3,73.71,73.7,76.07000000000001,74.32,75.42999999999999,74.89,73.71,73.11,73.14,73.14,71.93,73.76,72.54,59.63,74.3,69.58,76.66,76.05,74.3,74.91,76.07000000000001,74.91,74.3,73.14,73.09,74.91,73.71,72.55,72.54,73.09
colon,86.79,87.05000000000001,78.72,88.33,85.38,86.79,86.92,88.46000000000001,87.05000000000001,88.33,90.0,88.46000000000001,88.33,86.79,86.92,90.13,88.59,88.46000000000001,88.33,78.72,88.46000000000001,86.92,88.46000000000001,86.92,88.59,90.13,90.13,90.0,88.46000000000001,88.59,90.0,88.59,88.59,90.13,88.72,88.46000000000001
leukemia,100.0,100.0,97.33,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,95.81,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
lung,94.07,93.59,94.06,94.57,94.59,95.56,95.07,95.55,95.02,95.07,95.09,95.57,95.06,95.57,95.56,95.56,96.06,95.07,95.07,93.07,95.55,94.09,95.56,95.07,95.56,95.56,95.56,95.07,95.09,95.56,95.57,96.07,95.55,95.59,95.57,95.57
lung_discrete,87.81,89.05,75.24,87.71,89.05,89.05,88.86,89.05,89.24,89.24,89.14,89.14,87.52,91.9,89.14,89.05,87.71,89.24,89.05,75.05,90.38,84.86,90.38,86.38,89.05,89.24,90.48,89.05,89.14,91.62,89.05,88.94999999999999,88.86,93.05,88.94999999999999,90.38
lymphoma,85.58,90.58,60.58,87.58,86.58,88.58,90.68,90.63,92.79,89.74,88.68,90.74,88.74,88.63,88.63,87.58,86.63,86.58,86.63,64.95,86.63,86.63,87.63,85.68,86.63,87.68,86.68,86.58,88.58,87.63,87.63,85.63,87.68,86.63,87.53,87.63
nci9,65.0,70.0,48.33,68.33,63.33,65.0,70.0,65.0,68.33,66.67,65.0,66.67,66.67,65.0,68.33,71.67,66.67,68.33,65.0,30.0,65.0,58.330000000000005,70.0,70.0,70.0,70.0,68.33,71.67,71.67,73.33,71.67,73.33,73.33,71.67,73.33,70.0
