dataset_name,CPU_time (KBest),Wall_time (KBest),CPU_time (mRMR_MIQ),Wall_time (mRMR_MIQ),CPU_time (mRMR_MID),Wall_time (mRMR_MID),CPU_time (P=0.1),Wall_time (P=0.1),CPU_time (P=0.1S),Wall_time (P=0.1S),CPU_time (P=0.3),Wall_time (P=0.3),CPU_time (P=0.3S),Wall_time (P=0.3S),CPU_time (P=0.5),Wall_time (P=0.5),CPU_time (P=0.5S),Wall_time (P=0.5S),CPU_time (P=0.7),Wall_time (P=0.7),CPU_time (P=0.7S),Wall_time (P=0.7S),CPU_time (P=1.0),Wall_time (P=1.0),CPU_time (P=1.3),Wall_time (P=1.3),CPU_time (P=1.3S),Wall_time (P=1.3S),CPU_time (P=1.5),Wall_time (P=1.5),CPU_time (P=1.5S),Wall_time (P=1.5S),CPU_time (P=1.7),Wall_time (P=1.7),CPU_time (P=1.7S),Wall_time (P=1.7S),CPU_time (P=2.0),Wall_time (P=2.0),CPU_time (P=2.0S),Wall_time (P=2.0S),CPU_time++ (P=0.1),Wall_time++ (P=0.1),CPU_time++ (P=0.1S),Wall_time++ (P=0.1S),CPU_time++ (P=0.3),Wall_time++ (P=0.3),CPU_time++ (P=0.3S),Wall_time++ (P=0.3S),CPU_time++ (P=0.5),Wall_time++ (P=0.5),CPU_time++ (P=0.5S),Wall_time++ (P=0.5S),CPU_time++ (P=0.7),Wall_time++ (P=0.7),CPU_time++ (P=0.7S),Wall_time++ (P=0.7S),CPU_time++ (P=1.0),Wall_time++ (P=1.0),CPU_time++ (P=1.3),Wall_time++ (P=1.3),CPU_time++ (P=1.3S),Wall_time++ (P=1.3S),CPU_time++ (P=1.5),Wall_time++ (P=1.5),CPU_time++ (P=1.5S),Wall_time++ (P=1.5S),CPU_time++ (P=1.7),Wall_time++ (P=1.7),CPU_time++ (P=1.7S),Wall_time++ (P=1.7S),CPU_time++ (P=2.0),Wall_time++ (P=2.0),CPU_time++ (P=2.0S),Wall_time++ (P=2.0S)
ALLAML,0:03:12.924337,0:03:14.109770,14:33:52.214913,14:39:15.144907,14:34:08.477700,14:39:29.250258,0:02:53.536346,0:02:54.748473,0:03:15.178044,0:03:16.564178,0:03:01.107660,0:03:02.363400,0:03:12.522018,0:03:13.817467,0:03:05.676587,0:03:06.916672,0:03:12.759059,0:03:14.181132,0:02:55.901246,0:02:57.012332,0:03:11.814967,0:03:13.221071,0:03:06.929712,0:03:08.059729,0:02:56.222775,0:02:57.292019,0:03:13.982603,0:03:15.440510,0:03:08.859071,0:03:10.039672,0:03:17.418976,0:03:18.842457,0:03:06.325999,0:03:07.409186,0:03:14.186918,0:03:15.578699,0:03:28.214112,0:03:29.629071,0:03:15.249138,0:03:16.844498,0:03:00.367714,0:03:01.571746,0:03:14.081229,0:03:15.334547,0:03:09.803318,0:03:11.193610,0:03:14.060447,0:03:15.452015,0:03:14.558570,0:03:15.969980,0:03:13.883104,0:03:15.235198,0:03:15.507075,0:03:16.910027,0:03:14.389798,0:03:15.748489,0:03:14.507032,0:03:15.870901,0:03:11.389231,0:03:12.664141,0:03:09.142704,0:03:10.287997,0:03:10.665621,0:03:11.860301,0:03:08.896720,0:03:10.038751,0:03:11.348467,0:03:12.457086,0:03:09.393852,0:03:10.426253,0:03:02.991042,0:03:04.009072,0:03:02.344047,0:03:03.351428
CLL_SUB_111,0:04:31.931684,0:04:33.578076,"1 day, 2:23:03.379475","1 day, 2:32:42.600313","1 day, 2:23:16.846346","1 day, 2:32:56.909724",0:03:41.364166,0:03:43.018824,0:04:10.787495,0:04:12.495512,0:03:53.508350,0:03:55.128456,0:04:16.931049,0:04:18.639651,0:04:09.614077,0:04:11.725405,0:04:18.624629,0:04:20.476412,0:03:59.504986,0:04:01.007243,0:04:19.161207,0:04:21.123724,0:04:13.414891,0:04:14.941450,0:04:03.722389,0:04:05.206530,0:04:22.763427,0:04:24.582840,0:04:23.768493,0:04:25.830391,0:04:28.470392,0:04:30.573110,0:04:12.424477,0:04:13.884091,0:04:23.690900,0:04:25.536538,0:04:15.810702,0:04:17.337462,0:04:25.752115,0:04:27.911515,0:03:36.297746,0:03:37.760491,0:04:08.564931,0:04:10.176760,0:03:58.517614,0:04:00.241627,0:04:13.319616,0:04:15.131341,0:04:11.148703,0:04:12.958083,0:04:15.183596,0:04:16.940150,0:04:15.161339,0:04:17.003105,0:04:16.137387,0:04:17.928777,0:04:15.409691,0:04:17.181340,0:04:12.120569,0:04:13.753948,0:04:10.504882,0:04:12.005219,0:04:11.821952,0:04:13.379249,0:04:10.743015,0:04:12.238702,0:04:12.488017,0:04:13.901879,0:04:11.397434,0:04:12.752166,0:04:03.681886,0:04:05.014472,0:04:04.690591,0:04:06.030843
Carcinom,0:12:26.861622,0:02:12.244436,"1 day, 2:21:19.934978","1 day, 2:33:25.782916","1 day, 2:48:24.155054","1 day, 3:01:37.971197",0:04:45.830027,0:04:47.633268,0:05:28.976194,0:05:31.062089,0:05:02.871154,0:05:04.856445,0:05:42.217523,0:05:44.480880,0:05:26.349613,0:05:28.848404,0:05:47.052048,0:05:49.643852,0:05:18.279667,0:05:20.160059,0:05:50.241934,0:05:52.659210,0:12:32.989575,0:02:24.233366,0:05:31.322343,0:05:33.168826,0:05:59.237739,0:06:01.602933,0:06:01.530039,0:06:04.117421,0:06:08.829606,0:06:11.555048,0:05:49.960422,0:05:51.830198,0:06:04.111415,0:06:06.658895,0:05:56.713400,0:05:58.727953,0:06:06.912437,0:06:09.803468,0:04:39.201299,0:04:41.031023,0:05:34.448936,0:05:36.519571,0:05:16.929873,0:05:19.112836,0:05:46.693463,0:05:49.274714,0:05:37.873986,0:05:40.165928,0:05:52.655113,0:05:54.955490,0:05:51.275247,0:05:53.666564,0:05:56.417625,0:05:58.767853,0:05:58.841953,0:06:01.358517,0:05:54.405459,0:05:56.565062,0:05:50.012491,0:05:51.985268,0:05:53.454327,0:05:55.503721,0:05:50.761342,0:05:52.730969,0:05:54.583134,0:05:56.425405,0:05:52.726236,0:05:54.497642,0:05:45.817243,0:05:47.604491,0:05:46.262716,0:05:48.024909
GLIOMA,0:03:26.318893,0:03:27.538377,8:32:09.978225,8:35:26.300570,8:36:49.028224,8:40:15.676237,0:03:14.343789,0:03:15.579565,0:03:28.479274,0:03:29.872177,0:03:17.729922,0:03:19.087963,0:03:30.623316,0:03:32.062924,0:03:25.458819,0:03:27.086236,0:03:31.036737,0:03:32.564746,0:03:09.905272,0:03:11.087731,0:03:30.906832,0:03:32.542139,0:03:24.707092,0:03:26.007566,0:03:10.152283,0:03:11.278112,0:03:32.984580,0:03:34.471348,0:03:29.735263,0:03:31.314602,0:03:36.873187,0:03:38.567728,0:03:21.420589,0:03:22.565176,0:03:32.506828,0:03:34.015422,0:03:24.519082,0:03:25.698059,0:03:33.634879,0:03:35.374642,0:03:09.568580,0:03:10.868294,0:03:26.939740,0:03:28.296274,0:03:22.489490,0:03:23.959717,0:03:27.088707,0:03:28.550273,0:03:27.506525,0:03:28.958379,0:03:28.120733,0:03:29.558167,0:03:29.590211,0:03:31.090626,0:03:28.831521,0:03:30.282026,0:03:30.619750,0:03:32.142235,0:03:24.840031,0:03:26.132244,0:03:22.747009,0:03:23.978987,0:03:23.973153,0:03:25.234035,0:03:22.630863,0:03:23.839408,0:03:24.036386,0:03:25.171933,0:03:22.907782,0:03:23.996584,0:03:18.284756,0:03:19.375289,0:03:13.442388,0:03:14.485795
GLI_85,0:03:57.178380,0:03:58.524642,"1 day, 22:36:46.094495","1 day, 22:54:23.601199","1 day, 22:41:17.466565","1 day, 23:00:30.275059",0:03:15.041733,0:03:16.297925,0:03:29.460486,0:03:30.888098,0:03:17.816750,0:03:19.202713,0:03:32.599068,0:03:34.104450,0:03:27.211111,0:03:28.836345,0:03:33.226951,0:03:34.854921,0:03:16.140393,0:03:17.397301,0:03:32.605419,0:03:34.157304,0:03:24.754819,0:03:25.987212,0:03:16.522679,0:03:17.717281,0:03:33.786606,0:03:35.319670,0:03:32.170873,0:03:33.707146,0:03:38.673483,0:03:40.423111,0:03:23.921535,0:03:25.126792,0:03:34.416408,0:03:35.988067,0:03:25.584725,0:03:26.802042,0:03:35.232637,0:03:37.016994,0:03:10.195007,0:03:11.509977,0:03:29.313237,0:03:30.697773,0:03:24.662826,0:03:26.165724,0:03:33.121921,0:03:34.661398,0:03:32.218562,0:03:33.735332,0:03:33.859293,0:03:35.362023,0:03:35.464259,0:03:37.023648,0:03:34.517732,0:03:36.020860,0:03:37.279665,0:03:38.864469,0:03:30.819601,0:03:32.167316,0:03:28.513644,0:03:29.787788,0:03:29.586218,0:03:30.908601,0:03:28.381444,0:03:29.654069,0:03:29.857214,0:03:31.060137,0:03:28.390521,0:03:29.541354,0:03:26.484448,0:03:27.674776,0:03:23.804623,0:03:24.934390
Prostate_GE,0:03:29.613874,0:03:30.795875,13:21:12.769066,13:26:12.889063,13:42:27.751174,13:48:08.171638,0:03:09.231167,0:03:10.465938,0:03:22.466437,0:03:23.874889,0:03:09.880928,0:03:11.222998,0:03:27.195713,0:03:28.662363,0:03:20.559481,0:03:22.145089,0:03:29.010106,0:03:30.549799,0:03:11.171183,0:03:12.417293,0:03:30.141336,0:03:31.795485,0:03:22.783617,0:03:24.024481,0:03:15.954542,0:03:17.166699,0:03:33.314569,0:03:34.848381,0:03:32.872166,0:03:34.400456,0:03:37.809173,0:03:39.465916,0:03:24.473316,0:03:25.692924,0:03:34.310290,0:03:35.871989,0:03:27.657523,0:03:28.908676,0:03:35.190606,0:03:36.979453,0:03:04.726317,0:03:05.990400,0:03:22.743291,0:03:24.129020,0:03:14.279263,0:03:15.710088,0:03:26.522138,0:03:28.031468,0:03:23.924186,0:03:25.395721,0:03:27.456043,0:03:28.926995,0:03:28.696021,0:03:30.231209,0:03:28.769373,0:03:30.263785,0:03:32.014889,0:03:33.579365,0:03:28.077778,0:03:29.419245,0:03:25.135250,0:03:26.403997,0:03:28.122599,0:03:29.452041,0:03:26.288025,0:03:27.561174,0:03:28.385239,0:03:29.592992,0:03:26.364165,0:03:27.517183,0:03:23.429019,0:03:24.588672,0:03:21.599921,0:03:22.731026
SMK_CAN_187,0:05:08.060857,0:05:09.799868,"2 days, 7:23:14.779992","2 days, 7:50:44.606205","2 days, 10:15:22.337616","2 days, 10:38:47.514359",0:04:05.645630,0:04:07.265685,0:04:36.299937,0:04:38.172417,0:04:19.706568,0:04:21.511211,0:04:44.671055,0:04:46.792924,0:04:33.814071,0:04:35.890975,0:04:45.956196,0:04:48.040637,0:04:22.421207,0:04:24.082539,0:04:46.706698,0:04:48.847382,0:04:37.353299,0:04:39.009381,0:04:27.058095,0:04:28.660884,0:04:50.324732,0:04:52.455536,0:04:48.238517,0:04:50.288641,0:04:57.612805,0:04:59.796818,0:04:39.068910,0:04:40.708583,0:04:52.573697,0:04:54.636120,0:04:42.439526,0:04:44.114430,0:04:53.698690,0:04:56.146716,0:03:59.057041,0:04:00.720978,0:04:34.741711,0:04:36.550876,0:04:24.296191,0:04:26.242194,0:04:39.835588,0:04:41.855965,0:04:36.212608,0:04:38.180764,0:04:41.242736,0:04:43.210377,0:04:40.858115,0:04:42.880786,0:04:43.269301,0:04:45.276141,0:04:46.464237,0:04:48.556471,0:04:39.057611,0:04:40.820643,0:04:36.532951,0:04:38.209281,0:04:38.716014,0:04:40.468248,0:04:36.597019,0:04:38.277165,0:04:38.922257,0:04:40.516183,0:04:37.355701,0:04:38.881451,0:04:32.277180,0:04:33.798203,0:04:25.555294,0:04:27.002357
TOX_171,0:14:14.499594,0:03:11.182414,15:43:12.854638,15:49:38.609831,0:46:59.223984,1:36:24.024318,0:04:10.941162,0:04:12.526576,0:04:54.668076,0:04:56.602050,0:04:31.531617,0:04:33.365680,0:05:06.922479,0:05:09.140783,0:04:51.856566,0:04:54.005092,0:05:10.812189,0:05:13.234256,0:04:43.252813,0:04:44.986159,0:05:13.102782,0:05:15.315260,0:05:09.849346,0:05:11.689269,0:04:57.796739,0:04:59.519601,0:05:22.258375,0:05:24.455688,0:05:23.303518,0:05:25.514656,0:05:30.697502,0:05:33.121458,0:05:15.157377,0:05:16.926328,0:05:27.368446,0:05:29.750543,0:05:19.654758,0:05:21.616810,0:05:30.396835,0:05:33.074354,0:04:06.546614,0:04:08.198059,0:04:59.589446,0:05:01.481816,0:04:39.490601,0:04:41.462914,0:05:11.653874,0:05:13.853848,0:05:01.294099,0:05:03.394831,0:05:16.325004,0:05:18.506252,0:05:13.899670,0:05:16.118439,0:05:19.343877,0:05:21.531555,0:05:24.668696,0:05:26.986394,0:05:20.515677,0:05:22.457160,0:05:17.616963,0:05:19.461840,0:05:22.704636,0:05:24.633373,0:05:20.336200,0:05:22.192486,0:05:24.792451,0:05:26.538088,0:05:21.855666,0:05:23.533993,0:05:14.534930,0:05:16.156995,0:05:09.610754,0:05:11.276412
colon,0:03:05.932231,0:03:06.976110,4:04:04.821384,4:05:45.987980,4:02:44.185275,4:04:22.174831,0:03:02.948945,0:03:04.186730,0:03:12.095942,0:03:13.414811,0:03:03.875002,0:03:05.263778,0:03:15.537014,0:03:16.999192,0:03:10.917270,0:03:12.407485,0:03:15.698835,0:03:17.153887,0:02:57.006618,0:02:58.142859,0:03:15.388525,0:03:16.844711,0:03:10.239874,0:03:11.406659,0:02:58.095400,0:02:59.173691,0:03:17.864541,0:03:19.240772,0:03:18.019466,0:03:19.475155,0:03:20.703577,0:03:22.220602,0:03:08.718836,0:03:09.816646,0:03:18.414064,0:03:19.827202,0:03:10.955986,0:03:12.183120,0:03:18.786313,0:03:20.437657,0:02:55.100464,0:02:56.296063,0:03:09.059076,0:03:10.292366,0:03:06.090786,0:03:07.433482,0:03:14.095558,0:03:15.496109,0:03:12.359633,0:03:13.736431,0:03:14.357985,0:03:15.728976,0:03:15.327320,0:03:16.741707,0:03:16.103871,0:03:17.501936,0:03:17.207943,0:03:18.648628,0:03:12.170441,0:03:13.398987,0:03:10.077280,0:03:11.231737,0:03:12.381201,0:03:13.596966,0:03:10.668511,0:03:11.824989,0:03:12.778254,0:03:13.886904,0:03:10.806672,0:03:11.855391,0:03:01.028658,0:03:02.006401,0:03:00.204023,0:03:01.305561
leukemia,0:03:03.982385,0:03:05.028144,15:31:29.695854,15:37:30.560879,16:24:41.600525,16:31:53.379742,0:03:00.778546,0:03:01.938648,0:03:04.145433,0:03:05.399602,0:02:59.337217,0:03:00.745914,0:03:05.031691,0:03:06.411549,0:03:02.014054,0:03:03.446279,0:03:04.402520,0:03:05.882260,0:02:47.394230,0:02:48.462558,0:03:03.890278,0:03:05.256856,0:02:58.641189,0:02:59.729853,0:02:47.927002,0:02:48.936368,0:03:06.416085,0:03:07.741197,0:03:05.638293,0:03:06.976333,0:03:09.777322,0:03:11.190257,0:02:57.409565,0:02:58.435536,0:03:07.870969,0:03:09.211212,0:03:00.271522,0:03:01.329231,0:03:07.769009,0:03:09.309241,0:02:53.772148,0:02:54.969100,0:03:02.167765,0:03:03.349174,0:03:03.019151,0:03:04.365660,0:03:06.405224,0:03:07.750047,0:03:06.636662,0:03:07.983481,0:03:06.266912,0:03:07.559113,0:03:07.683509,0:03:09.045453,0:03:05.972274,0:03:07.282284,0:03:07.589870,0:03:08.961377,0:03:02.460208,0:03:03.619118,0:02:59.934122,0:03:01.021719,0:03:01.940708,0:03:03.087693,0:03:00.204448,0:03:01.297245,0:03:02.704007,0:03:03.746072,0:03:00.912766,0:03:01.898017,0:02:50.665616,0:02:51.574549,0:02:49.961577,0:02:50.895499
