dataset_name,KBest,mRMR_MID,mRMR_MIQ,KGroups (P=0.1),KGroups (P=0.1S),KGroups (P=0.3),KGroups (P=0.3S),KGroups (P=0.5),KGroups (P=0.5S),KGroups (P=0.7),KGroups (P=0.7S),KGroups (P=1.0),KGroups (P=1.3),KGroups (P=1.3S),KGroups (P=1.5),KGroups (P=1.5S),KGroups (P=1.7),KGroups (P=1.7S),KGroups (P=2.0),KGroups (P=2.0S),KGroups++ (P=0.1),KGroups++ (P=0.1S),KGroups++ (P=0.3),KGroups++ (P=0.3S),KGroups++ (P=0.5),KGroups++ (P=0.5S),KGroups++ (P=0.7),KGroups++ (P=0.7S),KGroups++ (P=1.0),KGroups++ (P=1.3),KGroups++ (P=1.3S),KGroups++ (P=1.5),KGroups++ (P=1.5S),KGroups++ (P=1.7),KGroups++ (P=1.7S),KGroups++ (P=2.0),KGroups++ (P=2.0S)
ALLAML,97.24,98.57,90.29,98.57,98.57,100.0,98.57,98.57,98.57,100.0,98.57,100.0,98.57,98.57,100.0,98.57,98.57,98.57,98.57,98.57,95.9,98.57,98.57,98.57,98.57,98.57,97.24,97.24,97.24,97.24,97.24,97.24,97.24,95.81,97.24,95.81,97.24
CLL_SUB_111,74.7,81.94,77.47,78.38000000000001,76.52,78.42,77.51,77.42999999999999,73.08,75.61,76.48,74.74,76.4,71.94,74.74,74.82,73.87,71.23,72.06,73.83,77.42999999999999,78.38000000000001,76.6,80.2,79.33,80.24,79.33,79.33,78.42,79.33,80.24,80.2,79.33,81.11,80.2,78.46,81.98
Carcinom,93.65,93.09,74.66000000000001,92.52,92.5,93.09,91.9,94.25,90.79,92.52,90.2,89.64999999999999,86.13,87.33999999999999,86.74,87.92,83.91999999999999,87.33,83.88,84.49,90.77,94.79,93.04,91.36,92.5,91.95,93.08,90.24,90.24,86.79,89.05999999999999,87.92,87.92999999999999,86.2,87.92,85.61,85.63
GLIOMA,88.0,84.0,62.0,84.0,84.0,84.0,86.0,88.0,88.0,84.0,86.0,80.0,86.0,82.0,82.0,80.0,82.0,84.0,82.0,82.0,84.0,86.0,88.0,88.0,86.0,86.0,86.0,84.0,84.0,82.0,82.0,80.0,80.0,80.0,80.0,76.0,78.0
GLI_85,95.29,96.47,94.12,95.29,97.65,96.47,96.47,97.65,95.29,97.65,96.47,96.47,95.29,95.29,95.29,97.65,94.12,95.29,95.29,95.29,96.47,96.47,96.47,95.29,96.47,95.29,95.29,95.29,95.29,94.12,95.29,95.29,95.29,94.12,94.12,96.47,95.29
Prostate_GE,96.05,96.05,94.24,95.05,95.05,95.1,95.1,95.05,95.1,94.14,95.1,95.1,95.05,95.1,94.1,94.14,95.14,94.1,94.14,95.14,94.1,95.1,95.1,94.1,95.1,94.1,94.14,95.1,94.1,94.14,93.14,94.14,95.14,93.14,94.1,94.14,93.14
SMK_CAN_187,71.67999999999999,70.53,65.85,73.77,73.36,72.72,71.17,73.8,73.21,71.14,70.58,73.83999999999999,71.04,70.6,70.06,70.09,69.02000000000001,70.03,71.17999999999999,71.66,75.96000000000001,71.67999999999999,72.25,72.77,71.69,71.64,73.74000000000001,71.65,72.67,73.76,71.67999999999999,72.16,72.19,71.1,71.1,69.54,70.06
TOX_171,61.970000000000006,74.3,71.95,62.52,67.28,67.21000000000001,64.32,66.74,64.32,65.46,67.24,64.37,66.02,66.08000000000001,64.37,66.07,64.32,63.88,63.23,63.16,63.18,62.029999999999994,61.970000000000006,67.83,60.809999999999995,63.13999999999999,60.24,59.03,58.47,59.01,58.45,57.87,57.24,55.559999999999995,56.08,55.010000000000005,55.03
colon,91.92,93.33,88.72,88.72,91.92,91.92,91.92,93.59,91.79,91.79,93.46,91.92,95.0,93.46,93.46,91.79,91.79,93.46,91.92,95.0,90.26,88.46000000000001,90.0,88.46000000000001,88.72,88.46000000000001,88.46000000000001,90.0,90.0,88.46000000000001,88.59,88.46000000000001,86.92,88.46000000000001,88.46000000000001,86.92,86.92
leukemia,100.0,100.0,98.57,98.67,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.67,98.57,100.0,98.57,100.0,98.57,97.24,98.57,97.24,98.57,97.24,97.24,98.57,97.24,97.24,97.24,97.24
lung,97.52,98.02,95.57,96.55,97.04,97.54,96.55,97.04,96.56,96.55,97.51,96.55,97.52,96.54,96.05,96.06,95.57,96.06,95.09,95.57,95.07,94.6,95.07,93.13,93.59,94.59,94.57,93.6,93.61,92.13,93.12,90.66,91.61,90.65,91.61,90.15,90.12
lung_discrete,91.71,90.38,89.14,78.10000000000001,91.71,89.14,89.14,89.05,87.71,86.19,86.29,86.29,85.14,87.62,86.19,84.86,85.05,84.86,84.86,84.95,76.67,84.86,84.86,83.52000000000001,84.95,83.62,82.28999999999999,83.52000000000001,82.19,85.05,83.52000000000001,83.52000000000001,82.19,83.62,82.19,82.19,83.52000000000001
lymphoma,90.58,93.68,94.79,89.58,90.58,93.68,90.63,91.58,90.58,92.63,91.58,92.63,89.53,88.47,89.58,88.47,88.53,86.47,87.42,89.53,87.47,89.58,90.63,89.58,89.63,87.47,88.53,87.53,85.47,83.32000000000001,83.32000000000001,83.37,85.42,81.26,82.26,81.32000000000001,81.26
nci9,26.67,25.0,21.67,41.67,43.33,45.0,50.0,48.33,45.0,50.0,50.0,50.0,48.33,48.33,45.0,45.0,50.0,46.67,50.0,46.67,43.33,56.67,51.67,53.33,51.67,53.33,50.0,53.33,50.0,51.67,51.67,46.67,50.0,46.67,50.0,46.67,50.0
