dataset_name,KBest,mRMR_MID,mRMR_MIQ,KGroups (P=0.1),KGroups (P=0.1S),KGroups (P=0.3),KGroups (P=0.3S),KGroups (P=0.5),KGroups (P=0.5S),KGroups (P=0.7),KGroups (P=0.7S),KGroups (P=1.0),KGroups (P=1.3),KGroups (P=1.3S),KGroups (P=1.5),KGroups (P=1.5S),KGroups (P=1.7),KGroups (P=1.7S),KGroups (P=2.0),KGroups (P=2.0S),KGroups++ (P=0.1),KGroups++ (P=0.1S),KGroups++ (P=0.3),KGroups++ (P=0.3S),KGroups++ (P=0.5),KGroups++ (P=0.5S),KGroups++ (P=0.7),KGroups++ (P=0.7S),KGroups++ (P=1.0),KGroups++ (P=1.3),KGroups++ (P=1.3S),KGroups++ (P=1.5),KGroups++ (P=1.5S),KGroups++ (P=1.7),KGroups++ (P=1.7S),KGroups++ (P=2.0),KGroups++ (P=2.0S)
ALLAML,98.57±3.19 (4),98.67±2.98 (7),98.57±3.19 (34),98.57±3.19 (2),98.67±2.98 (31),98.67±2.98 (27),98.67±2.98 (40),98.67±2.98 (35),98.67±2.98 (46),100.0±0.0 (24),98.67±2.98 (3),98.67±2.98 (31),100.0±0.0 (11),98.67±2.98 (21),100.0±0.0 (18),100.0±0.0 (20),98.67±2.98 (54),100.0±0.0 (29),100.0±0.0 (23),100.0±0.0 (24),98.57±3.19 (10),97.14±6.39 (23),97.24±3.79 (12),97.14±6.39 (21),95.9±6.02 (15),97.24±3.79 (32),97.24±3.79 (38),97.24±3.79 (76),97.24±3.79 (43),97.24±3.79 (54),97.24±3.79 (34),97.24±3.79 (82),97.24±3.79 (54),97.24±3.79 (64),97.24±3.79 (85),97.24±3.79 (61),97.24±3.79 (73)
CLL_SUB_111,74.78±8.21 (5),82.92±8.6 (32),80.24±6.59 (53),76.6±6.6 (15),78.42±3.39 (60),76.52±8.27 (22),74.86±8.98 (58),77.43±4.75 (48),77.55±8.15 (28),79.21±9.54 (47),74.86±6.28 (32),76.56±2.19 (21),77.47±7.2 (75),76.56±5.04 (48),74.74±2.78 (70),76.52±10.96 (17),75.69±8.18 (85),74.78±9.38 (29),73.83±4.06 (71),78.38±3.77 (50),76.6±9.76 (19),81.11±3.59 (62),79.33±5.81 (45),82.92±7.3 (19),81.15±5.53 (56),85.61±4.85 (23),84.74±8.05 (34),82.96±6.31 (38),83.83±6.68 (36),83.83±4.89 (29),84.7±6.02 (29),82.92±7.98 (27),84.74±5.81 (30),82.92±4.72 (38),82.09±9.16 (36),82.02±7.04 (59),82.06±8.81 (15)
Carcinom,75.87±9.15 (26),73.55±8.96 (34),58.1±7.42 (99),73.01±10.16 (16),78.12±7.1 (27),77.01±8.81 (37),77.01±5.35 (72),78.1±7.49 (41),75.21±12.51 (68),75.29±1.4 (87),76.4±9.47 (51),78.74±6.24 (80),74.66±13.49 (49),78.71±4.07 (30),77.53±12.53 (34),79.9±7.51 (80),78.69±6.82 (92),79.88±7.29 (68),77.53±7.42 (49),78.15±8.5 (68),77.55±11.26 (25),78.76±9.12 (59),80.97±8.72 (54),80.45±3.17 (41),80.99±10.15 (35),79.29±6.26 (46),79.29±12.06 (63),78.74±11.16 (80),81.03±3.32 (47),83.28±12.0 (89),81.03±10.24 (45),82.72±8.45 (75),83.29±7.27 (64),80.47±10.36 (75),82.15±10.27 (77),78.76±7.39 (68),81.6±10.05 (71)
GLIOMA,80.0±7.07 (2),68.0±14.83 (4),52.0±13.04 (4),84.0±8.94 (11),80.0±7.07 (54),82.0±8.37 (21),80.0±7.07 (46),80.0±7.07 (36),82.0±13.04 (79),80.0±7.07 (53),84.0±11.4 (26),78.0±10.95 (24),78.0±13.04 (49),78.0±13.04 (14),80.0±15.81 (38),76.0±15.17 (41),74.0±11.4 (61),78.0±10.95 (54),78.0±14.83 (63),76.0±18.17 (87),72.0±8.37 (8),70.0±15.81 (10),68.0±13.04 (38),66.0±20.74 (14),70.0±20.0 (11),62.0±13.04 (6),64.0±19.49 (30),64.0±20.74 (26),60.0±17.32 (36),60.0±14.14 (45),60.0±7.07 (8),58.0±19.24 (45),58.0±14.83 (47),56.0±15.17 (11),58.0±19.24 (49),58.0±13.04 (41),58.0±16.43 (11)
GLI_85,94.12±4.16 (13),94.12±0.0 (26),89.41±8.72 (79),94.12±4.16 (7),95.29±2.63 (27),95.29±2.63 (38),96.47±3.22 (70),96.47±3.22 (42),94.12±5.88 (50),95.29±2.63 (25),94.12±4.16 (49),96.47±3.22 (49),95.29±2.63 (49),94.12±0.0 (56),95.29±2.63 (44),92.94±2.63 (70),94.12±4.16 (33),94.12±4.16 (52),95.29±2.63 (91),94.12±0.0 (88),94.12±0.0 (14),94.12±4.16 (27),94.12±4.16 (33),92.94±2.63 (26),92.94±2.63 (13),92.94±2.63 (31),92.94±2.63 (41),91.76±3.22 (22),91.76±3.22 (25),91.76±3.22 (50),91.76±3.22 (21),92.94±2.63 (57),92.94±2.63 (78),92.94±2.63 (40),92.94±2.63 (70),91.76±3.22 (24),92.94±2.63 (38)
Prostate_GE,95.1±6.99 (4),95.1±6.99 (11),87.33±7.17 (3),96.05±6.51 (3),94.1±8.89 (3),95.1±6.99 (4),94.1±8.89 (9),95.05±6.12 (2),94.1±8.89 (15),94.1±6.45 (7),94.14±8.02 (9),94.1±8.89 (9),93.14±9.6 (11),94.1±8.89 (10),95.05±6.12 (6),94.1±6.45 (5),94.1±6.45 (8),93.14±7.4 (8),92.14±6.53 (7),92.19±8.77 (6),95.05±6.12 (2),95.05±6.12 (2),95.1±6.99 (3),95.1±6.99 (5),95.05±6.12 (2),94.05±5.49 (3),93.1±8.33 (5),93.14±7.4 (12),92.14±4.46 (7),93.1±8.33 (5),93.1±8.33 (5),91.24±6.34 (2),92.1±5.66 (7),91.24±6.34 (2),91.24±6.34 (2),92.1±7.55 (7),91.24±6.34 (2)
SMK_CAN_187,71.62±17.95 (10),67.91±19.57 (18),66.23±8.72 (4),73.24±17.03 (7),72.2±15.99 (23),72.7±17.1 (20),70.04±20.17 (17),73.73±15.14 (5),72.72±16.13 (10),70.57±16.61 (30),72.18±14.72 (37),70.54±20.14 (37),70.04±13.06 (37),69.49±18.96 (31),70.03±13.05 (41),70.58±16.5 (49),70.57±14.19 (35),70.03±21.21 (55),71.07±18.62 (63),69.5±19.36 (65),71.11±20.4 (21),74.32±17.0 (11),72.75±19.37 (54),73.24±18.58 (22),75.39±13.41 (7),72.73±15.65 (17),72.73±16.11 (23),72.73±16.18 (7),74.32±15.54 (12),73.27±14.7 (19),73.23±18.62 (13),74.86±16.81 (23),73.78±15.53 (11),73.27±15.43 (13),72.73±16.85 (23),71.68±18.15 (31),73.27±15.43 (13)
TOX_171,64.92±4.5 (9),76.62±7.13 (25),77.78±4.89 (99),65.55±7.23 (7),66.72±8.61 (13),67.9±12.37 (36),67.28±10.76 (70),67.26±7.55 (40),71.45±10.11 (33),71.33±8.73 (21),66.66±11.9 (69),65.56±12.58 (69),66.08±19.12 (60),70.2±5.02 (39),66.66±10.35 (52),69.03±7.25 (14),65.48±14.36 (78),66.12±4.0 (20),66.18±10.89 (49),64.89±8.41 (63),67.83±7.51 (11),61.43±7.7 (6),63.13±9.56 (26),59.06±5.53 (56),62.55±6.81 (5),60.25±5.53 (19),60.29±9.08 (6),58.5±5.76 (12),58.45±4.11 (13),56.74±5.48 (14),58.47±4.43 (14),58.52±5.93 (16),57.95±6.19 (10),55.01±4.82 (36),56.17±9.09 (16),54.94±5.19 (3),57.33±6.91 (34)
colon,91.79±10.21 (14),90.38±6.72 (14),88.46±12.68 (18),90.38±6.72 (9),93.46±10.84 (19),90.26±10.68 (23),90.38±6.72 (27),90.38±10.71 (14),88.72±9.41 (17),90.13±13.72 (41),90.26±9.19 (36),90.26±10.68 (37),88.72±9.41 (31),90.26±10.68 (56),90.38±6.72 (22),91.92±8.03 (41),86.92±11.33 (60),88.46±13.99 (81),90.26±9.19 (43),86.92±11.33 (36),88.59±7.6 (6),88.59±7.26 (2),90.0±10.87 (20),88.46±9.56 (20),88.59±7.26 (2),86.92±9.41 (3),88.46±9.56 (26),86.92±9.41 (15),86.92±9.41 (23),86.92±9.41 (14),86.92±9.41 (56),86.92±9.41 (17),86.92±9.41 (16),85.38±7.07 (28),86.92±9.41 (17),85.38±7.07 (21),86.92±9.41 (21)
leukemia,95.81±6.34 (6),95.9±6.02 (14),98.67±2.98 (48),98.67±2.98 (4),98.67±2.98 (8),98.67±2.98 (9),98.67±2.98 (10),98.67±2.98 (8),98.67±2.98 (11),98.67±2.98 (15),97.33±5.96 (4),98.67±2.98 (27),98.67±2.98 (19),98.67±2.98 (13),98.67±2.98 (7),98.67±2.98 (14),98.67±2.98 (12),97.24±3.79 (19),97.24±3.79 (16),98.67±2.98 (26),98.67±2.98 (6),97.24±3.79 (12),98.67±2.98 (9),97.33±5.96 (3),97.24±3.79 (18),97.33±5.96 (3),97.24±3.79 (15),97.24±3.79 (18),97.33±5.96 (4),97.24±3.79 (19),97.24±3.79 (19),97.24±3.79 (22),97.24±3.79 (26),97.24±3.79 (25),97.24±3.79 (22),97.24±3.79 (29),97.24±3.79 (25)
