dataset_name,CPU_time (KBest),Wall_time (KBest),CPU_time (mRMR_FCQ),Wall_time (mRMR_FCQ),CPU_time (mRMR_FCD),Wall_time (mRMR_FCD),CPU_time (P=0.1),Wall_time (P=0.1),CPU_time (P=0.1S),Wall_time (P=0.1S),CPU_time (P=0.3),Wall_time (P=0.3),CPU_time (P=0.3S),Wall_time (P=0.3S),CPU_time (P=0.5),Wall_time (P=0.5),CPU_time (P=0.5S),Wall_time (P=0.5S),CPU_time (P=0.7),Wall_time (P=0.7),CPU_time (P=0.7S),Wall_time (P=0.7S),CPU_time (P=1.0),Wall_time (P=1.0),CPU_time (P=1.3),Wall_time (P=1.3),CPU_time (P=1.3S),Wall_time (P=1.3S),CPU_time (P=1.5),Wall_time (P=1.5),CPU_time (P=1.5S),Wall_time (P=1.5S),CPU_time (P=1.7),Wall_time (P=1.7),CPU_time (P=1.7S),Wall_time (P=1.7S),CPU_time (P=2.0),Wall_time (P=2.0),CPU_time (P=2.0S),Wall_time (P=2.0S),CPU_time++ (P=0.1),Wall_time++ (P=0.1),CPU_time++ (P=0.1S),Wall_time++ (P=0.1S),CPU_time++ (P=0.3),Wall_time++ (P=0.3),CPU_time++ (P=0.3S),Wall_time++ (P=0.3S),CPU_time++ (P=0.5),Wall_time++ (P=0.5),CPU_time++ (P=0.5S),Wall_time++ (P=0.5S),CPU_time++ (P=0.7),Wall_time++ (P=0.7),CPU_time++ (P=0.7S),Wall_time++ (P=0.7S),CPU_time++ (P=1.0),Wall_time++ (P=1.0),CPU_time++ (P=1.3),Wall_time++ (P=1.3),CPU_time++ (P=1.3S),Wall_time++ (P=1.3S),CPU_time++ (P=1.5),Wall_time++ (P=1.5),CPU_time++ (P=1.5S),Wall_time++ (P=1.5S),CPU_time++ (P=1.7),Wall_time++ (P=1.7),CPU_time++ (P=1.7S),Wall_time++ (P=1.7S),CPU_time++ (P=2.0),Wall_time++ (P=2.0),CPU_time++ (P=2.0S),Wall_time++ (P=2.0S)
ALLAML,0:02:56.622324,0:02:57.678664,1:37:44.407260,1:38:11.724795,1:37:58.798532,1:38:25.818718,0:02:57.368091,0:02:58.517792,0:03:07.069664,0:03:08.409853,0:02:50.904363,0:02:52.098777,0:03:07.685647,0:03:08.961889,0:02:58.132135,0:02:59.331455,0:03:09.334956,0:03:10.680426,0:02:52.631138,0:02:53.735042,0:03:09.689666,0:03:11.121658,0:03:04.911087,0:03:06.045101,0:02:53.926667,0:02:54.993530,0:03:11.899486,0:03:13.306516,0:03:06.498637,0:03:07.675974,0:03:15.169273,0:03:16.585044,0:03:03.534964,0:03:04.610194,0:03:11.227707,0:03:12.562375,0:03:25.346354,0:03:26.753412,0:03:12.779273,0:03:14.369356,0:02:49.752267,0:02:50.922580,0:03:02.906150,0:03:04.133099,0:02:58.891838,0:03:00.210463,0:03:06.723551,0:03:08.064808,0:03:05.307120,0:03:06.667434,0:03:07.705477,0:03:09.021697,0:03:09.402402,0:03:10.792127,0:03:09.705017,0:03:11.051732,0:03:09.668762,0:03:11.011046,0:03:06.219806,0:03:07.451767,0:03:04.515277,0:03:05.647608,0:03:05.879499,0:03:07.054354,0:03:04.349056,0:03:05.474088,0:03:05.495448,0:03:06.576162,0:03:04.716663,0:03:05.732846,0:02:57.521564,0:02:58.532571,0:02:57.257663,0:02:58.246748
CLL_SUB_111,0:04:05.060228,0:04:06.458438,2:37:05.307981,2:37:51.896607,2:37:14.989451,2:37:59.664724,0:03:28.208157,0:03:29.584742,0:03:41.661280,0:03:43.192724,0:03:24.254647,0:03:25.680251,0:03:51.722293,0:03:53.300556,0:03:39.753285,0:03:41.565732,0:03:55.939448,0:03:57.658333,0:03:34.729576,0:03:36.097046,0:03:58.571751,0:04:00.433852,0:03:53.583161,0:03:55.003827,0:03:48.990943,0:03:50.398805,0:04:06.516005,0:04:08.252592,0:04:09.946013,0:04:11.903503,0:04:13.888489,0:04:15.743389,0:04:01.114249,0:04:02.502477,0:04:11.223197,0:04:13.000991,0:04:08.627687,0:04:10.149867,0:04:15.476184,0:04:17.579726,0:03:20.798101,0:03:22.163988,0:03:38.916086,0:03:40.349231,0:03:30.447920,0:03:31.984889,0:03:46.879741,0:03:48.509407,0:03:41.575832,0:03:43.182096,0:03:50.804527,0:03:52.392475,0:03:49.821118,0:03:51.498566,0:03:53.126533,0:03:54.757126,0:03:56.951433,0:03:58.679000,0:03:55.712524,0:03:57.265158,0:03:53.183887,0:03:54.601612,0:03:57.663359,0:03:59.152575,0:03:55.374201,0:03:56.799303,0:04:00.070454,0:04:01.432968,0:03:57.283649,0:03:58.579240,0:03:51.670545,0:03:52.943284,0:03:52.379982,0:03:53.674904
Carcinom,0:11:00.337918,0:02:00.935523,2:13:18.920407,2:14:10.659766,2:13:24.967751,2:14:12.139300,0:03:50.824456,0:03:52.433464,0:04:10.511305,0:04:12.142543,0:03:34.732712,0:03:36.209138,0:04:18.719232,0:04:20.474742,0:04:07.148324,0:04:09.076139,0:04:26.376910,0:04:28.408018,0:03:43.862047,0:03:45.250801,0:04:29.398951,0:04:31.352780,0:00:28.958933,0:00:53.579578,0:03:59.161001,0:04:00.569959,0:04:34.937936,0:04:36.871099,0:04:35.383158,0:04:37.453474,0:04:42.908396,0:04:45.068861,0:04:26.530310,0:04:28.020265,0:04:38.661385,0:04:40.693043,0:04:31.450720,0:04:32.981569,0:04:41.354564,0:04:43.634072,0:04:07.372693,0:04:08.999570,0:04:09.526385,0:04:11.119807,0:04:06.742866,0:04:08.467361,0:04:22.851643,0:04:24.621912,0:04:11.090239,0:04:12.854835,0:04:27.352884,0:04:29.137252,0:04:24.516294,0:04:26.350021,0:04:31.122382,0:04:32.964884,0:04:31.208489,0:04:33.132630,0:04:26.056028,0:04:27.752123,0:04:23.882100,0:04:25.426533,0:04:24.265119,0:04:25.874413,0:04:23.080415,0:04:24.622188,0:04:25.349592,0:04:26.807122,0:04:24.029697,0:04:25.422692,0:04:10.568762,0:04:11.928830,0:04:06.729178,0:04:08.070267
GLIOMA,0:03:13.563319,0:03:14.663839,1:01:31.608042,1:01:48.905151,1:01:35.566084,1:01:53.051710,0:03:06.439812,0:03:07.594832,0:03:08.067526,0:03:09.337984,0:02:57.564566,0:02:58.792582,0:03:12.930132,0:03:14.272228,0:03:05.341757,0:03:06.829068,0:03:14.716569,0:03:16.142107,0:02:53.166940,0:02:54.261902,0:03:15.971677,0:03:17.420842,0:03:09.943681,0:03:11.160193,0:02:59.844417,0:03:00.922795,0:03:21.857894,0:03:23.362347,0:03:21.705663,0:03:23.247743,0:03:27.179385,0:03:28.818054,0:03:14.597306,0:03:15.717539,0:03:24.500594,0:03:25.951674,0:03:18.533357,0:03:19.693580,0:03:27.039470,0:03:28.750490,0:03:00.091396,0:03:01.311859,0:03:07.624202,0:03:08.871048,0:03:02.660253,0:03:03.994524,0:03:10.268078,0:03:11.630212,0:03:08.531921,0:03:09.870204,0:03:12.168675,0:03:13.496768,0:03:12.779216,0:03:14.167690,0:03:13.770557,0:03:15.126701,0:03:17.130812,0:03:18.560179,0:03:14.247743,0:03:15.493248,0:03:11.455556,0:03:12.630133,0:03:15.163922,0:03:16.383797,0:03:12.768032,0:03:13.934927,0:03:16.459091,0:03:17.573456,0:03:14.018326,0:03:15.073677,0:03:11.843026,0:03:12.910467,0:03:07.208595,0:03:08.248454
GLI_85,0:03:11.182825,0:03:12.246497,5:04:17.478012,5:05:45.600733,5:04:21.460837,5:05:49.760949,0:03:11.875064,0:03:13.123327,0:03:24.357382,0:03:25.761106,0:03:11.364473,0:03:12.705949,0:03:29.151078,0:03:30.675564,0:03:22.127513,0:03:23.716902,0:03:30.274739,0:03:31.948465,0:03:12.616991,0:03:13.858242,0:03:30.595405,0:03:32.162588,0:03:23.163604,0:03:24.398737,0:03:15.494803,0:03:16.686111,0:03:33.434315,0:03:35.050894,0:03:31.982832,0:03:33.519473,0:03:37.209543,0:03:38.945711,0:03:23.147763,0:03:24.350095,0:03:33.487705,0:03:35.029260,0:03:25.091195,0:03:26.311924,0:03:34.203186,0:03:35.987818,0:03:06.663196,0:03:07.957175,0:03:22.509304,0:03:23.858245,0:03:17.271212,0:03:18.720833,0:03:26.870238,0:03:28.349920,0:03:25.667735,0:03:27.136819,0:03:28.051191,0:03:29.488004,0:03:29.536065,0:03:31.049985,0:03:30.837199,0:03:32.340112,0:03:33.227139,0:03:34.781072,0:03:27.645898,0:03:28.973261,0:03:24.756135,0:03:26.011964,0:03:27.224497,0:03:28.534853,0:03:25.192143,0:03:26.447842,0:03:27.164684,0:03:28.353057,0:03:25.454264,0:03:26.590228,0:03:24.549451,0:03:25.740034,0:03:21.007061,0:03:22.119982
Prostate_GE,0:03:16.340593,0:03:17.445071,1:24:05.036306,1:24:30.650679,1:24:10.218438,1:24:35.980895,0:03:08.893018,0:03:10.144422,0:03:14.034775,0:03:15.387182,0:03:03.150049,0:03:04.450317,0:03:18.881016,0:03:20.265968,0:03:12.102746,0:03:13.588417,0:03:21.601440,0:03:23.168854,0:03:03.250440,0:03:04.450474,0:03:22.797565,0:03:24.319588,0:03:15.639754,0:03:16.834542,0:03:10.769373,0:03:11.956669,0:03:27.460159,0:03:28.975032,0:03:27.918715,0:03:29.418310,0:03:32.191820,0:03:33.893900,0:03:19.807224,0:03:21.005238,0:03:29.517725,0:03:31.075414,0:03:23.379660,0:03:24.610071,0:03:31.647840,0:03:33.438137,0:03:02.177991,0:03:03.420515,0:03:13.890447,0:03:15.206631,0:03:07.817809,0:03:09.211998,0:03:18.118985,0:03:19.575384,0:03:15.275389,0:03:16.692154,0:03:19.752221,0:03:21.171855,0:03:20.316525,0:03:21.800031,0:03:20.959303,0:03:22.395450,0:03:24.780239,0:03:26.297944,0:03:21.360663,0:03:22.669403,0:03:18.429169,0:03:19.664264,0:03:21.924995,0:03:23.222944,0:03:19.398355,0:03:20.633881,0:03:22.939167,0:03:24.121830,0:03:20.687885,0:03:21.812319,0:03:17.848077,0:03:18.981236,0:03:16.565511,0:03:17.672754
SMK_CAN_187,0:04:20.379359,0:04:21.828746,4:43:39.553354,4:46:00.062776,4:42:25.818729,4:43:57.381588,0:04:00.376046,0:04:01.938434,0:04:31.352424,0:04:33.195584,0:04:14.065294,0:04:15.835940,0:04:40.016536,0:04:42.100021,0:04:28.733586,0:04:30.776839,0:04:41.989848,0:04:44.112563,0:04:18.159933,0:04:19.799972,0:04:42.764415,0:04:44.866318,0:04:33.601329,0:04:35.236522,0:04:23.826489,0:04:25.414264,0:04:46.490421,0:04:48.536761,0:04:45.365321,0:04:47.394225,0:04:53.810275,0:04:56.097530,0:04:35.956089,0:04:37.581466,0:04:49.478749,0:04:51.534352,0:04:39.482886,0:04:41.255852,0:04:50.607578,0:04:53.024056,0:03:55.171186,0:03:56.805919,0:04:29.500512,0:04:31.278533,0:04:19.370150,0:04:21.302113,0:04:36.560100,0:04:38.552654,0:04:32.406759,0:04:34.352793,0:04:37.357564,0:04:39.286110,0:04:38.196088,0:04:40.236102,0:04:40.176806,0:04:42.168985,0:04:44.103355,0:04:46.198517,0:04:36.356305,0:04:38.108275,0:04:33.564239,0:04:35.228720,0:04:36.018936,0:04:37.753721,0:04:34.017936,0:04:35.687648,0:04:36.834352,0:04:38.420080,0:04:34.402233,0:04:35.915646,0:04:30.642116,0:04:32.155934,0:04:24.534554,0:04:26.174287
TOX_171,0:13:02.521354,0:02:41.022434,1:22:38.354153,1:23:06.218362,1:22:42.057480,1:23:08.806675,0:04:03.446101,0:04:04.984429,0:04:30.560940,0:04:32.360312,0:04:08.195793,0:04:09.888258,0:04:45.594949,0:04:47.686916,0:04:28.379175,0:04:30.373293,0:04:50.565097,0:04:52.777405,0:04:23.081778,0:04:24.711667,0:04:54.709681,0:04:56.833246,0:04:50.554605,0:04:52.283804,0:04:40.975831,0:04:42.613955,0:05:04.908916,0:05:07.033696,0:05:08.733524,0:05:10.827042,0:05:14.408078,0:05:16.714655,0:05:02.381392,0:05:04.090850,0:05:11.566623,0:05:13.694445,0:05:08.393917,0:05:10.142251,0:05:16.561599,0:05:19.129359,0:03:54.912784,0:03:56.472476,0:04:30.131243,0:04:31.876165,0:04:12.384482,0:04:14.192162,0:04:42.620698,0:04:44.638923,0:04:30.877936,0:04:32.777011,0:04:47.616812,0:04:49.615320,0:04:43.445738,0:04:45.461924,0:04:51.597839,0:04:53.618917,0:04:56.945609,0:04:59.089807,0:04:54.424550,0:04:56.233240,0:04:52.285085,0:04:54.001521,0:04:58.379417,0:05:00.187442,0:04:55.377609,0:04:57.116678,0:05:01.643447,0:05:03.287698,0:04:57.446488,0:04:59.022945,0:04:53.346098,0:04:54.880112,0:04:46.229874,0:04:47.797579
colon,0:03:04.061071,0:03:05.097062,0:29:50.708747,0:30:00.893327,0:29:54.963786,0:30:05.252583,0:02:59.050152,0:03:00.186040,0:03:06.211573,0:03:07.490208,0:02:57.981670,0:02:59.342786,0:03:11.246235,0:03:12.685564,0:03:05.392670,0:03:06.862543,0:03:12.456612,0:03:13.993599,0:02:53.158204,0:02:54.274711,0:03:12.355372,0:03:13.798632,0:03:07.642127,0:03:08.802254,0:02:55.896283,0:02:56.965993,0:03:15.718639,0:03:17.121617,0:03:15.954269,0:03:17.399192,0:03:19.478137,0:03:20.995041,0:03:06.753137,0:03:07.841178,0:03:15.958621,0:03:17.350192,0:03:09.291701,0:03:10.516913,0:03:17.209321,0:03:18.847656,0:02:52.552640,0:02:53.743607,0:03:02.502573,0:03:03.704411,0:02:59.477042,0:03:00.778481,0:03:08.750120,0:03:10.125273,0:03:06.339046,0:03:07.685390,0:03:09.529049,0:03:10.868565,0:03:10.044089,0:03:11.421228,0:03:11.352977,0:03:12.710050,0:03:13.182969,0:03:14.596750,0:03:08.128793,0:03:09.339817,0:03:06.046153,0:03:07.181599,0:03:08.434397,0:03:09.628553,0:03:06.633029,0:03:07.770225,0:03:09.025585,0:03:10.116015,0:03:06.957365,0:03:07.990827,0:02:57.217007,0:02:58.173842,0:02:56.653228,0:02:57.766490
leukemia,0:02:48.433661,0:02:49.362035,1:37:33.752943,1:38:04.887868,1:37:29.465045,1:38:00.538644,0:02:54.000975,0:02:55.120407,0:02:58.280868,0:02:59.505769,0:02:50.817918,0:02:52.169643,0:03:02.951394,0:03:04.339736,0:02:56.876389,0:02:58.284282,0:03:02.507619,0:03:03.993587,0:02:45.616375,0:02:46.692127,0:03:02.391337,0:03:03.761488,0:02:56.958472,0:02:58.059380,0:02:45.614495,0:02:46.631137,0:03:03.574458,0:03:04.862459,0:03:04.089562,0:03:05.438258,0:03:08.195911,0:03:09.633717,0:02:54.217344,0:02:55.239184,0:03:04.697447,0:03:06.007216,0:02:56.878584,0:02:57.928329,0:03:06.063176,0:03:07.621404,0:02:46.363251,0:02:47.500501,0:02:54.030343,0:02:55.163150,0:02:53.659309,0:02:54.949303,0:02:59.924669,0:03:01.237197,0:02:58.690100,0:02:59.981628,0:03:00.665718,0:03:01.939276,0:03:01.530111,0:03:02.854795,0:03:00.169846,0:03:01.449122,0:03:02.139649,0:03:03.489157,0:02:55.948143,0:02:57.084031,0:02:53.585654,0:02:54.649091,0:02:55.569467,0:02:56.684346,0:02:53.911339,0:02:54.974099,0:02:55.365372,0:02:56.378271,0:02:54.337238,0:02:55.299582,0:02:44.312417,0:02:45.195219,0:02:43.843521,0:02:44.756069
