dataset_name,CPU_time (KBest),Wall_time (KBest),CPU_time (mRMR_RFCQ),Wall_time (mRMR_RFCQ),CPU_time (P=0.1),Wall_time (P=0.1),CPU_time (P=0.1S),Wall_time (P=0.1S),CPU_time (P=0.3),Wall_time (P=0.3),CPU_time (P=0.3S),Wall_time (P=0.3S),CPU_time (P=0.5),Wall_time (P=0.5),CPU_time (P=0.5S),Wall_time (P=0.5S),CPU_time (P=0.7),Wall_time (P=0.7),CPU_time (P=0.7S),Wall_time (P=0.7S),CPU_time (P=1.0),Wall_time (P=1.0),CPU_time (P=1.3),Wall_time (P=1.3),CPU_time (P=1.3S),Wall_time (P=1.3S),CPU_time (P=1.5),Wall_time (P=1.5),CPU_time (P=1.5S),Wall_time (P=1.5S),CPU_time (P=1.7),Wall_time (P=1.7),CPU_time (P=1.7S),Wall_time (P=1.7S),CPU_time (P=2.0),Wall_time (P=2.0),CPU_time (P=2.0S),Wall_time (P=2.0S),CPU_time++ (P=0.1),Wall_time++ (P=0.1),CPU_time++ (P=0.1S),Wall_time++ (P=0.1S),CPU_time++ (P=0.3),Wall_time++ (P=0.3),CPU_time++ (P=0.3S),Wall_time++ (P=0.3S),CPU_time++ (P=0.5),Wall_time++ (P=0.5),CPU_time++ (P=0.5S),Wall_time++ (P=0.5S),CPU_time++ (P=0.7),Wall_time++ (P=0.7),CPU_time++ (P=0.7S),Wall_time++ (P=0.7S),CPU_time++ (P=1.0),Wall_time++ (P=1.0),CPU_time++ (P=1.3),Wall_time++ (P=1.3),CPU_time++ (P=1.3S),Wall_time++ (P=1.3S),CPU_time++ (P=1.5),Wall_time++ (P=1.5),CPU_time++ (P=1.5S),Wall_time++ (P=1.5S),CPU_time++ (P=1.7),Wall_time++ (P=1.7),CPU_time++ (P=1.7S),Wall_time++ (P=1.7S),CPU_time++ (P=2.0),Wall_time++ (P=2.0),CPU_time++ (P=2.0S),Wall_time++ (P=2.0S)
ALLAML,0:03:06.226492,0:03:07.296105,1:39:12.769791,1:39:40.406768,0:02:54.710733,0:02:55.995589,0:03:01.277048,0:03:02.561194,0:02:49.765287,0:02:50.971592,0:03:05.103582,0:03:06.374230,0:03:02.485717,0:03:04.045770,0:03:06.871268,0:03:08.157241,0:02:50.708421,0:02:51.803225,0:03:07.462082,0:03:08.901307,0:03:00.199578,0:03:01.295033,0:02:53.389826,0:02:54.458726,0:03:10.200984,0:03:11.654569,0:03:12.325887,0:03:13.860081,0:03:13.964878,0:03:15.467015,0:03:01.950872,0:03:03.030401,0:03:10.093280,0:03:11.472509,0:03:12.616696,0:03:13.863133,0:03:12.075818,0:03:13.673798,0:02:49.236442,0:02:50.399141,0:03:00.265974,0:03:01.467721,0:02:56.657444,0:02:57.967730,0:03:03.223040,0:03:04.543901,0:03:03.086526,0:03:04.442977,0:03:04.783455,0:03:06.074004,0:03:06.471416,0:03:07.842639,0:03:06.653206,0:03:07.972596,0:03:07.208600,0:03:08.552070,0:03:03.257253,0:03:04.479589,0:03:01.248525,0:03:02.361198,0:03:02.960709,0:03:04.126348,0:03:00.864060,0:03:01.978068,0:03:02.710574,0:03:03.784288,0:03:01.839523,0:03:02.846214,0:02:54.680359,0:02:55.671186,0:02:56.252771,0:02:57.241879
CLL_SUB_111,0:04:35.258832,0:04:36.771342,2:40:00.484153,2:40:50.707500,0:03:30.416871,0:03:32.030040,0:03:44.964813,0:03:46.514975,0:03:28.814807,0:03:30.276026,0:03:53.033210,0:03:54.643263,0:03:41.850257,0:03:43.705211,0:03:56.925944,0:03:58.727691,0:03:34.036207,0:03:35.395927,0:03:58.710738,0:04:00.586633,0:03:54.408052,0:03:55.850422,0:03:44.326605,0:03:45.683002,0:04:05.722008,0:04:07.560844,0:04:05.606190,0:04:07.457746,0:04:11.682148,0:04:13.580751,0:03:55.689169,0:03:57.054914,0:04:07.989286,0:04:09.736135,0:03:59.875391,0:04:01.281002,0:04:09.228721,0:04:11.286028,0:03:24.793573,0:03:26.206117,0:03:44.553240,0:03:46.036142,0:03:37.521137,0:03:39.124521,0:03:52.409481,0:03:54.045897,0:03:48.058588,0:03:49.722546,0:03:55.979903,0:03:57.597258,0:03:55.771993,0:03:57.482034,0:03:59.486478,0:04:01.176229,0:04:03.020618,0:04:04.804178,0:03:59.521087,0:04:01.092424,0:03:57.287253,0:03:58.724631,0:03:59.933744,0:04:01.431838,0:03:58.381439,0:03:59.821218,0:04:00.481760,0:04:01.847068,0:03:59.366880,0:04:00.670918,0:03:51.728374,0:03:53.016290,0:03:53.354870,0:03:54.669904
Carcinom,0:15:17.851545,0:02:56.765594,2:18:27.268740,2:19:18.203274,0:04:43.255700,0:04:45.219767,0:05:04.142452,0:05:06.097754,0:04:42.922992,0:04:44.793999,0:05:15.953746,0:05:18.109317,0:05:01.047766,0:05:03.363365,0:05:21.637343,0:05:24.068602,0:04:51.872371,0:04:53.630910,0:05:25.630365,0:05:27.968225,0:09:12.669260,0:01:42.723677,0:05:08.435134,0:05:10.183510,0:05:38.041181,0:05:40.427116,0:05:38.393591,0:05:40.821906,0:05:46.520100,0:05:49.119866,0:05:26.304903,0:05:28.074786,0:05:40.651266,0:05:42.936460,0:05:27.565765,0:05:29.394069,0:05:40.558097,0:05:43.261548,0:04:38.099085,0:04:39.919085,0:05:00.542713,0:05:02.439850,0:04:50.132738,0:04:52.135929,0:05:09.988652,0:05:12.106291,0:05:03.996086,0:05:06.091792,0:05:14.540859,0:05:16.659397,0:05:13.257775,0:05:15.425674,0:05:18.018321,0:05:20.156657,0:05:22.300437,0:05:24.548052,0:05:17.151756,0:05:19.091454,0:05:15.917245,0:05:17.732024,0:05:18.160103,0:05:20.042156,0:05:16.560844,0:05:18.372928,0:05:18.238991,0:05:19.925432,0:05:17.951006,0:05:19.578442,0:05:10.443490,0:05:12.125750,0:05:06.575192,0:05:08.162367
GLIOMA,0:03:08.291609,0:03:09.304326,1:02:37.577286,1:02:55.164910,0:03:09.483718,0:03:10.678980,0:03:17.593141,0:03:18.928511,0:03:05.151056,0:03:06.434929,0:03:22.524158,0:03:23.918279,0:03:14.453933,0:03:16.033903,0:03:23.826466,0:03:25.398775,0:03:02.084419,0:03:03.227856,0:03:24.353385,0:03:25.855429,0:03:16.427377,0:03:17.582369,0:03:04.839994,0:03:05.936513,0:03:27.131691,0:03:28.602607,0:03:24.997216,0:03:26.556650,0:03:31.743303,0:03:33.387298,0:03:17.078977,0:03:18.224623,0:03:27.638383,0:03:29.134537,0:03:18.997987,0:03:20.192237,0:03:28.247360,0:03:29.959985,0:03:03.437265,0:03:04.681348,0:03:16.274913,0:03:17.561014,0:03:10.908956,0:03:12.287404,0:03:21.438410,0:03:22.881331,0:03:18.745072,0:03:20.158366,0:03:23.049373,0:03:24.453511,0:03:22.049619,0:03:23.489619,0:03:23.964684,0:03:25.379116,0:03:26.631346,0:03:28.131192,0:03:21.059056,0:03:22.322794,0:03:19.242806,0:03:20.439003,0:03:20.791151,0:03:22.039557,0:03:19.396014,0:03:20.591573,0:03:20.423853,0:03:21.547460,0:03:19.862762,0:03:20.938573,0:03:14.385294,0:03:15.494935,0:03:09.745657,0:03:10.775850
GLI_85,0:03:59.930246,0:04:01.123662,5:10:35.566508,5:12:26.407887,0:03:08.030806,0:03:09.378976,0:03:12.590361,0:03:13.926466,0:03:02.314022,0:03:03.598846,0:03:17.426065,0:03:18.821108,0:03:10.444209,0:03:11.951303,0:03:19.362832,0:03:20.954978,0:03:02.302248,0:03:03.493715,0:03:20.143201,0:03:21.742276,0:03:13.926976,0:03:15.107727,0:03:09.124060,0:03:10.295318,0:03:26.269842,0:03:27.839772,0:03:25.221770,0:03:26.723279,0:03:31.194577,0:03:32.759279,0:03:16.714210,0:03:17.889415,0:03:27.341572,0:03:28.844341,0:03:18.568906,0:03:19.763675,0:03:28.821592,0:03:30.565336,0:03:03.256214,0:03:04.532081,0:03:11.532245,0:03:12.794922,0:03:07.743494,0:03:09.130725,0:03:15.368088,0:03:16.778780,0:03:14.376153,0:03:15.777282,0:03:17.504966,0:03:18.897141,0:03:17.825728,0:03:19.271460,0:03:20.018114,0:03:21.455883,0:03:23.290826,0:03:24.795221,0:03:19.087548,0:03:20.372211,0:03:15.707890,0:03:16.917986,0:03:18.546695,0:03:19.815429,0:03:16.644326,0:03:17.858374,0:03:19.075251,0:03:20.228868,0:03:17.322605,0:03:18.420194,0:03:16.145785,0:03:17.294115,0:03:13.181106,0:03:14.261003
Prostate_GE,0:03:25.964808,0:03:27.100335,1:25:36.507073,1:26:02.581538,0:03:06.179749,0:03:07.392493,0:03:14.162022,0:03:15.514839,0:03:02.872679,0:03:04.169440,0:03:19.191780,0:03:20.617416,0:03:11.753063,0:03:13.237944,0:03:20.879377,0:03:22.528823,0:03:02.971188,0:03:04.170845,0:03:21.689404,0:03:23.226110,0:03:14.922527,0:03:16.115279,0:03:09.986317,0:03:11.173978,0:03:27.124623,0:03:28.684320,0:03:27.394282,0:03:28.892864,0:03:32.937819,0:03:34.664730,0:03:19.455473,0:03:20.653241,0:03:28.857845,0:03:30.358402,0:03:23.008164,0:03:24.342746,0:03:31.243360,0:03:33.028658,0:03:02.132092,0:03:03.408298,0:03:13.426551,0:03:14.738577,0:03:08.435203,0:03:09.843282,0:03:17.129440,0:03:18.573443,0:03:15.377909,0:03:16.799771,0:03:18.739934,0:03:20.148590,0:03:18.878260,0:03:20.348666,0:03:20.264565,0:03:21.701121,0:03:23.744246,0:03:25.257478,0:03:19.993351,0:03:21.291172,0:03:17.153816,0:03:18.376749,0:03:20.394391,0:03:21.680197,0:03:18.296752,0:03:19.527425,0:03:21.526710,0:03:22.702296,0:03:19.145137,0:03:20.261260,0:03:16.301728,0:03:17.428916,0:03:15.120016,0:03:16.220292
SMK_CAN_187,0:06:18.932200,0:06:20.784617,4:48:43.106592,4:51:21.065478,0:03:41.725512,0:03:43.161659,0:04:07.080941,0:04:08.780731,0:03:49.114686,0:03:50.725139,0:04:18.386388,0:04:20.332190,0:04:05.043670,0:04:06.921157,0:04:21.484263,0:04:23.577740,0:03:57.316268,0:03:58.844388,0:04:24.190498,0:04:26.149634,0:04:19.538044,0:04:21.163277,0:04:09.552813,0:04:11.067009,0:04:31.864336,0:04:33.736976,0:04:31.253894,0:04:33.202084,0:04:38.591654,0:04:40.723926,0:04:21.956765,0:04:23.513861,0:04:34.662159,0:04:36.624435,0:04:23.431450,0:04:25.071674,0:04:35.507600,0:04:37.809727,0:03:36.741009,0:03:38.243400,0:04:08.454570,0:04:10.101897,0:03:54.202872,0:03:55.908685,0:04:16.828762,0:04:18.708723,0:04:08.669422,0:04:10.443719,0:04:19.907440,0:04:21.754044,0:04:19.100585,0:04:20.988541,0:04:22.754087,0:04:24.634106,0:04:27.736191,0:04:29.719912,0:04:23.472929,0:04:25.149585,0:04:21.189866,0:04:22.788911,0:04:23.384354,0:04:25.050470,0:04:21.435921,0:04:23.039950,0:04:23.570515,0:04:25.086566,0:04:22.094692,0:04:23.547384,0:04:15.550369,0:04:16.991892,0:04:08.449088,0:04:09.901033
TOX_171,0:12:33.690412,0:02:33.218021,1:26:03.237936,1:26:34.879077,0:04:02.509257,0:04:04.034485,0:04:23.493227,0:04:25.244938,0:04:04.664916,0:04:06.337467,0:04:37.821323,0:04:39.863837,0:04:23.729377,0:04:25.734958,0:04:41.773285,0:04:43.954381,0:04:15.446471,0:04:17.037744,0:04:45.815181,0:04:48.015769,0:04:41.740810,0:04:43.414943,0:04:32.722187,0:04:34.318800,0:04:57.060416,0:04:59.113084,0:05:02.920709,0:05:05.333567,0:05:05.051942,0:05:07.425931,0:04:50.910021,0:04:52.539033,0:05:02.459330,0:05:04.684754,0:04:52.034758,0:04:53.811907,0:05:04.857839,0:05:07.345443,0:03:55.634438,0:03:57.203736,0:04:19.986954,0:04:21.661336,0:04:09.099779,0:04:10.873249,0:04:35.126232,0:04:37.099778,0:04:24.197423,0:04:26.042592,0:04:39.336645,0:04:41.280778,0:04:36.465720,0:04:38.438830,0:04:43.775047,0:04:45.743892,0:04:47.797302,0:04:49.865896,0:04:46.993235,0:04:48.764832,0:04:44.434095,0:04:46.111384,0:04:48.805912,0:04:50.562276,0:04:46.631625,0:04:48.320740,0:04:50.380694,0:04:51.980340,0:04:47.877931,0:04:49.415070,0:04:36.510196,0:04:37.971133,0:04:33.924697,0:04:35.446570
colon,0:02:54.756049,0:02:55.758400,0:31:00.620622,0:31:11.439446,0:02:53.321805,0:02:54.436009,0:02:58.999614,0:03:00.229299,0:02:52.186257,0:02:53.499816,0:03:04.066082,0:03:05.460656,0:02:58.062620,0:02:59.485485,0:03:04.518214,0:03:06.011682,0:02:46.639327,0:02:47.720262,0:03:05.613620,0:03:06.997409,0:03:01.114649,0:03:02.240228,0:02:51.161084,0:02:52.208350,0:03:09.886390,0:03:11.210658,0:03:11.409323,0:03:12.816929,0:03:14.483314,0:03:15.965169,0:03:02.056883,0:03:03.125127,0:03:12.695626,0:03:14.081593,0:03:04.958944,0:03:06.165237,0:03:13.837145,0:03:15.464161,0:02:45.958793,0:02:47.088241,0:02:55.109382,0:02:56.262701,0:02:55.062229,0:02:56.360536,0:03:01.825032,0:03:03.166593,0:02:59.327404,0:03:00.622985,0:03:02.312567,0:03:03.593296,0:03:02.790951,0:03:04.121933,0:03:03.678992,0:03:04.975354,0:03:06.945726,0:03:08.337841,0:03:02.879717,0:03:04.063695,0:03:00.157838,0:03:01.263021,0:03:03.442418,0:03:04.617462,0:03:01.546573,0:03:02.660125,0:03:04.455298,0:03:05.527526,0:03:02.181887,0:03:03.191648,0:02:54.090936,0:02:55.040060,0:02:51.704728,0:02:52.666606
leukemia,0:02:52.402061,0:02:53.352154,1:39:05.414983,1:39:37.050223,0:02:56.305109,0:02:57.416227,0:03:00.011750,0:03:01.247655,0:02:53.053558,0:02:54.423854,0:03:04.095199,0:03:05.490668,0:02:58.699798,0:03:00.130084,0:03:04.004294,0:03:05.527161,0:02:46.664742,0:02:47.752775,0:03:03.104207,0:03:04.473814,0:02:56.428652,0:02:57.507568,0:02:45.815719,0:02:46.830403,0:03:04.472729,0:03:05.802039,0:03:04.122710,0:03:05.463722,0:03:08.519945,0:03:09.940862,0:02:55.246324,0:02:56.272426,0:03:05.648668,0:03:06.979800,0:02:57.521813,0:02:58.647965,0:03:06.595332,0:03:08.152513,0:02:48.216330,0:02:49.359480,0:02:56.671490,0:02:57.806582,0:02:55.287214,0:02:56.572295,0:03:00.794141,0:03:02.114640,0:03:00.811931,0:03:02.121056,0:03:02.215106,0:03:03.493686,0:03:03.065812,0:03:04.412256,0:03:03.404305,0:03:04.715313,0:03:05.471996,0:03:06.846851,0:02:58.061653,0:02:59.205161,0:02:55.389224,0:02:56.466033,0:02:57.503775,0:02:58.631602,0:02:56.032386,0:02:57.110011,0:02:57.722515,0:02:58.749899,0:02:56.317912,0:02:57.295867,0:02:45.486691,0:02:46.376191,0:02:45.448774,0:02:46.368224
