dataset_name,KBest,mRMR_MID,mRMR_MIQ,KGroups (P=0.1),KGroups (P=0.1S),KGroups (P=0.3),KGroups (P=0.3S),KGroups (P=0.5),KGroups (P=0.5S),KGroups (P=0.7),KGroups (P=0.7S),KGroups (P=1.0),KGroups (P=1.3),KGroups (P=1.3S),KGroups (P=1.5),KGroups (P=1.5S),KGroups (P=1.7),KGroups (P=1.7S),KGroups (P=2.0),KGroups (P=2.0S),KGroups++ (P=0.1),KGroups++ (P=0.1S),KGroups++ (P=0.3),KGroups++ (P=0.3S),KGroups++ (P=0.5),KGroups++ (P=0.5S),KGroups++ (P=0.7),KGroups++ (P=0.7S),KGroups++ (P=1.0),KGroups++ (P=1.3),KGroups++ (P=1.3S),KGroups++ (P=1.5),KGroups++ (P=1.5S),KGroups++ (P=1.7),KGroups++ (P=1.7S),KGroups++ (P=2.0),KGroups++ (P=2.0S)
ALLAML,98.57±3.19 (27),98.67±2.98 (7),97.24±3.79 (59),98.57±3.19 (2),98.67±2.98 (5),100.0±0.0 (5),100.0±0.0 (17),98.57±3.19 (7),98.67±2.98 (14),100.0±0.0 (9),100.0±0.0 (30),100.0±0.0 (33),100.0±0.0 (6),98.67±2.98 (51),98.67±2.98 (50),98.67±2.98 (51),98.67±2.98 (27),100.0±0.0 (57),100.0±0.0 (37),100.0±0.0 (55),95.9±6.02 (16),98.57±3.19 (42),97.24±3.79 (37),97.24±3.79 (38),98.57±3.19 (44),98.57±3.19 (8),97.24±3.79 (40),98.57±3.19 (6),98.57±3.19 (70),97.24±3.79 (48),98.57±3.19 (40),97.24±3.79 (44),98.57±3.19 (57),98.57±3.19 (48),98.57±3.19 (42),98.57±3.19 (8),97.24±3.79 (46)
CLL_SUB_111,76.6±5.77 (16),82.02±7.04 (18),78.46±7.02 (94),78.38±8.73 (4),77.55±5.95 (9),78.26±9.98 (11),78.3±9.98 (47),78.34±4.0 (14),79.21±8.39 (73),77.43±5.74 (15),75.57±14.35 (78),76.6±9.76 (56),76.52±6.12 (20),75.73±6.55 (90),75.73±9.18 (25),75.69±9.35 (52),73.83±6.89 (83),81.23±11.19 (20),76.44±11.89 (83),74.82±4.78 (71),75.73±9.18 (18),79.25±10.02 (5),75.69±7.52 (9),79.37±11.09 (10),79.25±10.02 (5),81.11±9.77 (8),77.67±14.34 (10),79.25±8.33 (8),76.6±7.34 (11),78.34±7.57 (14),79.25±7.68 (11),80.99±11.85 (14),79.25±7.68 (12),77.59±7.88 (23),80.99±11.85 (14),80.16±7.66 (77),78.38±6.72 (12)
Carcinom,94.81±3.78 (89),94.82±3.73 (63),89.08±5.12 (92),86.76±4.89 (25),93.11±1.54 (75),94.24±2.92 (60),92.5±4.85 (75),93.68±4.23 (76),93.66±3.77 (85),93.65±5.2 (79),93.09±3.29 (87),94.81±2.48 (87),90.79±4.74 (87),92.5±5.63 (93),89.06±3.83 (85),90.24±2.53 (71),89.08±2.42 (76),90.79±2.47 (77),88.47±5.48 (81),90.81±5.49 (92),89.63±6.0 (24),94.24±3.55 (74),93.09±3.86 (50),93.65±3.84 (75),94.22±4.16 (64),93.66±2.45 (89),92.5±3.92 (73),93.09±2.6 (85),93.09±1.64 (83),94.82±2.4 (89),90.77±3.3 (81),90.77±3.87 (75),91.92±4.39 (66),90.2±3.41 (88),90.76±7.53 (80),88.52±7.26 (84),89.65±4.36 (65)
GLIOMA,86.0±11.4 (55),84.0±8.94 (4),72.0±13.04 (93),86.0±8.94 (22),88.0±8.37 (46),90.0±10.0 (51),82.0±4.47 (27),90.0±12.25 (35),86.0±8.94 (42),86.0±8.94 (31),88.0±8.37 (81),84.0±11.4 (74),86.0±5.48 (50),88.0±10.95 (46),84.0±5.48 (72),84.0±8.94 (71),82.0±4.47 (71),92.0±8.37 (54),80.0±12.25 (77),80.0±14.14 (36),84.0±5.48 (11),78.0±8.37 (18),80.0±7.07 (16),78.0±10.95 (64),80.0±7.07 (11),74.0±11.4 (6),76.0±8.94 (15),76.0±15.17 (51),76.0±8.94 (7),74.0±16.73 (89),76.0±18.17 (13),74.0±16.73 (57),76.0±11.4 (58),78.0±10.95 (56),74.0±18.17 (47),74.0±11.4 (67),72.0±13.04 (54)
GLI_85,94.12±5.88 (29),90.59±10.69 (14),90.59±3.22 (87),95.29±4.92 (9),96.47±3.22 (55),96.47±5.26 (28),98.82±2.63 (66),96.47±5.26 (64),96.47±3.22 (54),98.82±2.63 (24),97.65±5.26 (22),97.65±3.22 (82),95.29±4.92 (53),96.47±5.26 (43),95.29±4.92 (83),96.47±3.22 (76),96.47±3.22 (94),96.47±3.22 (72),94.12±4.16 (91),95.29±6.44 (49),95.29±2.63 (9),94.12±4.16 (9),94.12±5.88 (10),95.29±4.92 (76),94.12±4.16 (58),95.29±4.92 (49),94.12±7.2 (64),92.94±2.63 (52),96.47±3.22 (80),94.12±4.16 (86),92.94±9.67 (89),97.65±3.22 (86),95.29±4.92 (91),95.29±4.92 (59),95.29±4.92 (83),95.29±6.44 (71),96.47±3.22 (94)
Prostate_GE,96.05±6.51 (20),95.1±3.54 (87),96.14±4.0 (47),95.05±6.12 (5),97.0±4.47 (22),95.05±6.12 (4),95.1±6.13 (51),96.05±6.51 (33),94.14±6.46 (4),96.05±6.51 (19),97.05±4.45 (43),94.19±6.28 (68),95.05±6.12 (72),95.14±4.88 (74),96.1±5.35 (28),97.05±4.45 (76),95.1±6.99 (8),94.14±8.02 (60),96.05±6.51 (47),95.1±6.13 (46),95.05±6.12 (2),95.1±6.13 (4),95.05±6.12 (2),95.05±6.12 (3),96.05±6.51 (5),95.1±6.13 (49),94.19±6.28 (34),95.05±8.66 (26),95.05±6.12 (4),96.05±6.51 (59),95.1±6.99 (60),96.05±6.51 (71),96.05±6.51 (68),96.0±6.52 (9),96.05±6.51 (47),97.0±4.47 (61),96.0±6.52 (9)
SMK_CAN_187,66.83±15.71 (29),67.91±11.81 (18),66.36±14.05 (94),70.1±14.0 (16),72.23±17.97 (15),68.48±11.59 (24),72.16±13.63 (12),71.66±10.49 (32),71.15±12.8 (5),69.53±10.11 (53),66.86±6.56 (19),71.14±10.11 (67),70.65±13.81 (37),68.45±7.52 (41),66.3±10.76 (7),69.6±9.74 (79),67.94±8.66 (75),66.34±12.26 (10),68.45±13.63 (64),68.44±6.89 (30),71.65±11.16 (16),73.77±7.34 (3),73.76±7.62 (4),72.76±11.08 (2),73.77±7.34 (3),72.76±11.08 (2),73.78±5.88 (4),72.76±11.08 (2),72.76±11.08 (2),72.73±11.34 (3),72.76±11.08 (2),73.29±9.68 (16),72.73±11.34 (3),72.2±10.98 (4),72.73±11.34 (3),72.2±10.98 (4),72.2±10.98 (4)
TOX_171,66.64±5.52 (8),67.21±4.16 (93),73.63±6.07 (100),66.64±9.98 (9),67.87±14.15 (19),65.53±6.44 (13),70.79±11.46 (70),68.37±9.31 (26),74.29±9.09 (68),69.56±13.64 (36),68.5±10.83 (74),72.55±7.71 (78),71.9±4.64 (73),67.88±7.16 (46),72.54±7.82 (79),68.97±5.52 (88),67.19±6.63 (78),66.71±9.67 (23),64.96±8.26 (69),67.85±4.0 (80),63.75±4.38 (12),63.14±8.79 (45),62.55±5.39 (17),62.55±5.78 (67),68.37±8.33 (38),67.87±6.68 (77),65.53±5.34 (68),64.87±4.92 (59),63.66±12.06 (55),62.61±5.31 (67),63.19±7.1 (78),64.27±11.05 (83),64.32±4.42 (60),63.09±7.93 (43),61.97±8.67 (53),62.03±8.24 (95),64.34±8.61 (46)
colon,91.92±8.03 (9),88.59±9.62 (6),85.51±8.75 (15),91.79±10.21 (7),90.13±7.02 (12),91.79±8.34 (25),95.0±7.45 (15),90.26±14.77 (19),88.59±7.6 (20),91.79±10.21 (17),87.18±13.04 (44),91.92±11.57 (42),87.18±6.83 (34),90.38±10.71 (34),88.59±13.84 (43),88.72±9.41 (86),85.51±13.44 (60),87.05±7.44 (30),87.05±10.7 (43),90.26±14.77 (47),90.0±10.87 (7),88.59±7.26 (2),88.59±4.81 (30),87.05±4.54 (32),88.59±7.26 (2),88.85±8.9 (33),85.38±7.07 (5),88.59±4.81 (33),86.79±9.59 (14),83.97±5.25 (3),85.26±7.28 (14),85.38±8.63 (17),86.79±12.7 (18),87.05±4.54 (18),85.38±8.63 (17),83.97±5.25 (2),85.38±7.07 (22)
leukemia,98.67±2.98 (13),98.67±2.98 (48),97.24±3.79 (38),98.67±2.98 (6),100.0±0.0 (18),98.67±2.98 (15),100.0±0.0 (30),98.67±2.98 (20),100.0±0.0 (4),100.0±0.0 (46),100.0±0.0 (17),100.0±0.0 (46),100.0±0.0 (79),100.0±0.0 (41),98.67±2.98 (43),100.0±0.0 (6),98.67±2.98 (24),98.67±2.98 (27),100.0±0.0 (47),98.67±2.98 (26),98.67±2.98 (6),98.67±2.98 (18),98.67±2.98 (16),98.67±2.98 (17),98.67±2.98 (19),98.67±2.98 (21),98.67±2.98 (19),98.67±2.98 (22),98.67±2.98 (21),98.67±2.98 (31),98.67±2.98 (27),98.67±2.98 (30),98.67±2.98 (31),98.67±2.98 (49),98.67±2.98 (30),98.67±2.98 (53),98.67±2.98 (34)
lung,95.06±3.07 (65),96.04±3.37 (88),96.05±2.8 (88),94.59±4.08 (24),96.07±3.71 (36),95.57±3.18 (22),95.56±2.09 (38),95.07±3.93 (54),95.56±2.68 (21),95.07±3.47 (67),94.57±4.06 (77),95.11±4.55 (67),94.55±3.72 (76),93.6±3.74 (87),95.07±2.47 (81),95.1±3.45 (44),95.07±3.45 (50),94.07±4.19 (86),93.6±1.34 (81),95.55±4.08 (48),95.07±1.73 (22),94.59±2.69 (61),96.56±2.2 (30),94.61±3.61 (16),95.09±2.98 (40),95.1±4.56 (85),96.05±2.24 (67),95.09±2.98 (80),95.1±4.56 (57),95.1±2.41 (73),95.57±3.22 (60),94.12±3.24 (46),94.1±3.76 (42),94.56±4.79 (67),94.6±3.64 (86),93.6±3.32 (93),94.57±2.08 (95)
lung_discrete,87.62±5.71 (28),90.38±7.7 (32),83.52±3.92 (97),75.33±6.01 (12),83.71±7.38 (26),86.38±6.56 (25),86.38±6.56 (66),86.29±4.74 (54),86.19±8.48 (67),87.62±9.97 (62),83.52±3.92 (60),86.29±4.74 (68),83.52±7.73 (66),82.1±9.37 (71),84.95±7.23 (63),83.52±7.73 (65),82.29±8.74 (68),84.76±10.45 (37),82.1±6.32 (65),86.19±8.48 (69),73.52±16.02 (11),79.52±15.76 (35),80.57±12.72 (37),75.33±13.27 (70),80.86±9.0 (30),78.0±10.14 (54),80.95±15.04 (41),79.62±9.1 (62),80.76±7.47 (46),78.0±6.01 (40),77.9±9.32 (48),80.95±8.41 (72),76.76±11.01 (65),75.43±8.65 (59),78.0±6.01 (70),78.0±8.97 (65),76.86±7.2 (69)
lymphoma,93.79±4.28 (100),92.74±5.94 (68),88.58±6.75 (91),87.68±11.5 (15),91.68±5.96 (57),93.74±8.66 (63),90.68±5.56 (36),90.79±10.93 (64),92.79±7.78 (85),91.79±7.57 (66),89.47±10.53 (71),89.63±10.43 (45),88.53±14.62 (59),90.63±13.1 (68),88.58±4.23 (61),89.63±5.07 (54),89.53±7.49 (83),87.74±13.44 (84),88.58±12.5 (63),90.63±6.85 (92),88.63±9.16 (17),91.79±8.43 (75),93.84±5.44 (56),89.74±10.04 (77),91.79±9.22 (68),89.68±9.57 (86),88.58±10.05 (44),86.53±6.8 (80),86.58±10.54 (93),87.53±6.98 (73),83.47±10.91 (69),84.37±9.85 (65),86.53±9.37 (93),86.63±11.54 (87),84.42±10.4 (66),85.47±6.63 (89),85.53±10.44 (48)
nci9,38.33±11.18 (81),40.0±14.91 (81),35.0±13.69 (66),48.33±13.69 (41),51.67±12.36 (51),51.67±12.36 (81),60.0±10.87 (55),56.67±12.36 (73),56.67±12.36 (60),60.0±10.87 (77),56.67±10.87 (94),65.0±10.87 (69),56.67±6.97 (100),50.0±8.33 (73),55.0±13.94 (73),53.33±12.64 (46),51.67±16.03 (60),53.33±4.56 (88),58.33±13.18 (97),50.0±13.18 (91),45.0±12.64 (51),58.33±8.33 (79),58.33±13.18 (74),61.67±9.5 (96),60.0±9.13 (82),61.67±7.45 (97),63.33±11.18 (97),58.33±15.59 (60),66.67±11.79 (100),58.33±15.59 (99),61.67±15.14 (96),55.0±12.64 (100),61.67±7.45 (92),60.0±14.91 (111),56.67±10.87 (93),55.0±13.94 (77),51.67±13.69 (58)
