dataset_name,KBest,mRMR_RFCQ,KGroups (P=0.1),KGroups (P=0.1S),KGroups (P=0.3),KGroups (P=0.3S),KGroups (P=0.5),KGroups (P=0.5S),KGroups (P=0.7),KGroups (P=0.7S),KGroups (P=1.0),KGroups (P=1.3),KGroups (P=1.3S),KGroups (P=1.5),KGroups (P=1.5S),KGroups (P=1.7),KGroups (P=1.7S),KGroups (P=2.0),KGroups (P=2.0S),KGroups++ (P=0.1),KGroups++ (P=0.1S),KGroups++ (P=0.3),KGroups++ (P=0.3S),KGroups++ (P=0.5),KGroups++ (P=0.5S),KGroups++ (P=0.7),KGroups++ (P=0.7S),KGroups++ (P=1.0),KGroups++ (P=1.3),KGroups++ (P=1.3S),KGroups++ (P=1.5),KGroups++ (P=1.5S),KGroups++ (P=1.7),KGroups++ (P=1.7S),KGroups++ (P=2.0),KGroups++ (P=2.0S)
ALLAML,98.57±3.19 (8),98.67±2.98 (21),97.14±3.91 (2),98.67±2.98 (18),98.57±3.19 (3),98.67±2.98 (22),100.0±0.0 (18),100.0±0.0 (16),100.0±0.0 (19),100.0±0.0 (18),100.0±0.0 (28),100.0±0.0 (15),100.0±0.0 (19),100.0±0.0 (10),100.0±0.0 (14),100.0±0.0 (30),100.0±0.0 (9),100.0±0.0 (9),100.0±0.0 (16),100.0±0.0 (3),100.0±0.0 (3),100.0±0.0 (3),100.0±0.0 (3),100.0±0.0 (3),100.0±0.0 (3),100.0±0.0 (3),100.0±0.0 (3),100.0±0.0 (3),100.0±0.0 (5),100.0±0.0 (6),100.0±0.0 (10),100.0±0.0 (9),100.0±0.0 (6),100.0±0.0 (12),100.0±0.0 (32),100.0±0.0 (6)
CLL_SUB_111,87.35±5.99 (93),91.86±6.77 (80),78.26±7.64 (3),84.74±6.64 (29),84.7±6.82 (20),85.49±9.9 (38),85.57±6.77 (32),86.44±6.5 (45),86.48±3.23 (41),85.53±5.09 (27),84.7±6.82 (48),88.22±9.46 (48),86.44±4.65 (47),84.66±5.24 (58),87.31±5.06 (42),86.4±6.5 (31),85.57±5.01 (40),85.45±11.77 (59),89.21±5.11 (48),79.13±10.04 (4),82.02±7.04 (23),81.9±9.19 (5),81.11±4.82 (42),82.92±5.71 (32),81.11±4.82 (26),82.89±3.77 (43),82.96±6.31 (24),82.06±6.82 (53),80.28±7.77 (25),80.28±8.41 (48),82.09±7.95 (60),80.24±8.01 (32),82.96±7.78 (62),81.19±8.25 (68),80.2±6.81 (48),82.89±5.91 (65)
Carcinom,94.82±2.4 (73),95.98±1.55 (92),71.28±5.25 (12),93.66±4.73 (34),90.81±3.12 (31),93.63±5.28 (55),94.27±3.48 (49),94.27±2.84 (60),94.82±3.73 (53),94.84±3.71 (60),93.7±2.36 (59),95.39±1.6 (48),94.77±5.67 (72),94.82±1.3 (70),93.66±3.18 (34),94.24±3.55 (67),93.7±4.68 (57),94.22±4.63 (76),96.54±2.43 (68),66.08±6.86 (12),92.54±3.82 (45),89.08±3.74 (32),93.66±1.39 (57),93.13±2.52 (48),94.81±2.48 (47),94.81±3.78 (60),94.82±2.4 (64),95.97±2.58 (65),95.97±2.58 (69),96.54±3.75 (71),95.97±3.28 (71),95.97±3.85 (75),96.54±3.75 (83),95.95±3.91 (62),96.54±3.16 (54),95.38±3.34 (81)
GLIOMA,98.0±4.47 (98),94.0±8.94 (93),76.0±5.48 (8),96.0±5.48 (35),90.0±7.07 (14),94.0±8.94 (43),92.0±8.37 (28),96.0±5.48 (49),94.0±5.48 (37),92.0±8.37 (39),94.0±8.94 (43),94.0±8.94 (61),94.0±5.48 (46),94.0±8.94 (56),94.0±8.94 (45),94.0±8.94 (41),92.0±8.37 (43),90.0±10.0 (37),92.0±10.95 (51),68.0±8.37 (3),88.0±8.37 (29),88.0±8.37 (25),88.0±8.37 (20),88.0±10.95 (36),88.0±8.37 (53),88.0±8.37 (36),90.0±7.07 (61),88.0±8.37 (54),88.0±10.95 (55),88.0±4.47 (51),90.0±10.0 (69),88.0±8.37 (49),90.0±10.0 (69),88.0±8.37 (43),86.0±13.42 (27),92.0±8.37 (66)
GLI_85,95.29±2.63 (12),96.47±3.22 (59),91.76±3.22 (5),97.65±3.22 (11),96.47±3.22 (11),97.65±3.22 (14),97.65±3.22 (19),97.65±3.22 (9),96.47±3.22 (23),96.47±3.22 (12),97.65±3.22 (11),96.47±3.22 (9),96.47±3.22 (27),97.65±3.22 (25),97.65±3.22 (14),95.29±2.63 (11),95.29±4.92 (7),96.47±5.26 (12),96.47±3.22 (15),91.76±3.22 (4),95.29±4.92 (15),94.12±4.16 (6),97.65±3.22 (27),95.29±4.92 (15),96.47±3.22 (18),97.65±3.22 (25),97.65±3.22 (29),97.65±3.22 (29),96.47±3.22 (9),97.65±3.22 (30),98.82±2.63 (13),97.65±3.22 (26),97.65±3.22 (11),97.65±3.22 (18),96.47±3.22 (18),96.47±3.22 (28)
Prostate_GE,97.0±6.71 (35),96.05±6.51 (96),91.19±8.66 (4),95.1±6.99 (21),94.14±8.02 (9),95.1±6.99 (18),95.05±8.66 (23),96.05±6.51 (20),96.05±6.51 (25),96.05±6.51 (28),95.1±6.99 (21),96.1±5.35 (42),96.1±5.35 (25),96.0±8.94 (47),97.05±4.45 (51),95.1±4.88 (48),96.1±5.35 (41),95.14±6.82 (50),96.05±4.17 (36),93.19±7.41 (3),96.05±6.51 (5),96.05±6.51 (5),96.05±6.51 (6),96.05±6.51 (10),96.05±6.51 (25),97.05±4.45 (31),96.05±6.51 (42),96.05±6.51 (31),96.1±4.16 (42),96.1±5.35 (27),97.05±4.45 (27),97.0±6.71 (38),97.0±6.71 (57),96.05±6.51 (38),96.05±6.51 (40),96.05±6.51 (35)
SMK_CAN_187,74.86±4.78 (4),72.66±6.93 (7),76.47±5.69 (5),77.0±7.16 (9),74.85±9.66 (9),74.32±10.31 (15),75.96±7.81 (14),74.32±11.0 (43),74.88±11.22 (18),73.26±10.07 (34),73.29±9.78 (29),74.38±10.55 (36),74.32±3.61 (8),73.27±9.31 (20),74.34±7.79 (12),72.22±11.21 (54),72.76±10.04 (53),71.15±7.93 (11),73.8±12.16 (63),74.86±4.78 (5),75.9±9.29 (11),75.96±6.06 (7),74.37±9.17 (9),74.88±3.97 (7),74.31±6.18 (11),74.84±12.01 (22),74.34±12.02 (35),74.88±11.7 (34),76.46±8.66 (19),73.8±11.22 (31),73.8±5.69 (18),72.2±7.76 (17),73.78±8.66 (32),72.76±8.89 (14),74.34±11.49 (14),73.26±10.6 (20)
TOX_171,81.9±6.9 (64),85.95±6.41 (64),62.59±6.57 (7),77.82±11.38 (30),75.46±10.23 (19),80.74±6.58 (45),84.29±10.26 (30),80.74±12.13 (46),80.17±9.42 (38),80.13±6.29 (50),81.38±9.69 (51),83.06±4.73 (51),83.03±10.09 (48),80.13±4.72 (47),81.31±7.85 (58),78.4±12.8 (61),80.15±8.28 (56),82.47±9.71 (41),83.11±8.63 (61),64.92±9.68 (7),79.58±11.61 (25),73.75±11.31 (18),80.15±6.53 (43),80.15±10.98 (33),80.15±5.03 (46),79.58±9.79 (44),78.99±8.98 (50),80.13±8.86 (59),78.39±4.27 (59),78.35±8.75 (57),77.19±2.44 (63),77.78±3.31 (66),77.23±4.56 (71),78.35±3.41 (63),77.24±7.9 (70),76.64±3.26 (36)
colon,88.46±9.56 (27),90.0±10.87 (24),82.05±13.86 (2),88.46±9.56 (17),85.26±11.07 (11),88.46±9.56 (22),88.46±9.56 (16),91.67±10.21 (30),88.46±9.56 (21),90.0±10.87 (33),90.0±10.87 (36),90.13±9.16 (18),88.46±9.56 (22),88.59±9.35 (56),88.46±12.68 (36),90.13±9.16 (35),91.67±10.21 (50),88.46±12.68 (23),88.33±13.94 (62),80.38±14.17 (2),88.59±4.81 (9),85.38±10.45 (11),90.13±7.02 (8),90.0±9.13 (11),91.79±5.9 (7),90.13±9.16 (10),91.79±5.9 (7),91.67±11.79 (7),91.67±8.33 (33),91.67±11.79 (7),90.0±18.07 (7),91.67±11.79 (8),91.67±11.79 (8),90.0±18.07 (7),88.59±12.73 (4),90.26±6.68 (57)
leukemia,100.0±0.0 (78),100.0±0.0 (22),98.67±2.98 (3),100.0±0.0 (16),98.67±2.98 (3),100.0±0.0 (13),100.0±0.0 (9),100.0±0.0 (22),100.0±0.0 (19),100.0±0.0 (33),100.0±0.0 (14),100.0±0.0 (23),100.0±0.0 (30),100.0±0.0 (18),100.0±0.0 (20),100.0±0.0 (21),100.0±0.0 (16),100.0±0.0 (18),100.0±0.0 (8),98.67±2.98 (4),98.67±2.98 (4),98.67±2.98 (4),98.67±2.98 (5),98.67±2.98 (4),98.67±2.98 (4),98.67±2.98 (4),98.67±2.98 (3),98.67±2.98 (3),98.67±2.98 (3),98.67±2.98 (3),98.67±2.98 (3),98.67±2.98 (3),100.0±0.0 (57),98.67±2.98 (3),98.67±2.98 (3),98.67±2.98 (3)
