dataset_name,KBest,mRMR_RFCQ,KGroups (P=0.1),KGroups (P=0.1S),KGroups (P=0.3),KGroups (P=0.3S),KGroups (P=0.5),KGroups (P=0.5S),KGroups (P=0.7),KGroups (P=0.7S),KGroups (P=1.0),KGroups (P=1.3),KGroups (P=1.3S),KGroups (P=1.5),KGroups (P=1.5S),KGroups (P=1.7),KGroups (P=1.7S),KGroups (P=2.0),KGroups (P=2.0S),KGroups++ (P=0.1),KGroups++ (P=0.1S),KGroups++ (P=0.3),KGroups++ (P=0.3S),KGroups++ (P=0.5),KGroups++ (P=0.5S),KGroups++ (P=0.7),KGroups++ (P=0.7S),KGroups++ (P=1.0),KGroups++ (P=1.3),KGroups++ (P=1.3S),KGroups++ (P=1.5),KGroups++ (P=1.5S),KGroups++ (P=1.7),KGroups++ (P=1.7S),KGroups++ (P=2.0),KGroups++ (P=2.0S)
ALLAML,98.57,97.24,97.14,98.67,98.57,98.67,98.67,98.67,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.67,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.67,100.0,100.0,100.0,100.0
CLL_SUB_111,82.89,88.3,80.08,83.78999999999999,83.78999999999999,85.57000000000001,82.85,82.92,83.78999999999999,82.80999999999999,87.39,84.7,86.4,85.61,82.02000000000001,81.23,83.78999999999999,82.85,84.7,79.17,82.02000000000001,82.06,81.94,81.15,81.98,81.19,81.07,82.06,80.24,80.12,82.02000000000001,78.46,82.02000000000001,78.46,78.42,80.2
Carcinom,91.95,93.11,70.12,90.81,86.81,91.93,92.5,93.09,92.55,92.54,94.25,94.82,93.66,96.54,94.25,94.22,94.22,94.82,95.36,62.67,93.11,89.7,92.54,91.39,94.27,93.7,94.25,94.25,94.27,93.11,94.27,93.68,95.97,94.24,92.54,93.66
GLIOMA,94.0,90.0,76.0,92.0,86.0,94.0,94.0,96.0,92.0,90.0,96.0,92.0,94.0,92.0,96.0,94.0,90.0,92.0,90.0,64.0,86.0,86.0,84.0,84.0,80.0,86.0,84.0,86.0,90.0,86.0,86.0,86.0,84.0,82.0,84.0,84.0
GLI_85,95.29,92.94,90.59,98.82,96.47,95.29,97.65,97.65,98.82,95.29,96.47,95.29,96.47,96.47,97.65,96.47,95.29,96.47,97.65,90.59,96.47,92.94,96.47,95.29,97.65,97.65,96.47,97.65,97.65,97.65,96.47,97.65,97.65,97.65,97.65,97.65
Prostate_GE,94.05,93.14,90.24,92.19,94.14,93.14,93.1,95.1,95.05,94.1,93.14,95.1,95.0,96.05,95.1,95.05,95.1,96.05,94.1,91.14,95.05,94.1,97.0,95.05,97.0,96.05,95.1,96.05,96.05,96.05,97.0,96.05,97.0,96.05,97.0,96.05
SMK_CAN_187,76.49000000000001,72.69,76.49000000000001,75.42,74.37,72.23,74.88,73.22999999999999,76.47,74.92,76.02,74.88,72.77,71.11,74.28,73.85000000000001,72.2,74.85000000000001,72.72999999999999,75.96000000000001,75.42,76.5,73.83,75.42,73.78,73.85000000000001,75.97,72.26,72.7,73.83999999999999,73.26,73.3,73.26,73.26,72.72999999999999,73.26
TOX_171,75.44999999999999,74.25,61.42999999999999,74.83999999999999,73.11,76.1,75.51,79.60000000000001,77.19,78.42,78.35,76.61,76.55,74.97,75.44999999999999,76.02,77.19,77.21000000000001,77.23,61.41,73.16,71.33,74.29,75.42999999999999,71.98,74.29,74.32,74.32,74.91,71.95,74.83999999999999,73.71,71.34,71.34,75.46000000000001,73.14
colon,85.38,85.38,82.05,87.05000000000001,86.92,88.59,90.26,90.26,90.13,90.26,90.26,88.59,90.0,88.72,88.59,88.72,91.79,88.33,87.05000000000001,74.1,90.0,82.17999999999999,90.0,90.13,90.0,90.0,88.46000000000001,90.0,90.0,90.0,90.13,90.0,90.13,90.13,88.46000000000001,90.13
leukemia,100.0,100.0,95.9,97.33,97.33,98.67,98.67,98.67,98.67,98.67,100.0,100.0,98.67,100.0,100.0,100.0,100.0,98.67,100.0,95.9,98.67,98.67,98.67,98.67,98.67,98.67,98.67,98.67,98.67,98.67,97.33,98.67,97.33,97.33,97.24,97.24
lung,96.54,96.06,90.16,97.05,98.01,97.02,97.51,97.04,96.54,97.52,97.52,97.02,97.04,96.07,98.02,97.05,97.04,97.02,96.55,88.16000000000001,96.06,96.05,96.05,97.02,96.55,95.55,96.04,97.04,97.04,96.55,96.54,96.55,96.05,96.54,97.05,96.06
lung_discrete,93.14,94.57,65.52,91.71,87.62,93.14,90.38,91.81,94.48,91.71,94.57,95.9,91.71,91.62,90.38,90.38,94.57,91.62,90.48,69.81,88.75999999999999,84.86,90.38,88.86,93.05,88.86,91.71,93.14,90.19,91.62,91.71,93.05,94.48,90.29,90.29,90.29
lymphoma,90.74,95.84,64.68,90.79,88.68,89.63,91.74,92.63,91.74,90.74,92.74,91.68,92.74,92.84,92.84,92.74,90.74,91.74,91.74,63.68000000000001,90.74,90.74,93.84,91.74,92.79,94.79,93.74,93.74,93.84,93.79,95.89,93.79,94.79,94.84,96.89,94.79
nci9,71.67,73.33,41.67,68.33,68.33,73.33,70.0,75.0,66.67,71.67,71.67,75.0,71.67,78.33,73.33,73.33,71.67,70.0,71.67,35.0,71.67,71.67,66.67,66.67,68.33,66.67,70.0,70.0,70.0,73.33,71.67,71.67,75.0,71.67,71.67,71.67
