fit_time,fit_time_std,score_time,score_time_std,test_score,test_score_std,train_score,train_score_std,model_name,dataset_name
0.2917,0.0646,0.014,0.0126,81.05,5.08,100.0,0.0,MLP,colon
0.0122,0.0068,0.0095,0.0075,68.95,15.18,88.37,7.4399999999999995,GaussianNB,colon
0.0634,0.0144,0.0565,0.0169,88.18,5.34,91.8,3.05,KNeighbors,leukemia
0.0548,0.0234,0.0282,0.0065,80.91000000000001,7.670000000000001,100.0,0.0,LinearSVC,leukemia
0.2124,0.0536,0.0664,0.0377,92.27,5.6899999999999995,100.0,0.0,RandomForest,leukemia
3.7009,0.9764,1.6535,0.507,97.72999999999999,2.4,100.0,0.0,XGB,leukemia
0.7118,0.4265,0.0462,0.0276,89.09,6.140000000000001,100.0,0.0,MLP,leukemia
0.0308,0.0184,0.0186,0.0038,79.09,6.5,99.2,1.03,GaussianNB,leukemia
0.055,0.0359,0.0595,0.033,94.1,1.92,96.27,1.0999999999999999,KNeighbors,lung
0.3512,0.0613,0.0135,0.004,53.28000000000001,4.109999999999999,100.0,0.0,LinearSVC,lung
0.5786,0.2152,0.0301,0.0052,92.46,2.21,100.0,0.0,RandomForest,lung
8.0841,2.3839,0.9872,0.3595,91.64,4.19,100.0,0.0,XGB,lung
0.5741,0.1155,0.0216,0.0136,91.47999999999999,3.17,100.0,0.0,MLP,lung
0.0166,0.0064,0.0135,0.0046,81.15,3.39,99.65,0.37,GaussianNB,lung
0.0086,0.0062,0.008,0.0054,80.0,8.35,88.24,2.6100000000000003,KNeighbors,lung_discrete
0.0127,0.002,0.0013,0.0002,89.55,5.6899999999999995,100.0,0.0,LinearSVC,lung_discrete
0.1799,0.0461,0.0238,0.0092,80.45,8.03,100.0,0.0,RandomForest,lung_discrete
0.2113,0.0547,0.0867,0.0362,80.91000000000001,8.780000000000001,100.0,0.0,XGB,lung_discrete
0.166,0.0584,0.0054,0.0063,87.72999999999999,5.6899999999999995,100.0,0.0,MLP,lung_discrete
0.0032,0.003,0.003,0.0017,46.82,8.58,100.0,0.0,GaussianNB,lung_discrete
0.0337,0.0121,0.0336,0.0094,91.38,2.93,91.49000000000001,2.64,KNeighbors,lymphoma
0.2835,0.088,0.0238,0.0161,52.76,1.67,100.0,0.0,LinearSVC,lymphoma
0.4329,0.1875,0.0608,0.0689,84.14,4.65,100.0,0.0,RandomForest,lymphoma
3.6786,1.0869,0.827,0.2414,82.76,5.140000000000001,100.0,0.0,XGB,lymphoma
0.4011,0.1572,0.02,0.0085,91.03,4.36,100.0,0.0,MLP,lymphoma
0.0177,0.0094,0.0135,0.005,48.28,0.0,100.0,0.0,GaussianNB,lymphoma
0.0527,0.017,0.0537,0.0102,40.56,8.3,55.24,4.87,KNeighbors,nci9
0.2954,0.0388,0.0326,0.0079,52.22,6.52,100.0,0.0,LinearSVC,nci9
0.3579,0.0998,0.0742,0.0252,49.44,11.84,100.0,0.0,RandomForest,nci9
5.6245,1.3733,1.812,0.5033,40.56,11.43,100.0,0.0,XGB,nci9
0.9094,0.2886,0.0594,0.0331,48.89,10.41,100.0,0.0,MLP,nci9
0.0272,0.0048,0.034,0.015,28.33,6.65,100.0,0.0,GaussianNB,nci9
