dataset_name,KBest,mRMR_MID,mRMR_MIQ,KGroups (P=0.1),KGroups (P=0.1S),KGroups (P=0.3),KGroups (P=0.3S),KGroups (P=0.5),KGroups (P=0.5S),KGroups (P=0.7),KGroups (P=0.7S),KGroups (P=1.0),KGroups (P=1.3),KGroups (P=1.3S),KGroups (P=1.5),KGroups (P=1.5S),KGroups (P=1.7),KGroups (P=1.7S),KGroups (P=2.0),KGroups (P=2.0S),KGroups++ (P=0.1),KGroups++ (P=0.1S),KGroups++ (P=0.3),KGroups++ (P=0.3S),KGroups++ (P=0.5),KGroups++ (P=0.5S),KGroups++ (P=0.7),KGroups++ (P=0.7S),KGroups++ (P=1.0),KGroups++ (P=1.3),KGroups++ (P=1.3S),KGroups++ (P=1.5),KGroups++ (P=1.5S),KGroups++ (P=1.7),KGroups++ (P=1.7S),KGroups++ (P=2.0),KGroups++ (P=2.0S)
ALLAML,98.57±3.19 (27),98.67±2.98 (7),97.24±3.79 (59),98.57±3.19 (2),98.67±2.98 (5),100.0±0.0 (5),100.0±0.0 (17),98.57±3.19 (7),98.67±2.98 (14),100.0±0.0 (9),100.0±0.0 (30),100.0±0.0 (33),100.0±0.0 (6),98.67±2.98 (51),98.67±2.98 (50),98.67±2.98 (51),98.67±2.98 (27),100.0±0.0 (57),100.0±0.0 (37),100.0±0.0 (55),95.9±6.02 (16),98.57±3.19 (42),97.24±3.79 (37),97.24±3.79 (38),98.57±3.19 (44),98.57±3.19 (8),97.24±3.79 (40),98.57±3.19 (6),98.57±3.19 (70),97.24±3.79 (48),98.57±3.19 (40),97.24±3.79 (44),98.57±3.19 (57),98.57±3.19 (48),98.57±3.19 (42),98.57±3.19 (8),97.24±3.79 (46)
BASEHOCK,94.58±1.84 (85),94.58±1.88 (79),93.98±1.51 (83),82.79±4.35 (4),91.17±2.61 (18),89.46±2.21 (11),92.12±2.39 (25),91.37±2.51 (19),92.12±2.06 (28),91.87±2.57 (28),92.32±2.76 (38),92.27±2.26 (43),92.17±2.37 (50),92.88±1.73 (51),92.07±1.91 (57),91.77±2.31 (51),92.02±2.71 (53),92.37±1.86 (44),92.07±1.73 (55),92.32±1.69 (64),84.95±3.87 (4),92.62±1.55 (20),90.87±2.19 (12),93.13±1.72 (26),92.77±2.03 (21),93.33±1.88 (32),93.13±1.98 (31),93.48±2.35 (37),93.88±1.55 (41),93.53±1.54 (52),93.93±1.91 (51),93.28±1.84 (48),93.23±1.52 (44),93.63±2.44 (62),93.68±1.41 (38),93.83±1.32 (66),93.58±1.78 (45)
CLL_SUB_111,76.6±5.77 (16),82.02±7.04 (18),78.46±7.02 (94),78.38±8.73 (4),77.55±5.95 (9),78.26±9.98 (11),78.3±9.98 (47),78.34±4.0 (14),79.21±8.39 (73),77.43±5.74 (15),75.57±14.35 (78),76.6±9.76 (56),76.52±6.12 (20),75.73±6.55 (90),75.73±9.18 (25),75.69±9.35 (52),73.83±6.89 (83),81.23±11.19 (20),76.44±11.89 (83),74.82±4.78 (71),75.73±9.18 (18),79.25±10.02 (5),75.69±7.52 (9),79.37±11.09 (10),79.25±10.02 (5),81.11±9.77 (8),77.67±14.34 (10),79.25±8.33 (8),76.6±7.34 (11),78.34±7.57 (14),79.25±7.68 (11),80.99±11.85 (14),79.25±7.68 (12),77.59±7.88 (23),80.99±11.85 (14),80.16±7.66 (77),78.38±6.72 (12)
COIL20,69.03±6.3 (91),79.17±5.21 (54),82.01±3.25 (40),74.38±7.36 (41),82.36±4.71 (61),82.15±4.79 (50),84.38±4.61 (74),82.5±7.08 (73),84.86±6.23 (80),85.14±6.51 (83),86.18±5.05 (89),85.28±1.73 (97),84.44±3.58 (93),87.22±6.31 (79),84.79±5.6 (94),84.58±4.99 (84),86.25±4.95 (96),85.69±4.37 (87),85.62±3.43 (87),86.74±4.32 (96),71.11±7.24 (37),76.32±6.2 (78),77.43±6.3 (73),76.81±6.94 (67),76.53±5.71 (60),80.56±5.4 (96),77.92±3.77 (64),81.67±3.5 (96),82.5±4.53 (91),81.04±5.18 (98),79.93±6.7 (96),78.4±1.62 (93),79.93±5.85 (51),80.07±3.22 (96),79.72±4.75 (94),77.5±2.13 (72),79.79±5.54 (70)
Carcinom,94.81±3.78 (89),94.82±3.73 (63),89.08±5.12 (92),86.76±4.89 (25),93.11±1.54 (75),94.24±2.92 (60),92.5±4.85 (75),93.68±4.23 (76),93.66±3.77 (85),93.65±5.2 (79),93.09±3.29 (87),94.81±2.48 (87),90.79±4.74 (87),92.5±5.63 (93),89.06±3.83 (85),90.24±2.53 (71),89.08±2.42 (76),90.79±2.47 (77),88.47±5.48 (81),90.81±5.49 (92),89.63±6.0 (24),94.24±3.55 (74),93.09±3.86 (50),93.65±3.84 (75),94.22±4.16 (64),93.66±2.45 (89),92.5±3.92 (73),93.09±2.6 (85),93.09±1.64 (83),94.82±2.4 (89),90.77±3.3 (81),90.77±3.87 (75),91.92±4.39 (66),90.2±3.41 (88),90.76±7.53 (80),88.52±7.26 (84),89.65±4.36 (65)
GLIOMA,86.0±11.4 (55),84.0±8.94 (4),72.0±13.04 (93),86.0±8.94 (22),88.0±8.37 (46),90.0±10.0 (51),82.0±4.47 (27),90.0±12.25 (35),86.0±8.94 (42),86.0±8.94 (31),88.0±8.37 (81),84.0±11.4 (74),86.0±5.48 (50),88.0±10.95 (46),84.0±5.48 (72),84.0±8.94 (71),82.0±4.47 (71),92.0±8.37 (54),80.0±12.25 (77),80.0±14.14 (36),84.0±5.48 (11),78.0±8.37 (18),80.0±7.07 (16),78.0±10.95 (64),80.0±7.07 (11),74.0±11.4 (6),76.0±8.94 (15),76.0±15.17 (51),76.0±8.94 (7),74.0±16.73 (89),76.0±18.17 (13),74.0±16.73 (57),76.0±11.4 (58),78.0±10.95 (56),74.0±18.17 (47),74.0±11.4 (67),72.0±13.04 (54)
GLI_85,94.12±5.88 (29),90.59±10.69 (14),90.59±3.22 (87),95.29±4.92 (9),96.47±3.22 (55),96.47±5.26 (28),98.82±2.63 (66),96.47±5.26 (64),96.47±3.22 (54),98.82±2.63 (24),97.65±5.26 (22),97.65±3.22 (82),95.29±4.92 (53),96.47±5.26 (43),95.29±4.92 (83),96.47±3.22 (76),96.47±3.22 (94),96.47±3.22 (72),94.12±4.16 (91),95.29±6.44 (49),95.29±2.63 (9),94.12±4.16 (9),94.12±5.88 (10),95.29±4.92 (76),94.12±4.16 (58),95.29±4.92 (49),94.12±7.2 (64),92.94±2.63 (52),96.47±3.22 (80),94.12±4.16 (86),92.94±9.67 (89),97.65±3.22 (86),95.29±4.92 (91),95.29±4.92 (59),95.29±4.92 (83),95.29±6.44 (71),96.47±3.22 (94)
Isolet,74.87±2.66 (83),83.33±2.16 (98),87.63±1.84 (96),65.9±3.03 (26),83.65±2.46 (78),81.6±2.66 (59),83.59±2.99 (62),82.76±3.35 (70),84.87±3.93 (84),84.55±2.58 (84),84.74±4.28 (85),84.36±4.27 (89),84.04±3.54 (89),84.74±2.84 (90),84.49±4.18 (85),84.04±3.09 (87),82.76±3.48 (76),84.1±2.27 (87),82.24±2.95 (72),83.08±2.43 (82),57.5±2.52 (27),79.87±3.86 (61),77.76±4.12 (48),81.86±3.28 (54),80.32±3.78 (63),81.03±4.36 (83),81.28±2.48 (85),81.92±4.27 (90),81.03±5.28 (90),82.12±5.25 (84),81.03±2.96 (86),80.45±3.94 (71),81.54±2.78 (87),80.06±3.41 (76),81.22±3.71 (87),80.71±3.83 (76),81.41±3.12 (80)
ORL,88.5±4.09 (96),92.5±2.34 (100),94.75±2.24 (85),79.25±4.73 (30),93.75±1.25 (77),93.0±4.2 (68),93.25±2.27 (80),93.75±1.53 (75),94.25±2.74 (83),93.25±4.38 (82),93.0±1.43 (91),92.0±3.14 (83),93.0±2.27 (89),92.25±2.85 (86),92.25±2.71 (85),93.25±3.38 (86),91.75±1.43 (70),91.75±4.47 (71),90.0±1.98 (77),91.75±3.6 (81),73.0±6.59 (30),85.75±5.05 (71),86.0±6.52 (66),88.5±3.24 (89),87.75±3.99 (72),87.75±3.47 (83),87.75±2.98 (82),88.0±2.27 (88),87.0±4.29 (90),88.25±2.27 (83),86.75±2.59 (86),85.25±1.85 (79),89.0±3.11 (80),84.25±4.47 (81),84.25±3.38 (84),83.75±4.59 (77),85.0±2.5 (76)
PCMAC,85.69±1.58 (87),85.9±1.69 (88),84.1±1.9 (97),77.66±3.75 (2),83.43±1.46 (13),82.24±2.1 (5),83.53±0.97 (15),83.68±1.37 (13),83.69±1.94 (28),83.74±1.03 (23),84.82±0.77 (31),84.05±1.25 (19),83.89±2.51 (45),83.84±1.44 (43),84.66±1.1 (50),84.25±1.53 (45),83.99±1.11 (45),84.56±0.98 (36),84.1±1.61 (36),84.1±1.72 (51),77.66±3.75 (2),82.91±2.26 (12),78.69±1.88 (5),84.15±1.78 (23),82.91±2.26 (11),87.6±1.3 (28),84.2±1.77 (24),87.75±1.47 (31),88.37±1.41 (36),85.49±2.46 (37),85.95±2.7 (39),86.21±1.62 (48),88.63±1.4 (48),86.77±1.75 (54),88.58±1.03 (51),86.57±1.94 (52),86.52±2.15 (56)
