dataset_name,KBest,mRMR_FCD,mRMR_FCQ,KGroups (P=0.1),KGroups (P=0.1S),KGroups (P=0.3),KGroups (P=0.3S),KGroups (P=0.5),KGroups (P=0.5S),KGroups (P=0.7),KGroups (P=0.7S),KGroups (P=1.0),KGroups (P=1.3),KGroups (P=1.3S),KGroups (P=1.5),KGroups (P=1.5S),KGroups (P=1.7),KGroups (P=1.7S),KGroups (P=2.0),KGroups (P=2.0S),KGroups++ (P=0.1),KGroups++ (P=0.1S),KGroups++ (P=0.3),KGroups++ (P=0.3S),KGroups++ (P=0.5),KGroups++ (P=0.5S),KGroups++ (P=0.7),KGroups++ (P=0.7S),KGroups++ (P=1.0),KGroups++ (P=1.3),KGroups++ (P=1.3S),KGroups++ (P=1.5),KGroups++ (P=1.5S),KGroups++ (P=1.7),KGroups++ (P=1.7S),KGroups++ (P=2.0),KGroups++ (P=2.0S)
ALLAML,97.24±3.79 (36),97.24±3.79 (36),100.0±0.0 (6),94.48±7.57 (3),98.57±3.19 (16),97.24±3.79 (6),98.57±3.19 (20),98.57±3.19 (8),98.57±3.19 (14),98.57±3.19 (15),98.57±3.19 (15),98.57±3.19 (15),100.0±0.0 (31),98.57±3.19 (21),98.57±3.19 (8),98.57±3.19 (32),98.57±3.19 (24),98.57±3.19 (8),98.57±3.19 (28),98.57±3.19 (3),95.81±6.34 (2),98.57±3.19 (8),98.57±3.19 (8),98.57±3.19 (7),98.57±3.19 (8),98.57±3.19 (2),98.57±3.19 (9),98.57±3.19 (2),98.57±3.19 (2),98.57±3.19 (2),98.57±3.19 (2),100.0±0.0 (4),98.57±3.19 (2),97.24±3.79 (10),98.57±3.19 (10),98.57±3.19 (3),98.67±2.98 (2)
BASEHOCK,95.58±1.21 (87),95.58±1.21 (87),93.23±2.3 (87),72.81±1.87 (3),91.22±2.3 (24),84.95±2.06 (11),92.17±2.18 (35),90.82±1.67 (26),92.12±1.63 (42),92.22±2.3 (32),92.57±1.34 (39),93.63±1.64 (49),92.82±2.11 (59),92.87±2.02 (56),92.72±2.15 (64),92.22±1.34 (60),91.92±1.55 (67),92.12±1.87 (62),92.88±2.22 (64),92.32±2.22 (60),77.82±2.79 (3),93.13±1.79 (23),91.27±2.56 (15),93.98±1.77 (35),93.18±1.5 (26),93.78±1.84 (41),93.68±1.51 (36),93.88±1.31 (44),93.73±1.41 (49),93.43±1.76 (53),93.88±1.51 (56),93.43±1.65 (64),93.43±1.93 (60),93.58±1.9 (66),93.53±1.79 (58),93.33±1.81 (64),93.48±1.83 (66)
CLL_SUB_111,63.16±13.31 (93),63.16±13.31 (93),81.98±11.59 (54),53.24±10.78 (4),61.19±10.72 (22),60.4±13.23 (10),65.77±7.54 (30),64.86±9.84 (23),64.9±5.56 (41),68.42±8.06 (28),73.99±8.01 (23),71.23±9.14 (24),72.92±5.78 (36),66.6±8.5 (53),67.47±7.81 (61),67.63±8.95 (10),70.32±11.66 (30),65.85±11.87 (58),70.28±6.83 (58),70.24±8.97 (61),49.6±8.81 (2),79.29±8.21 (9),80.2±7.53 (7),80.24±5.76 (9),79.29±8.21 (9),78.38±3.77 (12),78.38±6.72 (9),76.56±2.19 (8),77.43±4.75 (9),75.57±11.55 (15),77.39±8.66 (12),75.69±3.9 (8),73.91±4.63 (62),73.83±7.6 (7),75.69±3.9 (8),74.78±3.97 (3),80.08±8.39 (14)
COIL20,82.36±4.21 (65),82.36±4.21 (65),83.96±5.18 (88),18.19±1.68 (5),74.31±5.72 (18),53.68±1.53 (13),81.81±4.59 (29),75.07±5.73 (22),83.75±8.04 (34),82.43±6.35 (29),84.03±3.87 (36),84.79±6.42 (32),86.39±5.56 (50),85.69±6.38 (46),88.4±4.84 (48),86.11±4.24 (55),85.0±5.46 (55),85.49±5.21 (55),85.69±5.18 (63),85.76±6.0 (57),20.97±2.97 (2),67.92±4.16 (17),60.56±3.48 (13),74.31±3.68 (29),67.78±6.03 (21),75.83±5.58 (32),76.39±6.04 (31),77.08±6.4 (38),77.71±7.34 (37),79.51±6.17 (42),79.93±3.9 (51),80.0±6.66 (51),79.37±7.33 (55),79.79±6.44 (51),80.69±3.81 (58),79.86±3.93 (59),80.49±5.29 (63)
Carcinom,91.38±5.35 (97),91.38±5.35 (97),94.2±5.13 (80),29.9±1.85 (2),32.2±3.9 (3),29.9±1.85 (2),35.65±3.43 (4),32.2±3.9 (3),37.34±6.29 (6),35.65±3.43 (4),49.45±4.01 (8),56.29±5.11 (10),66.66±6.64 (13),64.35±6.02 (13),68.96±6.85 (14),69.55±8.44 (15),74.1±8.5 (17),78.74±7.7 (14),75.83±8.36 (24),77.55±4.98 (19),35.68±6.65 (2),35.68±6.65 (2),35.68±6.65 (2),39.14±7.4 (5),35.68±6.65 (2),40.84±4.21 (6),40.84±4.21 (6),48.91±8.31 (8),51.16±4.34 (8),75.33±9.72 (14),62.13±8.88 (11),79.29±8.48 (16),75.33±9.72 (14),79.33±7.88 (16),79.29±7.45 (17),79.31±8.18 (22),79.33±7.88 (16)
GLIOMA,76.0±5.48 (35),76.0±5.48 (35),78.0±8.37 (20),54.0±8.94 (2),80.0±7.07 (10),74.0±8.94 (11),82.0±8.37 (19),82.0±8.37 (8),86.0±11.4 (27),84.0±8.94 (17),82.0±8.37 (21),88.0±4.47 (31),84.0±15.17 (44),92.0±8.37 (50),86.0±8.94 (37),82.0±8.37 (13),86.0±11.4 (53),86.0±11.4 (44),80.0±15.81 (51),86.0±11.4 (37),54.0±11.4 (2),82.0±8.37 (4),80.0±7.07 (3),80.0±7.07 (3),80.0±7.07 (3),80.0±7.07 (3),80.0±7.07 (3),80.0±7.07 (3),84.0±8.94 (2),84.0±8.94 (2),84.0±8.94 (2),84.0±8.94 (2),84.0±8.94 (2),84.0±8.94 (2),84.0±8.94 (2),84.0±8.94 (2),84.0±8.94 (2)
GLI_85,94.12±4.16 (12),94.12±4.16 (12),97.65±3.22 (11),94.12±4.16 (7),96.47±3.22 (16),94.12±4.16 (3),95.29±2.63 (34),96.47±3.22 (27),97.65±3.22 (55),95.29±2.63 (27),97.65±3.22 (57),97.65±3.22 (74),96.47±3.22 (57),98.82±2.63 (73),95.29±4.92 (7),97.65±3.22 (48),96.47±3.22 (17),96.47±5.26 (71),98.82±2.63 (59),95.29±2.63 (52),92.94±4.92 (8),96.47±3.22 (28),95.29±2.63 (26),95.29±2.63 (40),94.12±4.16 (29),95.29±2.63 (32),95.29±4.92 (32),95.29±4.92 (21),95.29±2.63 (46),95.29±4.92 (20),95.29±4.92 (18),95.29±4.92 (16),95.29±4.92 (15),95.29±4.92 (87),95.29±4.92 (16),96.47±5.26 (49),95.29±4.92 (76)
Isolet,77.82±2.04 (92),77.82±2.04 (92),83.65±3.77 (91),17.5±1.31 (5),72.24±2.63 (21),62.37±2.99 (13),78.85±4.72 (32),74.1±2.19 (24),80.45±3.06 (38),81.92±3.18 (36),82.05±3.57 (39),82.88±3.35 (40),83.97±3.53 (58),82.44±4.6 (54),83.4±3.6 (55),83.72±3.5 (55),85.71±1.64 (55),82.88±3.35 (52),83.27±4.06 (68),82.88±3.51 (60),28.59±1.4 (5),72.44±4.38 (19),58.72±3.69 (11),78.85±5.22 (35),73.97±4.75 (21),80.45±4.52 (38),78.78±4.2 (32),82.88±2.77 (43),82.24±1.73 (45),83.91±1.79 (57),83.59±2.91 (56),83.27±2.74 (62),83.59±2.84 (61),83.08±2.27 (53),84.1±2.25 (57),84.36±3.82 (68),83.72±3.35 (64)
ORL,91.75±1.9 (96),91.75±1.9 (96),94.0±4.45 (99),48.75±1.25 (14),87.5±2.34 (39),80.0±4.92 (30),90.5±4.2 (52),90.0±3.54 (42),91.25±4.15 (48),91.5±2.4 (51),91.25±4.15 (52),92.0±2.59 (65),92.0±3.38 (69),91.25±5.8 (65),91.75±2.59 (76),91.75±3.6 (68),91.0±4.45 (65),92.25±4.28 (79),90.25±2.85 (73),91.5±2.71 (82),49.0±3.69 (15),78.25±7.53 (42),72.5±6.9 (28),83.0±4.47 (47),79.25±4.2 (40),85.0±4.24 (57),82.5±7.02 (53),83.75±5.15 (56),84.75±7.26 (67),82.25±7.09 (73),82.5±5.3 (75),81.0±7.88 (71),80.75±6.1 (65),80.5±4.47 (80),78.75±7.81 (67),79.25±7.48 (60),79.25±6.99 (79)
PCMAC,90.33±1.71 (99),90.33±1.71 (98),92.02±1.15 (100),68.5±2.13 (2),85.02±2.13 (14),77.3±2.66 (8),86.26±1.57 (21),84.1±2.27 (14),86.82±2.06 (24),85.28±2.51 (23),86.0±2.82 (30),86.26±2.2 (30),86.82±1.85 (34),86.77±2.09 (35),87.08±2.62 (47),86.46±2.77 (31),87.19±1.23 (45),87.34±0.75 (48),87.03±1.16 (58),87.19±2.11 (49),77.66±3.75 (2),85.9±1.2 (15),85.28±2.22 (8),86.82±1.4 (20),86.26±1.16 (17),87.39±1.23 (27),87.08±1.48 (22),87.49±1.38 (30),88.06±1.46 (32),88.42±1.54 (41),88.37±1.58 (40),88.78±1.08 (48),88.47±1.27 (43),88.63±1.26 (49),88.83±1.53 (47),88.32±0.93 (57),88.11±1.56 (47)
