dataset_name,KBest,mRMR_RFCQ,KGroups (P=0.1),KGroups (P=0.1S),KGroups (P=0.3),KGroups (P=0.3S),KGroups (P=0.5),KGroups (P=0.5S),KGroups (P=0.7),KGroups (P=0.7S),KGroups (P=1.0),KGroups (P=1.3),KGroups (P=1.3S),KGroups (P=1.5),KGroups (P=1.5S),KGroups (P=1.7),KGroups (P=1.7S),KGroups (P=2.0),KGroups (P=2.0S),KGroups++ (P=0.1),KGroups++ (P=0.1S),KGroups++ (P=0.3),KGroups++ (P=0.3S),KGroups++ (P=0.5),KGroups++ (P=0.5S),KGroups++ (P=0.7),KGroups++ (P=0.7S),KGroups++ (P=1.0),KGroups++ (P=1.3),KGroups++ (P=1.3S),KGroups++ (P=1.5),KGroups++ (P=1.5S),KGroups++ (P=1.7),KGroups++ (P=1.7S),KGroups++ (P=2.0),KGroups++ (P=2.0S)
ALLAML,98.57,97.24,97.14,98.67,98.57,98.67,98.67,98.67,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.67,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.67,100.0,100.0,100.0,100.0
BASEHOCK,96.39,96.09,75.77000000000001,91.02,87.51,92.22,91.47,92.67,92.42,93.23,93.23,93.63,93.58,93.88,93.53,93.73,93.88,94.23,93.88,77.32,89.25999999999999,86.6,92.22,89.71000000000001,92.92,92.42,93.13,93.38,94.23,93.63,93.88,93.78,94.03,94.13,94.13,94.08
CLL_SUB_111,82.89,88.3,80.08,83.78999999999999,83.78999999999999,85.57000000000001,82.85,82.92,83.78999999999999,82.80999999999999,87.39,84.7,86.4,85.61,82.02000000000001,81.23,83.78999999999999,82.85,84.7,79.17,82.02000000000001,82.06,81.94,81.15,81.98,81.19,81.07,82.06,80.24,80.12,82.02000000000001,78.46,82.02000000000001,78.46,78.42,80.2
COIL20,82.78,86.18,59.51,85.83,82.57,87.42999999999999,85.14,86.74,87.01,87.57000000000001,87.08,86.81,87.57000000000001,87.71,88.47,89.1,88.19,86.74,86.67,57.85,79.44,77.99000000000001,79.31,78.75,80.42,80.07,81.67,82.22,82.22,81.17999999999999,81.46,81.6,80.42,81.04,80.97,80.35
Carcinom,91.95,93.11,70.12,90.81,86.81,91.93,92.5,93.09,92.55,92.54,94.25,94.82,93.66,96.54,94.25,94.22,94.22,94.82,95.36,62.67,93.11,89.7,92.54,91.39,94.27,93.7,94.25,94.25,94.27,93.11,94.27,93.68,95.97,94.24,92.54,93.66
GLIOMA,94.0,90.0,76.0,92.0,86.0,94.0,94.0,96.0,92.0,90.0,96.0,92.0,94.0,92.0,96.0,94.0,90.0,92.0,90.0,64.0,86.0,86.0,84.0,84.0,80.0,86.0,84.0,86.0,90.0,86.0,86.0,86.0,84.0,82.0,84.0,84.0
GLI_85,95.29,92.94,90.59,98.82,96.47,95.29,97.65,97.65,98.82,95.29,96.47,95.29,96.47,96.47,97.65,96.47,95.29,96.47,97.65,90.59,96.47,92.94,96.47,95.29,97.65,97.65,96.47,97.65,97.65,97.65,96.47,97.65,97.65,97.65,97.65,97.65
Isolet,87.37,87.76,20.13,84.68,76.53999999999999,87.24,85.32,88.08,87.69,87.76,87.05000000000001,86.99,86.99,88.4,87.63,87.37,87.18,86.47,87.05000000000001,26.22,79.55,77.12,81.28,79.81,82.12,81.15,81.41000000000001,82.17999999999999,82.82000000000001,82.76,83.08,83.27,83.21,83.33,81.54,82.56
ORL,94.0,94.25,80.25,93.75,91.75,94.5,93.75,94.25,93.5,95.25,95.0,95.0,96.0,94.75,94.0,94.5,94.5,94.25,94.75,74.75,92.0,90.25,93.0,91.75,93.0,92.75,92.5,93.0,92.5,93.0,92.5,92.25,91.25,92.0,91.25,92.75
PCMAC,90.84,92.9,77.66,82.55,80.80000000000001,84.71,82.91,87.13,85.8,87.03,87.33999999999999,88.42,87.08,87.91,88.06,88.06,87.91,88.01,88.52,77.66,82.35,77.3,84.3,82.35,85.18,84.3,85.64,85.9,87.13,86.77,87.24,87.24,87.39,87.7,87.5,87.44
Prostate_GE,94.05,93.14,90.24,92.19,94.14,93.14,93.1,95.1,95.05,94.1,93.14,95.1,95.0,96.05,95.1,95.05,95.1,96.05,94.1,91.14,95.05,94.1,97.0,95.05,97.0,96.05,95.1,96.05,96.05,96.05,97.0,96.05,97.0,96.05,97.0,96.05
