dataset_name,KBest-gini,mRMR-gini,KGroups-gini,KBest-mutual_info,mRMR-mutual_info,KGroups-mutual_info,KBest-Fvalue,mRMR-Fvalue,KGroups-Fvalue
ALLAML,186,5953,183,193,52440,190,177,5872,185
CLL_SUB_111,275,9600,233,272,94990,251,245,9430,232
Carcinom,918,8307,321,747,95692,355,660,8002,252
GLIOMA,188,3758,198,206,30870,205,194,3694,192
GLI_85,240,18636,196,237,167942,208,191,18259,205
Prostate_GE,206,5137,198,210,48710,205,196,5048,198
SMK_CAN_187,379,17323,256,308,204559,277,260,16983,273
TOX_171,754,5163,278,854,29706,308,783,4960,286
colon,175,1861,181,186,14605,191,184,1793,187
leukemia,172,5945,178,184,57486,182,168,5852,177
lung,324,3288,276,307,36855,311,290,3091,269
lung_discrete,192,612,211,206,2667,218,205,536,215
lymphoma,222,3517,233,252,33389,243,227,3430,236
nci9,218,7869,217,274,78979,238,209,7814,183
