dataset_name,CPU_time (KBest),Wall_time (KBest),CPU_time (mRMR_FCQ),Wall_time (mRMR_FCQ),CPU_time (mRMR_FCD),Wall_time (mRMR_FCD),CPU_time (P=0.1),Wall_time (P=0.1),CPU_time (P=0.1S),Wall_time (P=0.1S),CPU_time (P=0.3),Wall_time (P=0.3),CPU_time (P=0.3S),Wall_time (P=0.3S),CPU_time (P=0.5),Wall_time (P=0.5),CPU_time (P=0.5S),Wall_time (P=0.5S),CPU_time (P=0.7),Wall_time (P=0.7),CPU_time (P=0.7S),Wall_time (P=0.7S),CPU_time (P=1.0),Wall_time (P=1.0),CPU_time (P=1.3),Wall_time (P=1.3),CPU_time (P=1.3S),Wall_time (P=1.3S),CPU_time (P=1.5),Wall_time (P=1.5),CPU_time (P=1.5S),Wall_time (P=1.5S),CPU_time (P=1.7),Wall_time (P=1.7),CPU_time (P=1.7S),Wall_time (P=1.7S),CPU_time (P=2.0),Wall_time (P=2.0),CPU_time (P=2.0S),Wall_time (P=2.0S),CPU_time++ (P=0.1),Wall_time++ (P=0.1),CPU_time++ (P=0.1S),Wall_time++ (P=0.1S),CPU_time++ (P=0.3),Wall_time++ (P=0.3),CPU_time++ (P=0.3S),Wall_time++ (P=0.3S),CPU_time++ (P=0.5),Wall_time++ (P=0.5),CPU_time++ (P=0.5S),Wall_time++ (P=0.5S),CPU_time++ (P=0.7),Wall_time++ (P=0.7),CPU_time++ (P=0.7S),Wall_time++ (P=0.7S),CPU_time++ (P=1.0),Wall_time++ (P=1.0),CPU_time++ (P=1.3),Wall_time++ (P=1.3),CPU_time++ (P=1.3S),Wall_time++ (P=1.3S),CPU_time++ (P=1.5),Wall_time++ (P=1.5),CPU_time++ (P=1.5S),Wall_time++ (P=1.5S),CPU_time++ (P=1.7),Wall_time++ (P=1.7),CPU_time++ (P=1.7S),Wall_time++ (P=1.7S),CPU_time++ (P=2.0),Wall_time++ (P=2.0),CPU_time++ (P=2.0S),Wall_time++ (P=2.0S)
ALLAML,176.6223258972168,177.6786651611328,5864.407260894775,5891.724795341492,5878.798530578613,5905.818717956543,177.36809158325195,178.51779174804688,187.06966400146484,188.40985298156738,170.90436172485352,172.0987777709961,187.68564701080322,188.96188926696777,178.13213348388672,179.3314552307129,189.33495616912842,190.6804256439209,172.6311378479004,173.73504257202148,189.68966579437256,191.1216583251953,184.9110870361328,186.04510116577148,173.92666625976562,174.9935302734375,191.89948558807373,193.30651569366455,186.49863719940186,187.6759738922119,195.16927337646484,196.58504486083984,183.53496408462524,184.6101942062378,191.2277069091797,192.56237506866455,205.3463535308838,206.7534122467041,192.7792730331421,194.3693561553955,169.75226593017578,170.92258071899414,182.90615010261536,184.13309907913208,178.89183807373047,180.2104630023241,186.7235507965088,188.0648078918457,185.307119846344,186.66743421554565,187.70547723770142,189.02169704437256,189.4024019241333,190.7921266555786,189.70501708984375,191.05173206329346,189.66876220703125,191.01104640960693,186.21980619430542,187.45176696777344,184.5152769088745,185.64760780334473,185.87949895858765,187.05435419082642,184.34905576705933,185.47408819198608,185.4954481124878,186.57616186141968,184.71666288375854,185.73284578323364,177.52156448364258,178.5325698852539,177.25766372680664,178.2467498779297
CLL_SUB_111,245.06022787094116,246.4584379196167,9425.307981014252,9471.896606445312,9434.989451408386,9479.664722442627,208.20815658569336,209.58474159240723,221.66128158569336,223.19272232055664,204.25464630126953,205.68025016784668,231.72229385375977,233.30055618286133,219.7532844543457,221.56573104858398,235.93944931030273,237.65833282470703,214.72957611083984,216.0970458984375,238.57175064086914,240.4338519871235,233.58316040039062,235.00382614135742,228.9909439086914,230.3988037109375,246.5160050392151,248.252592086792,249.94601345062256,251.90350341796875,253.88848876953125,255.74338912963867,241.11424899101257,242.5024769306183,251.2231969833374,253.00099086761475,248.62768745422363,250.1498670578003,255.4761838912964,257.57972526550293,200.7981014251709,202.16398811340332,218.91608428955078,220.3492317199707,210.44791984558105,211.98488807678223,226.87974166870117,228.50940704345703,221.57583236694336,223.1820945739746,230.80452728271484,232.39247512817383,229.82111740112305,231.49856567382812,233.12653350830078,234.7571258544922,236.95143127441406,238.6790008544922,235.7125244140625,237.2651596069336,233.18388748168945,234.60161209106445,237.66336059570312,239.1525764465332,235.37420272827148,236.79930114746094,240.0704540014267,241.43296802043915,237.28364944458008,238.57923889160156,231.6705436706543,232.9432830810547,232.3799819946289,233.6749038696289
Carcinom,660.3379180133343,120.93552297353745,7998.920406341553,8050.659766197205,8004.967750549316,8052.1393003463745,230.82445526123047,232.43346405029297,250.51130485534668,252.1425428390503,214.7327117919922,216.20913696289062,258.7192325592041,260.4747428894043,247.14832401275635,249.07613945007324,266.37690925598145,268.4080181121826,223.86204528808594,225.25080108642578,269.3989505767822,271.35277938842773,28.958932876586914,53.5795783996582,239.1609992980957,240.56995898485184,274.9379348754883,276.87109756469727,275.3831596374512,277.4534721374512,282.90839767456055,285.0688591003418,266.530309677124,268.02026557922363,278.66138458251953,280.69304275512695,271.450719833374,272.9815673828125,281.35456466674805,283.63407135009766,247.3726930618286,248.9995698928833,249.526385307312,251.11980724334717,246.74286603927612,248.4673614501953,262.8516426086426,264.6219120025635,251.090238571167,252.8548345565796,267.35288429260254,269.1372528076172,264.5162944793701,266.3500213623047,271.12238121032715,272.9648857116699,271.20848846435547,273.13262939453125,266.05602836608887,267.7521228790283,263.8820991516113,265.4265327453613,264.2651195526123,265.8744125366211,263.080415725708,264.62218856811523,265.3495922088623,266.80712127685547,264.0296974182129,265.42269134521484,250.56876182556152,251.92883014678955,246.72917795181274,248.0702667236328
GLIOMA,193.5633192062378,194.66383934020996,3691.6080417633057,3708.9051513671875,3695.5660858154297,3713.0517082214355,186.43981218338013,187.59483194351196,188.06752586364746,189.337984085083,177.56456756591797,178.79258346557617,192.93013191223145,194.2722282409668,185.3417568206787,186.82906818389893,194.71656894683838,196.1421070098877,173.16693878173828,174.26190185546875,195.97167682647705,197.42084121704102,189.94368076324463,191.16019344329834,179.84441757202148,180.9227949976921,201.85789489746094,203.36234664916992,201.70566368103027,203.24774360656738,207.17938423156738,208.81805419921875,194.59730625152588,195.71753883361816,204.5005931854248,205.95167350769043,198.53335762023926,199.6935806274414,207.03947067260742,208.75049018859863,180.09139599651098,181.31185901165009,187.62420177459717,188.8710479736328,182.66025304794312,183.9945240020752,190.2680778503418,191.63021183013916,188.53192138671875,189.8702039718628,192.16867542266846,193.4967679977417,192.7792158126831,194.1676902770996,193.77055740356445,195.12670135498047,197.13081169128418,198.56017875671387,194.24774265289307,195.49324798583984,191.45555591583252,192.6301326751709,195.1639223098755,196.38379669189453,192.7680320739746,193.93492698669434,196.45909118652344,197.57345581054688,194.01832580566406,195.07367706298828,191.84302616119385,192.91046714782715,187.20859479904175,188.2484540939331
GLI_85,191.18282508850098,192.24649715423584,18257.47801208496,18345.600734710693,18261.460836410522,18349.760948181152,191.8750638961792,193.12332725524902,204.3573818206787,205.76110649108887,191.3644733428955,192.70594882965088,209.1510772705078,210.67556381225586,202.12751388549805,203.7169017791748,210.27473831176758,211.94846534729004,192.61699104309082,193.8582420349121,210.59540557861328,212.1625862121582,203.16360473632812,204.39873695373535,195.4948034286499,196.6861114501953,213.4343147277832,215.05089569091797,211.98283195495605,213.51947402954102,217.20954132080078,218.94570922851562,203.14776229858398,204.35009574890137,213.4877052307129,215.02925872802734,205.09119415283203,206.3119239807129,214.20318603515625,215.98781967163086,186.66319608688354,187.95717477798462,202.50930404663086,203.85824584960938,197.2712116241455,198.72083282470703,206.87023735046387,208.34992027282715,205.66773414611816,207.13681983947754,208.05119132995605,209.48800468444824,209.53606414794922,211.04998588562012,210.8371982574463,212.3401107788086,213.2271385192871,214.78107070922852,207.64589881896973,208.9732608795166,204.75613594055176,206.01196479797363,207.22449684143066,208.53485298156738,205.19214248657227,206.4478416442871,207.1646842956543,208.35305786132812,205.4542636871338,206.5902271270752,204.54945182800293,205.74003410339355,201.00706100463867,202.11998176574707
Prostate_GE,196.3405933380127,197.44507026672363,5045.036305904388,5070.650678634644,5050.2184381484985,5075.980895996094,188.89301776885986,190.1444215774536,194.03477478027344,195.38718223571777,183.15004897117615,184.45031690597534,198.8810157775879,200.2659683227539,192.10274600982666,193.58841705322266,201.6014404296875,203.16885375976562,183.25043988227844,184.4504737854004,202.79756546020508,204.31958770751953,195.63975429534912,196.83454132080078,190.76937294006348,191.95666885375977,207.4601593017578,208.97503280639648,207.91871452331543,209.41831016540527,212.1918182373047,213.89390182495117,199.80722427368164,201.0052375793457,209.51772499084473,211.07541465759277,203.37965965270996,204.61007118225098,211.64784049987793,213.43813705444336,182.1779909133911,183.4205150604248,193.89044666290283,195.2066307067871,187.81780910491943,189.21199798583984,198.1189842224121,199.57538414001465,195.27538871765137,196.69215393066406,199.7522201538086,201.17185592651367,200.31652450561523,201.8000316619873,200.95930290222168,202.39545059204102,204.7802391052246,206.29794311523438,201.36066246032715,202.66940307617188,198.42916870117188,199.66426467895508,201.92499542236328,203.22294425964355,199.3983554840088,200.63388061523438,202.93916702270508,204.12182998657227,200.68788528442383,201.81231880187988,197.84807777404785,198.9812355041504,196.5655117034912,197.67275428771973
SMK_CAN_187,260.379358291626,261.8287467956543,17019.553352355957,17160.062775999308,16945.818729400635,17037.381587982178,240.37604600191116,241.93843400478363,271.35242462158203,273.19558334350586,254.06529426574707,255.83594036102295,280.0165367126465,282.1000213623047,268.733585357666,270.7768383026123,281.9898490905762,284.11256408691406,258.15993309020996,259.7999725341797,282.7644157409668,284.86631774902344,273.6013298034668,275.23652267456055,263.82648849487305,265.4142646789551,286.490421295166,288.5367622375488,285.3653221130371,287.39422607421875,293.81027603149414,296.09753036499023,275.9560890197754,277.5814666748047,289.4787483215332,291.53435134887695,279.4828872680664,281.25585174560547,290.6075782775879,293.02405548095703,235.17118453979492,236.8059196472168,269.5005111694336,271.2785339355469,259.37014961242676,261.3021125793457,276.5601005554199,278.5526542663574,272.4067573547363,274.3527946472168,277.3575630187988,279.2861099243164,278.1960868835449,280.2361030578613,280.17680740356445,282.16898345947266,284.10335540771484,286.1985168457031,276.3563041687012,278.1082763671875,273.5642395019531,275.22872161865234,276.01893615722656,277.753719329834,274.01793670654297,275.68764877319336,276.8343505859375,278.4200782775879,274.4022331237793,275.91564559936523,270.64211654663086,272.15593338012695,264.53455352783203,266.1742877960205
TOX_171,782.5213539600372,161.02243423461914,4958.354152679443,4986.218361854553,4962.057479858398,4988.806674957275,243.4461009502411,244.98442888259888,270.56093978881836,272.36031341552734,248.19579315185547,249.88825798034668,285.5949478149414,287.68691635131836,268.3791751861572,270.37329292297363,290.5650978088379,292.77740478515625,263.08177757263184,264.71166610717773,294.7096824645996,296.83324432373047,290.55460357666016,292.28380584716797,280.975830078125,282.613956451416,304.9089159965515,307.0336961746216,308.73352432250977,310.82704162597656,314.40807819366455,316.71465492248535,302.3813920021057,304.0908498764038,311.5666227340698,313.69444465637207,308.39391708374023,310.1422510147095,316.5615997314453,319.129358291626,234.91278457641602,236.47247695922852,270.1312427520752,271.87616539001465,252.38448238372803,254.1921615600586,282.6206970214844,284.63892364501953,270.8779354095459,272.7770118713379,287.61681365966797,289.61531829833984,283.44573974609375,285.4619255065918,291.59783935546875,293.6189155578613,296.9456100463867,299.08980560302734,294.4245491027832,296.23323822021484,292.28508377075195,294.001522064209,298.3794174194336,300.18744200468063,295.3776092529297,297.1166763305664,301.64344704151154,303.2876980304718,297.4464874267578,299.02294540405273,293.3460998535156,294.88011169433594,286.22987365722656,287.79758071899414
colon,184.06107091903687,185.09706211090088,1790.7087478637695,1800.893326997757,1794.9637870788574,1805.252583026886,179.05015182495117,180.1860399991274,186.21157312393188,187.4902081489563,177.98167037963867,179.3427848815918,191.24623489379883,192.6855640411377,185.39267015457153,186.8625431060791,192.45661163330078,193.99359893798828,173.158203125,174.27471160888672,192.35537242889404,193.79863166809082,187.64212703704834,188.80225372314453,175.89628219604492,176.96599197387695,195.7186393737793,197.1216163635254,195.9542694091797,197.3991928100586,199.47813606262207,200.9950408935547,186.75313711166382,187.84117794036865,195.95862102508545,197.350191116333,189.2917013168335,190.51691341400146,197.20932006835938,198.84765625,172.55263900756836,173.7436065673828,182.50257301330566,183.70441102981567,179.47704315185547,180.77848100662231,188.75012016296387,190.1252727508545,186.33904600143433,187.68538999557495,189.52904891967773,190.8685646057129,190.04408931732178,191.42122840881348,191.35297679901123,192.71004962921143,193.18296909332275,194.5967502593994,188.12879276275635,189.33981704711914,186.04615306854248,187.18159914016724,188.4343967437744,189.62855339050293,186.63302898406982,187.77022504806519,189.02558517456055,190.11601543426514,186.95736503601074,187.99082708358765,177.2170066833496,178.17384338378906,176.65322875976562,177.7664909362793
leukemia,168.43366241455078,169.36203384399414,5853.752941131592,5884.887867927551,5849.465045928955,5880.538644015789,174.0009765625,175.1204071044922,178.28086853027344,179.50576782226562,170.8179168701172,172.1696434020996,182.95139408111572,184.33973598480225,176.8763885498047,178.28428268432617,182.50761890411377,183.99358701705933,165.61637496948242,166.6921272277832,182.3913369178772,183.76148796081543,176.9584732055664,178.05937957763672,165.61449432373047,166.6311378479004,183.57445788383484,184.86245918273926,184.0895619392395,185.43825817108154,188.1959114074707,189.63371658325195,174.21734237670898,175.23918533325195,184.69744682312012,186.0072159767151,176.8785858154297,177.92832946777344,186.06317615509033,187.62140417099,166.36325073242188,167.5004997253418,174.03034210205078,175.16315078735352,173.65930938720703,174.94930267333984,179.92466735839844,181.23719704151154,178.69010162353516,179.98162841796875,180.66571801900864,181.93927597999573,181.53011095523834,182.85479497909546,180.1698459982872,181.44912195205688,182.13964891433716,183.48915696144104,175.9481430053711,177.0840301513672,173.58565521240234,174.64908981323242,175.56946563720703,176.68434524536133,173.91133880615234,174.9740982055664,175.36537170410156,176.37826919555664,174.33723831176758,175.2995834350586,164.31241607666016,165.19521713256836,163.84352111816406,164.7560691833496
