dataset_name,CPU_time (KBest),Wall_time (KBest),CPU_time (mRMR_MIQ),Wall_time (mRMR_MIQ),CPU_time (mRMR_MID),Wall_time (mRMR_MID),CPU_time (P=0.1),Wall_time (P=0.1),CPU_time (P=0.1S),Wall_time (P=0.1S),CPU_time (P=0.3),Wall_time (P=0.3),CPU_time (P=0.3S),Wall_time (P=0.3S),CPU_time (P=0.5),Wall_time (P=0.5),CPU_time (P=0.5S),Wall_time (P=0.5S),CPU_time (P=0.7),Wall_time (P=0.7),CPU_time (P=0.7S),Wall_time (P=0.7S),CPU_time (P=1.0),Wall_time (P=1.0),CPU_time (P=1.3),Wall_time (P=1.3),CPU_time (P=1.3S),Wall_time (P=1.3S),CPU_time (P=1.5),Wall_time (P=1.5),CPU_time (P=1.5S),Wall_time (P=1.5S),CPU_time (P=1.7),Wall_time (P=1.7),CPU_time (P=1.7S),Wall_time (P=1.7S),CPU_time (P=2.0),Wall_time (P=2.0),CPU_time (P=2.0S),Wall_time (P=2.0S),CPU_time++ (P=0.1),Wall_time++ (P=0.1),CPU_time++ (P=0.1S),Wall_time++ (P=0.1S),CPU_time++ (P=0.3),Wall_time++ (P=0.3),CPU_time++ (P=0.3S),Wall_time++ (P=0.3S),CPU_time++ (P=0.5),Wall_time++ (P=0.5),CPU_time++ (P=0.5S),Wall_time++ (P=0.5S),CPU_time++ (P=0.7),Wall_time++ (P=0.7),CPU_time++ (P=0.7S),Wall_time++ (P=0.7S),CPU_time++ (P=1.0),Wall_time++ (P=1.0),CPU_time++ (P=1.3),Wall_time++ (P=1.3),CPU_time++ (P=1.3S),Wall_time++ (P=1.3S),CPU_time++ (P=1.5),Wall_time++ (P=1.5),CPU_time++ (P=1.5S),Wall_time++ (P=1.5S),CPU_time++ (P=1.7),Wall_time++ (P=1.7),CPU_time++ (P=1.7S),Wall_time++ (P=1.7S),CPU_time++ (P=2.0),Wall_time++ (P=2.0),CPU_time++ (P=2.0S),Wall_time++ (P=2.0S)
ALLAML,192.92433738708496,194.109769821167,52432.21491241455,52755.14490699768,52448.47770023346,52769.250257492065,173.53634643554688,174.74847412109375,195.17804431915283,196.56417846679688,181.10766005516052,182.3633999824524,192.5220184326172,193.81746673583984,185.67658710479736,186.91667222976685,192.75905895233154,194.18113231658936,175.9012451171875,177.01233291625977,191.81496715545654,193.22107124328613,186.92971181869507,188.05972862243652,176.22277450561523,177.29201889038086,193.98260307312012,195.44050979614258,188.85907077789307,190.03967189788818,197.41897583007812,198.84245681762695,186.32599878311157,187.40918588638306,194.186918258667,195.57869911193848,208.214111328125,209.62907028198242,195.24913787841797,196.84449768066406,180.3677139878273,181.57174599170685,194.0812292098999,195.33454704284668,189.80331802368164,191.19361019134521,194.06044673919678,195.4520149230957,194.5585699081421,195.96998023986816,193.88310432434082,195.23519802093506,195.50707530975342,196.91002655029297,194.38979816436768,195.7484893798828,194.50703239440918,195.8709011077881,191.3892307281494,192.66414070129395,189.14270401000977,190.28799724578857,190.665620803833,191.86030101776123,188.89671993255615,190.03875064849854,191.34846687316895,192.45708560943604,189.39385223388672,190.42625331878662,182.99104189872742,184.00907182693481,182.34404706954956,183.3514280319214
CLL_SUB_111,271.93168449401855,273.57807540893555,94983.37947511673,95562.6003112793,94996.84634590149,95576.90972518921,221.36416625976562,223.01882553100586,250.78749465942383,252.495512008667,233.50835037231445,235.12845611572266,256.9310493469238,258.63965034484863,249.61407661437988,251.72540473937988,258.6246280670166,260.476411819458,239.50498580932617,241.00724303722382,259.1612071990967,261.12372398376465,253.41489124298096,254.94145011901855,243.72238898277283,245.20653009414673,262.763427734375,264.5828399658203,263.76849365234375,265.8303909301758,268.47039222717285,270.57311058044434,252.42447662353516,253.8840913772583,263.6909008026123,265.53653717041016,255.81070232391357,257.3374614715576,265.7521152496338,267.91151428222656,216.29774475097656,217.76049041748047,248.56493091583252,250.17675971984863,238.5176124572754,240.2416269928217,253.31961631774902,255.13134098052979,251.14870262145996,252.958083152771,255.18359565734863,256.940149307251,255.16133880615234,257.0031051635742,256.1373863220215,257.92877769470215,255.4096908569336,257.181339263916,252.12056922912598,253.75394821166992,250.50488185882568,252.0052194595337,251.8219518661499,253.3792486190796,250.74301528930664,252.23870182037354,252.48801708221436,253.9018793106079,251.39743423461914,252.75216579437256,243.6818859577179,245.01447200775146,244.69059085845947,246.0308427810669
Carcinom,746.8616218566895,132.2444362640381,94879.93497848511,95605.78291511536,96504.1550540924,97297.97119522095,285.83002853393555,287.6332664489746,328.97619438171387,331.06208992004395,302.8711540699005,304.85644483566284,342.21752166748047,344.4808807373047,326.34961318969727,328.84840393066406,347.0520477294922,349.6438522338867,318.27966690063477,320.1600589752197,350.24193572998047,352.6592102050781,752.989574432373,144.23336601257324,331.32234382629395,333.16882705688477,359.2377395629883,361.60293304920197,361.53003895282745,364.1174211502075,368.8296060562134,371.5550479888916,349.96042251586914,351.83019638061523,364.1114149093628,366.65889501571655,356.7134017944336,358.72795486450195,366.9124369621277,369.8034677505493,279.20129776000977,281.03102111816406,334.44893646240234,336.51956939697266,316.9298725128174,319.11283683776855,346.6934623718262,349.274715423584,337.87398529052734,340.1659278869629,352.65511322021484,354.9554901123047,351.2752456665039,353.66656494140625,356.4176254272461,358.7678527832031,358.8419532775879,361.3585170507431,354.405460357666,356.5650634765625,350.01248931884766,351.98526763916016,353.4543266296387,355.503719329834,350.7613410949707,352.7309684753418,354.58313369750977,356.4254035949707,352.72623443603516,354.49764251708984,345.8172416687012,347.6044921875,346.2627143859863,348.02490997314453
GLIOMA,206.3188934326172,207.53837776184082,30729.978224754333,30926.3005695343,31009.02822494507,31215.676237106323,194.34378910064697,195.57956504821777,208.47927474975586,209.87217712402344,197.72992134094238,199.08796310424805,210.62331581115723,212.06292343139648,205.45881843566895,207.08623504638672,211.0367374420166,212.56474685668945,189.90527153015137,191.08773136138916,210.906831741333,212.5421371459961,204.70709228515625,206.00756645202637,190.15228271484375,191.27811241149902,212.98458099365234,214.4713478088379,209.7352638244629,211.31460189819336,216.87318801879883,218.5677261352539,201.42058944702148,202.56517601013184,212.50682830810547,214.01542282104492,204.51908111572266,205.69805908203125,213.63488006591797,215.37464141845703,189.5685796737671,190.86829376220703,206.93973922729492,208.29627418518066,202.4894905090332,203.959716796875,207.08870697021484,208.55027389526367,207.50652503967285,208.9583797454834,208.1207332611084,209.55816650390625,209.59021186828613,211.09062576293945,208.8315200805664,210.28202629089355,210.61974906921387,212.1422348022461,204.84003067016602,206.13224411010742,202.74700927734375,203.9789867401123,203.97315216064453,205.23403549194336,202.63086318969727,203.83940887451172,204.03638648986816,205.17193222045898,202.90778160095215,203.99658393859863,198.2847557067871,199.3752899169922,193.44238758087158,194.48579502105713
GLI_85,237.1783790588379,238.52464294433594,167806.09449386597,168863.6011981964,168077.46656417847,169230.27505874634,195.04173278808594,196.29792594909668,209.46048545837402,210.88809776306152,197.8167495727539,199.2027130126953,212.59906768798828,214.10445022583008,207.2111110687256,208.83634567260742,213.2269515991211,214.85491943359375,196.1403923034668,197.39730072021484,212.60541915893555,214.1573028564453,204.75481986999512,205.987211227417,196.52267837524414,197.71728134155273,213.78660583496094,215.31967163085938,212.17087173461914,213.70714569091797,218.6734848022461,220.42311096191406,203.92153549194336,205.12679290771484,214.41640853881836,215.98806762695312,205.58472442626953,206.8020420074463,215.23263549804688,217.01699447631836,190.19500732421875,191.50997734069824,209.31323623657227,210.69777297973633,204.66282653808594,206.16572380065918,213.12192153930664,214.6613998413086,212.21856307983398,213.73533248901367,213.85929489135742,215.36202239990234,215.46426010131836,217.0236473083496,214.51773071289062,216.02085876464844,217.27966690063477,218.8644676208496,210.81960105895996,212.16731643676758,208.5136432647705,209.78778839111328,209.58621788024902,210.90860176086426,208.38144493103027,209.6540699005127,209.85721397399902,211.06013679504395,208.3905200958252,209.541353225708,206.48444747924805,207.6747760772705,203.80462265014648,204.93438911437988
Prostate_GE,209.6138744354248,210.7958755493164,48072.76906585693,48372.88906288147,49347.75117492676,49688.171637535095,189.2311668395996,190.46593761444092,202.4664363861084,203.8748893737793,189.88092803955078,191.22299766540527,207.1957130432129,208.66236305236816,200.55948066711426,202.14508819580078,209.01010513305664,210.5497989654541,191.1711826324463,192.41729259490967,210.14133644104004,211.79548454284668,202.78361701965332,204.02448081970215,195.95454216003418,197.16669845581055,213.31456756591797,214.84838104248047,212.87216567993164,214.40045547485352,217.80917358398438,219.46591567993164,204.47331619262695,205.69292449951172,214.3102912902832,215.87199020385742,207.6575222015381,208.90867614746094,215.19060516357422,216.97945404052734,184.72631692886353,185.9903998374939,202.7432918548584,204.12902069091797,194.2792625427246,195.71008777618408,206.52213859558105,208.03146743774414,203.92418670654297,205.39572143554688,207.4560432434082,208.92699432373047,208.69602012634277,210.23120880126953,208.76937294006348,210.26378440856934,212.01488876342773,213.57936477661133,208.07777786254883,209.41924476623535,205.13525009155273,206.40399742126465,208.1225986480713,209.45204162597656,206.28802490234375,207.5611743927002,208.38523864746094,209.59299278259277,206.364164352417,207.517183303833,203.42901992797852,204.58867263793945,201.59992027282715,202.73102569580078
SMK_CAN_187,308.06085681915283,309.7998676300049,199394.77999210358,201044.60620498657,209722.3376159668,211127.5143585205,245.6456298828125,247.26568508148193,276.2999382019043,278.1724166870117,259.7065677642822,261.5112113952637,284.6710548400879,286.7929229736328,273.81407165527344,275.89097595214844,285.9561958312988,288.0406379699707,262.4212074279785,264.0825386047363,286.7066993713379,288.8473815917969,277.35329818725586,279.0093803405762,267.05809593200684,268.66088485717773,290.32473373413086,292.4555358886719,288.23851776123047,290.2886428833008,297.6128044128418,299.796817779541,279.06890869140625,280.7085838317871,292.5736961364746,294.6361198425293,282.43952560424805,284.11442947387695,293.6986885070801,296.1467170715332,239.0570411682129,240.7209780216217,274.7417106628418,276.55087661743164,264.2961902618408,266.2421932220459,279.83558654785156,281.85596466064453,276.21260833740234,278.1807632446289,281.24273681640625,283.21037673950195,280.85811614990234,282.88078689575195,283.26930236816406,285.2761421203613,286.46423721313477,288.5564727783203,279.05760955810547,280.8206443786621,276.53295135498047,278.2092819213867,278.71601486206055,280.46824645996094,276.59701919555664,278.2771644592285,278.92225646972656,280.5161819458008,277.3557014465332,278.8814506530762,272.2771797180176,273.79820251464844,265.55529403686523,267.00235748291016
TOX_171,854.4995937347412,191.1824140548706,56592.85463809967,56978.60983276367,2819.2239837646484,5784.024318695068,250.941162109375,252.5265760421753,294.66807556152344,296.60205078125,271.5316162109375,273.3656806945801,306.92247915267944,309.1407833099365,291.8565673828125,294.0050926208496,310.81218910217285,313.23425579071045,283.25281143188477,284.9861602783203,313.1027822494507,315.3152599334717,309.8493461608887,311.68926906585693,297.79673767089844,299.5195999145508,322.2583751678467,324.4556884765625,323.3035182952881,325.51465606689453,330.69750213623047,333.12145614624023,315.157377243042,316.9263286590576,327.36844635009766,329.75054359436035,319.65475845336914,321.6168098449707,330.39683532714844,333.0743522644043,246.54661417007446,248.19805908203125,299.5894470214844,301.4818160533905,279.4906005859375,281.4629135131836,311.65387439727783,313.8538484573364,301.29409897327423,303.39483094215393,316.3250045776367,318.50625228881836,313.8996696472168,316.1184387207031,319.3438777923584,321.53155517578125,324.6686954498291,326.98639488220215,320.5156764984131,322.45716094970703,317.6169624328613,319.4618396759033,322.7046356201172,324.63337326049805,320.3362007141113,322.1924858093262,324.7924518585205,326.53808784484863,321.8556652069092,323.533992767334,314.534930229187,316.15699577331543,309.6107540130615,311.27641201019287
colon,185.93223094940186,186.97610998153687,14644.821383953094,14745.987979888916,14564.185276031494,14662.17483139038,182.9489450454712,184.1867299079895,192.0959415435791,193.41481113433838,183.87500190734863,185.26377820968628,195.53701400756836,196.9991912841797,190.91726970672607,192.40748500823975,195.6988353729248,197.15388679504395,177.00661849975586,178.14286041259766,195.38852500915527,196.84471130371094,190.2398738861084,191.40665912628174,178.09540176391602,179.17369079589844,197.86454010009766,199.24077224731445,198.01946640014648,199.47515487670898,200.70357704162598,202.22060203552246,188.71883583068848,189.81664562225342,198.41406440734863,199.82720184326172,190.95598602294922,192.18311977386475,198.78631210327148,200.4376564025879,175.1004638671875,176.29606246948242,189.0590763092041,190.29236602783203,186.0907859802246,187.43348217010498,194.0955581665039,195.49610900878906,192.35963344573975,193.73643112182617,194.35798454284668,195.72897624969482,195.32732009887695,196.74170684814453,196.1038703918457,197.5019359588623,197.20794296264648,198.64862823486328,192.17044067382812,193.39898681640625,190.07728004455566,191.23173713684082,192.38120079040527,193.59696578979492,190.66851139068604,191.82498931884766,192.77825355529785,193.88690376281738,190.80667209625244,191.85539054870605,181.0286580324173,182.00640106201172,180.2040230035782,181.30556094646454
leukemia,183.98238492012024,185.02814388275146,55889.69585418701,56250.56087875366,59081.600524902344,59513.3797416687,180.77854597568512,181.93864798545837,184.14543294906616,185.39960193634033,179.33721542358398,180.74591398239136,185.03169107437134,186.4115490913391,182.0140540599823,183.44627904891968,184.40252017974854,185.88225984573364,167.39422988891602,168.4625587463379,183.8902781009674,185.25685596466064,178.6411895751953,179.72985458374023,167.927001953125,168.9363670349121,186.41608476638794,187.7411971092224,185.63829278945923,186.9763331413269,189.77732181549072,191.19025707244873,177.40956497192383,178.4355354309082,187.87096881866455,189.21121215820312,180.27152198553085,181.32923102378845,187.76900911331177,189.30924129486084,173.77214813232422,174.96910095214844,182.16776490211487,183.34917402267456,183.01915097236633,184.36566019058228,186.40522384643555,187.75004720687866,186.63666200637817,187.98348093032837,186.26691198349,187.55911302566528,187.68350887298584,189.04545307159424,185.97227382659912,187.28228378295898,187.5898699760437,188.96137714385986,182.46020793914795,183.61911797523499,179.93412017822266,181.02171897888184,181.9407080411911,183.08769297599792,180.2044479995966,181.29724502563477,182.7040069103241,183.7460720539093,180.91276597976685,181.89801704883575,170.6656150817871,171.5745506286621,169.96157836914062,170.89550018310547
