dataset_name,CPU_time (KBest),Wall_time (KBest),CPU_time (mRMR_RFCQ),Wall_time (mRMR_RFCQ),CPU_time (P=0.1),Wall_time (P=0.1),CPU_time (P=0.1S),Wall_time (P=0.1S),CPU_time (P=0.3),Wall_time (P=0.3),CPU_time (P=0.3S),Wall_time (P=0.3S),CPU_time (P=0.5),Wall_time (P=0.5),CPU_time (P=0.5S),Wall_time (P=0.5S),CPU_time (P=0.7),Wall_time (P=0.7),CPU_time (P=0.7S),Wall_time (P=0.7S),CPU_time (P=1.0),Wall_time (P=1.0),CPU_time (P=1.3),Wall_time (P=1.3),CPU_time (P=1.3S),Wall_time (P=1.3S),CPU_time (P=1.5),Wall_time (P=1.5),CPU_time (P=1.5S),Wall_time (P=1.5S),CPU_time (P=1.7),Wall_time (P=1.7),CPU_time (P=1.7S),Wall_time (P=1.7S),CPU_time (P=2.0),Wall_time (P=2.0),CPU_time (P=2.0S),Wall_time (P=2.0S),CPU_time++ (P=0.1),Wall_time++ (P=0.1),CPU_time++ (P=0.1S),Wall_time++ (P=0.1S),CPU_time++ (P=0.3),Wall_time++ (P=0.3),CPU_time++ (P=0.3S),Wall_time++ (P=0.3S),CPU_time++ (P=0.5),Wall_time++ (P=0.5),CPU_time++ (P=0.5S),Wall_time++ (P=0.5S),CPU_time++ (P=0.7),Wall_time++ (P=0.7),CPU_time++ (P=0.7S),Wall_time++ (P=0.7S),CPU_time++ (P=1.0),Wall_time++ (P=1.0),CPU_time++ (P=1.3),Wall_time++ (P=1.3),CPU_time++ (P=1.3S),Wall_time++ (P=1.3S),CPU_time++ (P=1.5),Wall_time++ (P=1.5),CPU_time++ (P=1.5S),Wall_time++ (P=1.5S),CPU_time++ (P=1.7),Wall_time++ (P=1.7),CPU_time++ (P=1.7S),Wall_time++ (P=1.7S),CPU_time++ (P=2.0),Wall_time++ (P=2.0),CPU_time++ (P=2.0S),Wall_time++ (P=2.0S)
ALLAML,186.2264919281006,187.2961049079895,5952.769790649414,5980.406768798828,174.71073150634766,175.99559020996094,181.27704799175262,182.56119394302368,169.76528549194336,170.9715919494629,185.103581905365,186.3742299079895,182.48571705818176,184.04577016830444,186.87126779556274,188.15724086761475,170.7084197998047,171.80322647094727,187.4620819091797,188.90130710601807,180.19957800209522,181.29503297805786,173.38982772827148,174.45872497558594,190.20098400115967,191.65456867218018,192.3258867263794,193.86008071899414,193.9648780822754,195.46701526641846,181.9508719444275,183.03040099143982,190.093279838562,191.47250938415527,192.61669635772705,193.86313343048096,192.0758180618286,193.67379760742188,169.23644256591797,170.39913940429688,180.26597398519516,181.4677209854126,176.65744400024414,177.96773147583008,183.22304010391235,184.5439009666443,183.08652591705322,184.44297695159912,184.78345489501953,186.0740041732788,186.4714159965515,187.8426389694214,186.65320587158203,187.97259616851807,187.2086000442505,188.55206966400146,183.25725293159485,184.47958898544312,181.2485250234604,182.3611979484558,182.96070909500122,184.12634801864624,180.864059984684,181.97806799411774,182.71057391166687,183.7842879295349,181.83952295780182,182.84621405601501,174.68035888671875,175.67118453979492,176.25276947021484,177.24187850952148
CLL_SUB_111,275.2588310241699,276.7713432312012,9600.4841530025,9650.707500457764,210.4168701171875,212.0300407409668,224.96481323242188,226.51497650146484,208.8148078918457,210.27602577209473,233.03321075439453,234.6432647705078,221.85025787353516,223.7052116394043,236.92594528198242,238.72769165039062,214.03620529174805,215.39592742919922,238.7107391357422,240.58663302659988,234.40805053710938,235.85042190551758,224.32660675048828,225.68300247192383,245.722008228302,247.56084394454956,245.60619020462036,247.45774602890015,251.68214797973633,253.58075141906738,235.68917083740234,237.05491256713867,247.98928594589233,249.73613452911377,239.8753890991211,241.28100204467773,249.22872066497803,251.2860279083252,204.7935733795166,206.20611763000488,224.55324172973633,226.03614044189453,217.52113723754883,219.12451934814453,232.40948104858398,234.0458984375,228.05858612060547,229.7225456237793,235.9799041748047,237.59725952148438,235.77199172973633,237.4820327758789,239.48647689819336,241.17622900009155,243.02061796188354,244.80417823791504,239.52108764648438,241.09242403507233,237.2872543334961,238.7246322631836,239.93374252319336,241.4318380355835,238.38143920898438,239.82121658325195,240.4817599952221,241.84706795215607,239.36687850952148,240.6709179878235,231.72837448120117,233.01628875732422,233.3548698425293,234.66990280151367
Carcinom,917.8515453338623,176.76559448242188,8307.268739700317,8358.203273773193,283.25569915771484,285.2197685241699,304.1424517631531,306.09775400161743,282.9229927062988,284.7939987182617,315.95374584198,318.109317779541,301.0477659702301,303.36336493492126,321.63734245300293,324.06860160827637,291.872371673584,293.63090896606445,325.6303653717041,327.968225479126,552.6692600250244,102.72367858886719,308.435133934021,310.18350982666016,338.0411796569824,340.42711639404297,338.39359283447266,340.82190704345703,346.5200996398926,349.11986541748047,326.3049030303955,328.07478523254395,340.6512641906738,342.9364585876465,327.5657653808594,329.39406967163086,340.55809783935547,343.26154708862305,278.0990867614746,279.9190864562988,300.54271298646927,302.4398500919342,290.1327362060547,292.135929107666,309.9886522293091,312.10629081726074,303.9960858821869,306.0917921066284,314.5408592224121,316.65939712524414,313.25777530670166,315.42567443847656,318.01832008361816,320.1566562652588,322.3004379272461,324.54805183410645,317.1517562866211,319.0914535522461,315.91724491119385,317.73202323913574,318.1601028442383,320.0421562194824,316.5608444213867,318.37292861938477,318.2389907836914,319.9254322052002,317.95100593566895,319.57844161987305,310.44349002838135,312.1257495880127,306.5751919746399,308.16236686706543
GLIOMA,188.2916088104248,189.30432605743408,3757.5772857666016,3775.164909362793,189.483717918396,190.67897987365723,197.59314155578613,198.92851066589355,185.1510558128357,186.43492889404297,202.5241584777832,203.91827964782715,194.453932762146,196.03390312194824,203.82646560668945,205.398775100708,182.0844190120697,183.22785592079163,204.35338592529297,205.8554286956787,196.42737770080566,197.582368850708,184.83999395370483,185.93651294708252,207.1316909790039,208.60260772705078,204.9972152709961,206.55665016174316,211.7433032989502,213.38729858398438,197.07897758483887,198.22462272644043,207.63838386535645,209.13453674316406,198.99798774719238,200.1922378540039,208.2473602294922,209.95998573303223,183.437264919281,184.68134784698486,196.2749137878418,197.56101417541504,190.90895557403564,192.28740406036377,201.43840980529785,202.8813304901123,198.7450714111328,200.1583652496338,203.04937362670898,204.45351028442383,202.04961967468262,203.4896183013916,203.96468353271484,205.3791160583496,206.63134574890137,208.1311912536621,201.05905532836914,202.3227939605713,199.24280548095703,200.43900299072266,200.79115104675293,202.0395565032959,199.3960132598877,200.59157371520996,200.42385292053223,201.54746055603027,199.86276245117188,200.93857383728027,194.3852939605713,195.49493503570557,189.7456569671631,190.7758502960205
GLI_85,239.93024444580078,241.12366199493408,18635.566509246826,18746.407886505127,188.03080558776855,189.3789758682251,192.5903606414795,193.92646598815918,182.31402206420898,183.59884595870972,197.4260654449463,198.82110786437988,190.44420909881592,191.95130252838135,199.36283111572266,200.9549789428711,182.30224800109863,183.4937150478363,200.14320182800293,201.7422752380371,193.92697620391846,195.10772705078125,189.12405967712402,190.2953176498413,206.26984214782715,207.83977127075195,205.22176933288574,206.72327995300293,211.19457626342773,212.75927734375,196.7142105102539,197.8894157409668,207.34157180786133,208.84434127807617,198.56890678405762,199.76367568969727,208.82159233093262,210.565336227417,183.25621390342712,184.53208112716675,191.532244682312,192.794921875,187.74349403381348,189.1307249069214,195.3680877685547,196.7787799835205,194.37615299224854,195.77728176116943,197.50496673583984,198.8971405029297,197.82572746276855,199.27145957946777,200.01811408996582,201.45588302612305,203.29082679748535,204.79522132873535,199.0875473022461,200.37221145629883,195.70788955688477,196.9179859161377,198.54669570922852,199.8154296875,196.64432525634766,197.85837364196777,199.07525062561035,200.22886848449707,197.32260513305664,198.4201946258545,196.14578437805176,197.29411506652832,193.1811056137085,194.26100254058838
Prostate_GE,205.96480751037598,207.10033416748047,5136.5070724487305,5162.58153796196,186.1797490119934,187.39249277114868,194.1620216369629,195.51483917236328,182.87267899513245,184.16943979263306,199.19178009033203,200.61741638183594,191.7530632019043,193.237943649292,200.8793773651123,202.52882385253906,182.9711880683899,184.17084503173828,201.68940353393555,203.22611045837402,194.92252731323242,196.11527824401855,189.9863166809082,191.17397785186768,207.1246223449707,208.6843204498291,207.3942813873291,208.89286422729492,212.9378204345703,214.66473007202148,199.455472946167,200.65324020385742,208.85784530639648,210.35840225219727,203.00816345214844,204.34274673461914,211.24336051940918,213.02865982055664,182.13209199905396,183.40829801559448,193.42655086517334,194.7385768890381,188.43520259857178,189.84328174591064,197.1294403076172,198.57344245910645,195.37790870666504,196.7997703552246,198.73993492126465,200.14859008789062,198.87825965881348,200.34866523742676,200.26456451416016,201.7011203765869,203.7442455291748,205.25747871398926,199.99335098266602,201.2911720275879,197.15381622314453,198.3767490386963,200.39439010620117,201.68019676208496,198.2967529296875,199.5274257659912,201.5267105102539,202.70229530334473,199.14513778686523,200.2612590789795,196.30172729492188,197.42891693115234,195.12001609802246,196.2202911376953
SMK_CAN_187,378.9321994781494,380.7846164703369,17323.106590270996,17481.065477371216,221.72551345825195,223.16165924072266,247.08094120025635,248.78073120117188,229.11468505859375,230.72513961791992,258.3863887786865,260.3321895599365,245.04367017745972,246.92115688323975,261.48426246643066,263.5777397155762,237.31626892089844,238.84438705444336,264.1904983520508,266.1496334075928,259.5380439758301,261.1632766723633,249.55281257629395,251.06700897216797,271.86433601379395,273.73697662353516,271.2538948059082,273.2020835876465,278.5916557312012,280.72392654418945,261.9567642211914,263.51386070251465,274.66215896606445,276.6244354248047,263.4314498901367,265.0716743469238,275.5075988769531,277.8097267150879,216.74100875854492,218.24340057373047,248.45456981658936,250.10189723968506,234.20287322998047,235.90868377685547,256.82876205444336,258.7087230682373,248.6694221496582,250.44371891021729,259.9074401855469,261.75404357910156,259.1005859375,260.98854064941406,262.7540874481201,264.63410568237305,267.73619079589844,269.7199115753174,263.4729290008545,265.14958572387695,261.1898651123047,262.788911819458,263.3843536376953,265.05047035217285,261.43592071533203,263.03994941711426,263.5705146789551,265.0865669250488,262.0946922302246,263.54738426208496,255.5503692626953,256.9918918609619,248.44908809661865,249.90103340148926
TOX_171,753.6904106140137,153.21802139282227,5163.2379360198975,5194.879077911377,242.50925707817078,244.03448486328125,263.4932270050049,265.2449378967285,244.66491603851318,246.33746719360352,277.8213233947754,279.8638381958008,263.72937774658203,265.73495864868164,281.7732849121094,283.9543800354004,255.44647121429443,257.0377445220947,285.81518173217773,288.0157699584961,281.7408103942871,283.41494369506836,272.7221870422363,274.3188018798828,297.06041717529297,299.1130828857422,302.9207088947296,305.3335671424866,305.05194187164307,307.4259309768677,290.9100227355957,292.5390319824219,302.4593300819397,304.6847538948059,292.0347595214844,293.8119087219238,304.8578391075134,307.3454427719116,235.63443756103516,237.2037353515625,259.98695373535156,261.6613368988037,249.09977912902832,250.87324905395508,275.1262321472168,277.0997772216797,264.1974239349365,266.0425910949707,279.33664321899414,281.28077697753906,276.4657211303711,278.4388313293457,283.7750473022461,285.74389266967773,287.79730224609375,289.86589431762695,286.99323654174805,288.76483154296875,284.4340934753418,286.111385345459,288.80591201782227,290.5622749328613,286.6316261291504,288.32073974609375,290.3806953430176,291.98033905029297,287.8779296875,289.4150695800781,276.510196685791,277.971134185791,273.92469787597656,275.44657135009766
colon,174.75605010986328,175.7583999633789,1860.6206219792366,1871.4394464492798,173.32180404663086,174.43600845336914,178.99961471557617,180.22929899394512,172.1862564086914,173.49981689453125,184.06608200073242,185.46065616607666,178.06261825561523,179.4854850769043,184.51821422576904,186.01168203353882,166.6393280029297,167.7202606201172,185.61361980438232,186.99740886688232,181.1146490573883,182.24022793769836,171.16108322143555,172.2083511352539,189.88638973236084,191.2106580734253,191.40932273864746,192.8169288635254,194.48331356048584,195.9651689529419,182.05688309669495,183.12512707710266,192.6956262588501,194.08159255981445,184.95894384384155,186.16523694992065,193.83714485168457,195.46416091918945,165.95879364013672,167.08824157714844,175.10938262939453,176.26269912719727,175.06222915649414,176.36053466796875,181.82503199577332,183.16659307479858,179.3274040222168,180.62298500537872,182.31256699562073,183.5932960510254,182.79095101356506,184.12193298339844,183.67899203300476,184.9753541946411,186.94572591781616,188.33784103393555,182.87971711158752,184.06369495391846,180.15783800184727,181.26302099227905,183.4424180984497,184.61746215820312,181.54657304286957,182.66012501716614,184.45529794692993,185.52752590179443,182.1818869113922,183.1916480064392,174.09093475341797,175.04005813598633,171.70472717285156,172.66660690307617
leukemia,172.40206146240234,173.35215377807617,5945.414982795715,5977.050224304199,176.30510711669922,177.4162254333496,180.01174999959767,181.24765503406525,173.05355834960938,174.42385482788086,184.09519910812378,185.4906678199768,178.69979858398438,180.13008399307728,184.00429391860962,185.5271611213684,166.66474151611328,167.7527732849121,183.1042070388794,184.47381401062012,176.42865371704102,177.507568359375,165.8157196044922,166.83040237426758,184.4727292060852,185.80203914642334,184.1227102279663,185.4637222290039,188.51994514465332,189.94086170196533,175.24632263183594,176.2724266052246,185.6486678123474,186.9798002243042,177.52181243896484,178.64796447753906,186.59533214569092,188.152512550354,168.2163314819336,169.35948181152344,176.67148971557617,177.80658340454102,175.28721237182617,176.57229614257812,180.7941409945488,182.1146399974823,180.81193101406097,182.1210560798645,182.215106010437,183.49368596076965,183.06581211090088,184.41225576400757,183.4043049812317,184.71531295776367,185.4719958305359,186.8468508720398,178.06165313720703,179.20516204833984,175.38922500610352,176.46603393554688,177.50377655029297,178.6316032409668,176.03238677978516,177.11001205444336,177.72251510620117,178.7499008178711,176.31791305541992,177.29586791992188,165.48669052124023,166.37619018554688,165.44877243041992,166.36822509765625
