dataset_name,KBest,mRMR_MID,mRMR_MIQ,KGroups (P=0.1),KGroups (P=0.1S),KGroups (P=0.3),KGroups (P=0.3S),KGroups (P=0.5),KGroups (P=0.5S),KGroups (P=0.7),KGroups (P=0.7S),KGroups (P=1.0),KGroups (P=1.3),KGroups (P=1.3S),KGroups (P=1.5),KGroups (P=1.5S),KGroups (P=1.7),KGroups (P=1.7S),KGroups (P=2.0),KGroups (P=2.0S),KGroups++ (P=0.1),KGroups++ (P=0.1S),KGroups++ (P=0.3),KGroups++ (P=0.3S),KGroups++ (P=0.5),KGroups++ (P=0.5S),KGroups++ (P=0.7),KGroups++ (P=0.7S),KGroups++ (P=1.0),KGroups++ (P=1.3),KGroups++ (P=1.3S),KGroups++ (P=1.5),KGroups++ (P=1.5S),KGroups++ (P=1.7),KGroups++ (P=1.7S),KGroups++ (P=2.0),KGroups++ (P=2.0S),mRMR (best),KGroups (best),KGroups++ (best),KGroups (best of)
ALLAML,97.43±2.21,99.1±0.7,96.78±3.46,97.67±1.65,98.41±0.53,98.64±1.46,98.87±1.01,98.16±1.06,98.43±0.54,99.33±1.12,98.86±1.01,99.1±1.12,98.87±1.01,98.65±0.85,99.11±1.09,98.87±1.01,98.64±0.05,98.87±1.01,99.32±0.75,99.09±1.1,96.52±1.45,97.41±2.21,97.43±1.63,97.41±1.63,97.2±2.3,97.65±1.69,97.21±1.53,97.43±1.63,97.43±1.63,97.21±1.53,97.43±1.63,97.21±1.53,97.43±1.63,97.19±1.76,97.43±1.63,97.41±1.38,97.21±1.53,99.1±0.7,99.78±0.54,98.09±1.17,99.78±0.54
CLL_SUB_111,78.96±4.41,85.14±3.35,82.15±4.64,80.33±3.32,80.04±3.38,79.55±2.54,78.98±3.08,80.0±2.64,79.44±3.92,79.1±2.76,78.35±3.38,79.41±4.0,79.68±3.47,77.47±4.06,77.46±4.26,78.08±3.25,77.32±4.38,77.79±5.02,77.18±3.76,77.63±2.94,78.52±3.38,81.7±2.92,79.91±3.97,81.57±2.03,81.55±2.04,82.46±2.03,81.73±3.05,81.55±2.14,81.1±3.13,81.85±2.65,82.32±2.41,82.27±1.93,81.99±2.68,81.28±2.41,82.13±1.93,81.97±2.7,82.15±2.15,85.14±3.35,81.68±2.87,83.95±2.1,84.12±2.08
Carcinom,87.26±10.71,90.22±8.4,81.31±12.82,86.09±7.26,89.25±6.13,89.65±6.82,88.87±6.15,89.82±6.61,88.38±6.87,89.16±7.06,88.1±6.36,85.32±10.68,85.98±5.9,87.82±4.93,85.98±4.42,87.26±4.15,85.82±4.32,87.34±4.06,85.41±4.5,86.58±5.11,87.33±5.52,90.32±6.58,89.92±5.61,90.02±5.41,90.58±5.97,89.45±6.02,89.63±5.82,89.07±5.74,88.96±5.09,88.77±4.63,87.91±4.41,87.91±3.42,88.48±3.53,87.15±3.81,87.79±3.76,85.82±4.11,86.49±3.32,90.22±8.4,90.8±5.91,91.74±5.22,91.93±5.04
GLIOMA,85.67±3.44,83.0±7.77,72.0±13.21,85.33±2.42,84.67±3.27,86.0±4.56,84.67±3.93,87.67±4.97,84.67±3.27,84.0±2.83,85.67±3.44,82.33±2.94,83.67±3.2,83.0±3.74,82.33±2.34,82.33±3.88,80.67±3.5,83.67±5.85,81.0±2.76,82.33±3.88,82.0±5.37,81.0±6.54,82.0±7.48,81.0±8.27,81.0±5.9,79.33±9.61,80.67±9.18,80.0±8.85,78.33±9.58,78.33±10.07,78.67±9.85,78.0±10.95,77.67±10.23,77.67±10.98,77.67±10.61,77.33±10.78,77.0±10.94,83.0±7.77,89.0±3.74,84.0±6.07,89.0±3.74
GLI_85,94.9±1.42,94.71±2.44,93.53±3.22,95.29±1.05,96.67±1.16,96.27±0.89,97.26±0.96,96.47±1.29,95.68±0.96,96.66±1.38,96.08±1.22,96.86±0.61,95.68±0.61,95.69±1.42,95.29±0.74,95.88±1.93,95.49±1.16,95.49±0.89,95.29±1.05,95.29±1.05,95.69±1.42,95.69±1.42,95.3±1.29,95.49±1.57,95.29±1.49,95.1±1.37,95.1±1.37,94.51±1.77,95.1±1.89,94.12±1.49,94.31±1.73,95.88±1.79,95.29±1.29,94.9±1.42,94.9±1.21,94.9±2.06,95.49±1.38,95.3±2.68,97.45±0.89,96.67±1.38,97.45±0.89
Prostate_GE,95.41±0.79,95.74±0.79,94.8±3.87,95.22±1.15,95.57±1.02,95.42±0.52,95.42±0.81,95.72±0.81,95.09±0.86,95.42±1.18,95.76±1.0,94.94±0.73,94.92±0.97,95.27±0.75,95.26±0.74,95.26±1.14,95.26±0.73,95.09±1.51,94.77±1.48,94.94±1.42,94.42±0.78,94.94±0.39,95.1±0.62,95.08±1.08,95.24±0.73,94.59±0.56,94.6±1.33,94.92±1.3,94.26±1.14,94.6±1.03,94.44±1.02,94.45±1.68,94.76±1.36,94.27±1.76,94.44±1.68,94.75±1.6,94.44±1.89,96.4±1.0,96.4±0.79,95.91±0.94,96.4±0.79
SMK_CAN_187,71.66±3.08,69.96±2.23,66.92±1.21,73.09±2.0,73.21±1.43,72.65±2.65,72.17±2.0,73.43±1.25,72.38±1.1,71.47±1.63,71.12±2.78,72.01±1.33,71.28±2.15,70.4±1.61,69.88±2.26,70.68±2.4,69.27±2.2,69.44±1.66,70.49±1.1,70.69±1.59,73.54±2.16,72.63±1.23,72.92±0.63,72.81±0.61,72.63±1.72,72.28±0.54,72.8±0.84,72.28±0.98,73.17±1.42,72.18±1.26,71.67±1.29,72.44±1.69,72.54±1.21,71.58±1.19,71.3±1.41,70.68±1.04,70.95±1.47,69.96±2.23,73.98±1.47,75.04±1.01,75.05±1.01
TOX_171,61.32±11.61,69.63±11.99,74.27±2.77,66.37±2.13,68.72±1.72,67.45±1.08,69.61±4.56,69.12±2.52,69.61±3.6,69.41±2.1,68.15±2.01,68.85±3.23,69.08±3.19,69.03±2.21,67.95±2.73,69.5±2.15,67.24±2.27,67.28±2.38,68.09±3.86,67.84±3.38,65.5±2.43,63.36±1.67,64.6±2.3,63.64±3.13,64.78±3.09,63.84±3.3,62.68±2.99,61.79±2.63,61.76±2.62,60.33±2.97,61.01±2.26,61.21±3.22,60.42±2.69,59.55±3.67,59.66±3.32,58.18±3.37,59.76±3.81,75.15±2.73,72.36±3.54,68.11±0.62,72.45±3.39
colon,91.26±1.68,91.86±2.01,88.82±2.07,91.56±1.78,92.07±1.88,91.79±1.4,91.84±1.71,91.9±2.01,90.47±1.83,91.54±1.19,90.52±2.07,91.86±1.4,91.09±2.94,91.32±2.38,90.79±1.88,91.34±2.1,89.4±2.61,90.73±3.0,90.0±1.91,90.73±3.26,90.15±1.46,89.34±1.33,90.08±1.02,88.25±0.59,89.38±0.83,89.06±1.61,88.22±1.55,89.3±1.65,88.7±1.55,88.01±2.3,88.23±2.13,88.25±2.09,88.2±1.87,88.25±2.08,88.25±2.09,86.92±2.14,87.97±2.15,91.86±2.01,94.21±0.87,90.94±0.94,94.21±0.87
leukemia,99.08±1.69,99.1±1.65,98.4±1.04,98.89±0.54,99.78±0.54,99.56±0.69,99.78±0.54,99.56±0.69,99.78±0.54,99.78±0.54,99.56±1.09,99.78±0.54,99.78±0.54,99.78±0.54,99.56±0.69,99.78±0.54,99.56±0.69,99.32±1.15,99.54±1.13,99.56±0.69,98.65±0.87,98.86±1.04,99.34±0.73,98.87±1.01,99.1±1.12,98.65±0.85,98.4±1.04,98.64±0.87,98.41±1.02,98.4±1.04,98.18±0.73,98.16±1.13,98.4±1.02,98.16±1.13,98.16±1.13,98.16±1.13,97.96±0.78,99.56±0.69,99.78±0.54,99.34±0.73,99.78±0.54
lung,94.98±2.91,96.06±1.68,93.5±5.86,94.74±2.59,95.97±0.86,95.97±1.48,95.81±0.68,95.89±0.92,95.9±0.51,95.64±0.85,95.97±1.13,95.66±0.65,95.46±1.15,95.4±1.15,95.32±0.61,95.41±1.34,95.07±0.7,95.32±0.97,94.99±1.06,95.15±0.66,93.76±2.79,94.58±0.94,94.41±2.67,94.27±0.59,94.18±0.86,94.34±0.81,94.08±1.24,94.1±0.98,93.77±1.03,93.2±1.31,93.76±1.2,92.87±1.34,93.02±1.06,93.02±1.53,93.26±1.32,92.45±1.31,92.7±1.64,96.06±1.68,96.63±0.72,95.32±0.75,96.71±0.67
lung_discrete,87.11±6.74,87.89±5.16,87.03±3.52,76.94±4.12,86.32±5.23,86.79±4.39,86.54±5.59,86.54±4.33,84.73±4.73,85.87±4.51,84.46±4.77,84.75±4.06,83.41±4.68,84.18±5.57,84.0±5.81,84.21±3.35,83.13±4.85,84.44±4.06,83.81±4.69,83.79±5.07,74.49±3.95,81.95±5.75,81.68±6.14,81.05±6.28,81.52±5.91,82.16±5.89,80.38±6.03,81.27±6.67,81.76±5.56,81.3±7.24,79.22±6.24,80.65±6.7,79.95±6.39,78.81±5.19,78.97±6.04,79.43±5.03,80.41±6.96,89.05±3.62,88.14±5.07,83.4±5.94,88.14±5.07
lymphoma,89.13±8.62,90.69±6.93,85.79±11.46,87.24±4.95,88.46±6.31,88.74±7.43,87.74±6.53,87.76±7.53,87.72±6.38,89.15±5.69,87.51±6.07,86.3±7.57,85.43±5.86,85.96±6.12,86.68±6.53,85.1±6.45,84.57±5.8,85.85±5.61,84.76±6.06,86.52±6.06,85.27±8.73,86.47±8.32,87.38±9.07,85.47±8.1,86.2±8.59,84.1±8.42,85.11±7.52,83.76±7.16,82.88±7.27,82.32±6.58,82.31±5.53,82.5±4.52,83.04±5.36,82.5±5.42,82.32±4.5,81.46±3.53,81.66±5.2,90.88±7.04,89.84±6.18,88.4±7.04,90.03±6.24
nci9,41.11±8.21,40.0±7.82,33.61±6.62,48.89±6.21,54.44±10.15,53.34±9.19,55.0±8.63,55.0±5.58,52.22±7.87,57.5±7.66,54.17±7.51,56.11±6.89,53.89±5.13,51.67±6.75,51.39±6.45,51.94±6.0,50.56±7.35,50.83±6.3,52.22±6.88,50.28±7.1,48.06±6.62,56.39±6.78,55.0±5.37,55.0±6.24,55.28±6.27,55.0±6.41,54.72±8.26,53.89±6.56,53.89±7.35,52.5±5.85,52.22±5.93,50.0±5.68,51.39±6.94,50.0±6.75,50.0±4.08,47.5±4.8,49.44±3.9,40.0±7.82,59.72±7.99,59.17±7.51,61.94±7.1
