dataset_name,KBest,mRMR_RFCQ,KGroups (P=0.1),KGroups (P=0.1S),KGroups (P=0.3),KGroups (P=0.3S),KGroups (P=0.5),KGroups (P=0.5S),KGroups (P=0.7),KGroups (P=0.7S),KGroups (P=1.0),KGroups (P=1.3),KGroups (P=1.3S),KGroups (P=1.5),KGroups (P=1.5S),KGroups (P=1.7),KGroups (P=1.7S),KGroups (P=2.0),KGroups (P=2.0S),KGroups++ (P=0.1),KGroups++ (P=0.1S),KGroups++ (P=0.3),KGroups++ (P=0.3S),KGroups++ (P=0.5),KGroups++ (P=0.5S),KGroups++ (P=0.7),KGroups++ (P=0.7S),KGroups++ (P=1.0),KGroups++ (P=1.3),KGroups++ (P=1.3S),KGroups++ (P=1.5),KGroups++ (P=1.5S),KGroups++ (P=1.7),KGroups++ (P=1.7S),KGroups++ (P=2.0),KGroups++ (P=2.0S),mRMR (best),KGroups (best),KGroups++ (best),KGroups (best of)
ALLAML,100.0,100.0,98.57,100.0,98.57,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
CLL_SUB_111,88.26,91.86,80.12,86.4,84.7,88.22,87.35000000000001,87.35000000000001,86.48,87.31,88.22,88.22,86.44,85.61,87.39,86.44,86.4,87.35000000000001,89.21,83.75,83.75,84.61999999999999,84.7,87.35000000000001,85.53,85.57000000000001,83.78999999999999,85.53,85.61,85.53,84.66,87.31,84.66,85.57000000000001,84.61999999999999,85.57000000000001,91.86,89.21,87.35000000000001,89.21
Carcinom,94.82,95.98,71.28,93.66,90.81,93.63,94.27,94.27,94.82,94.84,94.25,95.39,94.77,96.54,94.25,94.24,94.22,94.82,96.54,66.08000000000001,93.11,89.7,93.66,93.13,94.81,94.81,94.82,95.97,95.97,96.54,95.97,95.97,96.54,95.95,96.54,95.38,95.98,96.54,96.54,96.54
GLIOMA,98.0,94.0,82.0,96.0,90.0,94.0,94.0,96.0,94.0,92.0,96.0,94.0,94.0,94.0,96.0,94.0,92.0,92.0,92.0,68.0,92.0,90.0,92.0,92.0,90.0,92.0,92.0,92.0,90.0,90.0,90.0,90.0,90.0,92.0,90.0,92.0,94.0,96.0,92.0,96.0
GLI_85,95.29,96.47,92.94,98.82,96.47,97.65,97.65,97.65,98.82,96.47,97.65,96.47,96.47,97.65,97.65,96.47,96.47,96.47,97.65,91.76,96.47,96.47,97.65,96.47,97.65,97.65,97.65,97.65,97.65,97.65,98.82,97.65,97.65,97.65,97.65,97.65,96.47,98.82,98.82,98.82
Prostate_GE,97.0,96.05,93.19,95.1,96.05,95.1,95.1,96.05,96.05,96.05,95.1,96.1,96.1,96.05,97.05,95.1,96.1,96.05,96.05,94.14,96.05,96.05,97.0,96.05,97.0,97.05,96.05,96.05,96.1,96.1,97.05,97.0,97.0,96.05,97.0,96.05,96.05,97.05,97.05,97.05
SMK_CAN_187,76.49000000000001,76.49000000000001,76.49000000000001,78.59,78.61,76.97,77.0,76.42999999999999,76.47,76.42999999999999,76.02,75.39,75.97,77.01,76.46,75.42,74.82,74.85000000000001,76.42999999999999,77.03,78.59,78.07,77.01,77.51,77.5,76.92999999999999,77.53999999999999,77.5,76.46,75.92,77.51,78.59,77.0,77.51,77.48,77.0,76.49000000000001,78.61,78.59,78.61
TOX_171,83.09,85.95,62.59,77.82,75.48,80.74,84.28999999999999,80.74,80.17,80.13,81.38,83.06,83.03,80.13,81.31,78.4,80.15,82.47,83.11,66.10000000000001,79.58,73.75,80.15,80.15,80.15,79.58,78.99000000000001,80.13,78.39,78.35,77.19,77.78,77.23,78.35,77.24,76.64,85.95,84.28999999999999,80.15,84.28999999999999
colon,90.0,90.0,82.05,90.0,90.13,90.0,90.26,91.67,90.13,90.26,90.26,91.79,91.67,91.67,91.67,91.67,91.79,91.67,91.79,80.38,90.13,90.13,90.13,90.13,91.79,90.13,91.79,91.67,91.67,91.79,91.79,91.79,91.79,91.67,91.79,91.67,90.0,91.79,91.79,91.79
leukemia,100.0,100.0,98.67,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.67,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
lung,97.04,97.04,94.06,97.05,98.01,97.02,97.51,97.04,97.04,97.52,97.52,97.51,97.05,97.04,98.02,97.05,97.52,97.52,97.52,94.57,97.51,96.06,97.52,98.01,98.02,98.01,98.01,98.5,98.01,98.01,97.52,98.02,97.52,98.01,98.01,98.01,97.04,98.02,98.5,98.5
lung_discrete,93.14,94.57,75.24,94.38,89.05,93.14,94.48,91.81,94.48,92.95,94.57,95.9,91.71,91.9,91.62,90.38,94.57,91.62,91.81,78.0,94.48,88.94999999999999,95.81,94.38,95.9,94.38,94.57,94.48,93.14,95.9,93.05,94.38,94.48,93.05,91.71,91.62,94.57,95.9,95.9,95.9
lymphoma,95.84,98.95,66.89,91.79,91.68,91.79,94.79,93.74,93.74,94.74,92.74,93.79,93.74,92.84,93.84,95.84,93.84,94.74,92.68,66.67999999999999,92.74,91.74,93.84,93.79,95.79,94.79,95.79,95.84,95.79,94.79,95.89,95.79,96.84,94.84,96.89,94.84,98.95,95.84,96.89,96.89
nci9,78.33,76.67,48.33,73.33,73.33,73.33,71.67,75.0,78.33,75.0,78.33,75.0,71.67,78.33,75.0,73.33,76.67,73.33,73.33,35.0,71.67,71.67,75.0,75.0,75.0,75.0,76.67,80.0,75.0,78.33,78.33,76.67,78.33,76.67,78.33,80.0,76.67,78.33,80.0,80.0
