dataset_name,num_desired_features,num_selected_features,test_accuracy,test_accuracy_std,model_name,selection_algorithm,valuation_method,CPU_time,Wall_time
ALLAML,2,2,93.05,9.94,XGB,KBest,Fvalue,0:02:56.622324,0:02:57.678664
CLL_SUB_111,11,11,71.15,2.75,XGB,KBest,Fvalue,0:04:05.060228,0:04:06.458438
Carcinom,98,98,67.54,29.64,XGB,KBest,Fvalue,0:11:00.337918,0:02:00.935523
GLIOMA,92,92,76.0,11.4,XGB,KBest,Fvalue,0:03:13.563319,0:03:14.663839
GLI_85,5,5,92.94,4.92,XGB,KBest,Fvalue,0:03:11.182825,0:03:12.246497
Prostate_GE,98,98,94.19,5.3100000000000005,XGB,KBest,Fvalue,0:03:16.340593,0:03:17.445071
SMK_CAN_187,20,20,74.32,7.489999999999999,XGB,KBest,Fvalue,0:04:20.379359,0:04:21.828746
TOX_171,6,6,36.97,17.61,XGB,KBest,Fvalue,0:13:02.521354,0:02:41.022434
colon,2,2,88.59,7.26,XGB,KBest,Fvalue,0:03:04.061071,0:03:05.097062
leukemia,15,15,100.0,0.0,XGB,KBest,Fvalue,0:02:48.433661,0:02:49.362035
lung,86,86,94.59,2.06,XGB,KBest,Fvalue,0:04:50.351303,0:04:51.905014
lung_discrete,10,10,85.14,11.91,XGB,KBest,Fvalue,0:03:24.666175,0:03:25.765470
lymphoma,89,89,85.63,12.33,XGB,KBest,Fvalue,0:03:46.519836,0:03:47.733969
nci9,37,37,65.0,14.91,XGB,KBest,Fvalue,0:03:29.286405,0:03:30.402370
