dataset_name,num_desired_features,num_selected_features,test_accuracy,test_accuracy_std,model_name,selection_algorithm,valuation_method,CPU_time,Wall_time
ALLAML,55,55,100.0,0.0,RandomForest,mRMR_RFCQ,RFCQ,1:39:12.769791,1:39:40.406768
CLL_SUB_111,81,81,89.17,6.92,RandomForest,mRMR_RFCQ,RFCQ,2:40:00.484153,2:40:50.707500
Carcinom,63,63,92.5,3.36,RandomForest,mRMR_RFCQ,RFCQ,2:18:27.268740,2:19:18.203274
GLIOMA,46,46,92.0,4.47,RandomForest,mRMR_RFCQ,RFCQ,1:02:37.577286,1:02:55.164910
GLI_85,45,45,96.47,3.22,RandomForest,mRMR_RFCQ,RFCQ,5:10:35.566508,5:12:26.407887
Prostate_GE,53,53,95.1,6.99,RandomForest,mRMR_RFCQ,RFCQ,1:25:36.507073,1:26:02.581538
SMK_CAN_187,24,24,72.72999999999999,9.01,RandomForest,mRMR_RFCQ,RFCQ,4:48:43.106592,4:51:21.065478
TOX_171,85,85,83.67999999999999,8.25,RandomForest,mRMR_RFCQ,RFCQ,1:26:03.237936,1:26:34.879077
colon,39,39,90.0,10.87,RandomForest,mRMR_RFCQ,RFCQ,0:31:00.620622,0:31:11.439446
leukemia,24,24,100.0,0.0,RandomForest,mRMR_RFCQ,RFCQ,1:39:05.414983,1:39:37.050223
lung,16,16,96.55,2.79,RandomForest,mRMR_RFCQ,RFCQ,0:54:47.567376,0:55:08.364536
lung_discrete,73,73,91.62,9.18,RandomForest,mRMR_RFCQ,RFCQ,0:10:12.469372,0:10:16.756803
lymphoma,25,25,92.68,4.74,RandomForest,mRMR_RFCQ,RFCQ,0:58:37.173201,0:58:58.681739
nci9,52,52,75.0,17.68,RandomForest,mRMR_RFCQ,RFCQ,2:11:09.153754,2:11:51.463877
