dataset_name,num_desired_features,num_selected_features,test_accuracy,test_accuracy_std,model_name,selection_algorithm,valuation_method,CPU_time,Wall_time
ALLAML,32,32,90.29,3.76,KNeighbors,mRMR_MIQ,MIQ,14:33:52.214913,14:39:15.144907
CLL_SUB_111,81,81,77.47,8.52,KNeighbors,mRMR_MIQ,MIQ,"1 day, 2:23:03.379475","1 day, 2:32:42.600313"
Carcinom,79,79,74.66000000000001,10.02,KNeighbors,mRMR_MIQ,MIQ,"1 day, 2:21:19.934978","1 day, 2:33:25.782916"
GLIOMA,70,70,62.0,25.88,KNeighbors,mRMR_MIQ,MIQ,8:32:09.978225,8:35:26.300570
GLI_85,54,54,94.12,4.16,KNeighbors,mRMR_MIQ,MIQ,"1 day, 22:36:46.094495","1 day, 22:54:23.601199"
Prostate_GE,49,49,94.24,6.2,KNeighbors,mRMR_MIQ,MIQ,13:21:12.769066,13:26:12.889063
SMK_CAN_187,59,59,65.85,13.61,KNeighbors,mRMR_MIQ,MIQ,"2 days, 7:23:14.779992","2 days, 7:50:44.606205"
TOX_171,94,94,71.95,6.64,KNeighbors,mRMR_MIQ,MIQ,15:43:12.854638,15:49:38.609831
colon,48,48,88.72,4.36,KNeighbors,mRMR_MIQ,MIQ,4:04:04.821384,4:05:45.987980
leukemia,66,66,98.57,3.19,KNeighbors,mRMR_MIQ,MIQ,15:31:29.695854,15:37:30.560879
lung,93,93,95.57,3.18,KNeighbors,mRMR_MIQ,MIQ,10:18:26.494641,10:22:48.791812
lung_discrete,63,63,89.14,3.39,KNeighbors,mRMR_MIQ,MIQ,0:47:08.303941,0:47:28.655683
lymphoma,78,78,94.79,0.12,KNeighbors,mRMR_MIQ,MIQ,9:12:10.942799,9:16:00.155747
nci9,3,3,21.67,7.449999999999999,KNeighbors,mRMR_MIQ,MIQ,21:15:30.036436,21:27:03.967951
