dataset_name,num_desired_features,num_selected_features,test_accuracy,test_accuracy_std,model_name,selection_algorithm,valuation_method,CPU_time,Wall_time
ALLAML,10,10,98.67,2.98,XGB,mRMR_MID,MID,14:34:08.477700,14:39:29.250258
CLL_SUB_111,82,82,87.39,6.7299999999999995,XGB,mRMR_MID,MID,"1 day, 2:23:16.846346","1 day, 2:32:56.909724"
Carcinom,69,69,90.81,4.2299999999999995,XGB,mRMR_MID,MID,"1 day, 2:48:24.155054","1 day, 3:01:37.971197"
GLIOMA,30,30,84.0,5.48,XGB,mRMR_MID,MID,8:36:49.028224,8:40:15.676237
GLI_85,10,10,94.12,5.88,XGB,mRMR_MID,MID,"1 day, 22:41:17.466565","1 day, 23:00:30.275059"
Prostate_GE,45,45,95.1,6.99,XGB,mRMR_MID,MID,13:42:27.751174,13:48:08.171638
SMK_CAN_187,44,44,70.58,13.98,XGB,mRMR_MID,MID,"2 days, 10:15:22.337616","2 days, 10:38:47.514359"
TOX_171,3,3,46.34,19.2,XGB,mRMR_MID,MID,0:46:59.223984,1:36:24.024318
colon,6,6,91.92,0.35,XGB,mRMR_MID,MID,4:02:44.185275,4:04:22.174831
leukemia,49,49,100.0,0.0,XGB,mRMR_MID,MID,16:24:41.600525,16:31:53.379742
lung,30,30,94.07,4.130000000000001,XGB,mRMR_MID,MID,10:10:02.665140,10:14:27.048845
lung_discrete,94,94,86.48,6.43,XGB,mRMR_MID,MID,0:41:45.358067,0:42:01.935437
lymphoma,71,71,89.79,11.67,XGB,mRMR_MID,MID,9:20:46.412504,9:25:18.203003
nci9,92,92,45.0,9.5,XGB,mRMR_MID,MID,22:37:08.862315,22:48:16.867290
