dataset_name,num_desired_features,num_selected_features,test_accuracy,test_accuracy_std,model_name,selection_algorithm,valuation_method,CPU_time,Wall_time
ALLAML,2,2,95.81,3.83,XGB,mRMR_RFCQ,RFCQ,1:39:12.769791,1:39:40.406768
CLL_SUB_111,43,43,86.44,3.36,XGB,mRMR_RFCQ,RFCQ,2:40:00.484153,2:40:50.707500
Carcinom,88,88,88.47,4.22,XGB,mRMR_RFCQ,RFCQ,2:18:27.268740,2:19:18.203274
GLIOMA,11,11,82.0,4.47,XGB,mRMR_RFCQ,RFCQ,1:02:37.577286,1:02:55.164910
GLI_85,59,59,94.12,7.199999999999999,XGB,mRMR_RFCQ,RFCQ,5:10:35.566508,5:12:26.407887
Prostate_GE,71,71,95.05,6.12,XGB,mRMR_RFCQ,RFCQ,1:25:36.507073,1:26:02.581538
SMK_CAN_187,14,14,74.85000000000001,4.92,XGB,mRMR_RFCQ,RFCQ,4:48:43.106592,4:51:21.065478
TOX_171,30,30,80.15,11.17,XGB,mRMR_RFCQ,RFCQ,1:26:03.237936,1:26:34.879077
colon,11,11,87.05000000000001,10.7,XGB,mRMR_RFCQ,RFCQ,0:31:00.620622,0:31:11.439446
leukemia,27,27,100.0,0.0,XGB,mRMR_RFCQ,RFCQ,1:39:05.414983,1:39:37.050223
lung,22,22,93.59,4.52,XGB,mRMR_RFCQ,RFCQ,0:54:47.567376,0:55:08.364536
lung_discrete,32,32,89.05,10.14,XGB,mRMR_RFCQ,RFCQ,0:10:12.469372,0:10:16.756803
lymphoma,30,30,90.58,4.47,XGB,mRMR_RFCQ,RFCQ,0:58:37.173201,0:58:58.681739
nci9,29,29,70.0,19.18,XGB,mRMR_RFCQ,RFCQ,2:11:09.153754,2:11:51.463877
