dataset_name,num_desired_features,num_selected_features,test_accuracy,test_accuracy_std,model_name,selection_algorithm,valuation_method,CPU_time,Wall_time
ALLAML,2,2,94.38,9.3,XGB,mRMR_FCQ,FCQ,1:37:44.407260,1:38:11.724795
CLL_SUB_111,54,54,80.08,8.39,XGB,mRMR_FCQ,FCQ,2:37:05.307981,2:37:51.896607
Carcinom,48,48,90.22,3.87,XGB,mRMR_FCQ,FCQ,2:13:18.920407,2:14:10.659766
GLIOMA,50,50,78.0,10.95,XGB,mRMR_FCQ,FCQ,1:01:31.608042,1:01:48.905151
GLI_85,17,17,92.94,4.92,XGB,mRMR_FCQ,FCQ,5:04:17.478012,5:05:45.600733
Prostate_GE,15,15,94.14,6.460000000000001,XGB,mRMR_FCQ,FCQ,1:24:05.036306,1:24:30.650679
SMK_CAN_187,12,12,76.94,12.57,XGB,mRMR_FCQ,FCQ,4:43:39.553354,4:46:00.062776
TOX_171,21,21,73.72999999999999,11.95,XGB,mRMR_FCQ,FCQ,1:22:38.354153,1:23:06.218362
colon,22,22,93.33,10.87,XGB,mRMR_FCQ,FCQ,0:29:50.708747,0:30:00.893327
leukemia,12,12,100.0,0.0,XGB,mRMR_FCQ,FCQ,1:37:33.752943,1:38:04.887868
lung,68,68,95.55,2.73,XGB,mRMR_FCQ,FCQ,0:51:26.460289,0:51:46.068423
lung_discrete,22,22,87.71,5.54,XGB,mRMR_FCQ,FCQ,0:08:54.226477,0:08:57.932686
lymphoma,94,94,88.63,11.2,XGB,mRMR_FCQ,FCQ,0:57:16.072370,0:57:37.054054
nci9,42,42,68.33,9.13,XGB,mRMR_FCQ,FCQ,2:09:38.241664,2:10:18.614409
