dataset_name,num_desired_features,num_selected_features,test_accuracy,test_accuracy_std,model_name,selection_algorithm,valuation_method,CPU_time,Wall_time
ALLAML,30,30,98.57,3.19,KNeighbors,mRMR_FCQ,FCQ,1:37:44.407260,1:38:11.724795
CLL_SUB_111,87,87,83.78999999999999,2.37,KNeighbors,mRMR_FCQ,FCQ,2:37:05.307981,2:37:51.896607
Carcinom,61,61,94.79,3.87,KNeighbors,mRMR_FCQ,FCQ,2:13:18.920407,2:14:10.659766
GLIOMA,85,85,88.0,10.95,KNeighbors,mRMR_FCQ,FCQ,1:01:31.608042,1:01:48.905151
GLI_85,11,11,95.29,6.4399999999999995,KNeighbors,mRMR_FCQ,FCQ,5:04:17.478012,5:05:45.600733
Prostate_GE,10,10,95.05,8.66,KNeighbors,mRMR_FCQ,FCQ,1:24:05.036306,1:24:30.650679
SMK_CAN_187,16,16,79.66,6.72,KNeighbors,mRMR_FCQ,FCQ,4:43:39.553354,4:46:00.062776
TOX_171,37,37,74.97,12.53,KNeighbors,mRMR_FCQ,FCQ,1:22:38.354153,1:23:06.218362
colon,5,5,90.0,9.13,KNeighbors,mRMR_FCQ,FCQ,0:29:50.708747,0:30:00.893327
leukemia,47,47,100.0,0.0,KNeighbors,mRMR_FCQ,FCQ,1:37:33.752943,1:38:04.887868
lung,50,50,97.02,2.74,KNeighbors,mRMR_FCQ,FCQ,0:51:26.460289,0:51:46.068423
lung_discrete,71,71,93.14,4.72,KNeighbors,mRMR_FCQ,FCQ,0:08:54.226477,0:08:57.932686
lymphoma,92,92,94.74,3.72,KNeighbors,mRMR_FCQ,FCQ,0:57:16.072370,0:57:37.054054
nci9,54,54,78.33,7.449999999999999,KNeighbors,mRMR_FCQ,FCQ,2:09:38.241664,2:10:18.614409
