dataset_name,num_desired_features,num_selected_features,test_accuracy,test_accuracy_std,model_name,selection_algorithm,valuation_method,CPU_time,Wall_time
ALLAML,54,54,98.57,3.19,MLP,mRMR_MIQ,MIQ,14:33:52.214913,14:39:15.144907
CLL_SUB_111,98,98,82.06,6.02,MLP,mRMR_MIQ,MIQ,"1 day, 2:23:03.379475","1 day, 2:32:42.600313"
Carcinom,88,88,87.33,6.03,MLP,mRMR_MIQ,MIQ,"1 day, 2:21:19.934978","1 day, 2:33:25.782916"
GLIOMA,53,53,76.0,5.48,MLP,mRMR_MIQ,MIQ,8:32:09.978225,8:35:26.300570
GLI_85,51,51,92.94,6.4399999999999995,MLP,mRMR_MIQ,MIQ,"1 day, 22:36:46.094495","1 day, 22:54:23.601199"
Prostate_GE,50,50,98.0,4.47,MLP,mRMR_MIQ,MIQ,13:21:12.769066,13:26:12.889063
SMK_CAN_187,4,4,67.82000000000001,8.200000000000001,MLP,mRMR_MIQ,MIQ,"2 days, 7:23:14.779992","2 days, 7:50:44.606205"
TOX_171,69,69,77.13,6.52,MLP,mRMR_MIQ,MIQ,15:43:12.854638,15:49:38.609831
colon,19,19,88.46000000000001,9.56,MLP,mRMR_MIQ,MIQ,4:04:04.821384,4:05:45.987980
leukemia,58,58,100.0,0.0,MLP,mRMR_MIQ,MIQ,15:31:29.695854,15:37:30.560879
lung,82,82,97.52,2.47,MLP,mRMR_MIQ,MIQ,10:18:26.494641,10:22:48.791812
lung_discrete,42,42,87.81,5.35,MLP,mRMR_MIQ,MIQ,0:47:08.303941,0:47:28.655683
lymphoma,96,96,96.84,4.71,MLP,mRMR_MIQ,MIQ,9:12:10.942799,9:16:00.155747
nci9,67,67,36.67,11.18,MLP,mRMR_MIQ,MIQ,21:15:30.036436,21:27:03.967951
