dataset_name,num_desired_features,num_selected_features,test_accuracy,test_accuracy_std,model_name,selection_algorithm,valuation_method,CPU_time,Wall_time
ALLAML,27,27,98.57,3.19,LinearSVC,KBest,mutual_info,0:03:12.924337,0:03:14.109770
CLL_SUB_111,16,16,76.6,5.7700000000000005,LinearSVC,KBest,mutual_info,0:04:31.931684,0:04:33.578076
Carcinom,89,89,94.81,3.78,LinearSVC,KBest,mutual_info,0:12:26.861622,0:02:12.244436
GLIOMA,55,55,86.0,11.4,LinearSVC,KBest,mutual_info,0:03:26.318893,0:03:27.538377
GLI_85,29,29,94.12,5.88,LinearSVC,KBest,mutual_info,0:03:57.178380,0:03:58.524642
Prostate_GE,20,20,96.05,6.510000000000001,LinearSVC,KBest,mutual_info,0:03:29.613874,0:03:30.795875
SMK_CAN_187,29,29,66.83,15.71,LinearSVC,KBest,mutual_info,0:05:08.060857,0:05:09.799868
TOX_171,8,8,66.64,5.52,LinearSVC,KBest,mutual_info,0:14:14.499594,0:03:11.182414
colon,9,9,91.92,8.03,LinearSVC,KBest,mutual_info,0:03:05.932231,0:03:06.976110
leukemia,13,13,98.67,2.98,LinearSVC,KBest,mutual_info,0:03:03.982385,0:03:05.028144
lung,65,65,95.06,3.0700000000000003,LinearSVC,KBest,mutual_info,0:05:07.453404,0:05:09.102291
lung_discrete,28,28,87.62,5.71,LinearSVC,KBest,mutual_info,0:03:25.798165,0:03:26.906062
lymphoma,100,100,93.79,4.279999999999999,LinearSVC,KBest,mutual_info,0:04:11.724107,0:04:13.096238
nci9,81,81,38.33,11.18,LinearSVC,KBest,mutual_info,0:04:34.227409,0:04:35.745435
