dataset_name,num_desired_features,num_selected_features,test_accuracy,test_accuracy_std,model_name,selection_algorithm,valuation_method,CPU_time,Wall_time
ALLAML,5,5,94.48,5.92,GaussianNB,KBest,cosine_sim,0:03:02.965786,0:03:06.130759
CLL_SUB_111,30,30,78.46,9.52,GaussianNB,KBest,cosine_sim,0:04:02.207868,0:04:03.603216
Carcinom,96,96,73.00999999999999,12.5,GaussianNB,KBest,cosine_sim,0:09:33.856157,0:01:54.378107
GLIOMA,50,50,44.0,15.17,GaussianNB,KBest,cosine_sim,0:03:17.488133,0:03:18.642216
GLI_85,19,19,92.94,4.92,GaussianNB,KBest,cosine_sim,0:03:21.036506,0:03:22.143958
Prostate_GE,3,3,95.1,6.99,GaussianNB,KBest,cosine_sim,0:03:20.838630,0:03:21.960446
SMK_CAN_187,18,18,74.33999999999999,15.590000000000002,GaussianNB,KBest,cosine_sim,0:04:24.207837,0:04:25.660438
TOX_171,10,10,56.720000000000006,10.68,GaussianNB,KBest,cosine_sim,0:16:44.479048,0:04:02.490316
colon,2,2,88.59,7.26,GaussianNB,KBest,cosine_sim,0:03:08.085736,0:03:09.144663
leukemia,36,36,97.24,3.790000000000001,GaussianNB,KBest,cosine_sim,0:02:58.051630,0:02:59.041863
lung,64,64,85.18,9.08,GaussianNB,KBest,cosine_sim,0:04:59.856805,0:05:01.447219
lung_discrete,71,71,63.05,5.8500000000000005,GaussianNB,KBest,cosine_sim,0:03:29.045241,0:03:30.166934
lymphoma,43,43,64.68,11.47,GaussianNB,KBest,cosine_sim,0:03:50.132560,0:03:51.363356
nci9,14,14,28.33,19.18,GaussianNB,KBest,cosine_sim,0:03:35.679152,0:03:36.827184
