dataset_name,num_desired_features,num_selected_features,test_accuracy,test_accuracy_std,model_name,selection_algorithm,valuation_method,CPU_time,Wall_time
ALLAML,35,35,98.57,3.19,RandomForest,KBest,Fvalue,0:02:56.622324,0:02:57.678664
CLL_SUB_111,2,2,68.46,7.9,RandomForest,KBest,Fvalue,0:04:05.060228,0:04:06.458438
Carcinom,85,85,91.34,5.82,RandomForest,KBest,Fvalue,0:11:00.337918,0:02:00.935523
GLIOMA,96,96,78.0,4.47,RandomForest,KBest,Fvalue,0:03:13.563319,0:03:14.663839
GLI_85,62,62,92.94,4.92,RandomForest,KBest,Fvalue,0:03:11.182825,0:03:12.246497
Prostate_GE,26,26,94.1,8.89,RandomForest,KBest,Fvalue,0:03:16.340593,0:03:17.445071
SMK_CAN_187,13,13,74.81,10.52,RandomForest,KBest,Fvalue,0:04:20.379359,0:04:21.828746
TOX_171,9,9,67.29,6.01,RandomForest,KBest,Fvalue,0:13:02.521354,0:02:41.022434
colon,2,2,88.59,7.26,RandomForest,KBest,Fvalue,0:03:04.061071,0:03:05.097062
leukemia,5,5,100.0,0.0,RandomForest,KBest,Fvalue,0:02:48.433661,0:02:49.362035
lung,98,98,94.56,4.79,RandomForest,KBest,Fvalue,0:04:50.351303,0:04:51.905014
lung_discrete,39,39,90.48,3.4799999999999995,RandomForest,KBest,Fvalue,0:03:24.666175,0:03:25.765470
lymphoma,54,54,84.42,10.4,RandomForest,KBest,Fvalue,0:03:46.519836,0:03:47.733969
nci9,31,31,73.33,10.87,RandomForest,KBest,Fvalue,0:03:29.286405,0:03:30.402370
