dataset_name,num_desired_features,num_selected_features,test_accuracy,test_accuracy_std,model_name,selection_algorithm,valuation_method,CPU_time,Wall_time
ALLAML,17,17,97.24,3.790000000000001,MLP,KBest,Fvalue,0:02:56.622324,0:02:57.678664
CLL_SUB_111,62,62,63.870000000000005,6.05,MLP,KBest,Fvalue,0:04:05.060228,0:04:06.458438
Carcinom,93,93,92.52,4.35,MLP,KBest,Fvalue,0:11:00.337918,0:02:00.935523
GLIOMA,98,98,84.0,5.48,MLP,KBest,Fvalue,0:03:13.563319,0:03:14.663839
GLI_85,90,90,95.29,2.63,MLP,KBest,Fvalue,0:03:11.182825,0:03:12.246497
Prostate_GE,76,76,95.1,6.99,MLP,KBest,Fvalue,0:03:16.340593,0:03:17.445071
SMK_CAN_187,18,18,75.33,8.5,MLP,KBest,Fvalue,0:04:20.379359,0:04:21.828746
TOX_171,66,66,70.19999999999999,10.57,MLP,KBest,Fvalue,0:13:02.521354,0:02:41.022434
colon,2,2,88.59,7.26,MLP,KBest,Fvalue,0:03:04.061071,0:03:05.097062
leukemia,13,13,98.67,2.98,MLP,KBest,Fvalue,0:02:48.433661,0:02:49.362035
lung,95,95,94.6,2.65,MLP,KBest,Fvalue,0:04:50.351303,0:04:51.905014
lung_discrete,35,35,93.14,0.26,MLP,KBest,Fvalue,0:03:24.666175,0:03:25.765470
lymphoma,68,68,87.53,6.98,MLP,KBest,Fvalue,0:03:46.519836,0:03:47.733969
nci9,100,100,78.33,12.64,MLP,KBest,Fvalue,0:03:29.286405,0:03:30.402370
