dataset_name,num_desired_features,num_selected_features,test_accuracy,test_accuracy_std,model_name,selection_algorithm,valuation_method,CPU_time,Wall_time
ALLAML,73,73,98.57,3.19,KNeighbors,mRMR_FCD,FCD,1:37:58.798532,1:38:25.818718
CLL_SUB_111,2,2,68.46,5.6000000000000005,KNeighbors,mRMR_FCD,FCD,2:37:14.989451,2:37:59.664724
Carcinom,85,85,89.63,4.43,KNeighbors,mRMR_FCD,FCD,2:13:24.967751,2:14:12.139300
GLIOMA,80,80,88.0,8.37,KNeighbors,mRMR_FCD,FCD,1:01:35.566084,1:01:53.051710
GLI_85,6,6,92.94,4.92,KNeighbors,mRMR_FCD,FCD,5:04:21.460837,5:05:49.760949
Prostate_GE,9,9,95.05,8.66,KNeighbors,mRMR_FCD,FCD,1:24:10.218438,1:24:35.980895
SMK_CAN_187,15,15,75.36,7.27,KNeighbors,mRMR_FCD,FCD,4:42:25.818729,4:43:57.381588
TOX_171,14,14,62.57,2.44,KNeighbors,mRMR_FCD,FCD,1:22:42.057480,1:23:08.806675
colon,3,3,90.13,7.02,KNeighbors,mRMR_FCD,FCD,0:29:54.963786,0:30:05.252583
leukemia,7,7,98.67,2.98,KNeighbors,mRMR_FCD,FCD,1:37:29.465045,1:38:00.538644
lung,94,94,95.07,2.47,KNeighbors,mRMR_FCD,FCD,0:51:36.473316,0:51:56.179108
lung_discrete,82,82,91.9,5.55,KNeighbors,mRMR_FCD,FCD,0:08:58.248940,0:09:01.990549
lymphoma,79,79,85.42,6.84,KNeighbors,mRMR_FCD,FCD,0:57:04.548637,0:57:27.080376
nci9,99,99,70.0,12.64,KNeighbors,mRMR_FCD,FCD,2:10:49.419368,2:11:43.083458
