dataset_name,num_desired_features,num_selected_features,test_accuracy,test_accuracy_std,model_name,selection_algorithm,valuation_method,CPU_time,Wall_time
ALLAML,88,88,97.24,3.790000000000001,GaussianNB,mRMR_FCQ,FCQ,1:37:44.407260,1:38:11.724795
CLL_SUB_111,95,95,70.19999999999999,9.62,GaussianNB,mRMR_FCQ,FCQ,2:37:05.307981,2:37:51.896607
Carcinom,100,100,68.37,3.73,GaussianNB,mRMR_FCQ,FCQ,2:13:18.920407,2:14:10.659766
GLIOMA,34,34,84.0,5.48,GaussianNB,mRMR_FCQ,FCQ,1:01:31.608042,1:01:48.905151
GLI_85,8,8,96.47,3.22,GaussianNB,mRMR_FCQ,FCQ,5:04:17.478012,5:05:45.600733
Prostate_GE,46,46,96.05,6.510000000000001,GaussianNB,mRMR_FCQ,FCQ,1:24:05.036306,1:24:30.650679
SMK_CAN_187,48,48,80.74,16.1,GaussianNB,mRMR_FCQ,FCQ,4:43:39.553354,4:46:00.062776
TOX_171,39,39,73.68,6.25,GaussianNB,mRMR_FCQ,FCQ,1:22:38.354153,1:23:06.218362
colon,4,4,90.13,7.02,GaussianNB,mRMR_FCQ,FCQ,0:29:50.708747,0:30:00.893327
leukemia,6,6,95.81,6.34,GaussianNB,mRMR_FCQ,FCQ,1:37:33.752943,1:38:04.887868
lung,5,5,91.63,3.27,GaussianNB,mRMR_FCQ,FCQ,0:51:26.460289,0:51:46.068423
lung_discrete,18,18,78.0,6.01,GaussianNB,mRMR_FCQ,FCQ,0:08:54.226477,0:08:57.932686
lymphoma,16,16,73.26,19.5,GaussianNB,mRMR_FCQ,FCQ,0:57:16.072370,0:57:37.054054
nci9,81,81,63.33,12.64,GaussianNB,mRMR_FCQ,FCQ,2:09:38.241664,2:10:18.614409
