dataset_name,num_desired_features,num_selected_features,test_accuracy,test_accuracy_std,model_name,selection_algorithm,valuation_method,CPU_time,Wall_time
ALLAML,63,63,90.29,8.07,XGB,KBest,variance,0:03:06.841324,0:03:07.953045
CLL_SUB_111,47,47,65.89,9.68,XGB,KBest,variance,0:04:07.912971,0:04:09.292484
Carcinom,92,92,53.11,31.61,XGB,KBest,variance,0:11:57.807648,0:02:17.040627
GLIOMA,27,27,64.0,16.73,XGB,KBest,variance,0:03:08.916026,0:03:09.934413
GLI_85,45,45,78.82000000000001,11.47,XGB,KBest,variance,0:03:13.760642,0:03:14.829668
Prostate_GE,74,74,65.67,4.97,XGB,KBest,variance,0:03:18.789850,0:03:19.906194
SMK_CAN_187,59,59,62.56,11.34,XGB,KBest,variance,0:04:28.664888,0:04:30.252968
TOX_171,20,20,21.13,13.44,XGB,KBest,variance,0:12:51.600436,0:02:42.396776
colon,93,93,77.44,6.43,XGB,KBest,variance,0:03:05.132722,0:03:06.172394
leukemia,3,3,93.05,8.75,XGB,KBest,variance,0:02:58.085365,0:02:59.071967
lung,43,43,91.13,4.79,XGB,KBest,variance,0:05:12.733640,0:05:14.367243
lung_discrete,73,73,83.33,9.69,XGB,KBest,variance,0:03:24.505187,0:03:25.599800
lymphoma,53,53,79.25999999999999,7.84,XGB,KBest,variance,0:03:45.222060,0:03:46.428597
nci9,56,56,51.67,10.87,XGB,KBest,variance,0:03:32.915367,0:03:34.047082
