dataset_name,num_desired_features,num_selected_features,test_accuracy,test_accuracy_std,model_name,selection_algorithm,valuation_method,CPU_time,Wall_time
ALLAML,36,36,97.24,3.790000000000001,LinearSVC,KBest,Fvalue,0:02:56.622324,0:02:57.678664
CLL_SUB_111,93,93,63.16,13.31,LinearSVC,KBest,Fvalue,0:04:05.060228,0:04:06.458438
Carcinom,97,97,91.38,5.35,LinearSVC,KBest,Fvalue,0:11:00.337918,0:02:00.935523
GLIOMA,35,35,76.0,5.48,LinearSVC,KBest,Fvalue,0:03:13.563319,0:03:14.663839
GLI_85,12,12,94.12,4.16,LinearSVC,KBest,Fvalue,0:03:11.182825,0:03:12.246497
Prostate_GE,57,57,95.05,8.66,LinearSVC,KBest,Fvalue,0:03:16.340593,0:03:17.445071
SMK_CAN_187,13,13,73.77,3.18,LinearSVC,KBest,Fvalue,0:04:20.379359,0:04:21.828746
TOX_171,12,12,67.86999999999999,8.9,LinearSVC,KBest,Fvalue,0:13:02.521354,0:02:41.022434
colon,2,2,88.59,7.26,LinearSVC,KBest,Fvalue,0:03:04.061071,0:03:05.097062
leukemia,5,5,97.33,5.96,LinearSVC,KBest,Fvalue,0:02:48.433661,0:02:49.362035
lung,99,99,91.61,3.3300000000000005,LinearSVC,KBest,Fvalue,0:04:50.351303,0:04:51.905014
lung_discrete,57,57,87.71,11.23,LinearSVC,KBest,Fvalue,0:03:24.666175,0:03:25.765470
lymphoma,64,64,85.47,5.489999999999999,LinearSVC,KBest,Fvalue,0:03:46.519836,0:03:47.733969
nci9,95,95,75.0,8.33,LinearSVC,KBest,Fvalue,0:03:29.286405,0:03:30.402370
