dataset_name,num_desired_features,num_selected_features,test_accuracy,test_accuracy_std,model_name,selection_algorithm,valuation_method,CPU_time,Wall_time
ALLAML,57,57,98.57,3.19,MLP,mRMR_FCD,FCD,1:37:58.798532,1:38:25.818718
CLL_SUB_111,67,67,64.74,9.11,MLP,mRMR_FCD,FCD,2:37:14.989451,2:37:59.664724
Carcinom,100,100,93.65,5.93,MLP,mRMR_FCD,FCD,2:13:24.967751,2:14:12.139300
GLIOMA,78,78,82.0,4.47,MLP,mRMR_FCD,FCD,1:01:35.566084,1:01:53.051710
GLI_85,6,6,94.12,5.88,MLP,mRMR_FCD,FCD,5:04:21.460837,5:05:49.760949
Prostate_GE,80,80,95.1,6.99,MLP,mRMR_FCD,FCD,1:24:10.218438,1:24:35.980895
SMK_CAN_187,8,8,74.31,5.64,MLP,mRMR_FCD,FCD,4:42:25.818729,4:43:57.381588
TOX_171,100,100,68.37,6.6000000000000005,MLP,mRMR_FCD,FCD,1:22:42.057480,1:23:08.806675
colon,2,2,88.59,7.26,MLP,mRMR_FCD,FCD,0:29:54.963786,0:30:05.252583
leukemia,13,13,98.67,2.98,MLP,mRMR_FCD,FCD,1:37:29.465045,1:38:00.538644
lung,92,92,95.09,2.42,MLP,mRMR_FCD,FCD,0:51:36.473316,0:51:56.179108
lung_discrete,74,74,93.14,0.26,MLP,mRMR_FCD,FCD,0:08:58.248940,0:09:01.990549
lymphoma,70,70,89.53,8.36,MLP,mRMR_FCD,FCD,0:57:04.548637,0:57:27.080376
nci9,80,80,76.67,6.97,MLP,mRMR_FCD,FCD,2:10:49.419368,2:11:43.083458
