dataset_name,num_desired_features,num_selected_features,test_accuracy,test_accuracy_std,model_name,selection_algorithm,valuation_method,CPU_time,Wall_time
ALLAML,92,92,100.0,0.0,RandomForest,mRMR_MIQ,MIQ,14:33:52.214913,14:39:15.144907
CLL_SUB_111,75,75,90.03999999999999,5.970000000000001,RandomForest,mRMR_MIQ,MIQ,"1 day, 2:23:03.379475","1 day, 2:32:42.600313"
Carcinom,84,84,91.92,6.619999999999999,RandomForest,mRMR_MIQ,MIQ,"1 day, 2:21:19.934978","1 day, 2:33:25.782916"
GLIOMA,81,81,88.0,8.37,RandomForest,mRMR_MIQ,MIQ,8:32:09.978225,8:35:26.300570
GLI_85,59,59,96.47,5.26,RandomForest,mRMR_MIQ,MIQ,"1 day, 22:36:46.094495","1 day, 22:54:23.601199"
Prostate_GE,55,55,97.05,4.45,RandomForest,mRMR_MIQ,MIQ,13:21:12.769066,13:26:12.889063
SMK_CAN_187,79,79,68.96,14.099999999999998,RandomForest,mRMR_MIQ,MIQ,"2 days, 7:23:14.779992","2 days, 7:50:44.606205"
TOX_171,90,90,74.33999999999999,7.17,RandomForest,mRMR_MIQ,MIQ,15:43:12.854638,15:49:38.609831
colon,18,18,91.79,5.8999999999999995,RandomForest,mRMR_MIQ,MIQ,4:04:04.821384,4:05:45.987980
leukemia,27,27,98.67,2.98,RandomForest,mRMR_MIQ,MIQ,15:31:29.695854,15:37:30.560879
lung,96,96,96.05,2.83,RandomForest,mRMR_MIQ,MIQ,10:18:26.494641,10:22:48.791812
lung_discrete,87,87,91.81,5.53,RandomForest,mRMR_MIQ,MIQ,0:47:08.303941,0:47:28.655683
lymphoma,98,98,88.58,6.75,RandomForest,mRMR_MIQ,MIQ,9:12:10.942799,9:16:00.155747
nci9,88,88,41.67,8.33,RandomForest,mRMR_MIQ,MIQ,21:15:30.036436,21:27:03.967951
