dataset_name,num_desired_features,num_selected_features,test_accuracy,test_accuracy_std,model_name,selection_algorithm,valuation_method,CPU_time,Wall_time
ALLAML,7,7,100.0,0.0,RandomForest,mRMR_MID,MID,14:34:08.477700,14:39:29.250258
CLL_SUB_111,94,94,90.03999999999999,7.51,RandomForest,mRMR_MID,MID,"1 day, 2:23:16.846346","1 day, 2:32:56.909724"
Carcinom,34,34,92.52,2.59,RandomForest,mRMR_MID,MID,"1 day, 2:48:24.155054","1 day, 3:01:37.971197"
GLIOMA,31,31,90.0,7.07,RandomForest,mRMR_MID,MID,8:36:49.028224,8:40:15.676237
GLI_85,65,65,97.65,3.22,RandomForest,mRMR_MID,MID,"1 day, 22:41:17.466565","1 day, 23:00:30.275059"
Prostate_GE,34,34,96.05,6.510000000000001,RandomForest,mRMR_MID,MID,13:42:27.751174,13:48:08.171638
SMK_CAN_187,54,54,73.81,17.65,RandomForest,mRMR_MID,MID,"2 days, 10:15:22.337616","2 days, 10:38:47.514359"
TOX_171,96,96,77.25999999999999,11.77,RandomForest,mRMR_MID,MID,0:46:59.223984,1:36:24.024318
colon,16,16,93.46,6.94,RandomForest,mRMR_MID,MID,4:02:44.185275,4:04:22.174831
leukemia,15,15,100.0,0.0,RandomForest,mRMR_MID,MID,16:24:41.600525,16:31:53.379742
lung,27,27,96.55,2.1999999999999997,RandomForest,mRMR_MID,MID,10:10:02.665140,10:14:27.048845
lung_discrete,80,80,90.29,6.3,RandomForest,mRMR_MID,MID,0:41:45.358067,0:42:01.935437
lymphoma,42,42,93.79,4.279999999999999,RandomForest,mRMR_MID,MID,9:20:46.412504,9:25:18.203003
nci9,87,87,46.67,12.64,RandomForest,mRMR_MID,MID,22:37:08.862315,22:48:16.867290
