dataset_name,num_desired_features,num_selected_features,test_accuracy,test_accuracy_std,model_name,selection_algorithm,valuation_method,CPU_time,Wall_time
ALLAML,7,7,98.67,2.98,GaussianNB,mRMR_MID,MID,14:34:08.477700,14:39:29.250258
CLL_SUB_111,32,32,82.92,8.6,GaussianNB,mRMR_MID,MID,"1 day, 2:23:16.846346","1 day, 2:32:56.909724"
Carcinom,34,34,73.55000000000001,8.959999999999999,GaussianNB,mRMR_MID,MID,"1 day, 2:48:24.155054","1 day, 3:01:37.971197"
GLIOMA,4,4,68.0,14.829999999999998,GaussianNB,mRMR_MID,MID,8:36:49.028224,8:40:15.676237
GLI_85,26,26,94.12,0.0,GaussianNB,mRMR_MID,MID,"1 day, 22:41:17.466565","1 day, 23:00:30.275059"
Prostate_GE,11,11,95.1,6.99,GaussianNB,mRMR_MID,MID,13:42:27.751174,13:48:08.171638
SMK_CAN_187,18,18,67.91,19.57,GaussianNB,mRMR_MID,MID,"2 days, 10:15:22.337616","2 days, 10:38:47.514359"
TOX_171,25,25,76.62,7.13,GaussianNB,mRMR_MID,MID,0:46:59.223984,1:36:24.024318
colon,14,14,90.38,6.72,GaussianNB,mRMR_MID,MID,4:02:44.185275,4:04:22.174831
leukemia,14,14,95.9,6.02,GaussianNB,mRMR_MID,MID,16:24:41.600525,16:31:53.379742
lung,6,6,94.11,3.68,GaussianNB,mRMR_MID,MID,10:10:02.665140,10:14:27.048845
lung_discrete,14,14,78.0,6.01,GaussianNB,mRMR_MID,MID,0:41:45.358067,0:42:01.935437
lymphoma,15,15,77.32,14.7,GaussianNB,mRMR_MID,MID,9:20:46.412504,9:25:18.203003
nci9,95,95,40.0,16.03,GaussianNB,mRMR_MID,MID,22:37:08.862315,22:48:16.867290
