dataset_name,num_desired_features,num_selected_features,test_accuracy,test_accuracy_std,model_name,selection_algorithm,valuation_method,CPU_time,Wall_time
ALLAML,34,34,98.57,3.19,RandomForest,mRMR_FCD,FCD,1:37:58.798532,1:38:25.818718
CLL_SUB_111,7,7,67.67,10.29,RandomForest,mRMR_FCD,FCD,2:37:14.989451,2:37:59.664724
Carcinom,79,79,90.76,6.97,RandomForest,mRMR_FCD,FCD,2:13:24.967751,2:14:12.139300
GLIOMA,97,97,78.0,8.37,RandomForest,mRMR_FCD,FCD,1:01:35.566084,1:01:53.051710
GLI_85,6,6,92.94,7.670000000000001,RandomForest,mRMR_FCD,FCD,5:04:21.460837,5:05:49.760949
Prostate_GE,5,5,94.1,5.5,RandomForest,mRMR_FCD,FCD,1:24:10.218438,1:24:35.980895
SMK_CAN_187,9,9,74.31,6.18,RandomForest,mRMR_FCD,FCD,4:42:25.818729,4:43:57.381588
TOX_171,14,14,66.12,6.4799999999999995,RandomForest,mRMR_FCD,FCD,1:22:42.057480,1:23:08.806675
colon,2,2,88.59,7.26,RandomForest,mRMR_FCD,FCD,0:29:54.963786,0:30:05.252583
leukemia,5,5,100.0,0.0,RandomForest,mRMR_FCD,FCD,1:37:29.465045,1:38:00.538644
lung,95,95,93.59,4.52,RandomForest,mRMR_FCD,FCD,0:51:36.473316,0:51:56.179108
lung_discrete,78,78,89.14,11.22,RandomForest,mRMR_FCD,FCD,0:08:58.248940,0:09:01.990549
lymphoma,63,63,85.47,5.489999999999999,RandomForest,mRMR_FCD,FCD,0:57:04.548637,0:57:27.080376
nci9,88,88,75.0,14.43,RandomForest,mRMR_FCD,FCD,2:10:49.419368,2:11:43.083458
