dataset_name,num_desired_features,num_selected_features,test_accuracy,test_accuracy_std,model_name,selection_algorithm,valuation_method,CPU_time,Wall_time
ALLAML,31,31,94.38,9.3,XGB,mRMR_FCD,FCD,1:37:58.798532,1:38:25.818718
CLL_SUB_111,12,12,68.38,7.51,XGB,mRMR_FCD,FCD,2:37:14.989451,2:37:59.664724
Carcinom,99,99,85.61,7.049999999999999,XGB,mRMR_FCD,FCD,2:13:24.967751,2:14:12.139300
GLIOMA,71,71,76.0,8.94,XGB,mRMR_FCD,FCD,1:01:35.566084,1:01:53.051710
GLI_85,5,5,92.94,4.92,XGB,mRMR_FCD,FCD,5:04:21.460837,5:05:49.760949
Prostate_GE,18,18,94.14,6.460000000000001,XGB,mRMR_FCD,FCD,1:24:10.218438,1:24:35.980895
SMK_CAN_187,20,20,73.81,7.82,XGB,mRMR_FCD,FCD,4:42:25.818729,4:43:57.381588
TOX_171,39,39,66.05,6.2700000000000005,XGB,mRMR_FCD,FCD,1:22:42.057480,1:23:08.806675
colon,33,33,90.13,10.89,XGB,mRMR_FCD,FCD,0:29:54.963786,0:30:05.252583
leukemia,15,15,100.0,0.0,XGB,mRMR_FCD,FCD,1:37:29.465045,1:38:00.538644
lung,83,83,93.6,3.32,XGB,mRMR_FCD,FCD,0:51:36.473316,0:51:56.179108
lung_discrete,10,10,85.14,11.91,XGB,mRMR_FCD,FCD,0:08:58.248940,0:09:01.990549
lymphoma,80,80,83.53,13.98,XGB,mRMR_FCD,FCD,0:57:04.548637,0:57:27.080376
nci9,37,37,63.33,17.28,XGB,mRMR_FCD,FCD,2:10:49.419368,2:11:43.083458
