dataset_name,num_desired_features,num_selected_features,test_accuracy,test_accuracy_std,model_name,selection_algorithm,valuation_method,CPU_time,Wall_time
ALLAML,36,36,97.24,3.790000000000001,LinearSVC,mRMR_FCD,FCD,1:37:58.798532,1:38:25.818718
CLL_SUB_111,93,93,63.16,13.31,LinearSVC,mRMR_FCD,FCD,2:37:14.989451,2:37:59.664724
Carcinom,97,97,91.38,5.35,LinearSVC,mRMR_FCD,FCD,2:13:24.967751,2:14:12.139300
GLIOMA,35,35,76.0,5.48,LinearSVC,mRMR_FCD,FCD,1:01:35.566084,1:01:53.051710
GLI_85,12,12,94.12,4.16,LinearSVC,mRMR_FCD,FCD,5:04:21.460837,5:05:49.760949
Prostate_GE,57,57,95.05,8.66,LinearSVC,mRMR_FCD,FCD,1:24:10.218438,1:24:35.980895
SMK_CAN_187,13,13,73.77,3.18,LinearSVC,mRMR_FCD,FCD,4:42:25.818729,4:43:57.381588
TOX_171,11,11,67.28,5.42,LinearSVC,mRMR_FCD,FCD,1:22:42.057480,1:23:08.806675
colon,2,2,88.59,7.26,LinearSVC,mRMR_FCD,FCD,0:29:54.963786,0:30:05.252583
leukemia,5,5,97.33,5.96,LinearSVC,mRMR_FCD,FCD,1:37:29.465045,1:38:00.538644
lung,99,99,91.61,3.3300000000000005,LinearSVC,mRMR_FCD,FCD,0:51:36.473316,0:51:56.179108
lung_discrete,55,55,86.38,8.48,LinearSVC,mRMR_FCD,FCD,0:08:58.248940,0:09:01.990549
lymphoma,60,60,83.47,10.91,LinearSVC,mRMR_FCD,FCD,0:57:04.548637,0:57:27.080376
nci9,84,84,75.0,10.21,LinearSVC,mRMR_FCD,FCD,2:10:49.419368,2:11:43.083458
