dataset_name,num_desired_features,num_selected_features,test_accuracy,test_accuracy_std,model_name,selection_algorithm,valuation_method,CPU_time,Wall_time
ALLAML,6,6,100.0,0.0,LinearSVC,mRMR_FCQ,FCQ,1:37:44.407260,1:38:11.724795
CLL_SUB_111,54,54,81.98,11.59,LinearSVC,mRMR_FCQ,FCQ,2:37:05.307981,2:37:51.896607
Carcinom,80,80,94.2,5.13,LinearSVC,mRMR_FCQ,FCQ,2:13:18.920407,2:14:10.659766
GLIOMA,20,20,78.0,8.37,LinearSVC,mRMR_FCQ,FCQ,1:01:31.608042,1:01:48.905151
GLI_85,11,11,97.65,3.22,LinearSVC,mRMR_FCQ,FCQ,5:04:17.478012,5:05:45.600733
Prostate_GE,62,62,94.1,5.5,LinearSVC,mRMR_FCQ,FCQ,1:24:05.036306,1:24:30.650679
SMK_CAN_187,92,92,77.03999999999999,7.51,LinearSVC,mRMR_FCQ,FCQ,4:43:39.553354,4:46:00.062776
TOX_171,81,81,76.05,2.88,LinearSVC,mRMR_FCQ,FCQ,1:22:38.354153,1:23:06.218362
colon,4,4,90.13,7.02,LinearSVC,mRMR_FCQ,FCQ,0:29:50.708747,0:30:00.893327
leukemia,6,6,97.33,5.96,LinearSVC,mRMR_FCQ,FCQ,1:37:33.752943,1:38:04.887868
lung,20,20,96.56,4.09,LinearSVC,mRMR_FCQ,FCQ,0:51:26.460289,0:51:46.068423
lung_discrete,67,67,90.38,6.08,LinearSVC,mRMR_FCQ,FCQ,0:08:54.226477,0:08:57.932686
lymphoma,86,86,95.89,4.22,LinearSVC,mRMR_FCQ,FCQ,0:57:16.072370,0:57:37.054054
nci9,98,98,80.0,18.26,LinearSVC,mRMR_FCQ,FCQ,2:09:38.241664,2:10:18.614409
