dataset_name,num_desired_features,num_selected_features,test_accuracy,test_accuracy_std,model_name,selection_algorithm,valuation_method,CPU_time,Wall_time
ALLAML,94,94,73.42999999999999,13.94,MLP,KBest,entropy,0:03:14.276549,0:03:15.453454
CLL_SUB_111,99,99,76.64,9.58,MLP,KBest,entropy,0:04:11.117514,0:04:12.529056
Carcinom,87,87,82.72,8.450000000000001,MLP,KBest,entropy,0:12:31.324573,0:02:23.613681
GLIOMA,56,56,86.0,5.48,MLP,KBest,entropy,0:03:13.116741,0:03:14.149634
GLI_85,85,85,87.06,7.670000000000001,MLP,KBest,entropy,0:03:25.857264,0:03:26.980496
Prostate_GE,41,41,83.48,9.21,MLP,KBest,entropy,0:03:26.373342,0:03:27.528785
SMK_CAN_187,2,2,58.26,18.11,MLP,KBest,entropy,0:04:39.057105,0:04:40.629975
TOX_171,80,80,54.44,8.790000000000001,MLP,KBest,entropy,0:12:21.153157,0:02:32.800400
colon,34,34,87.18,9.3,MLP,KBest,entropy,0:03:04.813244,0:03:05.851866
leukemia,99,99,79.05,8.59,MLP,KBest,entropy,0:03:04.834904,0:03:05.859129
lung,96,96,91.12,5.140000000000001,MLP,KBest,entropy,0:05:26.782379,0:05:28.488310
lung_discrete,97,97,88.94999999999999,4.02,MLP,KBest,entropy,0:03:24.052880,0:03:25.147044
lymphoma,95,95,82.32000000000001,12.06,MLP,KBest,entropy,0:03:50.738032,0:03:51.973655
nci9,56,56,36.67,7.449999999999999,MLP,KBest,entropy,0:03:37.493249,0:03:38.651355
