fit_time,fit_time_std,score_time,score_time_std,test_accuracy,test_accuracy_std,train_accuracy,train_accuracy_std,model_name,num_desired_features,num_selected_features,selection_algorithm,valuation_method,CPU_time,Wall_time,dataset_name
0.0196,0.0004,0.005,0.0001,80.38,12.479999999999999,93.93,2.08,XGB,8,8,mRMR,FCD,0:29:54.963786,0:30:05.252583,colon
0.0997,0.0002,0.0025,0.0,81.92,12.42,94.34,1.7399999999999998,MLP,8,8,mRMR,FCD,0:29:54.963786,0:30:05.252583,colon
0.0023,0.0,0.002,0.0,86.79,12.7,87.08,3.15,GaussianNB,8,8,mRMR,FCD,0:29:54.963786,0:30:05.252583,colon
0.0024,0.0,0.0042,0.0001,86.92,9.41,88.69,3.42,KNeighbors,9,9,mRMR,FCD,0:29:54.963786,0:30:05.252583,colon
0.0026,0.0001,0.002,0.0,85.13,12.45,91.10000000000001,3.16,LinearSVC,9,9,mRMR,FCD,0:29:54.963786,0:30:05.252583,colon
0.1385,0.0004,0.0088,0.0,80.38,12.479999999999999,97.58,0.9299999999999999,RandomForest,9,9,mRMR,FCD,0:29:54.963786,0:30:05.252583,colon
0.0201,0.0005,0.0052,0.0001,80.38,12.479999999999999,93.93,2.08,XGB,9,9,mRMR,FCD,0:29:54.963786,0:30:05.252583,colon
0.1002,0.0002,0.0025,0.0001,81.92,12.42,94.34,1.7399999999999998,MLP,9,9,mRMR,FCD,0:29:54.963786,0:30:05.252583,colon
0.0023,0.0001,0.002,0.0,86.79,12.7,87.08,3.15,GaussianNB,9,9,mRMR,FCD,0:29:54.963786,0:30:05.252583,colon
0.0024,0.0,0.0041,0.0001,83.59,11.799999999999999,88.69,3.42,KNeighbors,10,10,mRMR,FCD,0:29:54.963786,0:30:05.252583,colon
0.0026,0.0001,0.002,0.0,86.67,13.94,91.09,4.279999999999999,LinearSVC,10,10,mRMR,FCD,0:29:54.963786,0:30:05.252583,colon
0.1383,0.0003,0.0087,0.0001,80.38,12.479999999999999,97.58,0.9299999999999999,RandomForest,10,10,mRMR,FCD,0:29:54.963786,0:30:05.252583,colon
0.0206,0.0004,0.0055,0.0,78.85,9.59,95.14,3.42,XGB,10,10,mRMR,FCD,0:29:54.963786,0:30:05.252583,colon
0.1011,0.0002,0.0025,0.0001,81.92,11.16,95.16,1.1199999999999999,MLP,10,10,mRMR,FCD,0:29:54.963786,0:30:05.252583,colon
0.0023,0.0,0.002,0.0,86.79,12.7,87.08,3.15,GaussianNB,10,10,mRMR,FCD,0:29:54.963786,0:30:05.252583,colon
0.0024,0.0,0.0041,0.0001,83.72,10.35,88.29,2.69,KNeighbors,11,11,mRMR,FCD,0:29:54.963786,0:30:05.252583,colon
0.0026,0.0001,0.002,0.0,83.59,11.799999999999999,92.30000000000001,4.6899999999999995,LinearSVC,11,11,mRMR,FCD,0:29:54.963786,0:30:05.252583,colon
0.1387,0.0003,0.0088,0.0001,80.38,12.479999999999999,97.58,0.9299999999999999,RandomForest,11,11,mRMR,FCD,0:29:54.963786,0:30:05.252583,colon
0.0211,0.0003,0.0057,0.0,78.72,13.86,96.77,1.83,XGB,11,11,mRMR,FCD,0:29:54.963786,0:30:05.252583,colon
0.1016,0.0002,0.0025,0.0001,81.92,11.16,95.96000000000001,1.46,MLP,11,11,mRMR,FCD,0:29:54.963786,0:30:05.252583,colon
0.0023,0.0001,0.002,0.0,86.79,12.7,88.29,3.6799999999999997,GaussianNB,11,11,mRMR,FCD,0:29:54.963786,0:30:05.252583,colon
0.0024,0.0,0.0041,0.0001,85.26,12.33,88.69,3.42,KNeighbors,12,12,mRMR,FCD,0:29:54.963786,0:30:05.252583,colon
0.0026,0.0001,0.002,0.0,83.59,11.799999999999999,92.71000000000001,4.01,LinearSVC,12,12,mRMR,FCD,0:29:54.963786,0:30:05.252583,colon
0.1384,0.0003,0.0088,0.0,80.38,12.479999999999999,97.58,0.9299999999999999,RandomForest,12,12,mRMR,FCD,0:29:54.963786,0:30:05.252583,colon
0.0216,0.0003,0.0059,0.0,77.18,11.04,96.77,1.83,XGB,12,12,mRMR,FCD,0:29:54.963786,0:30:05.252583,colon
0.1011,0.0002,0.0025,0.0001,81.92,12.42,95.96000000000001,1.46,MLP,12,12,mRMR,FCD,0:29:54.963786,0:30:05.252583,colon
0.0024,0.0,0.002,0.0,88.33,13.94,88.69,3.47,GaussianNB,12,12,mRMR,FCD,0:29:54.963786,0:30:05.252583,colon
0.0024,0.0001,0.0042,0.0001,83.72,10.35,87.89,2.5100000000000002,KNeighbors,13,13,mRMR,FCD,0:29:54.963786,0:30:05.252583,colon
0.0027,0.0001,0.002,0.0,77.05,20.979999999999997,92.7,5.34,LinearSVC,13,13,mRMR,FCD,0:29:54.963786,0:30:05.252583,colon
0.1389,0.0002,0.0089,0.0001,83.59,11.799999999999999,98.79,1.0999999999999999,RandomForest,13,13,mRMR,FCD,0:29:54.963786,0:30:05.252583,colon
0.0224,0.0003,0.0062,0.0003,78.72,11.52,98.79,1.0999999999999999,XGB,13,13,mRMR,FCD,0:29:54.963786,0:30:05.252583,colon
0.1021,0.0002,0.0025,0.0001,85.26,11.07,96.77,1.81,MLP,13,13,mRMR,FCD,0:29:54.963786,0:30:05.252583,colon
0.0024,0.0,0.0021,0.0001,88.33,13.94,88.69,3.47,GaussianNB,13,13,mRMR,FCD,0:29:54.963786,0:30:05.252583,colon
0.0024,0.0001,0.0042,0.0,83.72,10.35,88.7,2.34,KNeighbors,14,14,mRMR,FCD,0:29:54.963786,0:30:05.252583,colon
0.0027,0.0001,0.002,0.0,77.05,20.979999999999997,92.7,5.34,LinearSVC,14,14,mRMR,FCD,0:29:54.963786,0:30:05.252583,colon
0.1391,0.0002,0.0089,0.0,80.51,9.48,100.0,0.0,RandomForest,14,14,mRMR,FCD,0:29:54.963786,0:30:05.252583,colon
0.0228,0.0003,0.0062,0.0001,77.18,11.04,98.79,1.0999999999999999,XGB,14,14,mRMR,FCD,0:29:54.963786,0:30:05.252583,colon
0.1032,0.0002,0.0026,0.0,82.05,9.379999999999999,98.79,1.0999999999999999,MLP,14,14,mRMR,FCD,0:29:54.963786,0:30:05.252583,colon
0.0024,0.0001,0.002,0.0,86.79,12.7,88.29,2.74,GaussianNB,14,14,mRMR,FCD,0:29:54.963786,0:30:05.252583,colon
0.0024,0.0,0.0042,0.0001,85.26,9.09,89.5,3.05,KNeighbors,15,15,mRMR,FCD,0:29:54.963786,0:30:05.252583,colon
0.0027,0.0001,0.0021,0.0001,80.38,19.08,92.29,6.04,LinearSVC,15,15,mRMR,FCD,0:29:54.963786,0:30:05.252583,colon
0.1388,0.0002,0.0089,0.0,82.05,9.379999999999999,100.0,0.0,RandomForest,15,15,mRMR,FCD,0:29:54.963786,0:30:05.252583,colon
0.0232,0.0003,0.0063,0.0001,80.38,9.82,99.6,0.89,XGB,15,15,mRMR,FCD,0:29:54.963786,0:30:05.252583,colon
